QueryID,Latency(ns),Recall
0,24762966,1
1,639772,1
2,794309,0.99
3,569582,1
4,963083,0.98
5,615525,1
6,535126,0.92
7,1513044,0.97
8,657338,0.98
9,1059698,0.98
10,718421,1
11,497100,1
12,721228,0.98
13,553881,0.99
14,651600,1
15,915465,0.98
16,1622914,0.95
17,750137,0.96
18,1439638,0.98
19,669071,1
20,685315,1
21,373536,1
22,585189,1
23,694107,0.98
24,1752797,0.95
25,662914,1
26,596912,0.99
27,1496763,0.97
28,1331396,0.99
29,325091,1
30,1914576,0.99
31,541472,1
32,892609,0.96
33,697200,0.98
34,618076,1
35,1172642,0.98
36,1384979,0.98
37,574360,1
38,558230,1
39,725253,0.96
40,3283397,0.97
41,577186,1
42,684858,1
43,596712,1
44,1039172,0.97
45,2389409,0.92
46,602137,1
47,322464,1
48,1516764,0.96
49,1885620,0.96
50,945755,0.97
51,810134,0.99
52,615335,1
53,617019,0.99
54,1628928,0.94
55,712777,0.99
56,648555,1
57,2399791,0.93
58,727137,1
59,609807,1
60,776172,0.99
61,973427,1
62,905416,0.99
63,1619727,0.9
64,555756,1
65,535896,1
66,829795,0.95
67,1353216,1
68,1628319,1
69,2354685,0.94
70,1084648,0.98
71,576453,0.99
72,1024613,0.97
73,566423,0.99
74,680062,0.94
75,1028371,0.98
76,971057,0.99
77,561085,1
78,1016886,0.98
79,681004,0.98
80,1000814,0.98
81,473263,1
82,638402,1
83,955918,1
84,1366575,0.97
85,585246,1
86,643312,0.99
87,524029,1
88,873919,0.96
89,1297605,1
90,702919,0.94
91,2267749,0.91
92,1022767,0.98
93,4146801,0.96
94,587348,1
95,836807,0.98
96,271707,1
97,420716,1
98,1021235,0.94
99,561913,1
100,519748,1
101,646985,0.99
102,581458,1
103,2056315,0.99
104,876298,0.96
105,3783381,0.96
106,654388,1
107,566062,0.99
108,2364220,0.93
109,604896,1
110,856410,0.98
111,680024,0.98
112,1421159,0.93
113,741668,0.99
114,710693,1
115,604963,1
116,1951821,0.97
117,511345,1
118,574730,1
119,1999030,0.99
120,612537,1
121,472929,1
122,1074296,1
123,617485,0.97
124,773917,0.91
125,1523217,0.93
126,1521532,1
127,1126062,1
128,1351151,0.96
129,748481,1
130,745483,0.94
131,1205101,0.97
132,1524891,0.91
133,749490,0.96
134,1415107,0.94
135,2637783,0.97
136,593163,1
137,600185,1
138,613231,0.98
139,609892,1
140,660392,0.96
141,681119,0.95
142,526143,0.98
143,743647,0.98
144,854498,0.97
145,694488,1
146,664846,0.98
147,717250,0.99
148,2045352,0.98
149,1148357,1
150,1435718,0.97
151,472454,1
152,633082,1
153,998130,0.98
154,772699,0.97
155,325252,1
156,1116098,0.98
157,607636,1
158,391607,1
159,966966,1
160,532433,1
161,677188,0.99
162,664970,0.96
163,569801,1
164,1498580,0.98
165,1779602,1
166,1379946,1
167,1270931,1
168,1963773,0.97
169,1845119,0.99
170,692185,1
171,657557,0.95
172,588471,1
173,607579,1
174,632521,1
175,508919,1
176,935716,0.98
177,473606,0.99
178,457714,1
179,767407,0.95
180,924908,0.99
181,1336858,0.93
182,1364730,0.99
183,754771,0.99
184,739517,0.99
185,572808,0.89
186,540464,1
187,592268,1
188,1792307,1
189,903894,0.98
190,1093660,0.96
191,491039,1
192,1354576,0.9
193,662182,0.96
194,1065465,0.99
195,1332147,0.98
196,1289192,1
197,574159,1
198,621663,1
199,1503652,0.98
200,1005923,0.99
201,1074933,0.97
202,1084078,1
203,1252708,0.93
204,1299384,0.96
205,859902,0.98
206,678130,0.98
207,1703296,0.97
208,843469,0.94
209,1358497,1
210,784994,0.94
211,1686092,0.98
212,2733673,0.87
213,876907,1
214,585741,1
215,694098,0.98
216,681594,1
217,847066,0.99
218,772680,0.98
219,681870,0.99
220,789019,0.99
221,510203,1
222,629828,1
223,1549004,0.94
224,1020740,0.95
225,789685,1
226,1251662,0.97
227,532442,1
228,762289,0.98
229,774307,0.95
230,700036,0.99
231,892142,0.91
232,1307644,1
233,1075504,0.94
234,728393,0.94
235,2695592,0.97
236,764535,0.92
237,1069652,0.9
238,1221716,1
239,568745,1
240,992078,0.97
241,582001,0.98
242,2477850,0.99
243,595275,1
244,1331567,1
245,2254798,0.97
246,2106445,0.98
247,487556,0.99
248,968288,0.96
249,1817562,0.96
250,579707,1
251,627753,1
252,1187630,0.98
253,728917,1
254,552987,1
255,1185345,0.99
256,990593,0.97
257,526609,1
258,672402,1
259,584322,1
260,811752,1
261,1899560,1
262,585617,1
263,651971,1
264,1213351,0.96
265,3132513,1
266,462405,1
