query_id,recall,m_LID,M_Graph,M_RC
2500,0.9,11.8472,2.9507,0.647552
2501,0.7,18.0627,3.08218,0.871883
2502,1,8.54382,3.16671,0.366802
7500,0.4,21.8846,2.70862,0.85698
0,0.2,27.7932,3.29999,1.02014
2503,0.4,22.0587,3.12447,1.01723
5000,0.2,23.0642,2.82528,1.10179
1,0.8,22.9821,2.93644,0.89843
7501,0.9,14.6023,3.04597,0.932707
2504,0.8,17.3573,3.0054,0.867811
5001,1,8.01537,2.93291,0.273932
2,0.9,16.6236,2.99313,0.809887
7502,0.9,15.2789,2.94925,0.635597
2505,1,7.66877,2.82097,0.292943
7503,0.8,13.9306,2.93031,0.756065
3,0.2,26.4939,3.35015,1.08132
5002,0.2,19.6816,3.20793,1.05335
2506,1,11.9567,3.0751,0.745634
7504,1,10.9391,2.83929,0.764298
2507,1,7.37356,2.71537,0.381773
4,0.9,15.9642,3.22212,0.952375
5003,0.8,16.4373,3.24612,0.89659
5,0.9,19.1046,3.2649,1.07104
7505,0.5,16.6258,2.82364,1.00262
2508,0.4,22.7827,2.91668,1.04965
5004,1,3.24823,3.02549,0.245744
6,1,12.006,3.20431,0.683039
7506,0.7,16.6486,3.29576,0.788779
5005,1,10.0844,3.09016,0.841921
2509,1,11.4529,3.37628,0.728806
7,0.3,21.4444,3.12075,1.07679
7507,0.2,23.467,3.12677,1.11063
2510,1,9.35656,2.87983,0.422219
5006,0.8,19.5812,2.94968,0.903149
8,1,8.16743,3.29768,0.488028
2511,1,13.1566,2.86464,0.6454
7508,0.1,26.0264,2.93284,1.14908
5007,1,6.57106,2.86577,0.355221
2512,0.8,22.761,3.32693,1.00355
9,0.7,17.927,2.9026,0.957203
7509,0.1,20.2248,3.4186,1.14216
5008,0.2,24.6781,2.88597,1.03181
10,1,7.44265,3.05228,0.587251
2513,0.7,18.3586,3.01985,0.700498
2514,1,10.8117,3.13025,0.520904
7510,0.2,23.6228,2.7751,1.07436
2515,0.9,19.2958,3.13406,0.438764
5009,0.3,18.6573,3.62066,1.00222
7511,1,10.8678,2.78556,0.650382
11,0.1,29.3802,3.30911,1.10774
2516,0.6,20.3522,3.13009,0.983662
7512,1,8.67069,2.78118,0.492074
7513,0.7,20.0281,2.85065,0.90697
12,0.4,18.1688,3.11828,0.658596
5010,0.4,19.7743,2.83782,1.09831
2517,0.9,10.1448,3.16613,0.718447
7514,0.8,17.5987,2.90888,0.828965
13,1,11.1907,2.82239,0.81447
5011,0,27.7736,2.91404,1.21778
2518,0.1,21.0815,3.0147,1.0799
14,1,3.9938,2.68691,0.19515
7515,0.9,22.3258,2.7932,0.822101
2519,0.1,21.2017,2.95972,1.10129
7516,0.9,12.5736,2.84757,0.577991
15,0.9,17.2366,2.80458,0.79444
5012,0.3,26.7392,2.80988,1.05458
2520,1,9.89451,2.78256,0.529372
16,1,4.53658,2.70007,0.324797
7517,1,12.9067,2.83597,0.687781
5013,1,6.53463,2.76941,0.343533
2521,1,13.9315,2.75906,0.820466
17,0.8,15.2795,3.23502,0.718986
7518,0.4,21.3618,3.56524,1.0487
5014,0,24.9723,2.70387,1.18627
2522,0.2,15.7436,3.01664,0.671746
18,0.8,8.91694,2.98755,0.500394
7519,0.8,15.7113,2.88809,0.740467
2523,1,8.23957,2.95918,0.540358
5015,0.8,16.5134,3.18641,0.955322
7520,0.7,17.7772,2.96459,0.871689
19,0.9,21.3622,3.29364,0.658531
2524,1,10.7784,3.08177,0.507543
5016,0.8,17.9876,2.91756,0.757932
2525,0.3,26.4472,2.89775,1.02027
7521,0.5,27.2707,3.29758,0.981284
5017,0.8,14.7825,3.15964,0.645886
20,0.7,17.5016,3.07909,0.879978
2526,0.8,10.3873,2.78147,0.814373
7522,0.1,24.4966,2.88631,1.05259
5018,1,6.20417,2.56678,0.493615
7523,0.9,16.2556,2.87097,0.604919
2527,0.5,19.9659,3.00051,0.984067
21,0.6,16.2341,3.30386,0.916704
5019,0.5,17.6428,3.44145,0.928186
7524,0.8,19.6949,3.30102,0.894961
2528,0.6,7.21273,2.77774,0.470577
22,0.4,20.9728,2.68051,1.05175
7525,0.8,13.8306,3.20853,0.673744
2529,0.7,15.0618,2.82417,0.736382
5020,0.6,24.8225,2.76339,0.938261
23,1,11.6454,2.78207,0.394619
7526,1,14.4539,3.35182,0.692369
2530,0.8,16.9553,3.14295,0.891713
5021,0.5,19.5504,2.89165,1.04158
24,0.4,19.3345,3.14114,1.00002
7527,1,9.61794,3.04035,0.595231
2531,0.8,18.3011,3.33374,0.813945
5022,0.7,10.3797,3.28349,0.724909
25,1,14.8222,2.76361,0.83202
7528,0.7,11.5296,3.35123,0.735643
2532,0.4,17.561,2.91051,0.86264
26,0.9,15.7383,3.24269,0.608965
5023,0.4,29.7527,2.73155,1.06884
7529,0.9,21.1959,2.80585,0.585442
2533,0.9,13.5374,3.19616,0.50151
5024,0.9,9.30319,2.72045,0.765934
2534,1,10.0688,3.00999,0.844372
27,0.4,23.7168,3.11234,0.982412
7530,0.8,12.1348,3.41059,0.534583
5025,1,6.51199,2.70309,0.560297
7531,1,14.445,2.70275,0.670655
2535,0.5,23.0738,2.77369,0.956774
28,0.8,15.3729,2.78809,0.641408
5026,1,14.2425,2.8346,0.917248
7532,1,11.4844,3.07513,0.667107
2536,0.7,20.109,3.03156,0.911743
5027,0.8,17.5698,3.48214,0.911084
29,0.4,17.5972,2.90377,0.996074
7533,1,11.7742,2.75723,0.595138
2537,1,10.9443,3.13164,0.769483
30,1,16.4665,2.89136,0.816088
5028,0.5,15.9161,3.23399,0.764077
2538,0.6,19.4077,3.47416,0.767121
5029,1,12.018,2.97938,0.590901
2539,1,8.80965,3.1169,0.253044
