query_id,recall,m_LID,e_eps01,e_eps02,e_eps05
2500,0.9,11.8472,1,2,13
5625,1,4.1806,1,1,1
0,0.2,27.7932,12,32,32
8750,1,8.36596,1,1,1
6875,0.9,12.0071,1,1,4
4375,0.4,26.7259,12,32,32
9375,1,12.7555,3,9,32
6876,1,13.1307,1,1,32
1250,0.2,23.3796,4,32,32
2501,0.7,18.0627,5,23,32
8125,1,13.4592,2,7,32
8751,0.8,14.3137,1,7,32
1,0.8,22.9821,5,32,32
5626,0,28.0698,10,32,32
9376,0.8,12.5672,4,13,32
6877,0.9,7.72764,1,1,3
3125,1,22.7982,17,32,32
2502,1,8.54382,1,1,2
4376,0.5,22.9011,1,8,32
1875,0.9,10.446,2,2,26
1251,0.9,11.5602,1,2,13
5000,0.2,23.0642,14,32,32
5627,1,10.6893,7,18,32
2,0.9,16.6236,4,12,32
8126,1,6.63506,2,3,7
9377,0.8,18.0666,8,32,32
2503,0.4,22.0587,8,32,32
6878,0.7,17.6931,2,3,32
3126,0.8,16.8156,1,5,32
5001,1,8.01537,1,2,15
8752,0.5,18.3984,3,23,32
1876,0.8,10.4927,1,1,7
5628,1,5.03912,3,3,18
4377,0.2,27.3657,9,32,32
3,0.2,26.4939,11,32,32
1252,0.2,27.1097,9,32,32
8127,0.3,24.7104,3,19,32
2504,0.8,17.3573,6,29,32
9378,0.8,9.82612,1,2,3
3127,1,16.5161,1,8,32
6879,0.6,21.0192,14,32,32
1877,0.6,10.0807,1,1,2
5002,0.2,19.6816,4,24,32
4378,1,12.8662,3,9,32
8753,0.3,21.8056,2,13,32
2505,1,7.66877,1,1,13
1253,0.9,16.318,2,15,32
5629,1,10.5392,1,1,4
4,0.9,15.9642,12,32,32
9379,1,4.88181,1,1,2
8128,0.2,22.6247,8,32,32
4379,1,5.5423,1,1,1
1878,0.9,16.6221,4,13,32
2506,1,11.9567,5,10,32
6880,0,32.4396,32,32,32
9380,1,13.946,1,10,32
