QueryID,EF,Latency(ns),Recall
0,2090,17132971,0.99
1,1166,15925808,0.939
2,2902,44330860,0.916
3,1970,29975927,0.845
4,1166,9536054,0.991
5,1621,18018580,0.979
6,1174,11069427,0.988
7,2730,33960715,0.97
8,1166,8937835,0.998
9,1661,16318786,0.972
10,1665,13120815,0.995
11,1175,9752794,0.985
12,1166,12008503,0.964
13,1166,12230257,0.988
14,1166,9553956,0.985
15,1166,13622875,0.959
16,1166,8849818,0.992
17,1255,9114758,0.994
18,1166,12180681,0.988
19,1166,7296833,0.998
20,1166,15460656,0.989
21,1500,17352807,0.969
22,1166,10353112,0.994
23,1166,14036387,0.984
24,1513,16293887,0.974
25,1467,11642970,0.994
26,1166,8247550,0.996
27,1324,15713406,0.969
28,1166,10216514,0.987
29,1166,12065096,0.974
30,1494,13606836,0.954
31,1166,10689086,0.949
32,1166,11917886,0.981
33,1166,12339839,0.936
34,1166,9878118,0.993
35,1166,11127974,0.983
36,1166,10399167,0.994
37,1166,9083913,0.999
38,1166,9094147,0.99
39,2001,32993903,0.892
40,1500,14471589,0.964
41,1487,14349139,0.961
42,1240,12203852,0.978
43,1166,7914919,1
44,2268,16025114,0.996
45,1166,9103561,0.997
46,1166,11615959,0.997
47,1388,11481259,1
48,2312,23994000,0.958
49,1166,9554166,0.992
50,1166,13204551,0.947
51,2500,23611099,0.999
52,1875,20607950,0.982
53,1428,14119180,0.992
54,1166,15059514,0.998
55,1166,10425363,0.993
56,1469,8248966,0.998
57,1166,14456986,0.984
58,1751,11968788,0.998
59,1166,9218663,0.981
60,1166,8698604,0.999
61,1166,12696251,0.976
62,1166,9755902,0.99
63,1834,21513996,0.906
64,1166,9472067,0.994
65,1302,11927861,0.971
66,1166,9037065,0.991
67,1166,7900134,0.995
68,1166,9843396,0.974
69,1166,10473758,0.995
70,1166,13481406,0.989
71,1166,7453827,0.99
72,1166,11704617,0.985
73,1166,12278699,0.971
74,1166,14363379,0.993
75,1166,12423121,0.918
76,1166,10123535,0.997
77,1166,7398475,0.995
78,1166,9822611,0.987
79,1166,11271506,0.977
80,1467,15119964,0.981
81,1166,11620464,0.977
82,1958,25682393,0.9
83,2676,39238633,0.8
84,2720,39287738,0.73
85,2645,31174288,0.875
