QueryID,EF,Latency(ns),Recall
0,253,1074779,1
1,253,846248,1
2,253,1044613,1
3,253,833997,1
4,269,1080411,0.97
5,253,889066,1
6,253,791783,0.93
7,514,1823473,0.97
8,253,943385,0.99
9,281,1078207,0.96
10,295,1090731,0.99
11,253,680953,1
12,253,975878,0.98
13,253,837803,0.99
14,253,934158,1
15,398,1412738,0.98
16,636,2409487,0.96
17,253,995877,0.96
18,497,1878533,0.96
19,253,1025764,1
20,253,957430,1
21,253,486512,1
22,253,894445,1
23,267,1044057,0.98
24,641,2207979,0.95
25,253,907460,1
26,253,883996,0.99
27,635,2264614,0.97
28,342,1363650,0.95
29,253,407184,1
30,1151,3962166,1
31,253,781580,1
32,450,1545907,0.96
33,253,923566,0.98
34,253,536590,1
35,723,2256969,0.99
36,506,1834013,0.98
37,253,781602,1
38,253,797264,1
39,262,1011633,0.96
40,1436,4921909,0.98
41,253,883669,1
42,253,852582,1
43,253,885609,1
44,440,1624188,0.97
45,1128,3872475,0.92
46,253,933695,1
47,253,424071,1
48,751,2674188,0.97
49,427,1621448,0.89
50,319,1250226,0.97
51,253,1001627,0.99
52,253,872519,1
53,253,845092,0.99
54,910,3252926,0.97
55,253,853827,0.98
56,253,723879,1
57,1162,3897661,0.97
58,253,869512,1
59,253,730303,1
60,269,1028206,0.98
61,273,1015285,0.96
62,253,985168,0.99
63,933,3222625,0.94
64,253,789368,1
65,253,824184,1
66,276,1179376,0.95
67,639,2303419,1
68,364,1429169,0.98
69,530,1945575,0.89
70,326,1256513,0.97
71,253,828215,1
72,373,1349611,0.97
73,253,841186,0.99
74,253,942072,0.94
75,332,1181028,0.98
76,280,1084589,0.99
77,253,806066,1
78,309,1150956,0.98
79,253,948014,0.98
80,284,1123485,0.97
81,253,672358,1
82,253,883008,1
83,253,1055965,0.98
84,522,1928646,0.97
85,253,867204,1
86,253,932135,0.99
87,253,586818,1
88,409,1428153,0.97
89,724,2173845,1
90,253,1004937,0.95
91,2396,7436794,0.97
92,436,1536179,0.98
93,1813,5972443,0.96
94,253,917343,1
95,253,1064553,0.98
96,253,371987,1
97,253,654767,1
98,277,1084090,0.89
99,253,830287,1
100,253,819682,1
101,253,997873,0.99
102,253,836059,1
103,897,3096604,0.99
104,361,1338616,0.97
105,1855,6321419,0.98
106,253,933692,1
107,253,841103,0.99
108,1300,4375825,0.95
109,253,879416,1
110,306,1116641,0.98
111,253,946528,0.98
112,763,2599831,0.95
113,253,942824,0.99
114,253,940568,1
115,253,932922,1
116,953,3011011,0.98
117,253,683913,1
118,253,771784,1
119,746,2410877,0.99
120,253,801532,1
121,253,698773,1
122,648,2043101,1
123,253,883906,0.97
124,355,1258121,0.91
125,855,2951734,0.96
126,668,2246474,1
127,287,1065138,0.98
128,568,1935879,0.96
129,253,1020494,1
130,253,1004170,0.94
131,300,1260165,0.91
132,651,2191512,0.91
133,253,978073,0.97
134,677,2355409,0.96
135,909,3107245,0.97
136,253,841551,1
137,253,869503,1
138,253,922603,0.98
139,253,869396,1
140,253,975007,0.96
141,253,1006060,0.95
142,253,789935,0.98
143,253,1053343,0.97
144,326,1200669,0.97
145,253,935780,1
146,253,825637,0.98
147,253,965052,0.99
148,872,2842850,0.98
149,325,1068691,1
150,462,1665099,0.97
151,253,629026,1
152,253,993452,1
153,416,1533680,0.98
154,281,1083926,0.97
155,253,469175,1
156,253,1061508,0.96
157,253,888757,1
158,253,524129,1
159,253,1023052,0.99
160,253,783294,1
161,253,954583,0.99
162,253,886670,0.98
163,253,768986,1
164,624,2200973,0.98
165,803,2866186,1
166,332,1213506,0.96
167,558,1883641,1
168,1010,3412497,0.99
169,747,2718868,0.99
170,253,938452,1
171,253,1003082,0.95
172,253,866454,1
173,253,917005,1
174,253,844360,1
175,253,767906,1
176,411,1362117,0.98
177,253,676869,0.99
178,253,685776,1
179,263,1009257,0.96
180,253,829819,0.99
181,880,2487929,0.96
182,620,2129220,0.99
183,253,1034170,0.99
184,253,958446,0.99
185,253,886364,0.91
186,253,767062,1
187,253,894113,1
188,816,2623070,1
189,368,1245342,0.98
190,312,1247353,0.96
191,253,678278,1
192,876,2835604,0.96
193,253,980845,0.96
194,382,1410782,0.99
195,635,2209526,0.98
196,377,1322529,0.98
197,253,736291,1
198,253,641353,1
199,563,2020707,0.98
200,270,1035714,0.98
201,332,1313836,0.96
202,265,1030079,1
203,512,1854480,0.93
204,480,1634882,0.98
205,253,965041,0.98
206,253,879679,0.99
207,555,1941647,0.95
208,265,1055824,0.96
209,419,1555363,0.99
210,253,937044,0.94
211,399,1338892,1
212,1393,4609669,0.88
213,295,974301,1
214,253,859877,1
215,331,1188392,0.99
216,253,796559,1
217,315,992860,0.99
218,253,924707,0.99
219,253,830360,0.99
220,253,997882,0.99
221,253,679758,1
222,253,851302,1
223,527,1642000,0.93
224,312,1150209,0.93
225,253,989931,1
226,371,1356054,0.97
227,253,631619,1
228,253,965955,0.98
229,381,1421014,0.97
230,253,920957,1
231,449,1571821,0.96
232,286,1090889,0.98
233,881,2838121,1
234,253,983074,0.94
235,854,2639385,0.96
236,253,1015886,0.92
237,506,1690937,0.96
238,677,2298768,1
239,253,776857,1
240,299,1108177,0.96
241,253,738384,0.99
242,735,2391388,0.99
243,253,626127,1
244,253,951970,0.99
245,1279,3949730,0.99
246,1063,3316117,1
247,253,700820,0.99
248,274,1097810,0.96
249,683,2346368,0.96
250,253,797296,1
251,253,876244,1
252,432,1469408,0.97
253,253,797479,1
254,253,834649,1
255,253,955387,0.98
256,453,1626997,0.98
257,253,764399,1
258,253,917265,1
259,253,862129,1
260,253,782964,1
261,453,1580310,0.95
262,253,882713,1
263,253,994178,1
264,608,2092409,0.97
265,360,1145388,0.95
266,253,700022,1
267,253,747627,1
268,272,997685,0.96
269,767,2642998,0.95
270,253,1020903,0.93
271,479,1730550,0.97
272,253,859267,1
273,253,942032,0.99
274,431,1496723,0.99
275,253,864146,1
276,253,959207,0.98
277,433,1473353,0.94
278,253,858971,1
279,253,796984,1
280,253,1048267,0.95
281,488,1639523,0.94
282,624,2220724,0.87
283,253,925388,0.98
284,721,2329495,0.97
285,253,868301,0.92
286,842,2835985,1
287,253,723429,1
288,523,1683165,1
289,253,881538,1
290,253,823293,1
291,777,2616988,0.99
292,263,833099,0.94
293,385,1361179,0.99
294,839,2760210,0.96
295,253,980133,0.97
296,253,923225,0.98
297,253,864455,0.99
298,253,637840,1
299,267,935665,1
300,253,1000993,0.97
301,1258,4245913,0.95
302,479,1719963,0.97
303,301,1150040,0.95
304,253,972338,0.98
305,467,1641204,0.97
306,253,1028275,0.99
307,253,595070,0.97
308,253,849008,1
309,498,1764439,0.94
310,312,1245182,0.94
311,253,1034848,0.97
312,253,935447,0.99
313,280,1114326,0.95
314,288,1035240,0.99
315,303,1086790,0.99
316,780,2764662,0.97
317,253,1018009,0.97
318,253,870127,0.99
319,2443,7511881,0.95
320,253,1017615,0.99
321,705,2212500,0.99
322,253,879452,1
323,253,831664,1
324,294,1196928,0.93
325,253,696301,1
326,253,860664,0.99
327,3189,10903395,0.96
328,293,1092874,0.99
329,253,588205,1
330,635,2296724,0.98
331,506,1827186,0.93
332,253,917387,1
333,253,963522,0.96
334,269,976316,0.99
335,253,626324,1
336,274,1036315,0.98
337,653,2100521,1
338,253,802316,1
339,405,1398315,0.97
340,253,765375,1
341,253,918557,0.99
342,253,937800,0.99
343,384,1378977,0.96
344,253,939122,0.97
345,253,943341,0.99
346,253,741623,0.99
347,253,715684,1
348,635,2253415,0.99
349,253,902615,0.98
350,253,893802,0.95
351,253,969077,1
352,253,600538,1
353,385,1349071,1
354,541,1769004,0.98
355,253,958417,0.98
356,440,1424340,0.99
357,971,2956977,0.98
358,253,856940,1
359,547,1785312,0.97
360,253,903214,1
361,253,864423,0.98
362,357,1288378,0.96
363,253,935830,0.98
364,307,1123524,0.96
365,253,925905,0.97
366,253,866893,0.99
367,253,883427,0.99
368,253,849785,1
369,253,983891,0.99
370,1128,3646486,0.97
371,555,1842093,0.97
372,399,1406961,0.98
373,499,1682481,0.99
374,794,2403318,0.97
375,253,860500,0.99
376,253,933949,0.99
377,253,690781,1
378,253,782734,1
379,253,786732,0.98
380,253,917414,0.99
381,253,721510,1
382,293,1095506,1
383,253,859150,0.99
384,253,864889,0.98
385,374,1258564,0.92
386,1354,4345657,0.99
387,253,953460,0.98
388,501,1766912,0.97
389,253,1001703,0.99
390,253,901513,0.99
391,442,1390092,0.99
392,415,1383839,1
393,596,2030859,0.96
394,292,1096398,0.98
395,1177,3521361,0.96
396,253,730088,1
397,253,969963,0.96
398,253,861650,0.98
399,324,1071257,0.99
400,670,2319372,0.93
401,253,938198,1
402,253,850346,1
403,486,1531205,0.97
404,253,830751,1
405,272,981899,0.96
406,562,1955552,1
407,279,1071531,0.95
408,253,698380,1
409,275,1023425,0.96
410,253,926433,1
411,253,987998,0.97
412,306,1082302,0.97
413,253,901501,0.96
414,287,1095899,0.97
415,253,827626,1
416,350,1212166,0.99
417,557,1908691,0.98
418,253,850046,1
419,253,967721,0.99
420,253,814449,0.99
421,335,1203343,0.99
422,253,889605,1
423,444,1501655,0.97
424,253,733692,1
425,253,742252,1
426,458,1582399,0.98
427,253,891922,1
428,253,831403,1
429,253,791254,1
430,253,663234,1
431,253,863557,1
432,388,1374885,1
433,272,1038404,0.99
434,253,964287,0.95
435,253,764426,0.99
436,269,1081309,0.97
437,253,920380,1
438,283,985267,1
439,331,1220291,1
440,792,2301282,0.99
441,253,857739,1
442,512,1733802,0.96
443,253,771727,1
444,253,638193,1
445,253,819039,0.97
446,253,960430,0.97
447,577,1917336,0.98
448,253,872231,1
449,290,1114314,0.98
450,256,1016895,0.95
451,253,658801,1
452,253,791107,1
453,843,2841651,0.95
454,253,883158,1
455,253,839853,0.97
456,253,1022396,0.99
457,253,864288,1
458,253,861122,0.96
459,253,872551,1
460,253,943719,0.98
461,253,897642,0.96
462,253,873657,0.98
463,253,846692,1
464,253,801409,1
465,253,924673,1
466,253,972530,0.98
467,408,1396069,0.97
468,520,1701991,0.96
469,253,990281,1
470,253,832280,1
471,253,800040,1
472,732,2133400,0.99
473,410,1395328,1
474,253,716855,1
475,253,885861,1
476,304,1089186,1
477,253,785548,0.99
478,550,1630228,0.94
479,253,901977,1
480,253,753237,1
481,850,2847544,0.93
482,253,889710,1
483,275,1037368,0.9
484,308,1094705,0.98
485,629,2085641,1
486,253,899026,0.99
487,253,688143,1
488,584,1854702,0.98
489,253,812041,1
490,253,885246,0.99
491,253,943872,1
492,253,692985,1
493,253,766569,1
494,253,853002,0.99
495,923,2913904,0.99
496,255,945278,0.98
497,253,790913,0.99
498,253,1007018,0.96
499,315,1187347,0.97
500,420,1495604,0.96
501,434,1624041,0.98
502,253,828764,1
503,253,754428,1
504,253,993652,0.96
505,253,5240172,1
506,482,2129308,1
507,442,1917931,0.97
508,596,2531567,0.99
509,281,1372033,0.97
510,253,1284122,0.96
511,253,664061,1
512,253,994034,1
513,253,1203393,1
514,1892,6588047,0.98
515,458,2093113,0.96
516,253,1099402,0.99
517,253,1045461,1
518,253,875288,0.98
519,253,958490,1
520,1437,5748219,1
521,564,2078691,0.99
522,253,1041055,0.98
523,253,912900,0.99
524,253,1112553,1
525,253,1088950,0.99
526,372,1849870,0.95
527,303,1293046,0.99
528,253,1069553,1
529,282,1289288,0.99
530,253,859039,1
531,253,1134491,1
532,1341,5363662,0.99
533,253,969285,1
534,931,3976710,0.94
535,266,1220595,1
536,253,1160804,0.94
537,253,1220574,0.99
538,253,1005426,0.99
539,253,887827,1
540,253,911897,1
541,253,1253856,0.92
542,253,898112,1
543,253,1173998,1
544,367,1706255,0.97
545,253,1263234,0.99
546,253,933834,1
547,253,586733,1
548,253,1007016,0.97
549,794,3140870,0.99
550,576,2342828,0.99
551,267,1189403,0.97
552,1629,6666378,0.95
553,708,2437838,0.98
554,618,2308065,0.97
555,253,800040,1
556,253,1046439,1
557,528,2302245,0.97
558,309,1380583,0.99
559,253,599942,1
560,253,587177,1
561,253,1103659,0.95
562,253,1124607,1
563,253,1171768,0.98
564,582,2405439,0.98
565,253,1085564,0.98
566,253,1064219,0.97
567,253,997472,1
568,305,1410554,0.96
569,253,1033155,1
570,1492,5869506,0.99
571,560,2380694,0.92
572,253,1220900,0.99
573,384,1704184,0.98
574,327,1319828,0.97
575,253,1245699,0.97
576,877,3612410,0.95
577,306,1325579,0.98
578,902,3728349,0.95
579,651,2774509,0.99
580,618,1436113,0.91
581,253,1121164,0.98
582,256,1083663,0.99
583,253,1130372,0.97
584,274,1077299,0.97
585,253,1069103,0.99
586,424,1730536,0.97
587,478,2040095,0.99
588,453,1716163,0.99
589,257,1287044,0.96
590,465,1808923,0.99
591,1251,4886329,0.93
592,768,2945794,0.99
593,253,805527,1
594,418,1636129,0.98
595,346,1597722,0.97
596,604,2451321,0.99
597,253,943101,1
598,253,1076097,0.97
599,253,957974,1
600,253,813532,1
601,253,1122351,0.98
602,386,1647394,0.97
603,253,816301,1
604,253,902630,1
605,253,709354,1
606,253,1068274,1
607,253,975111,1
608,253,1202761,0.96
609,253,984498,0.99
610,253,505490,1
611,253,456388,1
612,253,1091843,0.99
613,253,1033412,0.99
614,740,2688898,0.99
615,443,1758004,0.96
616,253,922489,0.97
617,253,899836,1
618,266,1214093,0.97
619,1340,5000628,1
620,679,2819734,0.94
621,253,881626,0.98
622,446,1761360,0.96
623,253,1130665,0.99
624,253,1198122,0.95
625,424,1626985,0.98
626,253,864001,1
627,428,1571413,0.99
628,253,1166487,0.94
629,253,902795,1
630,1188,4174571,0.97
631,253,1029670,1
632,253,956415,0.99
633,253,767567,0.99
634,253,1175409,0.95
635,584,2372941,0.99
636,253,810689,1
637,421,1791791,0.99
638,253,1052466,0.99
639,253,1132640,0.98
640,408,1590939,0.96
641,379,1545802,0.99
642,389,1552010,0.97
643,253,1097674,0.96
644,253,954577,0.98
645,253,907980,1
646,253,1000043,0.99
647,253,715591,1
648,253,776532,0.99
649,253,1127585,0.94
650,1000,3624955,0.97
651,253,959066,1
652,253,961132,1
653,253,963958,0.99
654,253,945950,1
655,253,906783,1
656,262,1112122,0.99
657,359,1543283,0.95
658,253,1022621,1
659,353,1219544,1
660,253,971025,1
661,278,1195965,0.95
662,253,696089,1
663,253,1046814,0.99
664,351,1421329,0.97
665,648,2513695,0.97
666,253,1050918,0.98
667,644,2474620,0.99
668,253,1075340,0.99
669,253,1043838,1
670,253,769990,1
671,253,867286,1
672,253,1131708,0.99
673,628,2449089,0.92
674,253,1075999,1
675,339,1409807,0.99
676,253,877981,0.97
677,279,1194172,0.98
678,253,855165,1
679,705,2443655,0.99
680,636,2411776,0.97
681,1559,5605606,0.93
682,273,1180582,0.95
683,254,1098120,0.98
684,721,2421188,0.88
685,253,1102718,1
686,253,1162884,1
687,571,2077949,0.97
688,699,2205054,0.96
689,451,1877971,0.95
690,525,2044768,0.95
691,455,1698048,0.99
692,253,602490,1
693,253,1032547,0.98
694,253,1040325,0.98
695,253,1025785,0.99
696,253,812493,1
697,253,1059678,0.98
698,1172,4272663,0.93
699,253,1067300,0.95
700,657,2446538,1
701,366,1540490,0.97
702,253,475059,1
703,253,939017,0.98
704,253,1045924,0.98
705,253,1149330,0.97
706,253,952342,0.98
707,253,1134712,0.97
708,253,936251,0.99
709,253,847342,0.99
710,253,1025296,0.96
711,253,869744,1
712,253,933274,1
713,253,1001607,1
