QueryID,EF,Latency(ns),Recall
0,536,36988697,1
1,536,3477189,1
2,536,2322203,1
3,581,3760725,0.99
4,935,5969905,0.93
5,536,2579508,0.99
6,536,3380584,0.95
7,584,4089268,0.97
8,543,2878377,1
9,536,3284153,1
10,536,1993871,1
11,536,1875497,1
12,630,3740186,0.98
13,636,3116346,0.89
14,842,5432168,0.97
15,536,2991306,1
16,536,1711216,1
17,536,2981280,0.99
18,1010,6186547,0.96
19,536,2254646,1
20,536,3685603,0.99
21,536,3926364,0.91
22,988,7398623,0.95
23,864,6136279,0.97
24,536,2690904,1
25,847,6014913,0.92
26,2335,14949582,1
27,860,6550364,0.92
28,847,5167159,0.98
29,536,2988488,1
30,536,2953792,1
31,1000,8663233,0.98
32,600,5398243,0.97
33,536,3505430,1
34,536,2926119,1
35,536,3687688,0.98
36,954,3632656,0.99
37,885,5084500,0.96
38,536,2109123,0.99
39,1083,7904217,0.96
40,536,2199706,1
41,1929,9873886,0.99
42,536,2441678,1
43,536,2667905,0.99
44,536,2245190,0.99
45,536,2576303,1
46,938,4213693,1
47,536,2297982,1
48,536,3430870,0.97
49,663,4028028,1
50,536,3140869,0.99
51,642,3672483,1
52,536,3061828,0.98
53,660,3582948,0.99
54,536,2222163,1
55,536,3225401,1
56,536,2388105,1
57,536,2545463,1
58,536,2555104,0.99
59,536,3127915,0.99
60,653,4505253,0.98
61,998,6422506,0.99
62,1167,7950298,0.95
63,566,3921205,0.96
64,816,4772639,0.98
65,536,3763094,1
66,536,2451199,1
67,972,5777494,1
68,1162,7439323,0.94
69,536,3207516,1
70,536,2941801,0.99
71,939,5520941,0.99
72,1184,7508147,0.97
73,536,2943720,0.97
74,536,2726160,1
75,602,3471735,1
76,536,2967279,0.98
77,625,4245000,0.99
78,536,3110902,0.99
79,845,6192524,0.95
80,536,3307326,1
81,604,3666920,0.95
82,536,3181524,1
83,621,3867981,0.98
84,536,2857232,1
85,536,3437755,0.99
86,536,3639587,0.98
87,536,3341784,0.98
88,536,2895417,1
89,536,2741548,0.98
90,536,2947071,0.99
91,536,2622173,0.99
92,536,2809342,0.99
93,1019,6900539,0.97
94,536,3296832,0.98
95,540,3940880,0.98
96,536,1978189,1
97,536,1790634,1
98,536,2725049,0.99
99,536,4025329,0.95
100,645,4098008,0.92
101,536,3501326,0.99
102,567,3392143,0.93
103,536,3211639,0.93
104,536,3849728,0.99
105,637,4037596,0.96
106,878,5447996,0.9
107,536,2030559,1
108,872,5485217,0.97
109,536,2564350,0.97
110,536,1473512,1
111,536,2780642,1
112,536,2802870,0.94
113,536,2439043,1
114,1145,7029480,0.97
115,536,3331050,0.98
116,536,2556179,0.99
117,536,3035221,0.99
118,536,2576891,1
119,536,3327754,0.99
120,965,5635239,0.99
121,912,7917172,0.96
122,536,2965130,1
123,563,3983362,0.89
124,665,4510230,0.97
125,864,5368670,0.97
126,663,4127654,1
127,674,4473825,0.91
128,536,3208462,0.99
129,584,2787556,0.97
130,606,3577154,0.93
131,902,6385561,0.97
132,536,3216358,0.99
133,832,5603710,0.97
134,536,2743540,0.93
135,536,3774488,0.97
136,536,3575575,1
137,536,3360798,0.97
138,536,3369685,0.99
139,536,3375571,0.96
140,562,3891310,0.95
141,536,3230681,1
142,536,3699836,0.99
143,587,4163875,0.98
144,629,4611948,0.95
145,536,3717426,0.96
146,536,3327230,0.95
147,536,1930042,1
148,622,3942128,0.99
149,536,2093230,1
150,990,5782351,0.98
151,536,1764173,1
152,536,2795378,0.98
153,536,2405596,0.99
154,639,4389036,0.99
155,536,2464512,1
156,536,3399516,1
157,536,2522226,1
158,621,2408993,0.98
159,1597,8293403,0.97
160,536,1885623,1
161,536,1748015,1
162,536,2574853,1
163,536,2765979,1
164,536,2676664,1
165,536,3157983,0.96
166,1174,6998787,0.99
167,894,4440342,0.92
168,536,3502538,0.96
169,998,5572412,0.96
170,581,4042829,0.99
171,834,5075815,0.97
172,671,4644083,0.95
173,536,2681640,1
174,536,2431258,1
175,536,1840975,1
176,826,4553574,0.96
177,536,2850373,0.99
178,536,2242867,0.99
179,536,2369853,1
180,1032,5820893,0.97
181,865,5515680,0.96
182,536,2783543,0.99
183,866,6138552,0.95
184,665,4307734,0.94
185,1063,6522436,0.91
186,626,4080816,0.95
187,632,4045063,0.95
188,536,3146677,0.99
189,536,2244260,1
190,536,2001400,1
191,675,4340034,0.97
192,536,3282927,0.97
193,958,6550813,0.91
194,536,2212727,0.98
195,866,5812394,0.94
196,985,5579505,0.99
197,536,2984385,0.94
198,750,5020817,0.91
199,978,6238484,0.98
200,645,4620082,0.93
201,1457,8719960,0.98
202,851,5378736,0.93
203,536,3254280,0.94
204,536,2725879,1
205,536,2359032,0.99
206,849,5718199,0.93
207,1193,7562952,0.88
208,1170,6967653,0.99
209,609,3876504,0.95
210,623,4414589,0.96
211,851,5510226,0.95
212,554,3156478,0.94
213,623,4282126,0.94
214,769,4137976,0.95
215,990,5941393,0.95
216,924,6121205,0.93
217,566,3004917,0.97
218,1151,5987958,0.99
219,804,4792798,0.93
220,738,4652923,0.97
221,536,3343955,0.91
222,775,5494834,0.93
223,952,6596260,0.94
224,624,4073674,0.99
225,536,3629946,0.91
226,536,2159642,0.96
227,914,6086805,0.94
228,1010,7346547,0.95
229,536,3606790,0.97
230,665,4461667,0.99
231,1190,6943135,0.98
232,674,4063403,0.98
233,664,3195388,0.99
234,959,5416510,0.96
235,563,2636626,0.97
236,812,5140402,0.96
237,852,5500740,0.9
238,637,3867171,0.99
239,1981,10123428,1
240,602,3654626,0.98
241,924,5438575,0.96
242,623,4196201,0.96
243,768,4272576,0.97
