QueryID,EF,Latency(ns),Recall
0,3634,10935198,0.99
1,1806,4736595,0.99
2,2772,5745468,1
3,4859,12331517,0.96
4,4877,12091197,1
5,5000,13410631,0.93
6,1404,3021929,1
7,4595,12374053,0.88
8,1404,3501492,0.98
9,4618,11460759,0.96
10,1404,2758412,1
11,3958,10039874,0.95
12,1404,3148759,1
13,1404,3323685,0.98
14,1404,2385782,1
15,1404,2556730,1
16,1404,2969553,1
17,1404,2871693,0.99
18,1581,3958304,0.98
19,1404,2378271,1
20,3995,9438823,0.98
21,3734,7778326,0.98
22,4497,10504059,0.99
23,1404,2514097,1
24,3667,9440883,0.9
25,1404,3536948,0.97
26,1404,2646906,1
27,3149,7720670,0.95
28,1404,3460971,0.92
29,4854,12532879,0.91
30,1404,3409066,0.98
31,2398,5864893,0.96
32,1404,3248303,0.99
33,1404,3315511,1
34,1404,3548319,0.99
35,1404,3343587,0.99
36,2210,5441918,0.97
37,1404,3179897,1
38,1404,3177706,0.99
39,4739,12321015,0.92
40,4646,11740741,0.96
41,4458,11367020,0.92
42,1404,3410924,1
43,1404,3031939,1
44,1404,3288491,1
45,1404,2789016,1
46,4936,12923495,0.94
47,2995,6442104,1
48,4709,10922598,0.99
49,1404,2746375,1
50,1404,3330141,1
51,1404,2603551,1
52,1404,3254557,0.98
53,1871,4515106,0.97
54,1404,2862156,1
55,2299,5980118,0.93
56,3695,7315040,1
57,1404,2472584,1
58,2373,5657359,1
59,4411,10789692,0.97
60,1404,2885500,1
61,1404,3077719,1
62,4683,12061930,0.93
63,1404,2770005,1
64,1462,3276886,0.96
65,3580,9003050,0.99
66,1404,2548708,1
67,1404,3210683,1
68,1404,2920624,1
69,4664,11678648,0.97
70,4617,12187370,0.94
71,1404,1812677,1
72,4837,8512925,1
73,1404,2843232,1
74,1404,2648116,0.99
75,1404,3128185,1
76,1404,3259135,1
77,2194,4832324,1
78,3966,10256891,0.99
79,4573,11058736,1
80,2858,7068042,0.97
81,1404,2826675,1
82,4749,11981650,0.94
83,1404,2402259,1
84,1404,3404601,0.99
85,1404,2518492,1
86,1404,3092737,1
87,1404,3333183,1
88,1404,2738115,1
89,1404,3670663,0.98
90,4752,12013242,0.93
91,1404,2844293,1
92,4592,11190876,0.97
93,1404,3397609,1
94,4667,11449773,0.9
95,1404,3445476,0.97
96,1404,3712875,1
97,1404,3016484,1
98,4798,12146060,0.96
99,1404,3038004,1
100,2504,6667310,0.95
101,4764,12467454,0.93
102,3763,9821798,0.96
103,1404,3336394,1
104,4694,11290803,0.99
105,1404,3862540,0.95
106,2359,5939400,0.99
107,1404,3208033,1
108,1404,3533365,1
109,2113,4402589,0.99
110,2650,6861860,0.96
111,1404,2453785,1
112,2439,5513605,1
113,4324,11552084,0.98
114,4851,12591266,0.96
115,4796,12833625,0.98
116,3343,8626227,0.97
117,3081,6986309,0.95
118,1404,2267099,1
119,4923,11543594,0.99
120,1404,2784030,1
121,1404,3595657,0.99
122,2206,5137526,0.95
123,4066,10893852,0.96
124,2715,5406667,1
125,1703,3716302,1
126,1404,3732595,0.9
127,4845,13180618,0.91
128,1404,2502476,1
129,1404,3102017,1
130,1404,2337845,1
131,1404,2694007,1
132,1404,3574551,1
133,1404,2082591,1
134,4855,10840333,0.98
135,4655,11489963,0.97
136,1404,3376582,0.95
137,1404,3676652,0.98
138,1404,2578420,1
139,3912,10349455,0.97
140,1404,2921470,1
141,1404,2440416,1
142,1404,3291118,1
143,1404,2150238,1
144,2795,6037259,0.99
145,4691,12157703,0.95
146,2337,5625502,0.99
147,1404,2528639,1
148,1404,3297983,1
149,1404,3306262,1
150,1404,2093049,1
151,1404,2802655,0.98
152,1404,3378271,1
153,1404,3679981,0.96
154,3717,8492113,0.99
155,1404,3203441,1
156,1404,3866210,0.97
157,1404,2883683,1
158,4598,9375804,1
159,2285,5745348,1
160,1404,2970036,1
161,1404,2930875,1
162,2031,5100892,0.97
163,3787,9953343,0.96
164,1404,2315923,1
165,1404,3216439,1
166,1404,3146446,1
167,4690,11754344,0.96
168,4939,13199712,0.94
169,2289,5166656,1
170,1404,3582222,0.93
171,1404,2769397,1
172,4570,12094616,0.79
173,3628,8664009,0.93
174,4837,11989866,0.99
175,1810,3760945,0.97
176,2775,7467113,0.85
177,2443,6132475,1
178,1404,3570312,0.99
179,1404,2026739,1
180,2132,5038024,0.98
181,1404,3478844,0.97
182,1404,2386085,1
183,4796,12150719,0.99
184,1404,3041994,1
185,1404,3202581,1
186,3841,9366453,0.96
187,1404,2900123,1
188,1404,3501873,0.99
189,1999,5571269,0.89
190,4382,10994356,0.94
191,3824,9245870,0.95
192,1404,3159633,1
193,2244,5978706,0.95
194,2978,5822036,0.97
