QueryID,EF,Latency(ns),Recall
0,594,1742844,0.96
1,214,586599,1
2,269,744835,0.97
3,214,432153,1
4,907,2837580,0.95
5,214,511043,0.99
6,214,521930,1
7,402,1058846,0.99
8,214,569961,1
9,214,627237,0.98
10,622,1874968,0.96
11,214,601852,1
12,309,912184,0.98
13,355,1062895,0.97
14,214,561299,0.99
15,691,1733264,0.97
16,357,1087661,1
17,214,560850,1
18,214,486526,1
19,214,725582,0.95
20,423,1255220,0.98
21,301,783966,0.99
22,333,1004005,0.99
23,981,2814257,0.97
24,339,982554,0.98
25,293,878107,0.99
26,214,664772,0.99
27,214,760718,0.97
28,363,1024177,0.99
29,221,667235,0.98
30,661,1861378,0.98
31,639,1534312,0.98
32,234,712478,0.94
33,584,1779413,0.97
34,322,946185,0.95
35,894,2406822,0.99
36,602,1436885,1
37,214,588184,0.99
38,214,713948,1
39,214,663310,0.94
40,214,534910,1
41,214,503546,1
42,214,650541,1
43,214,528644,1
44,214,651820,0.98
45,214,555597,0.99
46,214,587401,1
47,233,727826,0.98
48,214,584058,1
49,214,690606,0.97
50,214,503268,1
51,214,566934,0.98
52,851,2443096,0.96
53,214,534528,1
54,214,560124,1
55,214,542541,1
56,277,764968,0.98
57,214,560067,1
58,661,1749691,0.99
59,609,1784694,0.97
60,475,1296354,0.97
61,511,1588388,0.97
62,214,585548,0.99
63,214,576427,1
64,259,801987,0.97
65,988,2621189,1
66,214,618221,0.97
67,214,534098,1
68,285,873905,0.99
69,233,708419,1
70,907,2814149,0.97
71,635,1844139,0.99
72,214,535760,0.99
73,216,646424,0.98
74,214,608225,1
75,214,620360,0.98
76,563,1733378,0.92
77,214,635107,0.98
78,262,530268,1
79,214,541013,0.99
80,214,643044,0.95
81,981,2967233,0.96
82,280,859216,0.99
83,608,1734486,0.92
84,234,709679,0.99
85,250,844154,0.95
86,214,414169,1
87,661,1957248,0.95
88,412,1168947,0.98
89,550,1597557,0.98
90,214,615012,1
91,214,506181,1
92,259,769018,0.99
93,541,1485908,0.98
94,214,650760,0.98
95,364,883703,0.98
96,214,622032,0.99
97,214,508588,1
98,285,882624,0.97
99,214,665393,0.98
100,826,2605889,0.99
101,214,397541,1
102,297,862969,1
103,880,2626614,0.97
104,529,1144153,0.9
105,214,692163,0.98
106,214,589406,1
107,514,1584462,0.98
108,214,644609,1
109,826,2507210,0.98
110,214,614821,1
111,214,458781,1
112,584,1570003,0.96
113,214,734053,1
114,214,687713,1
115,214,602042,1
116,214,643512,0.98
117,555,1776824,0.98
118,390,1320928,0.97
119,579,1620469,0.94
120,544,1714592,0.98
121,307,957293,0.99
122,214,559321,1
123,638,1638358,1
124,214,624363,1
125,477,1356897,1
126,218,733222,0.99
127,338,1115959,0.97
128,303,1007520,1
129,524,1523968,0.99
130,214,572225,1
131,214,620905,0.99
132,594,1765325,0.97
133,214,567278,1
134,367,1103859,0.99
135,942,3105403,0.93
136,214,544069,1
137,370,1191764,0.98
138,315,994941,0.94
139,252,809132,1
140,214,430615,1
141,214,643216,0.99
142,252,583409,1
143,374,1210044,0.98
144,274,900379,0.97
145,214,639443,0.99
146,215,728752,0.92
147,654,1991010,0.97
148,263,874191,0.99
149,214,520708,1
150,242,809513,0.99
151,942,1853842,0.99
152,405,1691422,1
153,362,1134880,0.97
154,214,535826,0.96
155,214,621211,0.99
156,548,1597146,0.98
157,214,624515,0.99
158,323,899291,0.96
159,214,713681,1
160,216,671237,0.96
