QueryID,EF,Latency(ns),Recall
0,1020,7635882,0.99
1,1723,11802656,0.96
2,1020,4606044,1
3,1997,12327315,0.95
4,1931,12775429,0.93
5,1020,5706644,1
6,1597,10381951,0.9
7,1614,10287777,0.98
8,1892,12258893,0.98
9,1020,4947153,1
10,1020,4342660,1
11,1020,5471016,1
12,1773,11289063,0.97
13,1468,8307385,0.89
14,1020,6054013,0.98
15,3058,19463274,0.99
16,1020,6077424,0.99
17,1020,5611709,1
18,2546,16646294,0.89
19,1135,7586614,0.95
20,1020,4670099,1
21,1020,6399634,1
22,2496,15575121,0.96
23,1020,4637007,1
24,2342,15460171,0.96
25,1020,6288658,0.99
26,1020,2708217,1
27,1020,5592035,1
28,2184,12238497,0.93
29,2117,12550255,1
30,3339,19775336,0.91
31,1784,12151621,0.96
32,1020,6046139,0.99
33,2877,18343383,0.93
34,1020,3900305,1
35,1492,6977000,1
36,2100,13307966,0.96
37,1020,4978967,1
38,1467,9442619,0.97
39,1726,11109104,0.99
40,1020,5543373,1
41,1674,10677129,0.98
42,1020,5608257,1
43,1652,10911778,0.91
44,1020,6129034,0.99
45,1284,8006865,1
46,2912,17689114,0.94
47,1020,5394670,1
48,1268,7971728,0.99
49,1020,6069168,0.98
50,1478,9747539,0.92
51,1020,5661006,1
52,2721,17098092,0.96
53,1020,4860187,1
54,3053,16339225,0.97
55,1020,5252580,1
56,1020,5975546,0.96
57,1020,6577871,0.99
58,1020,3682185,1
59,1020,4140303,1
60,1967,12673695,0.94
61,1737,9755488,0.95
62,1020,5747542,1
63,1020,5918257,0.99
64,1622,9755933,0.98
65,1983,12151595,0.97
66,1020,5209382,1
67,1020,6313133,0.98
68,1020,6812135,0.88
69,1020,5760102,0.98
70,1020,3511598,1
71,1285,7777788,0.89
72,1020,4432276,1
73,1039,6781038,0.96
74,2343,14211371,0.96
75,1020,4416879,0.98
76,1623,10428523,0.92
77,1020,6616631,0.96
78,1020,6017797,0.98
79,1020,4512104,1
80,2820,18031341,0.97
81,1020,6111056,0.99
82,1020,6636724,0.94
83,2547,15959273,0.99
84,1020,6746092,0.97
85,1495,9290193,0.96
86,2479,15507166,0.95
87,1020,6494188,0.99
88,2666,17335746,0.98
89,1020,4666574,0.99
90,1020,6047610,0.97
91,1020,4442160,1
92,1361,8453823,0.96
93,1020,6485496,0.99
94,2479,15675611,0.91
95,2363,15622816,0.94
96,1020,5974522,0.99
97,1024,6640691,0.87
98,2627,16608155,0.96
99,1854,11587007,0.95
100,2750,16506056,0.98
101,1020,5046642,0.99
102,1020,4096933,1
103,1020,3967117,1
104,2327,13173075,0.86
105,1020,3205629,1
106,1020,6144472,0.99
107,1020,5110217,1
108,1020,6014224,1
109,2366,15115478,0.98
110,1020,6017468,1
111,1780,10962875,0.97
112,1250,8198971,0.93
113,1020,6152594,1
114,1020,6459357,0.96
115,1438,9372731,0.98
116,1020,6095844,0.97
117,2916,34658570,0.96
118,1626,10901537,0.83
119,2043,12574439,0.94
120,1776,11168162,0.97
121,1390,8419807,0.97
122,1020,4739128,1
123,1020,4298155,1
124,1020,4219426,1
125,1020,4332698,1
126,1020,5329637,0.96
127,2670,17910261,0.96
128,1020,6150305,0.98
129,2908,18560539,0.99
130,1020,6669656,0.99
131,1442,8823397,1
132,1369,9268712,0.93
133,1020,5824308,0.99
134,1231,7450944,0.96
135,2680,17157195,0.94
136,3846,21873397,0.94
137,1020,7010263,0.91
138,1020,4319599,1
139,1034,6873872,0.98
140,1020,4457350,1
141,1020,6715364,0.98
142,1020,6621337,0.99
143,1020,5603703,0.99
144,1020,5132478,1
145,2103,12771577,0.91
146,1020,3861395,1
147,1020,6442874,0.99
148,1020,5446716,0.99
149,1408,8710150,0.93
150,1020,5214515,1
151,1020,6198677,0.98
152,1314,8341302,1
153,1020,5601375,0.98
154,1780,11671499,0.94
155,1020,6167451,0.95
156,1020,4815546,1
157,1020,6740157,0.95
158,1020,3836370,1
159,1020,6681847,0.95
160,1733,10961941,0.95
161,1020,3206157,1
162,1623,10215115,0.99
163,1020,5532669,0.98
164,1020,6520881,0.98
165,1146,7551292,0.95
166,1873,12393789,0.88
167,2933,17201743,0.95
168,1020,5833468,1
169,2014,13001824,0.89
170,1020,5954911,0.99
171,1020,6011613,1
172,1129,7554154,0.95
173,1020,5835397,0.97
174,1020,6725612,0.91
175,3070,19022826,0.95
176,1020,6209689,1
177,1020,6085917,0.97
178,1301,8082052,0.95
179,1020,4326258,1
180,1020,4629960,1
181,1020,5646420,1
182,4111,23435395,0.96
183,1354,8224386,0.93
184,1020,4138542,1
185,1020,5063144,1
186,1020,5223656,0.99
187,1020,4806483,1
188,1939,12749021,0.88
189,3021,19014728,0.94
190,1715,11275791,0.99
191,1020,5935496,0.98
192,1020,4721806,1
193,1020,7052116,0.97
194,1020,5445972,1
195,1020,5155035,0.99
196,1020,5595614,1
197,1020,5104395,1
198,1837,11366088,0.97
199,1261,8391515,0.93
200,1462,8791828,0.97
201,1020,5387894,0.99
202,1020,5761752,1
203,1020,3755589,1
204,1020,4833078,1
205,1020,6667432,0.96
206,1588,10332112,0.98
207,1020,5101629,1
208,1020,5590381,1
209,1020,5987924,0.95
210,1020,6054390,0.99
211,1020,5257680,1
212,1239,6822087,1
213,1020,4555411,1
214,1063,7031534,0.91
215,1227,7182219,0.99
216,1020,4034272,1
217,1020,4257340,1
218,1020,4190190,1
219,1787,11387799,0.93
220,1020,6441139,0.97
221,2524,16572361,0.91
222,3343,21166103,0.93
223,1138,5610041,0.99
224,1137,6699705,0.99
225,1243,7986576,0.97
226,1020,4487921,1
227,1020,5603381,0.98
228,1743,11658134,0.96
229,1020,4735682,1
230,1020,3849258,1
231,1020,4362804,1
232,2389,12601344,0.95
233,1020,6658403,0.93
234,1790,11914682,0.85
235,1624,10714429,0.93
236,1020,4409055,0.99
237,1035,6967890,0.91
238,1020,6931225,0.95
239,1020,3053447,0.99
240,1020,6260674,0.99
241,1779,10808408,0.97
242,1020,5277149,0.99
243,1039,7014261,0.96
244,1856,11834566,0.91
245,1020,6384962,0.99
246,1020,5475108,0.99
247,1020,6869911,0.99
248,1078,7260960,0.96
