QueryID,EF,Latency(ns),Recall
0,452,1866845,0.95
1,319,2084739,0.91
2,286,1584516,0.99
3,340,2300194,0.94
4,286,1545248,0.97
5,909,4833906,0.99
6,550,3030422,0.98
7,286,1573580,0.99
8,286,1470143,1
9,467,2699819,0.95
10,286,1645429,0.95
11,927,4580743,0.96
12,286,1614758,0.97
13,286,1521433,1
14,286,1557243,0.99
15,838,4004599,0.97
16,286,1120359,1
17,286,1603146,0.99
18,286,1437880,1
19,978,4915769,0.88
20,286,1420710,1
21,834,2332036,1
22,286,1385412,0.99
23,286,1195680,1
24,286,1545340,0.94
25,559,2905275,0.98
26,286,1201026,0.99
27,286,1501203,1
28,560,2658449,0.96
29,286,1457140,0.99
30,286,1514171,0.98
31,797,3694533,0.92
32,286,1200962,1
33,286,1385328,1
34,468,1858125,1
35,286,1175281,1
36,703,3363173,0.94
37,286,1337539,1
38,286,1522156,0.99
39,286,1012536,1
40,286,1276236,1
41,286,1069426,1
42,286,1166409,1
43,286,1305370,1
44,422,2147022,0.98
45,286,1355809,1
46,286,1165846,1
47,359,1790289,0.97
48,286,1049882,1
49,286,1138567,0.99
50,286,1256969,1
51,749,3241233,0.99
52,286,1520354,1
53,637,2921559,0.97
54,328,1734679,1
55,433,2014881,0.99
56,972,4097452,0.97
57,286,929912,1
58,286,1375657,1
59,286,1205411,1
60,286,1504267,0.99
61,286,1299260,0.98
62,430,2012438,0.99
63,445,2103122,0.97
64,999,4410678,0.89
65,286,1502824,0.94
66,286,1289771,1
67,286,1501462,0.92
68,286,1565917,0.95
69,286,1405404,0.99
70,972,4529604,0.99
71,286,1387000,1
72,418,2146426,0.98
73,286,1339037,1
74,409,1518874,0.97
75,286,1286752,1
76,401,1937168,0.99
77,286,1008408,1
78,286,1315235,1
79,286,1397880,0.98
80,572,2517952,0.94
81,286,1313000,1
82,286,1329157,0.99
83,364,1890748,0.98
84,742,2904095,0.99
85,286,1346180,1
86,286,963566,0.98
87,681,3031198,0.98
88,286,1442280,0.97
89,530,1372309,0.92
90,286,1322271,1
91,630,2318454,0.99
92,286,1537606,1
93,286,957211,1
94,286,897797,1
95,286,1398842,0.9
96,461,2233196,0.99
97,286,1409266,1
98,406,1809291,0.99
99,286,1336310,1
100,286,1272863,1
101,286,1622243,0.96
102,286,1324663,1
103,409,2028787,0.98
104,300,1410968,0.98
105,286,1477804,1
106,286,1239953,1
107,286,1199481,1
108,286,1286738,0.99
109,286,1506614,0.98
110,286,1429260,0.99
111,286,1142921,0.94
112,286,1334108,0.98
113,286,1389109,0.98
114,928,4064073,1
115,916,3866756,1
116,530,1966775,0.96
117,346,1672035,0.99
118,732,3281582,0.85
119,286,1138050,0.96
120,286,1530283,1
121,286,1339499,1
122,286,1328898,0.94
123,286,1262426,1
124,286,1338190,1
125,286,1497963,1
126,550,2704864,0.93
127,286,1252409,1
128,286,1124487,0.98
129,360,1853496,0.99
130,286,1377489,1
131,803,3382227,0.93
132,286,1116817,1
133,286,1096108,1
134,286,1195703,1
135,286,1396852,1
136,286,1086852,1
137,286,999691,0.86
138,286,1285331,1
139,286,1304212,0.99
140,740,3495181,0.95
141,286,1063243,1
142,909,3614598,0.98
143,286,1055385,1
144,286,1187022,1
145,286,969470,1
146,286,1508055,0.98
147,286,1505406,0.98
148,716,3217774,0.87
149,286,1303178,1
150,675,2810093,1
151,286,1167371,0.86
152,286,1420633,1
153,286,1338073,1
154,286,1195297,0.99
155,286,1514621,0.96
156,471,2290149,0.98
157,444,2195149,0.99
158,286,1118063,1
159,286,1611227,0.98
160,576,2078151,1
161,372,1857379,1
162,286,1498318,0.94
163,286,1411321,0.98
164,286,1385022,0.99
165,286,1422353,1
166,286,1314708,0.98
167,286,1195664,1
168,286,1606417,0.96
169,286,980973,0.98
170,478,2467999,0.99
171,286,1224957,1
172,286,1473475,0.9
173,286,1432365,1
174,562,2335590,0.97
175,286,1573479,0.99
176,322,1524772,0.96
177,808,3496249,0.99
178,377,1661211,0.94
179,411,1946589,0.98
180,837,3835718,0.95
181,349,1644497,0.98
182,286,1407624,0.98
183,493,2195365,0.97
184,286,1304531,1
185,518,2273024,0.98
186,286,961168,1
187,286,743242,1
188,286,1174107,1
189,286,1489471,0.99
190,435,1819027,1
191,621,2525476,0.99
192,286,1308738,1
193,286,1107590,1
194,286,1085460,0.99
195,910,4231352,0.94
196,286,787294,1
197,286,1273474,0.98
198,286,906384,1
199,286,1280415,0.99
200,286,1139959,1
201,286,1169330,1
202,311,1197339,1
203,286,1104475,1
204,286,1235886,0.99
205,286,1155356,1
206,423,1837194,0.9
207,286,1445712,1
208,926,4360494,0.92
209,286,1052200,1
210,286,1012189,1
211,286,1201154,1
212,286,1242061,1
213,427,2175834,0.96
214,286,1331515,1
215,465,1913830,0.99
216,286,1048053,0.91
217,286,1583912,0.95
218,286,1203877,1
219,286,1139314,0.96
220,953,4283268,1
221,286,1418497,1
222,286,1296136,1
223,286,1086058,0.99
224,925,4094577,0.86
225,960,3707994,1
226,286,1256602,1
227,319,1738629,1
228,926,4039394,0.97
229,972,4042409,0.93
230,372,1911300,0.98
231,286,1372093,1
232,663,2600585,0.98
233,286,1131544,1
234,999,4447633,0.96
235,506,2609162,0.99
236,286,1267844,0.99
237,286,1152026,1
238,538,2196613,1
239,462,2253703,1
240,286,997951,1
241,286,1308920,1
242,286,1236471,1
243,286,1425955,1
244,386,1881582,0.96
245,803,3955487,0.94
246,286,1193275,1
247,335,1509031,0.99
248,286,1388493,1
249,286,943659,1
250,286,928399,1
251,444,1393797,0.83
252,286,1358667,1
253,286,1145904,1
254,466,2131612,0.98
255,389,1627522,0.97
256,286,1187308,1
257,286,1325962,1
258,425,1861368,0.99
259,286,1076311,1
260,286,1401415,0.98
261,286,1248353,1
262,286,798285,1
263,286,1440214,1
264,286,1267805,1
265,940,3702583,0.97
266,724,3559958,0.96
267,443,2024605,0.99
268,286,1238273,0.99
269,586,2948768,1
270,286,1229701,0.99
271,555,2533648,1
272,286,1307475,0.96
273,286,1396827,0.98
274,286,1157609,1
275,639,2699043,0.87
276,286,1371289,0.97
277,286,1090630,1
278,781,2531970,1
279,920,3685596,0.98
280,619,2754596,1
281,304,1318802,0.99
282,382,1618546,1
283,286,1481186,1
284,332,1705198,1
285,286,1148041,0.95
286,305,1542823,0.93
287,786,3531530,0.98
288,286,1562238,0.98
289,286,1325533,1
290,286,1022495,0.99
291,972,4385848,0.96
292,286,1428321,1
293,286,1218756,1
294,286,1295575,0.98
295,286,1209262,1
296,286,991531,1
297,286,1167060,0.95
298,286,1141519,0.9
299,286,1280157,1
300,286,1044957,1
301,286,1406793,0.98
302,286,1424013,1
303,286,1059944,1
304,286,1561580,1
305,286,974676,1
306,703,3560488,0.94
307,286,1243027,1
308,286,1344158,0.99
309,286,1447787,1
310,760,3563733,0.94
311,286,1342657,0.99
312,286,1405653,0.99
313,860,4114324,0.94
314,286,1450900,1
315,286,1230862,0.97
316,286,1494114,1
317,286,1008239,0.99
318,286,970767,1
319,286,944912,1
320,286,1190385,0.99
321,286,1168470,1
322,286,1080774,1
323,286,1374183,1
324,943,3858257,0.98
325,286,1148415,1
326,286,1255420,0.99
327,286,1051287,1
328,286,1350328,1
329,984,4515866,0.92
330,286,1155589,1
331,286,1178768,1
332,552,2343912,0.98
333,286,1337312,1
334,286,1397801,0.99
335,286,1515793,1
336,286,1094309,0.91
