Dataset,Global EF (ef),Total Latency (ms),Noise Tax (ms),Noise Tax %
deep-image-96-angular,100,3206.90267,0.0,0.0
deep-image-96-angular,200,6000.869968,169.479839,2.8242544814962067
deep-image-96-angular,300,8839.923042,883.036365,9.989186114002823
deep-image-96-angular,400,11258.924158,1883.005438,16.72455921698376
deep-image-96-angular,500,13918.18064,3278.636478,23.556501836004333
deep-image-96-angular,600,18795.18007,6363.577637,33.85749757810115
deep-image-96-angular,700,21321.552736,7775.488638,36.46774104247864
deep-image-96-angular,800,22039.055541,7905.104547,35.86861756527573
gist-960-euclidean,100,1082.381502,0.0,0.0
gist-960-euclidean,200,1976.046706,7.632315,0.38624162965508363
gist-960-euclidean,300,2840.00101,60.636557,2.135089275901349
gist-960-euclidean,400,3660.778657,179.262612,4.896843780959577
gist-960-euclidean,500,4497.811586,377.183021,8.38592310478343
gist-960-euclidean,600,5223.359398,590.851672,11.311717746748087
gist-960-euclidean,700,5917.796863,825.969085,13.957374748096353
gist-960-euclidean,800,6637.167492,1123.532031,16.927884257165886
gist-960-euclidean,1000,8044.947007,1601.633941,19.908570430686495
gist-960-euclidean,1200,9605.623925,2427.018989,25.266645956056415
gist-960-euclidean,1400,10990.219425,3204.288372,29.155817987683175
gist-960-euclidean,1600,12476.837972,4124.000348,33.05324920668931
gist-960-euclidean,2000,15040.994142,5481.639664,36.44466324664832
glove-100-angular,100,2961.843924,0.0,0.0
glove-100-angular,200,5373.949093,102.101995,1.8999434723525024
glove-100-angular,300,7730.613489,457.910328,5.923337502923501
glove-100-angular,400,10054.409781,995.662618,9.902745558287485
glove-100-angular,500,12402.845174,1642.38789,13.242025252745446
glove-100-angular,600,14682.391791,2345.77027,15.976758442298946
glove-100-angular,700,16957.936715,3104.465522,18.306858753954256
glove-100-angular,800,19243.460821,3941.898006,20.484350723952346
glove-100-angular,1000,23803.6315,5352.039913,22.484131940120143
glove-100-angular,1200,28317.883885,7086.852033,25.02606501877038
glove-100-angular,1400,32798.559276,8985.009638,27.39452535823635
glove-100-angular,1600,37308.14157,10996.190521,29.473970179855304
glove-100-angular,2000,46254.268639,14666.069037,31.70749309964027
glove-100-angular,2400,55185.410682,19089.321428,34.591246476356154
glove-100-angular,2800,64017.373655,23737.834148,37.080299913468856
glove-100-angular,3200,72872.863542,28608.965996,39.25873721088417
glove-100-angular,3600,81667.410594,33793.421377,41.379322708050644
glove-100-angular,4000,90414.072944,38952.521752,43.08236592341784
glove-100-angular,4400,99127.157569,44401.999198,44.79297125723881
glove-100-angular,4800,107826.072754,49888.362879,46.26743940940695
glove-100-angular,5200,116506.522014,55497.588091,47.63474793654138
msmarco,1000,119729.460291,0.0,0.0
msmarco,1200,139080.208602,634.774059,0.4564086187248297
msmarco,1400,159212.51949,2244.485922,1.4097421039436373
msmarco,1600,180403.703128,4730.626458,2.6222446523969225
msmarco,2000,222232.448557,9414.667079,4.236405232508272
msmarco,2400,264134.295502,18081.018242,6.845388330824723
msmarco,2800,306705.15862,29822.903304,9.723639288685662
msmarco,3200,348591.842995,43226.558206,12.400335542739597
msmarco,3600,390710.189336,57958.095667,14.834037414150373
sift10m-128-euclidean,100,365.137636,0.0,0.0
sift10m-128-euclidean,200,681.465464,17.72042,2.6003401399076624
sift10m-128-euclidean,300,1009.47988,98.742652,9.781537399239697
sift10m-128-euclidean,400,1301.972585,210.003074,16.12960798249066
sift10m-128-euclidean,500,1600.985776,359.241951,22.43879717017548
sift10m-128-euclidean,600,1899.094501,542.663495,28.574854738100257
sift10m-128-euclidean,700,2240.204773,769.982075,34.371057694376226
tiny5m-384-euclidean,100,718.281125,0.0,0.0
tiny5m-384-euclidean,200,1348.396884,8.227328,0.6101562601949768
tiny5m-384-euclidean,300,1933.641392,47.298228,2.4460703104353074
tiny5m-384-euclidean,400,2536.032313,120.58647,4.754926401444476
tiny5m-384-euclidean,500,3134.253311,243.158857,7.758111194988861
tiny5m-384-euclidean,600,3683.809361,368.810358,10.011657006590683
tiny5m-384-euclidean,700,4223.179103,522.569822,12.37384939769153
tiny5m-384-euclidean,800,4846.340526,717.736904,14.809873556128233
tiny5m-384-euclidean,1000,5806.764315,942.801969,16.236270629489116
tiny5m-384-euclidean,1200,6806.996961,1300.444166,19.104521031091437
tiny5m-384-euclidean,1400,7832.405986,1705.568068,21.775787300206478
tiny5m-384-euclidean,1600,8849.809081,2185.172999,24.691752997151465
tiny5m-384-euclidean,2000,11161.162985,3189.281707,28.57481528839084
tiny5m-384-euclidean,2400,14047.795928,4699.753172,33.455448784193074
tiny5m-384-euclidean,2800,15743.411449,5621.645352,35.70792372549648
tiny5m-384-euclidean,3200,18129.667608,7169.914423,39.547964022441114
tiny5m-384-euclidean,3600,20610.432421,8854.980397,42.96358376245249
tiny5m-384-euclidean,4000,22340.987971,9888.292948,44.260768417384334
tiny5m-384-euclidean,4400,24918.720191,11745.037026,47.133387814362976
word2vec-300-angular,100,478.033096,0.0,0.0
word2vec-300-angular,200,849.706435,30.082136,3.5402975381726978
word2vec-300-angular,300,1199.444999,137.504555,11.464015033172856
word2vec-300-angular,400,1537.318501,279.341541,18.170700529414887
word2vec-300-angular,500,1862.760863,456.939436,24.530225273473548
word2vec-300-angular,600,2182.854338,636.805098,29.173045902066967
word2vec-300-angular,700,2492.669512,827.925772,33.21442204890257
word2vec-300-angular,800,2800.344087,1042.548561,37.22930213611282
word2vec-300-angular,1000,3404.420603,1430.725834,42.02553094465573
word2vec-300-angular,1200,3998.639468,1834.363036,45.87467939232575
