QueryID,EF,Latency(ns),Recall
1,1166,20827333,0.939
4,1166,11502908,0.991
8,1166,11874370,0.998
12,1166,20092398,0.964
13,1166,16729002,0.988
14,1166,13160095,0.985
15,1166,14098181,0.959
16,1166,11033599,0.992
18,1166,15528174,0.988
19,1166,10704318,0.998
20,1166,15651490,0.989
22,1166,15477143,0.994
23,1166,17626591,0.984
26,1166,13472099,0.996
28,1166,13551724,0.987
29,1166,17648971,0.974
31,1166,14654743,0.949
32,1166,18120442,0.981
33,1166,14974908,0.936
34,1166,12346855,0.993
35,1166,19101257,0.983
36,1166,13054386,0.994
37,1166,15599508,0.999
38,1166,15398204,0.99
43,1166,12059932,1
45,1166,14994085,0.997
46,1166,16670860,0.997
49,1166,11396943,0.992
50,1166,15471951,0.947
54,1166,13674927,0.998
55,1166,13154985,0.993
57,1166,17390458,0.984
59,1166,14612102,0.981
60,1166,11899221,0.999
61,1166,16251175,0.976
62,1166,14194749,0.99
64,1166,14388027,0.994
66,1166,11308521,0.991
67,1166,11671832,0.995
68,1166,13189586,0.974
69,1166,14139548,0.995
70,1166,16844732,0.989
71,1166,10404655,0.99
72,1166,17390199,0.985
73,1166,15755551,0.971
74,1166,14963074,0.993
75,1166,16224053,0.918
76,1166,17273344,0.997
77,1166,10934382,0.995
78,1166,12499053,0.987
79,1166,17151689,0.977
81,1166,18033393,0.977
87,1166,16744498,0.975
88,1166,15684239,0.992
89,1166,13591967,0.994
93,1166,20911657,0.898
95,1166,18143281,0.975
98,1166,15012807,0.972
99,1166,24976468,0.944
101,1166,13756504,0.996
102,1166,15064365,0.985
103,1166,17910372,0.966
104,1166,21000518,0.901
106,1166,19544923,0.949
107,1166,11767070,0.995
111,1166,22987840,0.639
116,1166,12736075,0.989
122,1166,16889101,0.965
123,1166,11849233,0.997
124,1166,14439880,0.991
127,1166,12980730,0.994
128,1166,13260873,0.996
130,1166,14687680,0.978
131,1166,20995297,0.945
134,1166,13075182,0.987
140,1166,14346749,0.993
143,1166,17606648,0.974
144,1166,19065141,0.968
145,1166,14589040,0.958
148,1166,19648611,0.948
153,1166,17082232,0.994
154,1166,17026768,0.874
156,1166,14570423,0.985
159,1166,16344565,0.994
160,1166,13081303,0.995
161,1166,15560834,0.986
162,1166,15361679,0.971
164,1166,14999335,0.981
167,1166,13240376,0.992
168,1166,15020967,0.982
170,1166,16428185,0.965
174,1166,14835733,0.956
176,1166,11142477,0.997
180,1166,21839445,0.988
181,1166,20384164,0.964
184,1166,18429377,0.958
188,1166,17261269,0.942
189,1166,11717068,0.996
193,1166,12956320,0.982
194,1166,12633409,0.908
195,1166,18326423,0.898
200,1166,17980673,0.992
201,1166,19340917,0.973
203,1166,15312714,0.99
204,1166,14231921,0.98
205,1166,15330996,0.963
207,1166,17785446,0.971
208,1166,8738632,1
209,1166,16824435,0.985
210,1166,13250968,0.998
211,1166,21914652,0.861
214,1166,18069370,0.939
216,1166,13567658,0.997
217,1166,12243292,0.992
219,1166,10820073,0.998
220,1166,12390036,0.996
223,1166,12713298,0.992
224,1166,16967317,0.996
225,1166,10369072,0.995
226,1166,10820218,0.993
227,1166,16773600,0.994
229,1166,19424803,0.992
231,1166,21256527,0.966
233,1166,13524213,0.98
235,1166,14315499,0.988
236,1166,18107189,0.95
242,1166,20605904,0.916
243,1166,15823359,0.989
244,1166,16131890,0.979
246,1166,17318926,0.989
247,1166,11521939,0.978
249,1166,14249043,0.997
250,1166,14018846,0.984
253,1166,11984750,0.987
255,1166,14163473,0.993
257,1166,11558757,0.995
258,1166,11688214,0.992
265,1166,13790698,0.996
266,1166,16541056,0.965
267,1166,12396235,0.99
268,1166,14797292,0.979
270,1166,19944148,0.972
272,1166,14755351,0.982
274,1166,17586484,0.965
276,1166,13662608,0.989
278,1166,15800889,0.982
279,1166,14859069,0.972
280,1166,18199888,0.97
283,1166,15468088,0.965
285,1166,17418829,0.968
288,1166,19038932,0.944
289,1166,14649898,0.987
290,1166,18048420,0.932
291,1166,12604688,0.988
292,1166,11961295,0.992
295,1166,16139166,0.989
302,1166,18164711,0.944
304,1166,10367817,0.985
305,1166,21356190,0.852
306,1166,23971565,0.992
310,1166,18965328,0.893
312,1166,12821412,0.99
318,1166,16587525,0.981
320,1166,23061713,0.965
322,1166,15029269,0.994
323,1166,12201991,0.993
324,1166,18897413,0.969
325,1166,14942086,0.997
326,1166,11646142,0.994
328,1166,16971893,0.994
