QueryID,EF,Latency(ns),Recall
0,237,4283671,1
1,237,780677,1
2,237,956862,0.99
3,237,747431,1
5,237,800963,1
6,237,707433,0.92
8,237,846280,0.98
11,237,608616,1
12,237,905652,0.98
13,237,740695,0.99
14,237,872911,1
17,237,889033,0.96
19,237,897292,1
20,237,871142,1
21,237,460298,1
22,237,829256,1
25,237,839768,1
26,237,790860,0.99
29,237,368613,1
31,237,692373,1
33,237,839603,0.98
34,237,479923,1
37,237,705622,1
38,237,741949,1
41,237,797339,1
42,237,762806,1
43,237,817343,1
46,237,824780,1
47,237,384498,1
50,237,956261,0.92
51,237,913836,0.98
52,237,800375,1
53,237,805063,0.99
55,237,798720,0.96
56,237,651249,1
58,237,785250,1
59,237,666006,1
62,237,883193,0.99
64,237,725873,1
65,237,765153,1
71,237,759016,0.99
73,237,769587,0.99
74,237,850120,0.94
76,237,936517,0.95
77,237,752033,1
79,237,872784,0.98
81,237,642748,1
82,237,826033,1
85,237,764360,1
86,237,834012,0.99
87,237,543305,1
90,237,909697,0.94
94,237,819011,1
96,237,338232,1
97,237,600815,1
99,237,759765,1
100,237,733877,1
101,237,910048,0.99
102,237,768517,1
106,237,868324,1
107,237,788273,0.99
109,237,798194,1
111,237,890888,0.98
113,237,857834,0.98
114,237,847923,1
115,237,840099,0.99
117,237,617685,1
118,237,693979,1
120,237,743980,1
121,237,659556,1
123,237,843650,0.97
129,237,950763,1
133,237,892846,0.96
136,237,780266,1
137,237,809557,1
138,237,849178,0.98
139,237,810823,1
140,237,897829,0.97
141,237,920829,0.95
142,237,722846,0.98
143,237,947396,0.97
145,237,863336,1
146,237,768293,0.98
147,237,880791,0.99
151,237,571812,1
152,237,900016,1
155,237,444960,1
157,237,807632,1
158,237,468982,1
160,237,733287,1
161,237,877541,0.98
162,237,825706,0.96
163,237,710063,1
170,237,867328,1
171,237,905758,0.94
172,237,791631,1
173,237,845734,1
174,237,786658,1
175,237,688205,1
177,237,623834,0.99
178,237,642053,1
179,237,900628,0.95
180,237,780941,0.99
183,237,937725,0.99
184,237,855149,0.99
185,237,738396,0.89
186,237,711260,1
187,237,812748,1
191,237,625381,1
193,237,901161,0.96
197,237,688166,1
198,237,593734,1
205,237,901524,0.97
206,237,800444,0.95
208,237,949745,0.94
210,237,859590,0.94
214,237,788879,1
216,237,739057,1
218,237,856858,0.98
219,237,775485,0.99
220,237,928175,0.99
221,237,635936,1
222,237,788328,1
225,237,891962,1
227,237,574544,1
230,237,815982,0.99
234,237,898362,0.94
239,237,719452,1
241,237,704635,0.98
243,237,587107,1
247,237,648108,0.99
250,237,742243,1
251,237,809072,1
253,237,740746,1
254,237,775057,1
258,237,854341,1
259,237,799444,1
260,237,750894,1
262,237,802351,1
263,237,927915,1
266,237,627536,1
267,237,761440,1
270,237,946641,0.93
272,237,800438,1
273,237,868067,0.99
275,237,846739,0.99
276,237,895374,0.98
278,237,796216,1
279,237,733808,1
280,237,951379,0.95
283,237,868721,0.98
285,237,808065,0.91
287,237,655101,1
289,237,805793,0.99
290,237,766959,1
292,237,778693,0.92
295,237,931294,0.96
297,237,810948,0.99
298,237,576987,1
299,237,830284,1
304,237,924053,0.96
306,237,960428,0.99
307,237,579710,0.97
308,237,812814,1
312,237,861154,0.99
313,237,934640,0.93
314,237,878554,0.99
317,237,934994,0.97
318,237,805574,0.99
322,237,806963,1
323,237,763564,1
325,237,643100,1
326,237,799998,0.99
329,237,567857,1
332,237,844613,1
335,237,580451,1
338,237,747446,1
340,237,707088,1
341,237,851055,0.99
342,237,854419,0.99
345,237,871607,0.99
346,237,683161,0.98
347,237,657478,1
349,237,832590,0.98
350,237,808982,0.95
351,237,903566,0.99
352,237,554115,1
355,237,895735,0.97
358,237,795558,1
360,237,849304,1
361,237,818692,0.97
365,237,877376,0.97
367,237,832645,0.99
368,237,812311,1
375,237,810354,0.99
376,237,876383,0.99
377,237,642209,1
378,237,733118,1
379,237,754997,0.98
380,237,859729,0.99
381,237,673783,1
384,237,822821,0.98
385,237,899073,0.89
387,237,890754,0.98
389,237,941415,0.99
396,237,684990,1
398,237,806404,0.98
401,237,868411,1
402,237,813514,0.99
404,237,775598,1
408,237,654918,1
409,237,910675,0.95
410,237,867388,1
411,237,929826,0.97
413,237,852592,0.96
415,237,764949,1
418,237,804895,1
419,237,913108,0.99
420,237,750235,0.99
422,237,841780,1
424,237,699537,1
425,237,708662,1
427,237,833607,1
428,237,794263,1
429,237,733249,1
430,237,642283,1
431,237,800464,1
435,237,692730,0.99
441,237,808477,1
443,237,742237,1
444,237,616853,1
448,237,831021,1
451,237,622837,1
452,237,752240,1
454,237,842730,1
455,237,803029,0.97
456,237,989205,0.99
457,237,811258,1
458,237,834948,0.95
459,237,784747,1
460,237,885320,0.98
461,237,856059,0.95
462,237,820160,0.98
463,237,797405,1
464,237,758056,1
465,237,882313,1
466,237,945950,0.98
469,237,942711,1
470,237,780603,1
471,237,760418,1
474,237,679489,1
475,237,832473,1
477,237,753277,0.99
479,237,850656,1
480,237,720008,1
482,237,829698,1
486,237,849768,0.99
487,237,651649,1
489,237,761760,1
490,237,830688,0.99
491,237,871179,1
492,237,644060,1
493,237,689741,1
494,237,800033,0.99
497,237,749496,0.99
503,237,701217,1
504,237,949627,0.96
505,237,927671,1
510,237,932519,0.96
511,237,506404,1
512,237,737886,1
513,237,893961,1
516,237,807825,0.99
517,237,771360,1
518,237,685427,0.98
519,237,754087,1
522,237,774788,0.98
523,237,697787,0.99
524,237,831662,1
525,237,831460,0.99
528,237,811880,1
530,237,676256,1
531,237,852628,1
533,237,747231,1
536,237,874297,0.93
538,237,776002,0.99
539,237,704370,1
540,237,725155,1
541,237,947529,0.92
542,237,680195,1
543,237,878208,1
545,237,977239,0.99
546,237,761550,1
547,237,475138,1
555,237,621544,1
556,237,806114,1
559,237,491099,1
560,237,468700,1
561,237,837142,0.94
562,237,858645,1
566,237,829914,0.97
567,237,791912,1
569,237,833156,1
572,237,938283,0.98
581,237,898339,0.97
583,237,856244,0.97
593,237,691487,1
597,237,743604,1
599,237,756499,1
600,237,666474,1
601,237,899952,0.98
603,237,685928,1
604,237,751631,1
605,237,592550,1
606,237,872756,1
607,237,788493,1
609,237,804578,0.99
610,237,435122,1
611,237,387091,1
613,237,870915,0.99
616,237,767019,0.96
617,237,739960,1
621,237,728107,0.98
623,237,906329,0.99
624,237,956583,0.95
626,237,609776,1
628,237,957025,0.93
629,237,726158,1
631,237,847302,1
632,237,810458,0.98
633,237,655678,0.99
634,237,979030,0.94
636,237,677914,1
638,237,837771,0.99
639,237,883835,0.96
643,237,903347,0.95
644,237,809409,0.97
645,237,753581,1
646,237,857296,0.99
647,237,620169,1
648,237,674076,0.99
649,237,928886,0.94
651,237,788428,1
652,237,802060,1
653,237,814548,0.99
654,237,809644,1
655,237,754749,1
658,237,894984,1
660,237,810717,0.99
