QueryID,EF,Latency(ns),Recall
0,516,4109076,1
1,516,5070892,1
2,516,3700369,1
3,516,5837358,0.99
4,516,7175419,0.91
5,516,3941642,0.99
6,516,4947039,0.95
7,516,7130908,0.97
8,516,4275989,1
9,516,4926858,1
10,516,3301926,1
11,516,3002230,1
12,516,5314326,0.98
13,516,4860291,0.89
14,516,5640695,0.94
15,516,4480864,1
16,516,2883973,1
17,516,4475587,0.99
18,516,8086390,0.95
19,516,3652472,1
20,516,5688048,0.99
21,516,5471461,0.9
22,516,10586317,0.96
23,516,8309900,0.96
24,516,4149951,1
25,516,10923588,0.93
26,516,13890147,0.97
27,516,8618797,0.92
28,516,5316183,0.95
29,516,4219561,1
30,516,3919399,0.99
31,516,8024970,0.97
32,516,5755739,0.97
33,516,3879891,1
34,516,3268681,1
35,516,4391794,0.98
36,516,6322955,1
37,516,6259267,0.95
38,516,3332503,0.99
39,516,9523032,0.96
40,516,2803959,1
41,516,12084319,0.99
42,516,4037573,1
43,516,4259607,0.99
44,516,3789684,0.99
45,516,4174826,1
46,516,6598947,1
47,516,3517838,1
48,516,5095103,0.97
49,516,4837395,0.98
50,516,4916323,0.99
51,516,6438881,1
52,516,4919461,0.98
53,516,4472098,0.99
54,516,3474747,1
55,516,4088601,1
56,516,3750773,1
57,516,4057982,1
58,516,3977592,0.99
59,516,4652679,0.99
60,516,6659856,0.98
61,516,6866540,0.99
62,516,11918058,0.93
63,516,6309416,0.96
64,516,7066787,0.98
65,516,4782835,1
66,516,3778942,1
67,516,7946966,0.96
68,516,11160947,0.94
69,516,4934372,1
70,516,4660749,0.98
71,516,7401795,0.98
72,516,5619759,0.86
73,516,4435204,0.97
74,516,4169920,1
75,516,7734420,1
76,516,4265253,0.98
77,516,5816799,0.99
78,516,4597382,0.99
79,516,9038291,0.95
80,516,4793091,1
81,516,5050772,0.95
82,516,4574720,1
83,516,6277920,0.98
84,516,4265571,1
85,516,4814117,0.99
86,516,5060805,0.97
87,516,4485879,0.98
88,516,4208268,1
89,516,4230865,0.98
90,516,4378161,0.98
91,516,4072745,0.97
92,516,4075522,0.99
93,516,11204474,0.97
94,516,4769718,0.97
95,516,5638973,0.98
96,516,3205210,1
97,516,2840751,1
98,516,4207744,0.99
99,516,5653223,0.95
100,516,5158992,0.92
101,516,5075425,0.99
102,516,4675843,0.92
103,516,4602732,0.93
104,516,5277854,0.98
105,516,5496359,0.96
106,516,9859384,0.91
107,516,3214148,1
108,516,6456622,0.96
109,516,3722932,0.97
110,516,2426591,1
111,516,4090201,1
112,516,4173084,0.94
113,516,3482159,1
114,516,10448716,0.97
115,516,4804990,0.98
116,516,3639373,0.99
117,516,4376758,0.99
118,516,4009617,1
119,516,4778661,0.98
120,516,7306283,0.99
121,516,7297878,0.94
122,516,4244821,1
123,516,5206321,0.89
124,516,7244065,0.97
125,516,7603648,0.97
126,516,6895160,1
127,516,6931590,0.91
128,516,4732256,0.99
129,516,4180490,0.97
130,516,5287394,0.94
131,516,5930796,0.93
132,516,4747672,0.99
133,516,8956210,0.98
134,516,4188612,0.93
135,516,6133566,0.97
136,516,5108743,0.99
137,516,4875048,0.97
138,516,5087078,0.99
139,516,4793770,0.96
140,516,5234735,0.94
141,516,4739098,1
142,516,5012669,0.98
143,516,5478507,0.96
144,516,7614226,0.96
145,516,5338004,0.95
146,516,4746105,0.95
147,516,3079400,1
148,516,6216088,0.98
149,516,3481243,1
150,516,10403600,0.98
151,516,3062065,1
152,516,4351686,0.97
153,516,4077523,0.99
154,516,6081779,0.99
155,516,3958671,1
156,516,5067500,1
157,516,4026630,1
158,516,3696427,0.97
159,516,9225626,0.95
160,516,3199366,1
161,516,2919766,1
162,516,4157553,1
163,516,4404033,1
164,516,4324910,1
165,516,4769174,0.96
166,516,11840955,0.99
167,516,4620181,0.86
168,516,5270548,0.96
169,516,7694941,0.94
170,516,6555564,0.99
171,516,7730354,0.97
172,516,5636336,0.93
173,516,4282928,1
174,516,3994792,1
175,516,3113521,1
176,516,7350410,0.96
177,516,4504307,0.99
178,516,3703669,0.99
179,516,3787301,1
180,516,9277366,0.97
181,516,11668397,0.97
182,516,4200346,0.99
183,516,6426137,0.89
184,516,5420649,0.91
185,516,8621198,0.86
186,516,7191675,0.97
187,516,7857071,0.98
188,516,4848022,0.97
189,516,3723653,1
190,516,3410170,1
191,516,5585061,0.96
192,516,5023265,0.97
193,516,11307032,0.9
194,516,3702287,0.99
195,516,5979647,0.89
196,516,8380098,0.98
197,516,7685632,0.97
198,516,7489506,0.91
199,516,10625224,0.98
200,516,5820266,0.93
201,516,7162655,0.98
202,516,10254416,0.94
203,516,4686658,0.94
204,516,4102808,1
205,516,3733056,0.99
206,516,6964797,0.87
207,516,12040367,0.89
208,516,11387894,0.99
209,516,5601202,0.94
210,516,5685185,0.95
211,516,9678209,0.95
212,516,5495909,0.94
213,516,6297360,0.95
214,516,7161556,0.96
215,516,8221920,0.95
216,516,8640219,0.93
217,516,4541228,0.97
218,516,8327864,0.98
219,516,7840662,0.93
220,516,5514058,0.91
221,516,4960776,0.9
222,516,7762174,0.93
223,516,8424269,0.93
224,516,6533324,0.99
225,516,7926553,0.94
226,516,3491113,0.95
227,516,8325270,0.93
228,516,8383931,0.94
229,516,6591639,0.97
230,516,8984033,0.99
231,516,9889820,0.98
232,516,6207800,0.98
233,516,5022102,0.99
234,516,7626084,0.96
235,516,4023013,0.97
236,516,6860801,0.95
237,516,8581866,0.9
238,516,6431868,0.99
239,516,18747658,0.95
240,516,6736144,0.97
241,516,9900137,0.96
242,516,6794729,0.95
243,516,8117760,0.97
244,516,6733168,0.96
245,516,10348575,0.95
246,516,6440762,0.95
247,516,9357881,0.98
248,516,9292038,0.89
249,516,11776601,0.93
250,516,7240367,0.92
251,516,7972048,0.96
252,516,8417649,0.97
253,516,6807824,0.95
254,516,6268710,0.94
255,516,6274158,0.96
256,516,11989702,0.97
257,516,6761013,0.96
258,516,5948163,0.95
259,516,6613445,0.93
260,516,14963439,0.93
261,516,8405791,0.94
262,516,6211446,0.84
263,516,5152286,1
264,516,6022544,0.94
265,516,7914990,0.98
266,516,7852811,1
267,516,5614269,0.94
268,516,8085671,0.97
269,516,8936340,0.91
270,516,5385312,1
271,516,5537202,0.97
272,516,7050788,0.98
273,516,5340196,0.98
274,516,4722949,1
275,516,5731346,0.96
276,516,5434780,0.99
277,516,7387805,0.94
278,516,5351551,0.97
279,516,5144868,0.98
280,516,4912321,1
281,516,3777719,1
282,516,5922386,0.98
283,516,5060873,1
284,516,4479498,1
285,516,10094868,0.95
286,516,4764279,1
287,516,4847645,0.97
288,516,5430137,0.99
289,516,6625551,0.98
290,516,9227572,0.92
291,516,6286805,0.93
292,516,5507605,0.98
293,516,5410600,0.99
294,516,5360110,0.97
295,516,9139722,0.92
296,516,9121955,0.91
297,516,4840460,0.99
298,516,7303967,0.96
299,516,8108796,0.95
300,516,6394842,0.99
301,516,4713628,1
302,516,8603698,0.85
303,516,4518502,1
304,516,5286776,0.99
305,516,6709725,0.97
306,516,5598337,0.94
307,516,9130782,0.91
308,516,4675064,1
309,516,9692072,0.96
310,516,5405776,0.99
311,516,5947795,0.95
312,516,6134005,0.93
313,516,4856926,0.97
314,516,5321763,1
315,516,7737070,0.99
316,516,3772185,1
317,516,5300151,1
318,516,5033356,0.98
319,516,7198533,0.98
320,516,7830556,0.97
321,516,9386626,0.97
322,516,9414072,0.97
323,516,5532092,0.99
324,516,7785374,0.94
325,516,4839595,0.99
326,516,4599172,1
327,516,4614896,0.98
328,516,5087443,1
329,516,7821465,0.84
330,516,8481083,0.95
