QueryID,EF,Latency(ns),Recall
0,3133,8165242,0.99
1,2357,5923671,0.98
2,1380,3233553,1
3,4733,11911199,0.96
4,4238,10540154,1
5,4790,12281187,0.93
6,1380,2972824,0.99
7,4193,11290448,0.87
8,1380,3412801,0.98
9,4309,10711333,0.96
10,1380,2696114,1
11,4369,11196528,0.95
12,1380,3092238,1
13,1380,3241698,0.98
14,1380,2391213,1
15,1380,2548175,1
16,1380,2791520,1
17,1380,2858945,0.99
18,1380,3441186,0.96
19,1380,2352329,1
20,4290,10095755,0.98
21,1594,3830131,0.98
22,4322,10093151,0.99
23,1380,2486761,1
24,4612,11673974,0.93
25,1380,3407686,0.96
26,1380,2595533,1
27,3334,8131440,0.95
28,1707,4126780,0.93
29,4999,12856238,0.91
30,1380,3337999,0.98
31,4333,10794481,1
32,1380,3204380,0.99
33,1380,3241421,1
34,1380,3436097,0.99
35,1380,3197226,0.99
36,2032,5027744,0.96
37,1380,3111874,1
38,1380,3122956,0.99
39,4728,12256829,0.93
40,4251,10785826,0.96
41,4204,11122288,0.91
42,1380,3265772,1
43,1380,2947224,1
44,1380,3227876,1
45,1380,2765600,1
46,4584,12101048,0.92
47,1380,3280770,1
48,4373,10149411,0.99
49,1380,2677166,1
50,1380,3286143,1
51,1380,2454977,1
52,1380,3230690,0.98
53,1705,4132001,0.97
54,1380,2825729,1
55,2164,5633360,0.92
56,2008,4277751,0.99
57,1380,2432010,1
58,2815,6656538,1
59,4331,10569223,0.98
60,1380,2810668,1
61,1380,3011357,1
62,4356,11167969,0.94
63,1380,2734546,1
64,1380,3060697,0.96
65,4689,11524001,0.99
66,1380,2484018,1
67,1380,3042945,1
68,1380,2896494,1
69,4163,10571674,0.97
70,4805,12485577,0.95
71,1380,1781226,1
72,3148,5571894,1
73,1380,2782310,1
74,1380,2579945,0.99
75,1380,3064147,1
76,1380,3208258,1
77,1380,3229900,1
78,4253,10880667,0.99
79,3868,9285702,1
80,2876,7061877,0.98
81,1380,2807686,1
82,4415,11129781,0.94
83,1380,2279594,1
84,1380,3349589,0.99
85,1380,2465708,1
86,1380,3021146,1
87,1380,3170523,1
88,1380,2684176,1
89,1380,3592116,0.98
90,4327,10922085,0.91
91,1380,2766355,1
92,3942,9638596,0.97
93,1380,3358096,1
94,4987,12066330,0.9
95,1380,3380941,0.96
96,1380,3634354,1
97,1380,2869009,1
98,4834,12138707,0.95
99,1380,2975804,1
100,1380,3801666,0.91
101,4896,12731655,0.94
102,3599,9400386,0.95
103,1380,3338136,1
104,4658,11047241,0.99
105,1380,3773703,0.96
106,1542,3856186,0.98
107,1380,3094501,1
108,1380,3337032,1
109,1380,2797713,0.99
110,4145,10062624,0.99
111,1380,2316352,1
112,1702,3913223,1
113,4779,12511802,0.98
114,4847,11986614,0.96
115,4309,11206731,0.98
116,4361,10529180,0.99
117,1713,3905980,0.91
118,1380,2160334,1
119,4687,10484911,0.99
120,1380,2670585,1
121,1380,3459477,0.99
122,4459,9695904,0.98
123,4325,11798547,0.96
124,3569,6870601,1
125,2128,4337214,1
126,1439,3742772,0.9
127,4660,12219687,0.91
128,1380,2318243,1
129,1380,2944039,1
130,1380,2185006,1
131,1380,2581431,1
132,1380,3422190,1
133,1380,1994609,1
134,4487,9953709,0.98
135,3070,7604861,0.96
136,1380,3185887,0.95
137,1380,3598302,0.99
138,1380,2530055,1
139,3953,10333146,0.97
140,1380,2837394,1
141,1380,2393731,1
142,1380,3221213,1
143,1380,2117722,1
144,1380,3068859,0.92
145,4358,11335820,0.93
146,2987,6863270,0.99
147,1380,2480347,1
148,1380,3231827,1
149,1380,3120139,1
150,1380,2042426,1
151,1380,2767843,0.98
152,1380,3273959,1
153,1702,4401353,0.98
154,3032,6951431,0.99
155,1380,3105088,1
156,1931,5166950,0.97
157,1380,2835960,1
158,4553,9118977,0.99
159,1380,3375132,0.96
160,1380,2915527,1
161,1380,2861258,1
162,1380,3528740,0.96
163,3981,10286190,0.96
164,1380,2235602,1
165,1380,3055369,1
166,1380,3004769,1
167,4919,12107119,0.97
168,4582,12133998,0.9
169,1534,3437262,1
170,2907,7116964,0.97
171,1380,2712730,1
172,4979,13038584,0.85
173,4312,10149898,0.94
174,4385,10800509,0.98
175,2178,4463123,0.99
176,4689,12197721,0.95
177,3398,8388593,1
178,1380,3512992,0.99
179,1380,1977005,1
180,2734,6199486,0.99
181,1380,3395266,0.97
182,1380,2224287,1
183,4195,10654700,0.98
184,1380,2963638,1
185,1380,3246433,1
186,2815,6966453,0.94
187,1380,2830324,1
188,1380,3453225,0.98
189,4816,12611354,0.96
190,4088,10274097,0.94
191,4085,9845635,0.95
192,1380,2986222,1
193,2576,6739625,0.95
194,3578,6865487,0.97
195,1380,3101501,1
196,1380,2766368,1
197,1380,2621505,1
198,4657,11993220,0.93
199,1380,2754875,1
200,4142,10228788,0.98
201,3470,8815186,0.98
202,1380,3138227,0.99
203,4138,10756382,0.92
204,1380,3111518,1
205,1380,1931705,1
206,1380,3370174,0.98
207,1380,2782325,1
208,3854,9496405,0.95
209,1380,3327009,0.95
210,4353,10336760,0.99
211,1380,3326141,0.97
212,1380,3261013,1
213,1380,2546475,1
214,1555,4075273,0.87
215,1620,3936779,0.98
216,3881,9538157,0.98
217,4307,9602276,1
218,1380,2419970,1
219,2635,6549168,0.98
220,1380,3057799,1
221,3711,8880955,1
222,4787,12246509,0.92
223,1380,3265686,1
224,4941,12318238,0.94
225,4880,12607809,0.93
226,1380,2816896,1
227,1380,3001500,0.99
228,4393,10923130,0.9
229,1380,2855212,1
230,1380,3259024,0.99
231,4309,9788213,0.94
232,4601,11519069,0.99
233,1428,3375335,0.98
234,2309,5523581,1
235,2127,5540740,0.97
236,3043,8030343,0.96
237,1380,3119542,1
238,4762,12183610,0.97
239,4095,10852308,0.95
240,1380,3532113,0.95
241,4376,11581922,0.85
242,1380,3143790,1
243,1380,2460838,1
244,1380,3149432,0.99
245,1380,2363379,1
246,1380,2491328,1
247,2376,5765379,0.94
248,1380,2511400,1
249,1380,3321816,0.98
250,1561,3824406,0.99
251,1380,2845967,1
252,4236,6931850,1
253,4753,12516453,0.96
254,1380,3310200,1
255,1380,3293402,0.99
256,1701,3511863,0.99
257,1380,3337979,0.99
258,4341,8298078,1
259,1380,3192265,1
260,2179,5761982,0.93
261,4717,11443396,0.93
262,4346,9260634,1
263,1380,2503373,1
264,2798,6040769,0.98
265,1380,2821755,1
266,1489,3553226,0.96
267,1380,2811133,0.97
268,1380,3074798,1
269,3569,9029967,0.99
270,3862,9022693,0.99
271,1380,3322761,0.98
272,2259,4502504,1
273,1380,3504088,0.99
274,2807,7018008,0.89
275,4413,10036671,0.97
276,1380,3480024,0.98
277,3966,9175339,1
278,1380,2493530,1
279,1380,3055176,1
280,1380,2531167,1
281,1380,2715698,1
