QueryID,EF,Latency(ns),Recall
0,594,1742844,0.96
1,214,600896,1
2,269,781855,0.97
3,214,432153,1
4,907,2848306,0.95
5,214,554794,0.99
6,214,521930,1
7,402,1130514,0.99
8,214,574144,1
9,214,627237,0.98
10,622,1896983,0.96
11,214,630723,1
12,309,912184,0.98
13,355,1062895,0.97
14,214,562578,0.99
15,691,1733264,0.97
16,357,1085560,1
17,214,605432,1
18,214,495819,1
19,214,725582,0.95
20,423,1255220,0.98
21,301,783966,0.99
22,333,1004005,0.99
23,981,2814257,0.97
24,339,1023546,0.98
25,293,878107,0.99
26,214,664772,0.99
27,214,759840,0.97
28,363,1024177,0.99
29,221,673568,0.98
30,661,1945271,0.98
31,639,1534312,0.98
32,234,760432,0.94
33,584,1809307,0.97
34,322,971714,0.95
35,894,2453076,0.99
36,602,1473177,1
37,214,588184,0.99
38,214,713948,1
39,214,691714,0.94
40,214,541930,1
41,214,503546,1
42,214,650541,1
43,214,541614,1
44,214,651820,0.98
45,214,614888,0.99
46,214,665975,1
47,233,795025,0.98
48,214,678248,1
49,214,711513,0.97
50,214,511912,1
51,214,614849,0.98
52,851,2466658,0.96
53,214,534528,1
54,214,552368,1
55,214,552464,1
56,277,852215,0.98
57,214,589817,1
58,661,1749691,0.99
59,609,1784694,0.97
60,475,1311254,0.97
61,511,1588388,0.97
62,214,585548,0.99
63,214,576427,1
64,259,801987,0.97
65,988,2621189,1
66,214,618221,0.97
67,214,534098,1
68,285,873905,0.99
69,233,770069,1
70,907,2836925,0.97
71,635,1844139,0.99
72,214,535760,0.99
73,216,646424,0.98
74,214,597477,1
75,214,622977,0.98
76,563,1733378,0.92
77,214,601469,0.98
78,262,530268,1
79,214,541013,0.99
80,214,643779,0.95
81,981,3255455,0.96
82,280,928296,0.99
83,608,1935052,0.92
84,234,722907,0.99
85,250,844154,0.95
86,214,414169,1
87,661,1957248,0.95
88,412,1152376,0.98
89,550,1597557,0.98
90,214,615012,1
91,214,501349,1
92,259,754071,0.99
93,541,1485908,0.98
94,214,650760,0.98
95,364,872539,0.98
96,214,622032,0.99
97,214,508588,1
98,285,911095,0.97
99,214,665393,0.98
100,826,2422933,0.99
101,214,397541,1
102,297,843476,1
103,880,2626614,0.97
104,529,1144153,0.9
105,214,692163,0.98
106,214,589406,1
107,514,1497312,0.98
108,214,613551,1
109,826,2507210,0.98
110,214,619931,1
111,214,458781,1
112,584,1599763,0.96
113,214,708218,1
114,214,687713,1
115,214,605528,1
116,214,643512,0.98
117,555,1842018,0.98
118,390,1242154,0.97
119,579,1620469,0.94
120,544,1687516,0.98
121,307,957293,0.99
122,214,559321,1
123,638,1638358,1
124,214,589100,1
125,477,1365282,1
126,218,706432,0.99
127,338,967694,0.97
128,303,905174,1
129,524,1447447,0.99
130,214,527900,1
131,214,596531,0.99
132,594,1730016,0.97
133,214,567278,1
134,367,1045770,0.99
135,942,2933843,0.93
136,214,513077,1
137,370,1123085,0.98
138,315,874555,0.94
139,252,777729,1
140,214,430615,1
141,214,643216,0.99
142,252,564230,1
143,374,1059381,0.98
144,274,837077,0.97
145,214,633188,0.99
146,215,743040,0.92
147,654,1991010,0.97
148,263,850496,0.99
149,214,422765,1
150,242,742247,0.99
151,942,1523691,0.99
152,405,1210617,1
153,362,1042294,0.97
154,214,535826,0.96
155,214,548100,0.99
156,548,1506309,0.98
157,214,609090,0.99
158,323,843753,0.96
159,214,667408,1
160,216,641124,0.96
161,661,1934852,0.98
162,331,1142425,0.97
163,214,477806,1
164,448,1394718,0.98
165,767,2258260,0.96
166,474,1446425,1
167,907,2659143,0.96
168,400,1156741,0.99
169,214,518091,1
170,214,648497,1
171,214,589655,1
172,214,629835,1
173,294,1031684,0.87
174,214,565540,0.99
175,214,610590,1
176,214,660283,0.97
177,479,1388490,0.99
178,345,992449,0.98
179,214,650885,1
180,214,633608,1
181,250,809847,0.97
182,416,1174467,0.95
183,214,509600,1
184,274,815673,0.98
185,559,1383227,0.98
186,363,1160466,0.98
187,223,677789,0.97
188,214,604621,0.99
189,214,606101,0.98
190,350,936815,1
191,523,1353210,0.97
192,390,1149377,0.97
193,214,606990,1
194,244,689241,0.96
195,760,2222444,0.97
196,826,2155904,0.98
197,370,930665,0.99
198,594,1629218,1
199,646,1708012,1
200,550,1540386,0.99
201,533,1442872,0.99
202,609,1960486,0.97
203,251,762485,0.97
204,255,777032,0.99
205,338,958086,0.95
206,779,2183324,0.98
207,353,1054204,0.98
208,277,802589,0.98
209,214,403758,0.98
210,434,1232899,0.95
211,455,1324614,0.99
212,563,1755918,0.91
213,221,639978,0.99
214,279,710968,0.97
215,214,616177,0.98
216,214,554986,0.99
217,214,626100,0.98
218,214,616511,0.99
219,522,1487322,0.98
220,264,722162,0.98
221,640,1706339,0.97
222,514,1505975,0.97
223,555,1675405,0.95
224,214,600953,0.99
225,608,1673504,0.98
226,238,742486,0.99
227,493,1397278,0.98
228,337,1070403,0.94
229,335,920035,0.98
230,397,1083678,1
231,214,555492,0.99
232,485,1358042,0.95
233,267,810096,0.98
234,214,657847,0.99
235,285,851852,0.95
236,272,828185,0.93
237,214,598900,1
238,214,657513,0.99
239,214,490021,1
240,214,601068,0.99
241,214,523296,0.99
242,214,419718,1
243,268,811634,0.95
244,214,580715,1
245,214,537841,0.98
246,270,751875,0.96
