QueryID,EF,Latency(ns),Recall
0,1020,6014662,0.99
1,1020,9819980,0.94
2,1020,4668299,1
3,1020,22531710,0.99
4,1020,14171531,0.94
5,1020,5734083,1
6,1020,7704464,0.87
7,1020,7612258,0.96
8,1020,9870293,0.97
9,1020,5012880,1
10,1020,4449182,1
11,1020,5560364,1
12,1020,12406054,0.96
13,1020,6551638,0.87
14,1020,6088043,0.98
15,1020,11124558,0.97
16,1020,6156862,0.99
17,1020,5726947,1
18,1020,15687210,0.89
19,1020,6920592,0.92
20,1020,4726733,1
21,1020,6456980,1
22,1020,22116034,0.98
23,1020,4682863,1
24,1020,25373220,0.96
25,1020,6350095,0.99
26,1020,2782233,1
27,1020,5637248,1
28,1020,14612226,0.95
29,1020,9156682,0.97
30,1020,15296859,0.9
31,1020,18897298,0.99
32,1020,6061387,0.99
33,1020,17896009,0.94
34,1020,3985192,1
35,1020,5111166,0.99
36,1020,9211569,0.91
37,1020,5084955,1
38,1020,9458769,0.97
39,1020,12186306,0.99
40,1020,5619063,1
41,1020,9256325,0.96
42,1020,5668408,1
43,1020,11015951,0.91
44,1020,6202393,0.99
45,1020,10341563,1
46,1020,25872854,0.97
47,1020,5431543,1
48,1020,9123894,0.99
49,1020,6175720,0.98
50,1020,10089950,0.92
51,1020,5690795,1
52,1020,22344105,0.98
53,1020,4845315,1
54,1020,21813250,0.98
55,1020,5365707,1
56,1020,8138114,0.97
57,1020,6591976,0.99
58,1020,3751121,1
59,1020,4139122,1
60,1020,9466565,0.87
61,1020,9325058,0.93
62,1020,5751303,1
63,1020,6013484,0.99
64,1020,8692552,0.98
65,1020,6764050,0.92
66,1020,5286778,1
67,1020,6367312,0.97
68,1020,6927093,0.89
69,1020,5757896,0.98
70,1020,3568386,1
71,1020,7983273,0.91
72,1020,4436046,1
73,1020,6751830,0.96
74,1020,9587318,0.91
75,1020,4430704,0.98
76,1020,8801798,0.9
77,1020,6638602,0.96
78,1020,6053399,0.98
79,1020,4547637,1
80,1020,21454343,0.98
81,1020,6245840,0.99
82,1020,9719801,0.98
83,1020,13736553,0.97
84,1020,6800684,0.96
85,1020,8206382,0.95
86,1020,9111604,0.92
87,1020,8231655,1
88,1020,20223662,0.98
89,1020,4702483,0.99
90,1020,6077684,0.97
91,1020,4513466,1
92,1020,7541657,0.96
93,1020,6500657,0.99
94,1020,14399001,0.88
95,1020,14252077,0.93
96,1020,5966705,0.99
97,1020,7828876,0.89
98,1020,12284198,0.97
99,1020,8719679,0.93
100,1020,25961489,0.99
101,1020,5055120,0.99
102,1020,4137579,1
103,1020,3993369,1
104,1020,14699054,0.86
105,1020,3231315,1
106,1020,6162394,0.99
107,1020,5132286,1
108,1020,6084348,1
109,1020,12525959,0.97
110,1020,6124159,1
111,1020,12016056,0.97
112,1020,12047482,0.98
113,1020,6173590,1
114,1020,6495532,0.96
115,1020,10530454,0.99
116,1020,6157336,0.97
117,1020,16223998,0.95
118,1020,10764281,0.84
119,1020,11765683,0.94
120,1020,10162147,0.96
121,1020,9405875,0.97
122,1020,4753142,1
123,1020,4316097,1
124,1020,4227791,1
125,1020,4320554,1
126,1020,5405094,0.96
127,1020,19526007,0.96
128,1020,6180254,0.98
129,1020,11055354,0.98
130,1020,6697667,1
131,1020,9770756,1
132,1020,20862477,0.96
133,1020,5862741,0.99
134,1020,8037056,0.97
135,1020,13806643,0.94
136,1020,20260345,0.94
137,1020,7016314,0.92
138,1020,4355551,1
139,1020,7807657,0.99
140,1020,4472910,1
141,1020,6734877,0.98
142,1020,6600522,0.99
143,1020,5672381,0.99
144,1020,5170204,1
145,1020,14941110,0.92
146,1020,3866139,1
147,1020,6435385,0.99
148,1020,5559170,0.99
149,1020,7578346,0.92
150,1020,5268737,1
151,1020,6181894,0.98
152,1020,6658954,1
153,1020,5608331,0.98
154,1020,13638083,0.95
155,1020,6246048,0.95
156,1020,4888631,1
157,1020,6748876,0.94
158,1020,3843919,1
159,1020,9091820,0.98
160,1020,10236275,0.94
161,1020,3244990,1
162,1020,8753231,0.98
163,1020,5527198,0.98
164,1020,6392284,0.98
165,1020,7899411,0.95
166,1020,18972338,0.93
167,1020,12817674,0.93
168,1020,5883576,1
169,1020,13885586,0.9
170,1020,6032946,0.99
171,1020,5979229,1
172,1020,8575861,0.96
173,1020,5811919,0.98
174,1020,9119704,0.93
175,1020,16025823,0.95
176,1020,6274005,1
177,1020,6148547,0.97
178,1020,9232837,0.95
179,1020,4291612,1
180,1020,4655796,1
181,1020,5685589,1
182,1020,23613037,0.98
183,1020,7106675,0.92
184,1020,4135664,1
185,1020,5080801,1
186,1020,5230074,0.99
187,1020,4802844,1
188,1020,14409346,0.88
189,1020,10050527,0.91
190,1020,12242698,0.99
191,1020,7183320,0.98
192,1020,5474848,1
193,1020,8062821,0.97
194,1020,6280362,1
195,1020,5877060,0.99
196,1020,6394433,1
197,1020,6173552,1
198,1020,8778786,0.95
199,1020,11306365,0.93
200,1020,10687028,1
201,1020,5852204,0.99
202,1020,6528156,1
203,1020,4270414,1
204,1020,5780227,1
205,1020,7160245,0.96
206,1020,11928243,0.98
207,1020,5663794,1
208,1020,6409409,1
209,1020,6944625,0.96
210,1020,7516720,0.99
211,1020,6244967,1
212,1020,9449272,1
213,1020,5247029,1
214,1020,10893165,0.94
215,1020,6857130,0.97
216,1020,4663038,1
217,1020,4784539,1
218,1020,4894601,1
219,1020,11510575,0.93
220,1020,7323707,0.97
221,1020,17937917,0.92
222,1020,23056603,0.91
223,1020,5525712,0.99
224,1020,8881258,0.99
225,1020,9055079,0.97
226,1020,5108752,1
227,1020,6229240,0.98
228,1020,13532459,0.96
229,1020,5277333,1
230,1020,4278498,1
231,1020,4896625,1
232,1020,11806016,0.95
233,1020,7382447,0.93
234,1020,11980526,0.82
235,1020,19733137,0.98
236,1020,4729056,0.99
237,1020,8190446,0.91
238,1020,7422100,0.95
239,1020,3349618,0.99
240,1020,6660300,0.99
241,1020,10433356,0.96
242,1020,5660241,0.99
243,1020,7314883,0.96
244,1020,14531817,0.94
245,1020,6694826,0.99
246,1020,5946038,0.99
247,1020,7425647,0.99
248,1020,7311683,0.96
249,1020,11180906,1
250,1020,4670053,1
251,1020,19268443,0.94
252,1020,25584343,0.86
253,1020,6116338,0.99
254,1020,6119296,0.99
255,1020,5092373,1
256,1020,5948505,1
257,1020,10754473,0.92
258,1020,6527441,1
259,1020,12832826,0.99
260,1020,5753513,0.99
261,1020,4780967,1
262,1020,10745716,0.96
263,1020,15103864,0.98
264,1020,7526334,0.85
265,1020,5600381,0.99
266,1020,4389371,1
267,1020,6440938,1
268,1020,4698678,1
269,1020,6919578,0.95
270,1020,9280362,0.98
271,1020,6518012,0.97
272,1020,11423607,0.97
273,1020,4280334,1
274,1020,7231338,0.99
275,1020,4369561,1
276,1020,24332608,0.89
277,1020,6387907,1
278,1020,6199662,0.99
279,1020,4530564,1
280,1020,5695983,0.99
281,1020,6964805,0.95
282,1020,17537779,0.99
283,1020,6345199,0.96
284,1020,15452424,0.96
285,1020,6669599,0.97
286,1020,6693458,1
287,1020,6578036,0.99
288,1020,21715146,1
289,1020,13386507,0.95
290,1020,6318585,0.98
291,1020,10816481,0.94
292,1020,8993493,0.96
293,1020,22601165,0.98
294,1020,5757858,0.98
295,1020,5903899,1
296,1020,8311147,0.96
297,1020,5009715,1
298,1020,5473045,1
299,1020,18435388,0.93
300,1020,9633986,0.98
301,1020,26329344,0.94
302,1020,6166320,1
303,1020,4902908,1
304,1020,7214227,0.98
305,1020,6133055,0.91
306,1020,5951094,1
307,1020,11727366,0.98
308,1020,6772194,0.97
309,1020,8937378,0.91
310,1020,3549929,1
311,1020,6714902,1
312,1020,8540480,0.98
313,1020,6265024,0.97
314,1020,18791085,0.94
315,1020,18411190,0.95
316,1020,17461388,0.95
317,1020,19687779,0.94
318,1020,4636337,0.98
319,1020,6250807,0.97
320,1020,6736694,0.97
321,1020,4773241,1
322,1020,7286516,0.99
323,1020,4449705,1
324,1020,19461779,0.95
325,1020,12281726,0.97
326,1020,4817269,1
327,1020,6960577,0.92
328,1020,4864330,1
329,1020,10722023,0.97
330,1020,6059966,1
331,1020,5879462,0.99
332,1020,10465967,0.96
333,1020,5814316,1
334,1020,7053643,0.95
335,1020,6183881,0.96
336,1020,6604865,0.95
337,1020,4565886,1
338,1020,14555719,0.9
339,1020,8142368,1
340,1020,13474553,0.87
341,1020,12885497,0.91
342,1020,6806602,0.95
343,1020,8007009,0.89
344,1020,5639998,1
345,1020,5050510,1
346,1020,6663893,0.97
347,1020,6592226,1
348,1020,5743609,1
349,1020,12937574,1
350,1020,5935831,1
351,1020,3339059,1
352,1020,5230405,1
353,1020,4740845,0.99
354,1020,9681914,0.97
355,1020,5265239,1
356,1020,6614024,0.99
357,1020,16813636,0.97
358,1020,12004242,0.97
359,1020,5542519,1
360,1020,7299551,0.97
361,1020,3188944,1
362,1020,3756271,1
363,1020,11786639,0.93
364,1020,6453520,0.97
365,1020,7389352,0.94
366,1020,5196195,1
367,1020,2795054,1
368,1020,8216384,0.95
369,1020,3712725,1
370,1020,5674909,1
371,1020,6591135,0.99
372,1020,10602784,0.95
373,1020,17691463,0.94
374,1020,17696394,0.98
375,1020,5665532,0.98
376,1020,6274763,0.99
377,1020,8498254,0.97
378,1020,4944402,1
379,1020,6561121,0.94
380,1020,7916768,0.96
381,1020,11021858,0.99
382,1020,10400505,0.97
383,1020,9884393,0.94
384,1020,6544847,0.97
385,1020,6896961,0.89
386,1020,17453857,0.97
387,1020,12049162,0.94
388,1020,7401501,0.84
389,1020,3705375,1
390,1020,6277150,1
391,1020,8254655,0.97
392,1020,9733810,0.98
393,1020,20869580,0.96
394,1020,7220729,0.99
395,1020,8542844,0.98
396,1020,4948538,1
397,1020,5082401,1
398,1020,5999691,0.99
399,1020,10341887,0.9
400,1020,6708402,1
401,1020,8989247,0.99
402,1020,5051728,1
403,1020,6538169,0.95
404,1020,3744055,1
405,1020,23304602,0.98
406,1020,12617276,0.9
407,1020,9742765,0.95
408,1020,6635592,0.95
409,1020,6137925,0.93
410,1020,6012289,0.99
411,1020,4470953,1
412,1020,6576407,0.97
413,1020,6364129,1
414,1020,19301447,1
415,1020,5273959,1
416,1020,6304795,0.98
417,1020,14965615,0.95
418,1020,6063388,0.99
419,1020,19040349,0.97
420,1020,12558738,0.91
421,1020,6217476,1
422,1020,5514535,1
423,1020,6218207,1
424,1020,8383210,0.95
425,1020,6613508,0.98
426,1020,9887268,0.99
427,1020,5147933,1
428,1020,4986327,1
429,1020,6428808,0.99
