QueryID,EF,Latency(ns),Recall
0,625,2190070,0.95
1,628,2818001,0.95
2,294,1427093,1
3,302,1612804,0.94
4,294,1502898,0.97
5,490,2570630,0.98
6,751,3700850,0.99
7,522,2227840,1
8,350,1586851,1
9,624,2879472,0.99
10,294,1483487,0.95
11,989,4451975,0.94
12,294,1576196,0.97
13,294,1466670,1
14,294,1416494,0.99
15,817,3713752,0.97
16,294,1076100,1
17,294,1582383,0.99
18,294,1409482,1
19,972,4547473,0.89
20,294,1394106,1
21,682,1950165,0.99
22,346,1581808,0.99
23,294,1254072,1
24,356,1785047,0.97
25,877,4162633,0.98
26,590,2023358,0.99
27,616,2864387,1
28,641,2899469,0.98
29,294,1443006,0.99
30,294,1515912,0.98
31,905,4070218,0.95
32,294,1211637,1
33,294,1441480,1
34,641,2247950,1
35,294,1195437,1
36,794,3732237,0.96
37,294,1339814,1
38,294,1456783,0.99
39,294,1036467,1
40,294,1308792,1
41,294,1068635,1
42,294,1175625,1
43,294,1331290,1
44,722,3367959,0.99
45,294,1368130,1
46,294,1169986,1
47,476,2221527,0.99
48,294,1042635,1
49,294,1145262,0.99
50,294,1277697,1
51,314,1617077,0.96
52,294,1539569,1
53,569,2630882,0.97
54,561,2687925,1
55,412,1927143,0.99
56,964,4024187,0.97
57,294,935376,1
58,294,1379116,1
59,294,1204372,1
60,294,1507883,0.99
61,294,1329851,0.98
62,378,1807578,0.98
63,294,1477371,0.96
64,1000,4371560,0.89
65,294,1529519,0.94
66,565,2286050,1
67,294,1488769,0.92
68,359,1855172,0.96
69,311,1503467,0.99
70,995,4579830,0.99
71,294,1405070,1
72,400,2022068,0.99
73,294,1333642,1
74,627,2014995,1
75,294,1273006,1
76,304,1556585,0.98
77,294,1103198,1
78,306,1343166,1
79,306,1472174,0.99
80,402,1872680,0.93
81,294,1300952,1
82,294,1311956,0.99
83,478,2318832,0.98
84,860,3238133,0.99
85,294,1333699,1
86,294,980658,0.98
87,733,3167147,0.99
88,294,1447191,0.97
89,368,1104362,0.87
90,294,1332369,1
91,635,2352910,0.99
92,294,1524228,1
93,294,952126,1
94,294,897801,1
95,298,1443658,0.91
96,474,2261757,0.99
97,294,1411517,1
98,415,1862277,0.99
99,294,1349669,1
100,294,1301193,1
101,303,1643315,0.99
102,294,1376745,1
103,601,2718960,0.99
104,307,1431736,0.98
105,294,1542855,1
106,294,1278970,1
107,294,1230857,1
108,294,1313143,0.99
109,294,1532031,0.97
110,345,1657685,0.99
111,294,1160826,0.94
112,294,1347460,0.98
113,294,1393923,0.98
114,913,3980385,1
115,992,4124340,1
116,541,1984601,0.96
117,294,1435812,0.99
118,981,4281782,0.88
119,294,1174870,0.97
120,294,1536322,1
121,294,1322778,1
122,294,1333303,0.95
123,294,1257699,1
124,294,1356403,1
125,294,1500758,1
126,846,4004656,0.96
127,294,1246321,1
128,294,1108327,0.98
129,403,2034369,0.99
130,294,1359714,1
131,941,3813604,0.94
132,294,1055130,1
133,294,1123138,1
134,294,1180208,1
135,294,1402259,1
136,294,1097237,1
137,294,995739,0.86
138,294,1274001,1
139,351,1504698,0.99
140,688,3251045,0.95
141,294,1071176,1
142,944,3647310,0.99
143,294,1063259,1
144,294,1198211,1
145,294,951238,1
146,294,1547561,0.98
147,294,1502016,0.98
148,989,4206971,0.87
149,294,1312817,1
150,690,2800633,1
151,294,1168300,0.86
152,294,1420963,1
153,294,1352321,1
154,294,1213670,0.99
155,294,1529691,0.96
156,294,1427914,0.96
157,475,2260272,1
158,294,1113310,1
159,472,2253238,0.99
160,294,1244381,0.99
161,416,1946448,1
162,294,1497163,0.94
163,294,1454241,0.98
164,294,1398779,0.99
165,294,1417535,1
166,294,1376297,0.99
167,294,1227729,1
168,294,1574685,0.96
169,294,965713,0.98
170,294,1646105,0.99
171,294,1215363,1
172,294,1485144,0.9
173,294,1453687,1
174,644,2611809,0.97
175,294,1528392,0.99
176,444,1965681,0.98
177,783,3368799,0.99
178,389,1677730,0.94
179,620,2625565,0.99
180,937,4155396,0.96
181,294,1446029,0.98
182,294,1415912,0.98
183,587,2516020,0.97
184,338,1481822,1
185,433,1964958,0.98
186,294,967029,1
187,294,768514,1
188,294,1168907,1
189,294,1513928,0.99
190,361,1586167,1
191,625,2535274,0.99
192,294,1302431,1
193,294,1079325,1
194,570,1872818,0.99
195,984,4476816,0.95
196,294,767464,1
197,294,1277572,0.99
198,294,915324,1
199,294,1272768,0.99
200,294,1113580,1
201,294,1142149,1
202,294,1192520,1
203,294,1081147,1
204,294,1253487,0.99
205,294,1154690,1
206,512,2080344,0.9
207,294,1419201,1
208,568,2832061,0.88
209,294,1059767,1
210,294,1016583,1
211,294,1216053,1
212,294,1264310,1
213,609,2901773,0.98
214,294,1351937,1
215,452,1866451,0.99
216,294,1049540,0.91
217,314,1705050,0.95
218,294,1211336,1
219,294,1144547,0.96
220,1000,4437066,1
221,294,1438883,1
222,294,1336464,1
223,294,1092409,0.99
224,767,3491404,0.83
225,800,3187356,1
226,294,1243376,1
227,445,2195610,1
228,994,4250181,0.97
229,978,4046430,0.93
230,406,1988725,0.98
231,294,1384007,1
232,664,2557268,0.98
233,294,1143224,1
234,967,4223154,0.96
235,649,3150494,0.99
236,294,1283408,0.99
237,294,1142338,1
238,428,1844142,1
239,633,2829376,1
240,294,1020063,1
241,294,1314117,1
242,294,1240201,1
243,294,1441063,1
244,683,3008112,0.98
245,936,4519032,0.95
246,294,1175959,1
247,294,1360290,0.99
248,294,1422863,1
249,294,1012596,1
250,294,931074,1
251,514,1497942,0.84
252,294,1386898,1
253,294,1135469,1
254,618,2587510,0.99
255,294,1309832,0.95
256,294,1197561,1
257,294,1333785,1
