dataset,method,ef,avg_recall,5th_perc_recall,1st_perc_recall,avg_lat(ns),lat_5th_rec,lat_1st_rec
cohere,adaptive,1166,0.96002,0.857,0.725,22136917,23866690,34684350
cohere,baseline,1000,0.92403,0.745,0.588,8251472,9826168,12175890
cohere,baseline,1200,0.93793,0.775,0.626,10625684,15054028,14790237
cohere,baseline,1400,0.94781,0.8,0.655,14294560,20338258,18294454
cohere,baseline,1600,0.95493,0.821,0.674,14347720,22274462,17752671
cohere,baseline,2000,0.96438,0.85,0.711,17336430,19421726,24162440
cohere,baseline,2400,0.97077,0.872,0.733,24691444,24634815,33135567
cohere,baseline,2800,0.9749,0.887,0.747,24595071,34294022,31388749
cohere,baseline,3200,0.97799,0.897,0.769,28381165,36700806,42415208
cohere,baseline,3600,0.98035,0.908,0.781,33169075,42948180,44780646
cohere,baseline,4000,0.9822,0.915,0.791,37158359,49823630,55181471
cohere,baseline,4400,0.98376,0.924,0.809,38007406,47860133,50491805
cohere,baseline,4800,0.98517,0.931,0.821,44198465,50531696,54134664
cohere,baseline,5200,0.98618,0.935,0.833,54096417,57830328,76135480
deep-image-96-angular,adaptive,237,0.9782,0.93,0.89,1247688,1629294,2056298
deep-image-96-angular,baseline,100,0.85836,0.6,0.46,309276,347280,366292
deep-image-96-angular,baseline,200,0.93541,0.76,0.63,573945,665450,696090
deep-image-96-angular,baseline,300,0.96194,0.84,0.72,832875,961934,996573
deep-image-96-angular,baseline,400,0.97466,0.88,0.78,1089325,1267798,1323610
deep-image-96-angular,baseline,500,0.98174,0.91,0.82,1341483,1578834,1623850
deep-image-96-angular,baseline,600,0.98614,0.93,0.85,1588154,1857950,1943506
deep-image-96-angular,baseline,700,0.98909,0.94,0.87,1838540,2158706,2248866
deep-image-96-angular,baseline,800,0.99123,0.95,0.89,2086527,2453227,2494090
gist-960-euclidean,adaptive,512,0.96889,0.91,0.87,6080884,7301536,7398011
gist-960-euclidean,baseline,100,0.72887,0.47,0.4,1064023,1199066,1207680
gist-960-euclidean,baseline,200,0.85132,0.65,0.57,1947105,2134595,2172758
gist-960-euclidean,baseline,300,0.90304,0.75,0.67,2787506,3196070,3107195
gist-960-euclidean,baseline,400,0.9308,0.8,0.74,3591141,3967099,4069238
gist-960-euclidean,baseline,500,0.94723,0.84,0.78,4355826,5041814,4028413
gist-960-euclidean,baseline,600,0.95877,0.87,0.81,5118607,5915563,5740290
gist-960-euclidean,baseline,700,0.96656,0.89,0.84,5857283,6937570,5838668
gist-960-euclidean,baseline,800,0.97184,0.9,0.85,6579058,7759005,6094544
gist-960-euclidean,baseline,1000,0.97966,0.92,0.87,7969908,9273472,9135138
gist-960-euclidean,baseline,1200,0.98442,0.94,0.9,9308234,10951431,9694968
gist-960-euclidean,baseline,1400,0.98744,0.95,0.91,10627285,12458789,12114235
gist-960-euclidean,baseline,1600,0.98948,0.96,0.93,11930250,13909254,14016858
gist-960-euclidean,baseline,2000,0.99247,0.96,0.94,14408012,16028113,16659724
glove-100-angular,adaptive,1428,0.97914,0.92,0.87,6118867,10306976,9281918
glove-100-angular,baseline,100,0.69251,0.22,0.12,281292,325713,318666
glove-100-angular,baseline,200,0.78067,0.34,0.23,507877,587726,595425
glove-100-angular,baseline,300,0.8237,0.42,0.31,748795,878198,893592
glove-100-angular,baseline,400,0.85054,0.48,0.36,976953,1157582,1154647
glove-100-angular,baseline,500,0.8701,0.53,0.42,1204023,1430239,1451162
glove-100-angular,baseline,600,0.88486,0.56,0.45,1429674,1706738,1714719
glove-100-angular,baseline,700,0.89637,0.6,0.49,1653506,1963142,1991796
glove-100-angular,baseline,800,0.90594,0.63,0.52,1863003,2214379,2255017
glove-100-angular,baseline,1000,0.92103,0.68,0.57,2325975,2792915,2805604
glove-100-angular,baseline,1200,0.93206,0.72,0.61,2765214,3283248,3275440
glove-100-angular,baseline,1400,0.94086,0.75,0.65,3198410,3812209,3830477
glove-100-angular,baseline,1600,0.94786,0.77,0.69,3652716,4358873,4342298
