QueryID,EF,Latency(ns),Recall
0,1230,19491209,0.958
1,1230,19748769,0.942
2,2166,37544976,0.889
3,1333,24545223,0.768
4,1230,14916255,0.993
5,1230,16207042,0.962
6,2166,25576155,0.996
7,1230,17775669,0.879
8,1230,14180909,0.998
9,1230,14478122,0.953
10,1230,10637595,0.994
11,1230,19756268,0.984
12,1230,16169427,0.97
13,1230,17057228,0.991
14,1230,16312568,0.987
15,1230,15016786,0.955
16,1230,10794220,0.995
17,1230,14564010,0.992
18,2166,33568968,0.993
19,1230,9407327,0.997
20,1230,13236534,0.989
21,1230,23296981,0.967
22,1230,17376810,1
23,1230,20668326,0.984
24,1230,17571713,0.953
25,1230,11619956,0.99
26,1230,15620868,0.995
27,1500,24413966,0.98
28,2166,29714855,0.997
29,1230,22669368,0.975
30,1230,12903197,0.94
31,1230,15669311,0.95
32,1230,17669550,0.985
33,1230,16216426,0.94
34,1333,11804192,0.994
35,1230,22632619,0.984
36,1230,13847517,0.994
37,1230,13587196,1
38,1230,15885706,0.987
39,3666,61417391,0.927
40,2166,25087220,0.974
41,1230,16018133,0.952
42,1230,14522592,0.974
43,1230,9772655,0.999
44,2166,20671436,0.999
45,1230,12091036,0.998
46,1230,18941661,0.998
47,1230,11002645,0.999
48,1230,19612246,0.943
49,1230,12117946,0.994
50,1500,19027477,0.964
51,1230,16742687,0.983
52,1333,22693298,0.959
53,1230,14421354,0.988
54,1230,17138766,0.998
55,1230,14865802,0.993
56,1230,9055934,0.995
57,1230,14702177,0.982
58,1230,14174061,0.992
59,1230,15676670,0.982
60,1230,12276511,0.996
61,1230,15827256,0.978
62,1230,15584494,0.991
63,1500,26074302,0.888
64,1230,14943164,0.995
65,1230,17629324,0.965
66,1230,14943348,0.994
67,1230,14012195,0.995
68,1230,15730488,0.979
69,1230,13404564,0.995
70,1230,18236841,0.992
71,1230,13889385,0.994
72,1230,17610400,0.983
73,1230,18751719,0.97
74,1230,15068572,0.993
75,2333,29762570,0.961
76,1230,12899395,0.993
77,1230,8706395,1
78,1230,10788146,0.988
79,1230,22077727,0.98
80,1230,17934391,0.974
81,1230,15358586,0.985
82,4333,65664503,0.949
83,3666,69094713,0.835
84,1333,23786047,0.606
85,2000,29692136,0.921
86,1230,21102819,0.914
87,1666,21026284,0.977
88,1230,16024689,0.996
89,1230,16759092,0.993
90,1230,15857428,0.946
91,1230,12026350,0.997
92,1500,32942306,0.773
93,2166,38035093,0.951
94,1230,17198487,0.969
95,1500,21844339,0.981
96,1230,22116198,0.657
97,1230,14648454,0.993
98,1333,17697592,0.976
99,1500,39469922,0.952
100,2166,31394682,0.972
101,1230,18648151,0.992
102,1230,16540931,0.99
103,1230,16813297,0.975
104,1500,24147229,0.926
105,2000,28935401,0.889
106,1500,20802778,0.961
107,1230,14296846,0.996
