QueryID,EF,Latency(ns),Recall
0,242,892100,1
1,242,744209,1
2,242,895262,0.99
3,242,740978,1
4,242,890366,0.97
5,242,762080,1
6,242,669238,0.92
7,366,1322136,0.94
8,242,806612,0.98
9,242,876581,0.95
10,242,864316,0.99
11,242,618533,1
12,242,888411,0.98
13,242,734187,0.99
14,242,817844,1
15,242,913104,0.97
16,359,1394134,0.9
17,242,846035,0.96
18,428,1538511,0.96
19,242,865436,1
20,242,831265,1
21,242,451338,1
22,242,785556,1
23,242,858800,0.98
24,395,1383483,0.89
25,250,845060,1
26,242,758468,0.99
27,242,961726,0.88
28,242,924215,0.93
29,242,424830,1
30,425,1521283,0.96
31,242,703052,1
32,242,922202,0.94
33,242,810466,0.98
34,242,510038,1
35,242,860703,0.92
36,366,1313959,0.98
37,242,705496,1
38,242,713889,1
39,242,865140,0.96
40,587,2084770,0.87
41,242,765838,1
42,242,754479,1
43,242,782796,1
44,334,1207675,0.96
45,433,1567836,0.87
46,242,812699,1
47,242,426742,1
48,326,1219051,0.95
49,395,1429215,0.89
50,242,915140,0.92
51,242,870040,0.99
52,242,779515,1
53,242,774176,0.99
54,635,2260223,0.94
55,242,759933,0.97
56,242,677908,1
57,451,1573848,0.87
58,242,747212,1
59,242,624682,1
60,242,850308,0.98
61,242,812612,0.96
62,242,828688,0.99
63,302,1123839,0.83
64,242,709378,1
65,242,724586,1
66,366,1313245,0.97
67,268,1013312,0.96
68,242,904740,0.96
69,401,1452348,0.83
70,242,909252,0.95
71,242,740344,0.99
72,242,877568,0.96
73,242,755750,0.99
74,250,816855,0.95
75,242,852614,0.98
76,366,1240696,1
77,242,740859,1
78,242,873805,0.98
79,242,814412,0.98
80,271,1003158,0.97
81,242,624201,1
82,242,791592,1
83,242,902411,0.98
84,301,1093257,0.92
85,242,745720,1
86,242,779960,0.99
87,242,534860,1
88,242,866091,0.96
89,242,836521,0.91
90,242,858771,0.94
91,366,1257922,0.73
92,301,1048803,0.97
93,524,1773986,0.74
94,242,787955,1
95,301,1067624,0.98
96,242,454327,1
97,242,605574,1
98,310,1064583,0.91
99,242,737203,1
100,242,705020,1
101,242,855266,0.99
102,242,745307,1
103,501,1763754,0.96
104,272,979044,0.94
105,1870,6362333,0.99
106,242,838012,1
107,242,763940,0.99
108,587,2024086,0.85
