QueryID,EF,Latency(ns),Recall
0,5000,13222004,1
1,5000,12196006,1
2,2130,4463524,1
3,4261,11389864,0.96
4,4261,10806661,1
5,4792,12505971,0.92
6,2130,4409339,1
7,4792,12858123,0.9
8,2130,5163073,0.99
9,5000,12553594,0.96
10,2130,3940456,1
11,4261,11021131,0.95
12,2130,4651431,1
13,2130,5259359,0.98
14,2130,3671290,1
15,2130,4172461,1
16,2130,4511021,1
17,2130,4451410,1
18,3137,7531909,0.99
19,2130,3308396,1
20,5000,11891340,0.98
21,2130,4711770,0.98
22,3137,7590869,0.98
23,2130,3654050,1
24,4261,11006295,0.93
25,2130,5121434,0.99
26,2130,3679734,1
27,5000,12175661,0.96
28,2214,5279528,0.94
29,4261,11265618,0.9
30,2299,5466371,0.99
31,5000,12117920,1
32,2130,4685864,0.99
33,2130,4905748,1
34,4261,9931472,1
35,2130,4714541,0.99
36,2130,5219963,0.96
37,2130,4695201,1
38,2130,4812053,1
39,4261,11306677,0.92
40,5000,12710505,0.97
41,4261,10987220,0.92
42,2130,4926689,1
43,2130,4387014,1
44,2130,4947796,1
45,2130,4020192,1
46,4261,11419543,0.91
47,2130,4763616,1
48,5000,11700153,0.99
49,2130,4101595,1
50,2130,4971222,1
51,2130,3606883,1
52,2130,4730010,0.99
53,2299,5487748,0.97
54,2130,4018479,1
55,3137,8083471,0.95
56,2130,4500458,0.99
57,2130,3410590,1
58,3799,8837051,1
59,5000,12351296,0.98
60,2130,4309014,1
61,2130,4521262,1
62,4261,11085685,0.93
63,2130,4055560,1
64,2130,4629076,0.98
65,4261,10730031,0.99
66,2130,3839920,1
67,2130,4408376,1
68,2130,4229960,1
69,5000,12681942,0.97
70,4261,11384219,0.94
71,2130,2651176,1
72,4792,8478042,1
73,2130,4145248,1
74,2130,3711914,1
75,2130,4913239,1
76,2130,4722144,1
77,2130,4518889,1
78,5000,12900092,0.99
79,5000,12055605,1
80,4589,11135725,0.99
81,2130,4132588,1
82,4261,10928865,0.94
83,2130,3767052,1
84,2214,5138813,1
85,2130,3680209,1
86,2130,4620669,1
87,2130,4732988,1
88,2130,3932171,1
89,3799,9293673,1
90,4261,10945730,0.91
91,2130,4046543,1
92,5000,12241941,0.97
93,2130,5122636,1
94,4261,10611901,0.89
95,2302,5649337,0.98
96,4589,11595159,1
97,2130,4611762,1
98,4261,10991293,0.95
99,2130,4391520,1
100,5000,12819305,0.99
101,4792,12719299,0.93
102,5000,13011680,0.98
103,2302,5301353,1
104,5000,12009813,1
105,5000,13085680,1
106,2130,5221862,0.99
107,2130,4469411,1
108,2130,5085664,1
109,2130,4157425,0.99
110,4969,11944660,0.99
111,2130,3468933,1
112,2130,4698887,1
113,5000,12828553,0.98
114,4261,10805363,0.96
115,4792,12580970,0.98
116,5000,12198832,0.99
117,2302,5164986,0.93
118,2130,3154630,1
119,5000,11362686,0.99
120,2130,4076205,1
121,2130,5216834,1
122,2130,4923195,0.95
123,4261,11411606,0.96
124,2130,4314883,1
125,2130,4401678,1
126,3340,8533774,0.96
127,4792,12771475,0.91
128,2130,3342024,1
129,2130,4373797,1
130,2130,3481166,1
131,2130,3789835,1
132,2130,5105390,1
133,2130,2913299,1
134,3137,7051349,0.97
135,4792,11959992,0.97
136,2130,4923888,0.97
137,2130,5539604,0.99
138,2130,4153013,1
139,4261,11241929,0.97
140,2130,4118477,1
141,2130,3609250,1
142,2130,4872508,1
143,2130,3056926,1
144,2214,4779265,0.98
145,4261,11304078,0.95
146,2130,4995311,0.99
147,2130,3750194,1
148,2130,4846486,1
149,2130,4667406,1
150,2130,3005776,1
151,2130,4090859,0.99
152,2130,4882652,1
153,2130,5489451,0.98
154,2299,5329509,0.98
155,2130,4923156,1
156,5000,12459267,1
157,2130,4107411,1
158,2130,4541067,0.98
159,3137,7472001,1
160,2130,4542082,1
161,2130,4454186,1
162,2214,5628402,0.97
163,4261,11195849,0.96
164,2130,3604872,1
165,2130,4754381,1
166,2130,4385668,1
167,4261,11117619,0.95
168,4261,11549623,0.9
169,2130,4650918,1
170,3799,9301104,0.99
171,2130,3988031,1
172,4792,12790691,0.8
173,2130,5206272,0.81
174,5000,12443827,0.99
175,2130,4322659,0.99
176,5000,13177344,0.94
177,3340,8672424,1
178,3340,8134217,1
179,2130,3062761,1
180,2130,4990442,0.98
181,2130,5086874,0.97
182,2130,3419691,1
183,5000,12691566,0.99
184,2130,4351601,1
185,2130,4611544,1
186,3799,9370343,0.96
187,2130,4547453,1
188,2130,5086337,1
189,4792,12841911,0.96
190,5000,12593702,0.97
191,3768,9223015,0.95
192,2130,4518907,1
193,4792,12123103,0.99
194,2130,4263316,0.97
195,2130,4486143,1
196,2130,4147888,1
197,2130,4369587,1
198,4792,12724617,0.92
199,2130,4067502,1
200,5000,12321262,0.98
201,5000,12671634,1
202,2130,4513163,1
203,4261,11284167,0.92
204,2130,4460800,1
205,2130,3437088,1
206,2130,5049680,0.98
207,2130,4145936,1
208,4589,11294770,0.96
209,2130,5018259,0.97
210,3768,9164445,0.99
211,2130,4995989,0.98
212,2130,4832270,1
213,2130,3656125,1
214,4969,12275775,0.97
215,5000,11179435,1
216,3137,7860436,0.95
217,3340,7743673,0.99
218,2130,3442983,1
219,5000,11976065,1
220,2130,4525459,1
221,4261,10232215,1
222,5000,12938303,0.93
223,2130,4888715,1
224,5000,12602460,0.94
225,4261,11212085,0.9
226,2130,4066365,1
227,2130,4441651,0.99
228,5000,12520028,0.9
229,2130,4251349,1
230,2130,4870712,1
231,3768,8704535,0.93
232,5000,12680450,0.99
233,2130,4912618,0.99
234,2130,5103096,1
235,4589,11540310,0.99
236,4261,11151802,0.99
237,2130,4711851,1
238,4792,12408764,0.97
239,4792,12778699,0.98
240,4261,10455005,1
241,4261,11445995,0.83
242,2130,4850068,1
243,2130,3457414,1
244,2130,4691429,1
245,2130,3645141,1
246,2130,3573010,1
247,2130,5119470,0.93
248,2130,3819049,1
249,2299,5515148,1
250,2299,5530481,1
251,2130,4217389,1
252,2130,3533121,1
253,4792,12814096,0.95
254,3340,7584375,1
255,2130,4957216,0.99
256,2130,4208570,1
257,2130,4771537,0.99
258,2130,4433607,1
259,2130,4926380,1
260,4792,12318359,0.97
261,5000,12333332,0.95
262,4589,9775288,1
263,2130,3740188,1
264,3340,7213385,0.99
265,2130,4289592,1
266,2130,5004631,0.96
267,2130,4201195,0.97
268,2130,4507288,1
269,5000,13122072,1
270,4969,11516972,1
271,2130,4969693,0.98
272,2130,4265842,1
273,5000,12117999,1
274,5000,12473802,0.93
275,2130,4943882,0.95
276,3340,8081179,1
277,4589,10318646,1
278,2130,3754901,1
279,2130,4551633,1
280,2130,3783104,1
281,2130,4100294,1
282,2130,4997768,1
283,2130,5020714,0.98
284,2130,4228850,1
285,2130,4399831,1
286,4792,12404766,0.98
287,2302,5328844,1
288,2130,4747561,1
289,2130,4192560,1
290,2130,3382129,1
291,2130,5187123,1
292,4969,12094866,0.97
293,5000,11769382,0.97
294,4792,12619824,0.92
295,2130,4290184,1
296,2130,3565092,1
297,5000,12911853,0.92
298,4792,12719156,0.81
299,2130,4648890,1
300,2130,3812007,1
301,4792,12383944,0.95
302,2130,3245704,1
303,2130,4590149,1
304,5000,12446715,1
305,2130,3575543,1
306,2130,4258265,1
307,2130,4878149,0.99
308,3768,9689107,0.98
309,2130,3791431,1
310,3137,7470707,0.98
311,2130,4408241,1
312,4589,11469043,0.99
313,2130,4429586,1
314,2130,4984781,0.99
315,2130,5292390,1
316,2130,4000630,1
317,2130,4594931,1
318,4589,11138590,0.99
319,4261,10823634,0.95
320,2130,4083106,1
321,2130,3927795,1
322,5000,12250867,0.99
323,2130,5043056,0.99
324,2299,5485392,1
325,4261,10631627,0.95
326,5000,12587681,0.99
327,2130,4463594,1
328,2130,4473116,1
329,2130,4196141,1
330,2130,4317658,1
331,4261,11014070,0.99
332,2130,3561028,1
333,3768,9360074,0.94
334,2130,4237006,1
335,5000,12904687,0.95
336,2130,4578481,1
337,4792,12831247,0.94
338,2130,5122513,0.98
339,2130,5135412,1
340,2214,4924372,1
341,4792,13140153,0.93
342,2302,5463187,0.98
343,3137,8125000,0.95
344,2130,5042463,1
345,4261,10360604,0.95
346,5000,12742916,0.96
347,2130,4515326,1
348,2130,4843087,1
349,2130,4309150,1
350,2130,4264978,1
351,2130,4631707,0.98
352,2302,5380658,0.98
353,2130,5014517,0.98
354,2130,4907030,1
355,4792,12962493,0.94
356,2130,3455632,1
357,3768,8857131,1
358,2130,5252547,0.94
359,2130,4555426,1
360,2130,5001989,0.99
361,2299,5633078,0.99
362,2130,4590771,1
363,2299,5694012,0.99
364,2130,4588755,1
365,2130,4157159,1
366,4792,12728112,0.96
367,2130,3053643,1
368,4261,11091946,0.93
369,2130,4883718,1
370,2130,3909587,1
371,2130,4578834,1
372,2130,3532058,1
373,2302,5651103,0.89
374,2130,2934827,1
375,2130,3449011,1
376,4261,11341628,0.87
377,4589,11538512,0.93
378,2130,5122083,0.89
379,5000,12163728,0.96
380,2130,4706923,1
381,4792,11943192,0.98
382,4792,11737924,0.97
383,3340,7511633,0.99
384,3768,9495936,1
385,2130,3519184,1
386,4969,11214679,1
387,2130,4409580,1
388,5000,12450877,0.95
389,2130,5312490,0.88
390,2130,5188418,1
391,2130,4809670,1
392,4261,11641276,0.89
393,2130,3694910,1
394,2130,3535820,1
395,2130,3720019,1
