QueryID,EF,Latency(ns),Recall
0,256,1153021,0.95
1,452,2071216,0.94
2,256,1221865,0.98
3,701,3197959,0.94
4,256,1255746,0.97
5,256,1473388,0.96
6,536,2665763,0.98
7,256,1220562,0.99
8,256,1194365,1
9,480,2168470,0.95
10,642,2853132,0.97
11,750,3404811,0.96
12,368,1787148,0.98
13,256,1240650,1
14,256,1195547,0.99
15,750,3358856,0.97
16,256,954616,1
17,284,1444605,0.99
18,256,1174981,1
19,1000,4702517,0.88
20,256,1197254,0.99
21,256,942155,0.98
22,256,1174364,0.99
23,368,1302070,1
24,256,1303737,0.94
25,256,1431685,0.95
26,480,1558043,0.99
27,256,1274644,1
28,256,1384509,0.9
29,256,1229624,0.99
30,256,1282438,0.98
31,750,3409716,0.9
32,256,1019456,1
33,256,1180631,1
34,256,1131000,1
35,256,1031291,1
36,319,1609092,0.87
37,256,1164727,1
38,331,1590886,0.99
39,256,872844,1
40,256,1083117,1
41,256,949055,1
42,256,994217,1
43,256,1103963,1
44,345,1740080,0.97
45,256,1170646,1
46,256,988174,1
47,319,1533523,0.97
48,256,907709,1
49,256,981637,0.99
50,256,1077329,1
51,480,2195103,0.97
52,256,1302307,1
53,256,1339459,0.92
54,536,2472836,1
55,256,1303898,0.99
56,256,1394174,0.82
57,256,799084,1
58,256,1178848,1
59,256,1044282,1
60,256,1282549,0.99
61,256,1113864,0.98
62,503,2142389,0.99
63,256,1251189,0.96
64,918,3968941,0.87
65,256,1276638,0.94
66,256,1110745,1
67,368,1684379,0.95
68,256,1333363,0.93
69,256,1238317,0.98
70,331,1832431,0.9
71,256,1172353,1
72,331,1722615,0.98
73,256,1154605,1
74,256,1070417,0.94
75,256,1114805,1
76,319,1530419,0.99
77,256,876216,1
78,256,1146249,1
79,256,1209856,0.98
80,918,3636385,0.97
81,256,1130272,1
82,256,1140392,0.99
83,256,1338658,0.96
84,256,1252305,0.96
85,256,1152078,1
86,256,839588,0.98
87,256,1388605,0.94
88,256,1224701,0.96
89,256,836239,0.84
90,256,1135795,1
91,256,1126112,0.97
92,267,1355201,1
93,256,854297,1
94,256,803846,1
95,256,1202578,0.9
96,256,1289281,0.97
97,256,1221096,1
98,256,1206263,0.98
99,256,1185512,1
100,256,1135019,1
101,256,1387999,0.96
