QueryID,EF,Latency(ns),Recall
0,1230,17807703,0.958
1,1230,28784791,0.942
2,2166,59754703,0.889
3,1333,31824657,0.768
4,1230,16313751,0.993
5,1230,25354191,0.962
6,2166,33357344,0.996
7,1230,26478829,0.879
8,1230,14629094,0.998
9,1230,22416205,0.953
10,1230,16085325,0.994
11,1230,17685410,0.984
12,1230,22172728,0.97
13,1230,22068384,0.991
14,1230,16653716,0.987
15,1230,27296124,0.955
16,1230,14761606,0.995
17,1230,17974134,0.992
18,2166,36735477,0.993
19,1230,16858257,0.997
20,1230,20823030,0.989
21,1230,26143518,0.967
22,1230,18697541,1
23,1230,24510777,0.984
24,1230,29243448,0.953
25,1230,15610075,0.99
26,1230,17410618,0.995
27,1500,31465174,0.98
28,2166,40906824,0.997
29,1230,24093328,0.975
30,1230,17378161,0.94
31,1230,19460158,0.95
32,1230,25169150,0.985
33,1230,24345963,0.94
34,1333,17450368,0.994
35,1230,24980820,0.984
36,1230,18378388,0.994
37,1230,17510886,1
38,1230,19280037,0.987
39,3666,93785341,0.927
40,2166,32996350,0.974
41,1230,23058429,0.952
42,1230,22739490,0.974
43,1230,13448087,0.999
44,2166,31570137,0.999
45,1230,17280508,0.998
46,1230,24065346,0.998
47,1230,17778562,0.999
48,1230,28712952,0.943
49,1230,15533838,0.994
50,1500,28002740,0.964
51,1230,22787818,0.983
52,1333,26882606,0.959
53,1230,22573692,0.988
54,1230,17925666,0.998
55,1230,16687568,0.993
56,1230,11343890,0.995
57,1230,27295119,0.982
58,1230,18372617,0.992
59,1230,18178033,0.982
60,1230,16436183,0.996
61,1230,21453336,0.978
62,1230,18827619,0.991
63,1500,38483831,0.888
64,1230,19839386,0.995
65,1230,20645434,0.965
66,1230,16393974,0.994
67,1230,15984687,0.995
68,1230,19071138,0.979
69,1230,22527034,0.995
70,1230,24736135,0.992
71,1230,15199692,0.994
72,1230,21911525,0.983
73,1230,20286500,0.97
74,1230,20574576,0.993
75,2333,40524136,0.961
76,1230,19656758,0.993
77,1230,12560281,1
