QueryID,EF,Latency(ns),Recall
0,242,843008,1
1,242,705485,1
2,242,859084,0.99
3,242,695669,1
4,242,835396,0.97
5,242,732785,1
6,242,633358,0.92
7,366,1268967,0.94
8,242,759723,0.98
9,242,827037,0.95
10,242,804246,0.99
11,242,593137,1
12,242,822529,0.98
13,242,703640,0.99
14,242,787868,1
15,242,851676,0.97
16,359,1329606,0.9
17,242,806914,0.96
18,428,1460608,0.96
19,242,807052,1
20,242,791903,1
21,242,428310,1
22,242,745605,1
23,242,826780,0.98
24,395,1303122,0.89
25,250,792989,1
26,242,728771,0.99
27,242,902539,0.88
28,242,868873,0.93
29,242,411516,1
30,425,1440589,0.96
31,242,647540,1
32,242,850159,0.94
33,242,765659,0.98
34,242,497518,1
35,242,815496,0.92
36,366,1228073,0.98
37,242,670407,1
38,242,671799,1
39,242,813755,0.96
40,587,1974213,0.87
41,242,725186,1
42,242,727418,1
43,242,741216,1
44,334,1144244,0.96
45,433,1453783,0.87
46,242,758379,1
47,242,416094,1
48,326,1143301,0.95
49,395,1356591,0.89
50,242,864689,0.92
51,242,860582,0.99
52,242,735835,1
53,242,730529,0.99
54,635,2169402,0.94
55,242,716748,0.97
56,242,632368,1
57,451,1492595,0.87
58,242,704440,1
59,242,604878,1
60,242,792650,0.98
61,242,762203,0.96
62,242,783151,0.99
63,302,1054298,0.83
64,242,670976,1
65,242,684642,1
66,366,1251817,0.97
67,268,975223,0.96
68,242,882169,0.96
69,401,1352639,0.83
70,242,883713,0.95
71,242,705709,0.99
72,242,844784,0.96
73,242,703471,0.99
74,250,779524,0.95
75,242,823044,0.98
76,366,1184161,1
77,242,691209,1
78,242,834478,0.98
79,242,780163,0.98
80,271,963752,0.97
81,242,590123,1
82,242,759475,1
83,242,879016,0.98
84,301,1033791,0.92
85,242,706158,1
86,242,745415,0.99
87,242,515953,1
88,242,824726,0.96
89,242,793186,0.91
90,242,814013,0.94
91,366,1174820,0.73
92,301,1008663,0.97
93,524,1678369,0.74
94,242,747809,1
95,301,1018660,0.98
96,242,441118,1
97,242,576559,1
98,310,1005815,0.91
99,242,697068,1
100,242,678234,1
101,242,825631,0.99
102,242,707990,1
103,501,1672909,0.96
104,272,943055,0.94
105,1870,6054761,0.99
106,242,798315,1
107,242,726354,0.99
108,587,1910332,0.85
109,242,743615,1
110,242,802600,0.98
111,242,779341,0.98
112,292,1039560,0.85
113,242,760554,0.99
114,242,775894,1
115,242,757791,1
116,242,877234,0.84
117,242,570244,1
118,242,645447,1
119,250,862231,0.95
120,242,686446,1
121,242,599331,1
122,242,872971,0.99
123,242,757945,0.97
124,242,821240,0.89
125,1153,3577831,0.97
126,401,1310356,0.99
127,242,807933,0.98
128,242,858984,0.84
129,250,866743,1
130,366,1171398,0.97
131,425,1482234,0.96
132,302,1031990,0.88
133,242,815024,0.96
134,242,899914,0.86
135,416,1405393,0.91
136,242,714695,1
137,242,756067,1
138,242,799034,0.98
139,242,786705,1
140,242,850958,0.96
141,242,868877,0.95
142,242,671347,0.98
143,242,889646,0.97
144,242,823065,0.96
145,242,820830,1
146,242,692598,0.98
147,242,839430,0.99
148,334,1111534,0.93
149,242,771458,0.98
150,315,1160165,0.95
151,242,551062,1
152,242,842550,1
153,242,896672,0.94
154,242,891558,0.93
155,242,444110,1
156,242,876089,0.94
157,242,742775,1
158,242,473672,1
159,242,889276,0.99
160,242,705337,1
161,242,819814,0.99
162,242,766876,0.96
163,242,653592,1
164,451,1607644,0.98
165,383,1406495,0.96
166,242,858831,0.95
167,242,856396,0.93
168,315,1219836,0.84
169,520,1814773,0.99
170,242,792095,1
171,250,906946,0.96
172,242,763935,1
173,242,763114,1
174,242,723353,1
175,242,652491,1
176,242,828857,0.92
177,242,607314,0.99
178,242,615894,1
179,242,852948,0.95
180,250,732319,0.99
181,428,1246711,0.88
182,446,1449746,0.98
183,242,867079,0.99
184,242,785071,0.99
185,242,720651,0.9
186,242,668466,1
187,242,766616,1
188,242,883969,0.92
189,242,831832,0.98
190,242,945775,0.94
191,242,589306,1
192,302,1077754,0.87
193,242,851887,0.96
194,242,911824,0.98
195,292,1081867,0.96
196,242,842128,0.95
197,242,642884,1
198,242,562606,1
199,497,1691850,0.97
200,242,828444,0.98
201,497,1645563,0.97
202,242,824342,1
203,2111,6555463,1
204,401,1274509,0.98
205,242,819116,0.98
206,242,722137,0.98
207,310,1076522,0.89
208,242,857377,0.94
209,446,1487721,1
210,242,781179,0.94
211,242,829283,0.97
212,631,2040560,0.78
213,242,761370,0.99
214,242,713623,1
215,271,943946,0.99
216,242,676353,1
217,242,775410,0.99
218,242,797429,0.98
219,242,713438,0.99
220,242,836730,0.99
221,242,595867,1
222,242,731040,1
223,272,871668,0.9
224,242,816789,0.92
225,242,808947,1
226,242,834587,0.94
227,242,551839,1
228,242,775430,0.98
229,242,863014,0.94
230,242,753605,0.99
231,242,861481,0.88
232,366,1189837,1
233,292,1020460,0.94
234,242,829470,0.94
235,301,952804,0.89
236,302,1037750,0.96
237,242,842364,0.89
238,242,906571,0.91
239,242,661438,1
240,242,851342,0.95
241,242,683897,0.98
242,433,1391261,0.96
243,242,539882,1
244,242,802264,0.99
245,242,874070,0.88
246,242,861301,0.92
247,242,589216,0.99
248,242,870355,0.93
249,428,1449121,0.9
