QueryID,EF,Latency(ns),Recall
0,2584,7452801,0.99
1,3106,7679239,1
2,1539,3300186,1
3,4403,11096220,0.97
4,3444,8590976,0.98
5,3680,9547085,0.93
6,1539,3179694,1
7,4987,13126180,0.9
8,3444,8182648,0.99
9,2584,6512806,0.92
10,1539,2855143,1
11,4403,11033492,0.96
12,1539,3305938,1
13,1539,3475855,0.98
14,1539,2531706,1
15,1539,2705136,1
16,1539,3061111,1
17,1539,3059858,0.99
18,1539,3703378,0.97
19,1539,2461612,1
20,3130,7311049,0.95
21,1539,3487377,0.98
22,2699,6454340,0.97
23,1539,2594577,1
24,4645,11658910,0.93
25,1539,3715827,0.99
26,1539,2746232,1
27,3621,8676356,0.96
28,1539,3665528,0.93
29,4645,11942082,0.91
30,1539,3573391,0.98
31,3150,7511432,0.97
32,1539,3400202,0.99
33,1539,3529235,1
34,3680,8486263,1
35,2141,4715028,0.99
36,1539,3749071,0.96
37,1539,3329882,1
38,1539,3351005,0.99
39,4645,11972297,0.93
40,2584,6598536,0.89
41,4403,11142180,0.92
42,1539,3512647,1
43,1539,3266370,1
44,1539,3469379,1
45,1539,2915663,1
46,4645,12121303,0.93
47,1539,3487775,1
48,3150,7435659,0.98
49,1539,2861204,1
50,1539,3542336,1
51,1539,2597915,1
52,1539,3334583,0.99
53,1539,3742317,0.97
54,1539,2963111,1
55,2141,5475345,0.92
56,1539,3270851,0.99
57,1539,2483658,1
58,2141,5030099,1
59,3680,9022133,0.97
60,1539,3039329,1
61,1539,3232868,1
62,3150,8075989,0.92
63,1539,3018835,1
64,1539,3259009,0.96
65,4645,11312577,0.99
66,1539,2670390,1
67,1539,3227202,1
68,1539,3048777,1
69,3680,9334613,0.95
70,4645,12028123,0.94
71,1539,1865352,1
72,1539,2910126,0.99
73,1539,2988183,1
74,1539,2728002,0.99
75,1539,3341831,1
76,1539,3410381,1
77,3106,6310418,1
78,3150,8082420,0.98
79,3130,7529623,1
80,3621,8676003,0.99
81,1539,2958925,1
82,3680,9305055,0.94
83,1539,2463075,1
84,1539,3600600,0.99
85,1539,2597565,1
86,1539,3216199,1
87,1539,3395062,1
88,1539,2870884,1
89,3469,8323690,1
90,3680,9243572,0.92
91,1539,2949917,1
92,3150,7678340,0.94
93,1539,3621651,1
94,3106,7509277,0.85
95,1539,3649240,0.97
96,3444,8594894,1
97,1539,3099839,1
98,3621,9162016,0.91
99,1539,3164168,1
100,2584,6710571,0.95
101,4645,12103061,0.94
102,2584,6785867,0.93
103,1539,3479460,1
104,3106,7494033,0.94
105,3130,7991854,1
106,3106,7408329,0.99
107,1539,3224491,1
108,1539,3580043,1
109,1539,2982223,0.99
110,3130,7644986,0.98
111,1539,2490917,1
112,1539,3461634,1
113,3150,8137291,0.95
114,3680,9152859,0.95
115,4645,11912642,0.98
116,3680,8916248,0.97
117,1539,3429185,0.89
118,1539,2304633,1
119,1539,3501734,0.93
120,1539,2865302,1
121,1539,3735480,0.99
122,1539,3581063,0.95
123,4645,12099771,0.96
124,1539,3235988,0.99
125,1539,3233209,0.99
126,3469,8648188,0.97
127,4403,11507609,0.9
128,1539,2444899,1
129,1539,3128257,1
130,1539,2351754,1
131,1539,2686870,1
132,1539,3636251,1
133,1539,2120839,1
134,4403,9742951,0.97
135,3469,8781716,0.96
136,1539,3522035,0.95
137,1539,3881618,0.98
138,1539,2755187,1
139,4645,11914101,0.97
140,1539,3023200,1
141,1539,2572318,1
142,1539,3550326,1
143,1539,2233238,1
144,1539,3294188,0.94
145,4645,12436343,0.94
146,1539,3598642,0.98
147,1539,2642363,1
148,1539,3468459,1
149,1539,3339238,1
150,1539,2135640,1
151,1539,2930350,0.99
152,1539,3492530,1
153,2141,5432084,0.97
154,1539,3563270,0.97
155,1539,3520586,1
156,3150,7995977,0.99
157,1539,3012703,1
158,1539,3325165,0.97
159,3469,8086483,1
160,1539,3127895,1
161,1539,3068240,1
162,1539,3733797,0.96
163,4645,11833578,0.96
164,1539,2397539,1
165,1539,3318286,1
166,1539,3197019,1
167,5000,12319130,0.95
168,4645,12271393,0.94
169,1539,3347722,1
170,1539,3752327,0.94
171,1539,2878024,1
172,4987,12987861,0.84
173,2584,6178670,0.86
174,2584,6507618,0.97
175,1539,3133630,0.97
