QueryID,EF,Latency(ns),Recall
0,264,1127754,0.95
1,325,1613650,0.91
2,264,1255922,0.99
3,282,1447628,0.92
4,264,1300676,0.97
5,264,1529761,0.97
6,642,3170212,0.98
7,264,1207822,0.99
8,264,1229928,1
9,264,1365086,0.93
10,1000,4328218,0.97
11,491,2318720,0.92
12,264,1387112,0.97
13,264,1294596,1
14,264,1211239,0.99
15,642,2978546,0.95
16,264,975126,1
17,500,2251728,0.99
18,264,1211619,1
19,625,3038689,0.82
20,264,1213428,0.99
21,264,985462,0.98
22,264,1235759,0.99
23,283,1116122,1
24,642,2884557,0.99
25,264,1473068,0.94
26,274,1059436,0.99
27,264,1331395,1
28,267,1450402,0.9
29,264,1282703,0.99
30,264,1329266,0.98
31,582,2727674,0.89
32,264,1060484,1
33,264,1210872,1
34,264,1144358,1
35,264,1065067,1
36,642,2977229,0.94
37,264,1159485,1
38,264,1333713,0.97
39,264,932637,1
40,264,1128990,1
41,264,976672,1
42,264,1027278,1
43,264,1144518,1
44,374,1866987,0.98
45,264,1201014,1
46,264,1024768,1
47,306,1468393,0.97
48,264,913781,1
49,264,1025594,0.99
50,264,1133289,1
51,325,1594650,0.96
52,264,1337919,1
53,264,1415812,0.93
54,1000,4387094,1
55,264,1312747,0.99
56,264,1460926,0.83
57,264,815436,1
58,264,1194069,1
59,264,1093972,1
60,264,1323011,0.99
61,264,1144562,0.98
62,641,2653809,0.99
63,264,1317826,0.96
64,868,3776239,0.86
65,267,1295247,0.94
66,264,1166823,1
67,264,1304343,0.92
68,264,1376737,0.94
69,264,1303946,0.99
70,267,1575562,0.86
71,264,1173877,1
72,264,1389148,0.97
73,264,1192109,1
74,264,1075485,0.94
75,264,1120523,1
76,700,3014053,0.99
77,264,914150,1
78,264,1159392,0.99
79,264,1231215,0.98
80,700,2855826,0.97
81,264,1147265,1
82,264,1163415,0.99
83,264,1428496,0.97
84,264,1277150,0.97
85,264,1158152,1
86,264,879842,0.98
87,264,1429130,0.95
88,264,1272338,0.96
89,264,835422,0.82
90,264,1164688,1
91,264,1161521,0.97
92,264,1326637,1
93,264,851563,1
94,264,801410,1
95,306,1457146,0.91
96,264,1297421,0.97
97,264,1272884,1
98,264,1220799,0.98
99,264,1177304,1
100,264,1152216,1
101,264,1414456,0.96
102,306,1319467,1
103,325,1595674,0.98
104,264,1208254,0.98
105,264,1301471,1
106,264,2377515,1
107,264,1125384,1
108,264,1179005,0.99
109,264,1327166,0.97
110,267,1291707,0.99
111,264,1009224,0.94
112,374,1545590,1
113,264,1259270,0.98
114,641,2914463,0.99
115,264,1231162,0.94
116,264,1166928,0.94
117,641,2589564,0.99
118,630,2826529,0.81
119,306,1190115,0.97
120,466,2185586,1
121,264,1158658,1
122,264,1155520,0.94
123,264,1105416,1
124,264,1188064,1
125,264,1328245,1
126,404,1997945,0.9
127,264,1072457,1
128,264,991184,0.97
129,264,1359495,0.99
130,264,1223822,1
131,625,2689904,0.93
132,264,935789,1
133,264,992540,1
134,264,1061454,1
135,264,1220048,1
136,264,960988,1
137,288,904078,0.86
138,264,1099773,1
139,264,1173914,0.98
140,736,3359981,0.95
141,264,995899,0.99
142,264,1283399,0.84
143,264,937162,1
144,264,1058774,1
145,264,835465,1
146,264,1327289,0.97
147,264,1321836,0.98
148,1000,4195824,0.86
149,264,1154069,1
150,264,1312152,0.99
151,264,1025608,0.85
152,264,1255198,1
153,264,1174245,1
154,264,1084214,0.99
155,642,2914365,0.98
156,1000,4294518,0.99
157,264,1390679,0.95
158,264,1010504,1
159,283,1474958,0.98
160,325,1258914,1
161,264,1362878,1
162,264,1321605,0.94
163,264,1331390,0.99
164,264,1223250,0.99
165,264,1283613,1
166,641,2327714,1
167,264,1091387,1
168,264,1394110,0.96
169,288,894497,0.98
170,264,1430025,0.97
171,264,1103419,1
172,264,1308395,0.88
173,500,2041153,1
174,404,1723403,0.96
175,612,2683898,0.99
176,466,1957742,0.98
177,264,1378071,0.91
178,341,1464606,0.93
179,264,1326087,0.96
180,264,1509188,0.82
181,264,1258915,0.98
182,264,1251865,0.98
183,264,1273413,0.91
184,264,1169729,1
185,264,1309309,0.98
186,264,859169,1
187,264,666001,1
188,264,1068663,0.99
189,264,1347668,0.99
190,264,1178321,0.99
191,264,1265679,0.96
192,264,1163625,1
193,264,997267,1
194,264,977308,0.99
195,1000,4491257,0.95
196,264,729391,1
197,264,1120452,0.98
198,264,852347,1
199,264,1146808,0.99
200,264,996644,1
201,264,1019466,1
202,264,996395,1
203,264,959339,1
204,264,1101199,0.99
205,264,1036654,1
206,283,1281410,0.88
207,264,1257123,1
208,841,3941639,0.93
209,264,937352,1
210,264,924157,1
211,264,1079601,1
212,264,1130906,1
213,1000,4413703,1
214,264,1215330,1
215,264,1245466,0.99
216,288,950160,0.92
217,264,1403401,0.94
218,264,1072017,1
219,288,1063112,0.96
220,264,1549536,0.9
221,500,2045895,1
222,466,1824824,1
223,264,972697,0.99
224,678,3093052,0.83
225,264,1267640,0.97
226,500,1880337,1
227,264,1446176,1
228,264,1529277,0.85
229,700,3049699,0.91
230,264,1361585,0.95
231,264,1213279,1
232,264,1222733,0.97
233,264,989682,1
234,264,1469695,0.76
235,306,1585506,0.97
236,264,1231102,0.99
237,264,1040309,1
238,264,1272771,0.99
239,264,1402652,0.99
240,264,894546,1
241,264,1145982,1
242,264,1112796,1
243,264,1279718,1
244,283,1453145,0.92
245,868,4066979,0.94
246,264,1033108,1
247,264,1206719,0.99
248,264,1238633,1
249,264,848503,1
250,355,1030488,1
251,264,911471,0.77
252,325,1429187,1
253,264,1006793,1
254,466,2015860,0.98
255,1000,3168969,0.98
256,264,1055187,1
257,264,1206522,1
258,1000,3802545,1
259,264,959491,1
260,264,1241692,0.98
261,264,1051644,1
262,264,662446,1
263,264,1290268,1
264,264,1173494,1
265,642,2569434,0.97
266,591,2828252,0.95
267,264,1252409,0.93
268,264,1097725,0.99
269,352,1841288,0.97
270,264,1098366,0.99
271,264,1400967,0.98
272,264,1155052,0.95
273,264,1256198,0.98
274,264,1031368,1
275,336,1596235,0.82
276,264,1232156,0.97
277,264,993079,1
278,264,1023862,1
279,264,1386520,0.89
280,264,1350618,0.97
281,264,1145404,0.99
282,264,1210848,0.99
283,264,1283031,1
284,264,1359345,0.99
285,264,1046025,0.92
286,1000,3878644,0.95
287,264,1489712,0.93
288,264,1368818,0.98
289,264,1183465,1
290,264,907913,0.99
291,264,1458479,0.82
292,264,1186848,1
293,325,1299989,1
294,264,1149755,0.98
295,264,1066018,1
296,288,952784,1
297,264,1025816,0.94
298,404,1389377,0.93
299,264,1100176,1
300,264,965215,1
301,630,2537051,0.99
302,264,1268906,1
303,264,919921,1
304,264,1398520,0.99
305,264,908225,1
306,591,2944164,0.94
307,264,1107991,0.99
308,264,1191713,0.99
309,264,1300929,1
310,1000,4402920,0.98
311,264,1234880,0.99
312,374,1586639,0.99
313,868,4016412,0.94
314,264,1317528,0.99
