QueryID,EF,Latency(ns),Recall
0,1230,16189020,0.958
1,1230,24306244,0.942
2,2166,50944700,0.889
3,1333,26126546,0.768
4,1230,14940827,0.993
5,1230,20046279,0.962
6,2166,30815768,0.996
7,1230,22384668,0.879
8,1230,14364482,0.998
9,1230,17424735,0.953
10,1230,13721992,0.994
11,1230,15908505,0.984
12,1230,20443995,0.97
13,1230,19924021,0.991
14,1230,15164842,0.987
15,1230,21720001,0.955
16,1230,12015374,0.995
17,1230,17023611,0.992
18,2166,33045919,0.993
19,1230,11845345,0.997
20,1230,18588511,0.989
21,1230,24989580,0.967
22,1230,18467904,1
23,1230,20613609,0.984
24,1230,21529400,0.953
25,1230,14381439,0.99
26,1230,16406885,0.995
27,1500,27090981,0.98
28,2166,33320854,0.997
29,1230,21658560,0.975
30,1230,13983929,0.94
31,1230,17230297,0.95
32,1230,22138876,0.985
33,1230,18357734,0.94
34,1333,15694014,0.994
35,1230,22646868,0.984
36,1230,16462267,0.994
37,1230,16983875,1
38,1230,16723199,0.987
39,3666,79784001,0.927
40,2166,28061297,0.974
41,1230,20262813,0.952
42,1230,20855165,0.974
43,1230,13293940,0.999
44,2166,24176933,0.999
45,1230,16187167,0.998
46,1230,21673551,0.998
47,1230,15803373,0.999
48,1230,23718176,0.943
49,1230,12846724,0.994
50,1500,22978886,0.964
51,1230,19241668,0.983
52,1333,22969672,0.959
53,1230,16754615,0.988
54,1230,16231601,0.998
55,1230,14299310,0.993
56,1230,9944584,0.995
57,1230,24212884,0.982
58,1230,14717119,0.992
59,1230,16788861,0.982
60,1230,14140698,0.996
61,1230,18052856,0.978
62,1230,17396946,0.991
63,1500,30479109,0.888
64,1230,17475865,0.995
65,1230,18251782,0.965
66,1230,14622608,0.994
67,1230,14240146,0.995
68,1230,16018701,0.979
69,1230,17139642,0.995
70,1230,20205931,0.992
71,1230,12775043,0.994
72,1230,20085390,0.983
73,1230,17829570,0.97
74,1230,16171445,0.993
75,2333,33737045,0.961
76,1230,18415436,0.993
77,1230,11038318,1
78,1230,12579652,0.988
79,1230,20833282,0.98
80,1230,20478637,0.974
81,1230,17816487,0.985
82,4333,79736266,0.949
83,3666,74660485,0.835
84,1333,26830235,0.606
85,2000,32200591,0.921
86,1230,22841507,0.914
87,1666,28480160,0.977
88,1230,13978349,0.996
89,1230,17227666,0.993
90,1230,18762128,0.946
91,1230,13707074,0.997
92,1500,29957800,0.773
93,2166,46944689,0.951
94,1230,22353190,0.969
95,1500,25684042,0.981
96,1230,26254751,0.657
97,1230,16776577,0.993
98,1333,17945332,0.976
99,1500,37368901,0.952
100,2166,35114135,0.972
101,1230,15960524,0.992
102,1230,17813616,0.99
103,1230,20526188,0.975
104,1500,32716791,0.926
105,2000,32698360,0.889
106,1500,26934590,0.961
107,1230,13590471,0.996
108,1230,18602215,0.991
109,1666,30671853,0.973
110,1230,8961777,1
111,1230,26742082,0.436
112,1230,13787691,1
113,1230,16976677,0.99
114,1230,15119346,0.994
115,1230,20312063,0.944
116,1500,16577650,0.993
117,2500,31361364,0.951
118,1230,15690523,0.99
119,1333,28613588,0.951
120,1230,16405959,0.936
121,2166,39992037,0.935
122,1230,19148125,0.966
123,1230,14072187,0.997
124,1230,18127384,0.991
125,4333,87052470,0.942
126,1333,25130084,0.893
127,1230,15771550,0.996
128,1230,15142002,0.996
129,1230,22485466,0.915
130,1230,17404308,0.975
131,1333,26998223,0.943
132,2166,42108030,0.985
133,1230,16634221,0.951
134,1230,15916156,0.986
135,1230,17004530,0.972
136,1230,19314688,0.976
137,2333,33637510,0.99
138,5000,93808726,0.966
