QueryID,EF,Latency(ns),Recall
0,323,1112853,1
1,323,878694,1
2,323,1074285,1
3,323,848483,1
4,323,1026336,0.98
5,323,906194,1
6,323,783101,0.97
7,576,1830705,0.97
8,323,977622,1
9,323,1026274,0.97
10,323,1018089,0.99
11,323,730569,1
12,323,1017987,0.98
13,323,847228,1
14,323,989533,1
15,323,1065365,0.98
16,427,1543629,0.92
17,323,1015546,0.98
18,527,1704447,0.97
19,323,1014870,1
20,323,980218,1
21,323,481424,1
22,323,902798,1
23,323,1022240,0.98
24,463,1467231,0.93
25,323,958042,1
26,323,882090,0.99
27,323,1121128,0.92
28,323,1089616,0.94
29,323,421257,1
30,543,1773509,0.97
31,323,818416,1
32,323,1044178,0.96
33,323,967295,0.99
34,323,634074,1
35,323,1016207,0.94
36,583,1851587,0.98
37,323,810974,1
38,323,789438,1
39,323,1012833,0.98
40,902,2882399,0.94
41,323,879182,1
42,323,887287,1
43,323,900829,1
44,477,1521974,0.98
45,633,2023834,0.9
46,323,947967,1
47,323,423221,1
48,323,1108300,0.94
49,394,1340137,0.89
50,323,1068689,0.97
51,323,1024603,0.99
52,323,904366,1
53,323,867428,1
54,375,1355853,0.91
55,323,857891,0.99
56,323,790595,1
57,323,1125450,0.82
58,323,872468,1
59,323,710035,1
60,323,984165,0.99
61,323,958008,0.98
62,323,973728,1
63,492,1576691,0.89
64,323,813934,1
65,323,828696,1
66,426,1434934,0.97
67,477,1566346,0.99
68,323,1108399,0.98
69,327,1149259,0.81
70,364,1185409,0.98
71,323,844630,1
72,323,1067504,0.97
73,323,860409,1
74,439,1226531,0.98
75,323,1001740,0.98
76,491,1537946,1
77,323,846004,1
78,323,1050991,0.98
79,323,976681,1
80,446,1452230,0.99
81,323,698589,1
82,323,912924,1
83,439,1412857,1
84,364,1200365,0.93
85,323,873872,1
86,323,933260,0.99
87,323,589981,1
88,323,1034193,0.96
89,323,985217,0.92
90,432,1303156,1
91,554,1747757,0.8
92,432,1326052,0.98
93,499,1608619,0.73
94,323,913898,1
95,576,1749869,0.99
96,323,433498,1
97,323,683996,1
98,323,1063918,0.93
99,323,832384,1
100,323,843750,1
101,323,1003481,1
102,323,863404,1
103,1688,5205390,1
104,438,1387436,0.97
105,1883,6034125,0.98
106,323,977185,1
107,323,840797,0.99
108,902,2799407,0.93
109,323,869389,1
110,323,1012247,0.98
111,323,978504,0.99
112,463,1517133,0.91
113,323,941091,0.99
114,323,948006,1
115,323,944548,1
116,323,1113545,0.89
117,323,681398,1
118,323,805167,1
119,439,1371573,0.99
120,323,821752,1
121,323,721460,1
122,323,1063268,1
123,323,929430,0.99
124,323,1013234,0.91
125,2396,7046482,1
126,483,1513715,1
127,323,998967,1
128,439,1375656,0.94
129,456,1400202,1
130,491,1491939,0.99
131,451,1559095,0.97
132,323,1071435,0.89
133,323,999670,0.99
134,432,1436241,0.93
135,902,2871772,0.97
136,323,874725,1
137,323,908508,1
138,323,932676,0.99
139,323,888591,1
140,432,1279248,1
141,323,1044671,0.98
142,323,814870,0.98
143,323,1065729,1
144,323,1006628,0.97
145,323,965745,1
146,323,833129,0.98
147,323,1007407,1
148,576,1729209,0.97
149,323,904351,1
150,527,1650274,0.97
151,323,646108,1
152,323,1007285,1
153,325,1104819,0.98
154,323,1052608,0.98
155,323,544679,1
156,456,1460995,0.98
157,323,900643,1
158,323,540435,1
159,438,1374550,1
160,323,835242,1
161,323,996565,0.99
162,323,906368,1
163,323,778059,1
164,427,1477413,0.98
165,704,2282842,1
166,323,1040768,0.96
167,323,1061082,0.95
168,394,1331313,0.85
169,569,1932986,0.99
170,323,974526,1
171,456,1389393,0.99
172,323,908979,1
173,323,949929,1
174,323,870205,1
175,323,789558,1
176,323,989617,0.96
177,323,713490,0.99
178,323,698443,1
179,323,1029797,0.97
180,323,858395,0.99
181,491,1360875,0.92
182,394,1289944,0.98
183,323,1052403,0.99
184,323,960190,1
185,323,899139,0.95
186,323,776478,1
187,323,903607,1
188,323,1065688,0.96
189,323,989744,0.98
190,323,1132864,0.96
191,323,716197,1
192,323,1078128,0.87
193,323,1020445,0.99
194,323,1074308,0.99
195,583,1846405,0.98
196,323,1015194,0.97
197,323,752773,1
198,323,646795,1
199,700,2229131,0.99
200,323,1032580,0.99
201,633,1996807,0.99
202,439,1307515,1
203,543,1776689,0.93
204,420,1316961,0.98
205,439,1321681,1
206,323,889781,1
207,327,1114568,0.89
208,323,1067515,0.97
209,420,1382474,0.99
210,323,956553,0.99
211,439,1304269,1
212,1698,5251136,0.91
213,323,931152,1
214,323,868435,1
215,481,1464054,1
216,323,827163,1
217,323,898551,0.99
218,323,968809,1
219,323,882108,0.99
220,323,1055503,0.99
221,323,708472,1
222,323,872760,1
223,491,1404940,0.93
224,323,1016838,0.93
225,432,1274410,1
226,323,1034432,0.97
227,323,681679,1
228,323,969561,0.98
229,323,1073317,0.97
230,323,943735,1
231,323,1063825,0.91
232,576,1721396,1
233,323,1092743,0.94
234,323,1041645,0.97
235,477,1436135,0.93
236,562,1731152,0.99
237,323,1059235,0.93
238,323,1137888,0.98
239,323,799935,1
240,323,1033128,0.96
241,323,854117,0.99
242,492,1536596,0.98
243,323,648107,1
244,323,976633,1
245,432,1357259,0.93
246,323,1077264,0.94
247,323,696005,1
248,439,1421881,0.97
249,490,1621159,0.91
250,323,834041,1
251,323,926557,1
252,323,1041926,0.96
253,323,813315,1
254,323,874502,1
255,323,991763,0.99
256,633,2025153,0.98
257,323,811351,1
258,323,958421,1
259,323,885436,1
260,323,811099,1
261,770,2222194,1
262,323,928972,1
263,323,1043594,1
264,483,1585930,0.96
265,323,925034,0.95
266,323,839513,1
267,323,801430,1
268,323,1007881,0.96
269,761,2436001,0.95
270,323,1077204,0.98
271,836,2570212,0.99
272,323,933180,1
273,323,991671,0.99
274,325,1082204,0.97
275,323,900322,1
276,323,1004824,0.99
277,456,1383859,0.94
278,323,899414,1
279,323,812852,1
280,325,1092973,0.97
281,323,1057060,0.89
282,902,2841548,0.92
283,323,968495,1
284,325,1069279,0.87
285,325,932099,0.95
286,2396,7128648,1
287,432,939229,1
288,323,1042391,0.95
289,323,920147,1
290,323,874450,1
291,323,1126530,0.94
292,323,809309,0.95
293,323,1067241,0.98
294,364,1243560,0.92
295,323,1052074,1
296,439,1309825,0.98
297,323,928469,0.99
298,323,738440,1
299,323,902291,1
300,323,1012770,0.97
301,761,2436817,0.92
302,364,1240247,0.96
303,323,1059602,0.97
304,323,1034156,1
305,323,1115155,0.94
306,456,1622345,0.99
307,323,666220,1
308,323,1045936,1
309,446,1759098,0.93
310,439,1699046,0.97
311,364,1366739,0.99
312,323,1091915,1
313,438,1534887,0.96
314,323,1141875,0.99
315,323,1124808,0.99
316,2396,8039416,1
317,323,1175569,0.97
318,323,1007650,1
319,902,3231226,0.89
320,323,1170992,1
321,323,1175876,0.94
322,323,1012447,1
323,323,969740,1
324,700,2515910,0.99
325,323,758891,1
326,323,988136,1
327,1883,6957224,0.9
328,323,1131644,1
329,323,726864,1
330,785,2780530,0.98
331,351,1355351,0.91
332,323,1017964,1
333,323,1049302,0.97
334,323,1116255,1
335,323,704709,1
336,456,1501853,0.99
337,323,1148256,0.98
338,323,955025,1
339,323,1207558,0.97
340,323,845273,1
341,323,1029940,0.99
342,323,1089447,0.99
343,463,1635417,0.97
344,323,1104755,1
345,323,1093662,0.99
346,323,826159,0.99
347,323,878312,1
348,323,1285880,0.94
349,323,1041249,0.98
350,439,1309456,0.98
351,323,1103807,1
352,323,676913,1
353,439,1489021,1
354,323,1135972,0.94
355,439,1417500,0.99
356,323,1132935,0.98
357,323,1158270,0.88
358,323,966379,1
359,438,1532738,0.95
360,323,1066799,1
361,323,982641,0.99
362,323,1148031,0.96
363,323,1071558,0.98
364,323,1153376,0.97
365,323,1044762,0.97
366,323,988849,1
367,323,1019049,0.99
368,323,999577,1
369,323,1112328,1
370,492,1818122,0.88
371,527,1777740,0.96
372,323,1206905,0.97
373,323,1128185,0.95
374,439,1484464,0.92
375,323,974850,1
376,323,1050227,1
377,323,786324,1
378,323,891505,1
379,323,912572,0.99
380,420,1431346,1
381,323,876295,1
382,323,1124526,1
383,323,983578,0.99
384,439,1338583,0.98
385,323,1123899,0.91
386,770,2705459,0.96
387,323,1084300,0.99
388,323,1249561,0.94
389,323,1131218,1
390,323,1024864,0.99
391,323,1065883,0.96
392,323,1056204,0.99
393,490,1702893,0.95
394,456,1492114,1
395,439,1516202,0.89
396,323,853781,1
397,323,1083208,0.97
398,323,977440,0.99
399,323,1021390,0.99
400,554,2007799,0.92
401,323,1045620,1
402,323,980570,1
403,323,1077215,0.95
404,323,917782,1
405,432,1393450,1
406,420,1479793,0.99
407,323,1102528,0.96
408,323,773454,1
409,323,1099464,0.96
410,323,1046181,1
411,323,1116187,0.99
412,323,1082327,0.97
413,323,1033304,0.99
414,323,1111166,0.97
415,323,904572,1
416,323,1072357,0.98
417,456,1596232,0.95
418,323,961807,1
419,323,1065487,0.99
420,323,948693,0.99
421,323,1115159,0.98
422,323,1003467,1
423,323,1133640,0.91
424,323,824833,1
425,323,820838,1
426,323,1154259,0.94
427,323,980351,1
428,323,960219,1
429,323,859286,1
430,323,708631,1
431,323,1027171,1
432,323,1139130,1
433,323,1061378,0.99
434,323,1061375,0.96
435,323,836684,0.99
436,323,1172756,0.98
437,439,1376492,1
438,323,1037902,1
439,323,1122951,1
440,323,1061540,0.94
441,323,935430,1
442,490,1646156,0.96
443,323,909678,1
444,323,682171,1
445,323,921652,0.99
446,323,1050262,0.98
447,446,1559000,0.96
448,323,1009207,1
449,323,1120894,0.98
450,323,1142257,0.95
451,323,757870,1
452,323,916752,1
453,543,1938375,0.93
454,323,982107,1
455,439,1205641,0.97
456,456,1518395,1
457,323,969175,1
458,456,1303874,1
459,323,957766,1
460,323,1038471,0.98
461,323,1111803,0.97
462,323,960636,0.99
463,323,935967,1
464,323,910574,1
465,490,1531340,1
466,323,1082528,0.98
467,323,1092506,0.97
468,323,1149491,0.95
469,323,1120479,1
470,323,954463,1
471,323,876331,1
472,323,1061625,0.98
473,323,1105944,0.99
474,323,806553,1
475,323,969804,1
476,323,1091552,1
477,323,866167,0.99
478,323,983896,0.91
479,323,979831,1
480,323,832238,1
481,327,1228520,0.82
482,323,987578,1
483,491,1681396,0.99
484,323,1057522,0.98
485,439,1470335,0.99
486,323,992172,1
487,323,759825,1
488,323,1069061,0.94
489,323,913097,1
490,446,1323571,0.99
491,323,999388,1
492,323,767965,1
493,323,830453,1
494,323,993301,0.99
495,481,1626289,0.97
496,323,1032891,0.99
497,323,853327,1
498,323,1097186,0.97
499,323,1139411,0.97
500,446,1520309,0.96
501,327,1207920,0.98
502,323,881513,1
503,323,841618,1
504,499,1668792,0.99
505,456,1495650,1
506,323,1121619,0.99
507,323,1086615,0.96
508,438,1411480,0.99
509,323,1075168,0.97
510,439,1424475,0.99
511,323,595639,1
512,323,895813,1
513,439,1345963,1
514,323,1089194,0.81
515,456,1511016,0.96
516,323,926990,1
517,323,903573,1
518,323,802596,0.98
519,323,828855,1
520,323,1135279,0.92
521,323,997226,0.98
522,323,938562,0.99
523,323,844132,1
524,323,969897,1
525,439,1250031,1
526,323,1187870,0.94
527,323,1004385,0.99
528,323,929406,1
529,323,1049765,0.99
530,323,764121,1
531,323,1016941,1
532,477,1599157,0.92
533,323,871968,1
534,451,1622656,0.86
535,323,1009317,1
536,323,1010194,0.97
537,456,1418190,0.99
538,323,899900,0.99
539,323,817343,1
540,323,826977,1
541,323,1113635,0.93
542,323,829127,1
543,323,1035291,1
544,323,1128812,0.97
545,432,1432311,0.99
546,323,870050,1
547,323,632710,1
548,323,904731,0.97
549,323,1075244,0.93
550,323,1119641,0.94
551,323,1027540,1
552,1883,6135007,0.96
553,323,983180,0.95
554,323,1028127,0.96
555,323,721691,1
556,323,940830,1
557,483,1611221,0.97
558,323,1042197,0.99
559,323,642210,1
560,323,594728,1
561,527,1599679,0.98
562,323,1001066,1
563,323,1033999,0.99
564,456,1499739,0.98
565,439,1243614,1
566,323,964813,1
567,323,907293,1
568,323,1073344,0.99
569,323,947528,1
570,490,1648863,0.82
571,439,1486312,0.89
572,323,1082214,0.99
573,323,1100682,0.98
574,323,998199,0.97
575,323,1111563,0.97
576,527,1784574,0.91
577,323,1074040,0.98
578,483,1651982,0.9
579,577,1891657,0.99
580,456,929007,0.9
581,323,1040520,0.99
582,323,973089,1
583,323,995978,0.98
584,323,935304,0.98
585,323,979373,0.99
586,323,1078682,0.95
587,562,1870300,1
588,323,1007615,0.99
589,481,1585127,1
590,477,1466937,0.99
591,2396,7533992,0.96
592,491,1619262,0.93
593,323,774524,1
594,323,1028071,0.96
595,327,1155060,0.97
596,527,1713705,0.99
597,323,852735,1
598,323,943733,0.98
599,323,880723,1
600,323,775004,1
601,323,1048740,0.98
602,439,1437438,0.98
603,323,780611,1
604,323,844525,1
605,323,673864,1
606,323,1004340,1
607,323,904017,1
608,432,1407326,0.99
609,323,940842,1
610,323,495942,1
611,323,454966,1
612,323,1001071,0.99
613,323,958835,1
614,446,1403342,0.96
615,439,1391019,0.96
616,323,861400,0.99
617,323,832224,1
618,432,1406844,0.98
619,323,1154524,0.9
620,323,1172714,0.81
621,438,1117243,1
622,456,1467840,0.97
623,323,1081600,0.99
624,364,1283344,0.98
625,323,1035877,0.93
626,323,783024,1
627,323,1021990,0.97
628,527,1709711,0.99
629,323,878777,1
630,527,1713106,0.85
631,323,979734,1
632,323,895909,1
633,323,677483,0.99
634,323,1129718,0.99
635,364,1257119,0.9
636,323,778233,1
637,323,1141140,0.98
638,323,959991,0.99
639,323,1035678,0.99
640,323,1097642,0.96
641,323,1064406,0.98
642,323,1074920,0.95
643,323,1044620,1
644,323,912714,0.99
645,323,837712,1
646,323,948254,1
647,323,704669,1
648,323,731350,1
649,432,1405502,0.96
650,463,1548827,0.92
651,323,924843,1
652,323,927963,1
653,323,923946,1
654,323,915241,1
655,323,877961,1
656,323,1023961,0.99
657,481,1577733,0.99
658,323,1036192,1
659,323,916909,0.99
660,323,930015,1
661,323,1060378,0.98
662,323,684655,1
663,323,993755,0.99
664,481,1485499,0.98
665,327,1145874,0.94
666,323,1024704,0.98
667,477,1563870,0.98
668,323,991333,1
669,323,986199,1
670,323,708047,1
671,323,864889,1
672,323,1070110,0.99
673,577,1880747,0.92
674,323,1068364,1
675,576,1832158,1
676,323,861673,0.97
677,323,1085276,0.99
678,323,827852,1
679,323,1096438,0.97
680,770,2424969,0.99
681,808,2736056,0.85
682,323,1124553,0.96
683,456,1424619,1
684,583,1725436,0.84
685,527,1641228,1
686,477,1576656,1
687,463,1476629,0.96
688,456,1255551,0.95
689,499,1708114,0.96
690,477,1570658,0.94
691,323,1058104,0.91
692,323,637641,1
693,323,1041898,0.98
694,323,983878,1
695,456,1363139,1
696,323,774698,1
697,323,1030136,0.99
698,704,2353701,0.91
699,432,1373337,0.98
700,439,1425854,0.98
701,491,1637681,0.99
702,323,472865,1
703,323,938721,0.99
704,323,1012463,0.98
705,323,1102179,0.97
706,323,918383,0.99
707,323,1104489,0.98
708,323,912260,0.99
709,323,823264,0.99
710,323,1016638,0.97
711,323,858710,1
712,323,926454,1
713,323,1003659,1
714,439,1452938,1
715,1883,5918538,0.98
716,323,1015763,1
717,323,887352,1
718,323,1084666,0.99
719,323,976709,0.99
720,420,1327873,0.99
721,499,1626522,0.77
722,323,975886,0.98
723,323,977410,0.97
724,323,940936,0.99
725,439,1466600,1
726,323,831903,1
727,323,1003719,0.97
728,323,1047759,1
729,323,956940,1
730,323,1039594,0.92
731,323,1081760,0.99
732,323,989761,1
733,323,855788,1
734,323,1025868,0.96
735,323,895297,1
736,364,1181284,0.99
737,323,1018083,1
738,323,785887,1
739,323,908594,1
740,364,1172321,0.85
741,323,1022626,1
742,323,975994,0.99
743,323,911340,1
744,323,898941,1
745,323,837499,1
746,323,1028707,0.97
747,770,2490836,1
748,323,756237,1
749,323,1060862,0.96
750,761,2488506,0.98
751,323,1024117,0.98
752,323,827161,1
753,323,996225,1
754,785,2570978,0.95
755,456,1278628,1
756,323,862686,1
757,323,727832,1
758,323,1052953,1
759,323,660410,1
760,323,1017394,0.99
761,323,681175,1
762,456,1321677,1
763,456,1294752,1
764,323,1067253,0.94
765,323,1086851,0.92
766,446,1448914,0.99
767,323,958619,0.97
768,323,801755,1
769,323,1105612,0.96
770,704,2465324,0.88
771,323,785379,1
772,2611,8127947,0.94
773,323,841374,1
774,323,936181,0.99
775,323,935963,0.96
776,323,1096001,0.97
777,323,1004694,0.97
778,323,1087299,0.98
779,323,1057889,0.97
780,323,793842,1
781,323,878029,1
782,439,1328880,1
783,477,1511109,0.97
784,323,936216,0.99
785,323,1107866,0.93
786,439,1362969,0.98
787,323,869804,1
788,323,974743,0.99
789,323,1012801,0.97
790,323,1005144,1
791,323,878958,1
792,325,1070046,0.92
793,325,1097205,0.95
794,477,1534043,0.94
795,323,998022,0.99
796,323,884173,1
797,323,856859,1
798,323,986189,0.98
799,323,940349,0.98
800,323,993789,0.98
801,432,1448265,0.99
802,323,1065311,1
803,323,867674,0.94
804,323,1125971,0.88
805,323,661510,0.99
806,583,1938753,0.98
807,323,484740,1
808,323,806782,1
809,323,741863,1
810,633,2032145,1
811,323,1130392,0.92
812,439,1386349,1
813,323,803926,1
814,323,908758,1
815,323,512730,1
816,323,1054124,0.98
817,323,807394,1
818,323,896287,1
819,323,986756,0.97
820,446,1432353,0.94
821,576,1827430,1
822,323,964804,1
823,323,989868,0.98
824,323,1018228,0.93
825,323,1001737,0.99
826,477,1503410,0.92
827,323,824248,1
828,323,967790,1
829,463,1525365,0.91
830,432,1318345,0.99
831,325,1093476,0.97
832,323,845989,1
833,483,1555556,0.87
834,527,1749062,0.96
835,323,1086136,0.94
836,323,813175,1
837,323,876089,1
838,323,1040063,1
839,432,1378667,0.99
840,323,991512,1
841,323,912085,1
842,323,1033306,0.98
843,323,596646,1
844,323,720661,1
845,323,984987,0.98
846,323,1027968,0.99
847,323,1119196,0.9
848,323,1119843,0.98
849,902,2914330,0.96
850,527,1716864,1
851,323,1113204,0.97
852,323,809316,1
853,323,1096221,0.99
854,323,1113602,0.95
855,323,668642,1
856,364,1169797,0.98
857,323,865290,1
858,323,729312,1
859,323,998610,1
860,439,1356775,0.98
861,323,644143,1
862,323,1047752,0.83
863,323,732785,1
864,323,772903,1
865,323,941525,1
866,323,956901,1
867,323,763386,1
868,902,2835010,0.95
869,323,948280,1
870,323,914548,1
871,323,944469,0.98
872,323,756981,1
873,323,984742,0.99
874,323,946394,1
875,323,629028,1
876,323,471536,1
877,323,659595,1
878,323,966350,0.98
879,323,845434,1
880,325,1059913,0.94
881,323,929440,1
882,323,1096906,0.97
883,492,1601290,0.93
884,456,1441532,1
885,323,763048,1
886,323,941706,0.99
887,323,1035400,1
888,451,1583740,0.95
889,439,1260373,0.96
890,456,1416336,1
891,323,979048,0.99
892,527,1634450,0.93
893,323,737914,1
894,323,1021093,0.99
895,700,2323675,0.97
896,323,861398,0.99
897,323,844337,1
898,481,1451193,0.98
899,323,1051452,0.99
900,323,897454,1
901,439,1324349,1
902,323,1069265,1
903,323,700082,1
904,323,1007521,1
905,576,1840804,0.99
906,323,945972,1
907,323,912467,0.98
908,323,785557,1
909,323,943667,1
910,323,821981,1
911,481,1476800,0.98
912,323,992043,0.99
913,323,1032722,0.92
914,323,879965,1
915,426,1344017,0.95
916,490,1610300,0.96
917,323,856744,1
918,323,976431,0.96
919,323,1020552,1
920,323,919618,0.99
921,323,1034285,1
922,323,1003390,0.93
923,323,740910,1
924,323,972437,1
925,426,1408443,0.84
926,323,929065,1
927,323,1001969,0.99
928,2611,7868262,0.96
929,323,950970,0.99
930,323,1059394,0.96
931,323,1004718,0.99
932,323,841094,1
933,323,947807,1
934,323,1024496,0.98
935,323,918931,0.98
936,323,969115,0.99
937,323,1098248,0.91
938,323,1004334,0.95
939,323,898319,1
940,323,873046,0.98
941,439,1224270,0.98
942,323,1016941,0.99
943,323,985552,0.99
944,323,980743,0.98
945,323,943319,1
946,323,987300,0.99
947,323,1090684,0.98
948,323,929000,1
949,483,1589160,0.97
950,323,921303,1
951,323,888810,1
952,323,902881,1
953,491,1464047,0.94
954,323,927791,0.99
955,323,968698,1
956,323,1194363,0.84
957,323,1053418,1
958,323,850374,1
959,323,977807,0.98
960,432,1326697,0.99
961,323,965354,0.98
962,420,1417324,0.88
963,477,1547433,0.98
964,323,932348,0.99
965,323,857938,1
966,323,1093146,0.95
967,323,787948,1
968,1883,5779933,1
969,577,1866805,0.79
970,323,818095,1
971,323,923720,0.98
972,323,695323,1
973,446,1459396,1
974,1883,6053030,1
975,323,644984,1
976,432,1399333,0.94
977,323,942006,1
978,364,1061218,0.93
979,323,978566,0.95
980,490,1585110,0.97
981,1883,6014784,0.99
982,323,746884,1
983,323,958033,1
984,323,1053478,0.98
985,323,989948,0.99
986,323,981251,0.95
987,456,1188034,1
988,492,1606710,0.96
989,323,837808,1
990,323,1019759,0.95
991,323,994532,1
992,323,949117,0.96
993,323,786780,1
994,327,1119731,0.97
995,477,1377218,0.95
996,323,957455,0.98
997,323,907649,1
998,323,1009903,0.99
999,1883,6188091,0.97
1000,323,947293,1
1001,323,985013,1
1002,323,966098,1
1003,323,835546,0.94
1004,323,1008144,1
1005,323,1066788,1
1006,323,914083,1
1007,323,670332,1
1008,1883,6038350,1
1009,323,795795,1
1010,439,1425398,1
1011,446,1300475,1
1012,323,697686,1
1013,323,879689,1
1014,323,1145152,0.84
1015,394,1218313,0.88
1016,323,793840,1
1017,323,899826,0.98
1018,323,1024057,0.98
1019,323,805717,1
1020,323,925437,1
1021,325,1082741,0.91
1022,323,795784,1
1023,323,872375,1
1024,323,863280,1
1025,323,774075,1
1026,323,724591,1
1027,323,943281,0.99
1028,323,920455,1
1029,323,949733,1
1030,323,937436,1
1031,323,827359,1
1032,323,938954,0.99
1033,323,1066171,0.98
1034,323,906715,1
1035,323,1012052,0.99
1036,323,1097428,0.98
1037,323,1027627,0.94
1038,481,1543123,0.97
1039,492,1644041,0.89
1040,325,1100455,0.92
1041,323,899815,1
1042,323,995834,1
1043,323,1026584,1
1044,323,757246,1
1045,439,1354727,0.97
1046,439,1333112,1
1047,477,1530991,0.98
1048,323,759911,1
1049,323,1008883,1
1050,323,982938,1
1051,323,1022062,0.98
1052,323,729843,1
1053,438,1424730,1
1054,700,2180238,0.95
1055,323,931159,1
1056,323,968684,0.99
1057,323,1000387,0.98
1058,323,917343,1
1059,323,1006367,0.97
1060,323,985069,1
1061,364,1165999,0.97
1062,323,943947,1
1063,323,816865,1
1064,323,669581,1
1065,323,1046829,1
1066,323,986827,0.95
1067,438,1458515,0.95
1068,323,1054301,0.99
1069,323,897911,1
1070,323,611928,1
1071,323,987740,1
1072,323,853464,1
1073,323,882382,1
1074,323,1069201,0.99
1075,323,881772,1
1076,439,1341872,0.97
1077,323,1024918,0.98
1078,323,1034044,0.96
1079,323,925201,0.99
1080,323,947178,1
1081,323,1043473,0.99
1082,323,1037435,0.98
1083,323,1100959,0.97
1084,836,2567839,0.94
1085,323,904336,1
1086,569,1909655,1
1087,323,417766,1
1088,323,854489,0.99
1089,438,1396472,0.97
1090,323,882703,0.99
1091,323,880105,1
1092,323,947918,1
1093,427,1455134,0.92
1094,490,1615044,0.93
1095,432,1279028,1
1096,323,1011617,0.99
1097,323,1015792,0.95
1098,323,864488,0.99
1099,323,1049892,0.84
1100,323,1113488,0.95
1101,323,1074899,0.75
1102,527,1487977,0.98
1103,323,1048333,0.93
1104,323,1063385,0.99
1105,325,1121809,0.99
1106,323,925435,1
1107,323,563245,1
1108,446,1337727,1
1109,323,1010153,0.97
1110,323,1123505,0.98
1111,323,1037951,0.98
1112,323,1049426,1
1113,492,1635509,0.98
1114,323,1046612,0.94
1115,323,992621,1
1116,323,851772,1
1117,323,1154135,0.86
1118,323,629389,1
1119,327,1155674,0.82
1120,323,921045,0.97
1121,323,1052291,0.98
1122,438,1416336,0.9
1123,323,1066159,0.97
1124,323,748379,1
1125,323,1022672,0.96
1126,323,823287,1
1127,323,657697,1
1128,323,924358,1
1129,323,1053479,0.89
1130,438,1413753,0.95
1131,323,947815,0.99
1132,323,758126,1
1133,323,1034708,0.98
1134,323,971536,0.98
1135,323,713009,1
1136,323,1060880,0.98
1137,323,967371,1
1138,527,1367114,0.99
1139,323,939727,0.99
1140,446,1359286,0.88
1141,323,972998,0.99
1142,323,721103,1
1143,323,691040,1
1144,483,1519929,0.98
1145,323,864392,1
1146,700,2243970,0.82
1147,323,923335,1
1148,323,939951,0.99
1149,432,1203652,1
1150,323,1072761,0.97
1151,323,817344,1
1152,323,1064176,1
1153,323,889735,1
1154,527,1646049,0.99
1155,323,881796,1
1156,323,1119448,0.92
1157,323,1013394,1
1158,323,936227,1
1159,323,866102,1
1160,438,1481320,0.97
1161,477,1487958,0.98
1162,323,1052668,0.93
1163,456,1406977,0.99
1164,323,746948,1
1165,323,1099596,0.9
1166,323,934163,1
1167,325,1000459,0.97
1168,456,1248352,1
1169,323,870331,1
1170,323,1084633,0.92
1171,323,971340,0.99
1172,323,861105,1
1173,323,897531,1
1174,323,919441,1
1175,323,1008494,0.98
1176,323,778504,1
1177,323,889218,0.99
1178,323,1064201,0.97
1179,323,962873,0.98
1180,323,881755,1
1181,325,1108628,0.96
1182,432,1308615,0.96
1183,323,733505,1
1184,323,764196,1
1185,323,1158377,0.96
1186,323,820631,1
1187,323,672129,1
1188,323,901544,0.99
1189,323,1023730,0.98
1190,323,1004761,0.99
1191,323,933090,0.98
1192,456,1408327,0.99
1193,323,1045616,0.96
1194,323,1127966,0.44
1195,323,860755,1
1196,323,881749,1
1197,323,960456,0.99
1198,323,627164,1
1199,323,961425,1
1200,1698,5232045,0.99
1201,323,1066243,0.94
1202,549,1786491,0.98
1203,543,1827762,0.98
1204,323,1033318,0.97
1205,323,1062944,0.98
1206,481,1565412,0.94
1207,323,887900,0.99
1208,323,875520,1
1209,323,899518,0.99
1210,323,888296,1
1211,323,1029454,0.98
1212,439,1265437,0.97
1213,323,1054133,0.96
1214,438,1270875,0.92
1215,527,1696267,0.95
1216,323,766885,1
1217,323,924104,1
1218,323,835406,0.99
1219,432,1275159,0.96
1220,323,897339,1
1221,323,778061,1
1222,902,2907732,0.84
1223,323,781904,1
1224,323,1007805,0.99
1225,323,564675,1
1226,323,703635,1
1227,554,1834904,0.89
1228,323,972332,1
1229,323,1007354,0.98
1230,633,2081159,0.89
1231,577,1897894,0.91
1232,439,1325875,0.98
1233,323,1032131,0.95
1234,323,1051264,0.93
1235,323,1196849,0.99
1236,481,2142719,0.92
1237,492,2216162,0.99
1238,323,1243242,1
1239,576,2445157,0.97
1240,323,860573,1
1241,439,1851108,0.96
1242,323,1171155,0.98
1243,527,2233733,0.98
1244,323,1453157,0.93
1245,323,1116582,1
1246,323,1359079,0.87
1247,323,1427226,0.93
1248,323,1118697,1
1249,1688,6812421,0.94
1250,323,1263445,1
1251,323,926933,1
1252,323,1429206,0.94
1253,1883,7512089,0.99
1254,323,1279680,1
1255,323,1238230,1
1256,323,1303355,0.99
1257,451,1705491,0.98
1258,323,1311727,0.99
1259,323,1175272,1
1260,323,1199224,1
1261,491,2047853,0.98
1262,323,1150924,1
1263,323,1225412,1
1264,323,1139361,1
1265,325,1409948,0.94
1266,323,1321327,0.97
1267,323,1355250,0.98
1268,323,793240,1
1269,323,1162015,0.99
1270,325,1383964,0.93
1271,323,1050558,1
