QueryID,EF,Latency(ns),Recall
2,1651,3526073,1
6,1651,3439108,1
8,1651,3971008,0.98
10,1651,3064518,1
12,1651,3550742,1
13,1651,3780062,0.98
14,1651,2756804,1
15,1651,2980421,1
16,1651,3372861,1
17,1651,3347454,0.99
19,1651,2631380,1
21,1651,3738689,0.98
23,1651,2794844,1
25,1651,3968388,0.98
26,1651,2936177,1
28,1651,3965245,0.93
30,1651,3903899,0.98
32,1651,3667076,0.99
33,1651,3780268,1
35,1651,3657868,0.99
36,1651,4040778,0.96
37,1651,3661636,1
38,1651,3643424,0.99
42,1651,3802109,1
43,1651,3408849,1
44,1651,3763613,1
45,1651,3147710,1
47,1651,3746704,1
49,1651,3104242,1
50,1651,3837960,1
51,1651,2791445,1
52,1651,3678669,0.99
53,1651,3909636,0.97
54,1651,3160541,1
56,1651,3537185,0.99
57,1651,2684251,1
60,1651,3284566,1
61,1651,3493730,1
63,1651,3242968,1
64,1651,3579024,0.97
66,1651,2911389,1
67,1651,3477740,1
68,1651,3272931,1
71,1651,2017313,1
73,1651,3338781,1
74,1651,2907570,0.99
75,1651,3645300,1
76,1651,3684719,1
77,1651,3566167,1
81,1651,3216905,1
83,1651,2884420,1
84,1651,3878437,0.99
85,1651,2813570,1
86,1651,3502861,1
87,1651,3662750,1
88,1651,3090471,1
91,1651,3182316,1
93,1651,4091091,1
95,1651,3935451,0.97
97,1651,3394290,1
99,1651,3442176,1
103,1651,3761554,1
106,1651,4031215,0.98
107,1651,3481621,1
108,1651,3891956,1
109,1651,3183403,0.99
111,1651,2694237,1
112,1651,3733109,1
117,1651,3674761,0.91
118,1651,2446073,1
120,1651,3113350,1
121,1651,4003865,1
122,1651,3836807,0.95
124,1651,3392557,1
125,1651,3445610,1
128,1651,2654611,1
129,1651,3367940,1
130,1651,2571095,1
131,1651,2919533,1
132,1651,3949165,1
133,1651,2259655,1
136,1651,3752393,0.96
137,1651,4233246,0.99
138,1651,3064513,1
140,1651,3246902,1
141,1651,2769054,1
142,1651,3782328,1
143,1651,2386671,1
144,1651,3571274,0.94
146,1651,3878368,0.98
147,1651,2864727,1
148,1651,3752727,1
149,1651,3611594,1
150,1651,2314635,1
151,1651,3161476,0.99
152,1651,3785248,1
