QueryID,EF,Latency(ns),Recall
0,256,1119581,0.95
2,256,1220062,0.98
4,256,1233617,0.97
5,256,1466742,0.96
7,256,1194263,0.99
8,256,1187933,1
13,256,1245419,1
14,256,1193481,0.99
16,256,953043,1
18,256,1174524,1
20,256,1185716,0.99
21,256,938104,0.98
22,256,1170918,0.99
24,256,1299273,0.94
25,256,1424532,0.95
27,256,1281448,1
28,256,1383401,0.9
29,256,1228040,0.99
30,256,1279421,0.98
32,256,1011428,1
33,256,1180129,1
34,256,1116240,1
35,256,1029732,1
37,256,1164956,1
39,256,867125,1
40,256,1090369,1
41,256,911399,1
42,256,988468,1
43,256,1100713,1
45,256,1159093,1
46,256,981035,1
48,256,901669,1
49,256,978290,0.99
50,256,1076142,1
52,256,1294696,1
53,256,1342420,0.92
55,256,1281152,0.99
56,256,1391032,0.82
57,256,792367,1
58,256,1174410,1
59,256,1038380,1
60,256,1276792,0.99
61,256,1118158,0.98
63,256,1246120,0.96
65,256,1257992,0.94
66,256,1100801,1
68,256,1334381,0.93
69,256,1212473,0.98
71,256,1184505,1
73,256,1142294,1
74,256,1054285,0.94
75,256,1103303,1
77,256,870034,1
78,256,1136745,1
79,256,1198039,0.98
81,256,1136812,1
82,256,1127741,0.99
83,256,1330323,0.96
84,256,1243896,0.96
85,256,1151332,1
86,256,836982,0.98
87,256,1385916,0.94
88,256,1220033,0.96
89,256,818851,0.84
90,256,1141211,1
91,256,1122324,0.97
93,256,839765,1
94,256,782041,1
95,256,1210086,0.9
96,256,1262462,0.97
97,256,1220244,1
98,256,1187296,0.98
99,256,1164114,1
100,256,1104447,1
101,256,1378231,0.96
104,256,1169460,0.98
106,256,1035161,1
107,256,1042645,1
108,256,1100115,0.99
109,256,1284577,0.98
110,256,1215371,0.99
111,256,959191,0.94
113,256,1185094,0.98
115,256,1166029,0.93
116,256,1098172,0.94
120,256,1320223,1
121,256,1117768,1
122,256,1109541,0.94
123,256,1069304,1
124,256,1152632,1
125,256,1260264,1
127,256,1084891,1
128,256,967270,0.97
129,256,1333611,0.98
130,256,1175379,1
132,256,946901,1
133,256,954029,1
134,256,1026193,1
135,256,1189346,1
136,256,938865,1
137,256,829820,0.85
138,256,1102637,1
139,256,1141355,0.98
141,256,920932,0.99
143,256,903251,1
144,256,1022851,1
145,256,811918,1
146,256,1291364,0.97
149,256,1108426,1
150,256,1300098,0.99
151,256,1009510,0.84
152,256,1214845,0.99
153,256,1150839,1
154,256,1057100,0.99
158,256,980374,1
159,256,1356000,0.97
161,256,1329114,1
162,256,1293375,0.94
164,256,1201174,0.99
165,256,1217462,1
167,256,1049063,1
168,256,1380008,0.95
169,256,825038,0.98
