QueryID,EF,Latency(ns),Recall
0,3205,29315407,0.99
1,2000,33167541,0.975
2,3532,68967949,0.935
3,2780,53180104,0.872
4,1987,17984962,0.997
5,2568,31955256,0.989
6,1977,24425797,0.998
7,3724,48195964,0.986
8,1076,10851789,0.997
9,1898,20670324,0.981
10,2138,18889971,0.997
11,1494,17771245,0.987
12,1576,23204382,0.98
13,1282,19321363,0.99
14,1321,12510498,0.991
15,1866,22742151,0.977
16,1143,10436566,0.996
17,2166,26442034,0.999
18,1395,19118936,0.992
19,1014,9129617,0.999
20,1242,16867664,0.99
21,1997,32804468,0.985
22,1788,23795825,0.999
23,1880,26991629,0.99
24,2000,29980832,0.985
25,2755,22537864,1
26,1166,14963713,0.997
27,1840,35666669,0.986
28,1170,14337902,0.986
29,1619,24596072,0.989
30,2037,21175518,0.969
31,2219,29456879,0.981
32,1653,28143367,0.992
33,1542,22478627,0.957
34,1341,12779163,0.995
35,1650,25786877,0.99
36,1138,12851779,0.989
37,1000,15863054,0.994
38,1076,14611796,0.983
39,3018,63292653,0.913
40,1704,23946897,0.96
41,2029,32846138,0.981
42,2646,34054133,0.993
43,1291,11106229,0.998
44,1497,17048934,0.996
45,1074,15003452,0.993
46,1192,18376904,0.999
47,1856,17695218,0.999
48,1602,25461108,0.953
49,1599,14658750,0.997
50,1549,24018675,0.969
51,3743,46364151,1
52,2989,41129354,0.987
53,1951,23431380,0.998
54,1553,17040949,0.997
55,1828,19178055,0.998
56,2098,17961204,1
57,1328,23559358,0.986
58,3615,36696953,1
59,1000,11880655,0.974
60,1273,13676669,0.996
61,1333,17237091,0.978
62,1319,16990176,0.993
63,3541,62694007,0.966
64,1037,14570881,0.993
65,2026,26223331,0.989
66,1579,14481465,0.998
67,1978,18121918,0.999
68,2000,24591165,0.997
69,2000,22040635,0.998
70,1072,16089414,0.985
71,2094,18237014,0.998
72,1500,21710855,0.993
73,1594,17935672,0.981
74,1123,15752286,0.986
75,2161,29232850,0.964
76,1003,12874297,0.988
77,1000,8433414,0.996
78,1349,11583521,0.99
79,1521,23190591,0.982
80,2787,41401165,0.996
81,1278,17731544,0.987
82,2374,40393539,0.915
83,2837,60832380,0.799
84,3949,73388669,0.778
85,2863,43820473,0.932
86,2342,37318513,0.968
87,1375,21868198,0.974
88,1000,11576595,0.995
89,2000,26637411,0.997
90,3644,40041398,0.992
91,3447,31167572,1
92,2219,41801025,0.84
93,2180,40524296,0.947
94,4014,53526681,0.998
95,1578,28975799,0.987
96,4038,73951229,0.822
97,2082,20370598,0.997
98,1655,20701958,0.988
99,1760,37587964,0.969
100,1922,33400214,0.962
101,1098,13084196,0.991
102,1498,18681316,0.992
103,1469,22677727,0.983
104,1933,45812211,0.946
105,3328,47192440,0.936
106,1519,27390271,0.963
107,1285,12744643,0.997
108,2160,31897365,0.996
109,1822,32912442,0.979
110,1000,8247437,0.998
111,2648,68997190,0.775
112,1306,12208291,1
113,2000,23723462,0.998
114,2166,22350386,0.999
115,2623,39934411,0.979
116,1128,11747716,0.989
117,2220,29924677,0.946
118,1637,18038231,0.993
119,1988,38111912,0.965
120,3120,33257517,0.993
121,2000,37546505,0.899
122,1594,21862812,0.985
123,2075,24529179,0.998
124,2648,35519737,0.996
125,1718,36125871,0.882
126,2748,46666550,0.965
127,1110,13256589,0.992
128,1544,16787690,0.995
129,2375,36701679,0.959
130,1412,21820325,0.985
131,1788,33686515,0.965
132,1640,30778087,0.977
133,3556,42251401,0.988
134,1000,11896364,0.976
135,2592,33846607,0.996
136,3566,39427544,0.999
137,2000,30233455,0.986
138,2651,54883058,0.945
139,2370,38739653,0.972
140,1099,17040733,0.992
141,2548,17317168,0.994
142,2000,33951872,0.971
143,1172,16024967,0.975
144,1983,36292150,0.989
145,2000,34010769,0.975
146,3424,68809164,0.922
147,2048,38415474,0.986
148,1137,18711342,0.928
149,2028,29916480,0.933
150,2094,34464399,0.957
151,2005,21478176,0.994
152,3123,48672023,0.979
153,1880,27373302,0.996
154,1630,23994335,0.917
155,2663,40163039,0.963
156,1188,18988940,0.983
157,1829,33826249,0.986
158,1845,26685123,0.946
159,1811,25963628,0.999
160,1161,13337870,0.995
161,2037,25006638,0.995
162,1240,18426276,0.97
163,2328,33366975,0.966
164,1082,15385469,0.983
165,4083,68678134,0.986
166,2708,39762529,0.993
167,1573,19774492,0.999
168,1666,23318847,0.991
169,1989,43979248,0.94
170,2178,30904058,0.985
171,3535,37629363,0.998
172,4251,68426431,0.988
173,2140,24171374,0.967
174,1456,20043982,0.971
175,2660,53572776,0.929
176,1332,14535009,0.995
177,3986,76896389,0.919
178,2000,24255992,0.983
179,1387,23844619,0.939
180,1740,26853379,0.996
181,1396,26116394,0.985
182,2764,53449632,0.955
183,1345,14657649,0.997
184,1650,27657931,0.975
185,4159,76398239,0.946
186,2197,15815346,0.998
187,1751,30272372,0.976
188,1831,29247508,0.98
189,1500,15580906,0.997
