QueryID,EF,Latency(ns),Recall
0,296,11604941,1
1,100,483182,1
2,312,1162219,1
3,181,638226,1
4,463,1498004,0.99
5,162,621487,0.97
6,379,1007839,0.97
7,614,2051483,0.97
8,323,1085058,1
9,490,1576765,0.98
10,512,1593930,0.99
11,100,376877,0.99
12,202,822465,0.97
13,132,547684,0.96
14,166,705497,0.99
15,677,2122072,1
16,636,2313228,0.96
17,274,1020677,0.97
18,924,2970685,0.99
19,288,1046722,1
20,350,1145298,1
21,100,345107,1
22,166,659525,1
23,449,1465134,0.99
24,979,3068128,0.98
25,150,632007,1
26,181,690707,0.96
27,635,2154030,0.97
28,557,1877820,0.99
29,100,269130,1
30,1151,3786555,1
31,100,436679,0.98
32,756,2333880,1
33,262,937706,0.98
34,100,301681,1
35,1198,3431741,0.99
36,968,3154236,0.99
37,100,459224,1
38,134,545327,0.99
39,426,1393249,0.99
40,1436,4661703,0.98
41,193,692093,1
42,113,518437,1
43,209,751940,0.99
44,722,2372613,1
45,1128,3687370,0.92
46,100,520626,0.95
47,100,282246,1
48,1105,3525530,0.99
49,728,2452373,0.96
50,519,1750838,0.99
51,213,855068,0.98
52,166,645885,0.98
53,129,567433,0.96
54,910,3119797,0.97
55,382,1102079,1
56,100,422215,1
57,1162,3831686,0.97
58,146,608785,1
59,100,437372,1
60,432,1380825,0.99
61,447,1358948,1
62,312,1053847,1
63,1862,5750435,0.99
64,100,466354,1
65,150,568778,0.99
66,482,1712343,0.97
67,732,2478485,1
68,710,2279018,1
69,780,2608576,0.94
70,521,1764199,0.99
71,151,586783,0.98
72,422,1428094,0.97
73,118,537522,0.96
74,366,1192479,0.97
75,630,1940994,1
76,448,1541297,1
77,107,490610,0.98
78,569,1809304,0.99
79,463,1433971,1
80,507,1737498,1
81,100,425674,1
82,395,1209089,1
83,284,1132620,0.99
84,601,2048250,0.99
85,152,592070,0.99
86,266,938266,0.99
87,100,378999,1
88,761,2260862,0.99
89,793,2287347,1
90,226,920182,0.94
91,3980,11220808,0.98
92,721,2210354,0.98
93,2447,7364958,0.98
94,133,580082,1
95,456,1552673,0.99
96,100,269597,1
97,100,362322,1
98,477,1595866,0.95
99,207,702857,1
100,132,549187,0.99
101,210,826208,0.99
102,180,646589,0.99
103,897,2969356,0.99
104,702,2232479,0.98
105,1855,6049651,0.98
106,160,695201,1
107,319,921825,0.99
108,1965,6024453,0.97
109,254,838927,1
110,514,1597493,0.99
111,300,1027348,0.98
112,1175,3659057,0.98
113,228,832997,0.98
114,150,655445,0.98
115,301,989594,1
116,953,2902124,0.98
117,100,423751,0.99
118,102,463241,1
119,1122,3341430,0.99
120,125,519406,0.99
121,100,422225,0.98
122,729,2194846,1
123,257,877821,0.97
124,616,1861054,0.98
125,855,2786081,0.96
126,747,2330600,1
127,487,1504502,1
128,870,2680984,0.96
129,247,960141,1
130,329,1157011,0.97
131,573,2027097,0.97
132,1042,3260711,0.98
133,315,1107510,0.99
134,677,2259143,0.96
135,909,3012775,0.97
136,166,636897,0.99
137,165,676211,1
138,299,975327,0.99
139,194,711024,1
140,277,996101,0.99
141,354,1236045,0.98
142,100,476180,0.91
143,422,1437032,1
144,561,1685352,0.99
145,313,1056476,1
146,143,577638,0.89
147,309,1071929,1
148,1392,4073731,0.99
149,514,1412038,1
150,782,2560969,0.98
151,100,383681,0.99
