QueryID,EF,Latency(ns),Recall
0,267,2416684,0.99
1,753,6781006,1
2,197,1600821,0.99
3,1078,9303542,0.99
4,1378,12025233,0.96
5,304,2446029,0.99
6,755,6628343,0.97
7,1443,12897220,1
8,744,5662807,1
9,560,5053918,1
10,394,2632576,0.98
11,312,2041344,1
12,1087,8944708,0.99
13,1453,9395964,0.96
14,834,7763767,0.96
15,458,4018846,0.99
16,215,1774392,1
17,855,6829645,1
18,4385,30697690,1
19,421,3096580,1
20,598,5991517,1
21,2145,18617472,0.98
22,3151,22971131,0.99
23,1819,15172735,0.99
24,427,3532854,1
25,1167,10944334,0.93
26,1759,15310168,0.97
27,1500,13641837,0.98
28,1538,12698836,1
29,487,3907579,1
30,200,1763526,0.99
31,1596,13759149,0.98
32,1305,11272751,1
33,200,1729565,1
34,237,1715549,1
35,591,4770167,0.99
36,1495,7965657,1
37,1043,8958933,0.96
38,325,2233526,0.96
39,2042,15510701,0.98
40,171,1339269,1
41,1854,14874066,0.99
42,531,4076721,1
43,485,4031658,0.98
44,699,4726618,1
45,509,4083673,1
46,1514,9603908,1
47,133,1200536,1
48,1042,8911304,0.99
49,1140,9324604,1
50,994,7666608,1
51,1088,8560432,1
52,827,6715016,0.98
53,1042,8102606,1
54,505,3325027,1
55,471,3776708,1
56,234,2003781,1
57,309,2630736,0.99
58,303,2498461,0.98
59,308,2919438,0.99
60,1084,9890485,0.98
61,1925,16757392,0.99
62,1428,13699329,0.95
63,767,7668814,0.96
64,828,7471231,0.98
65,589,5263656,1
66,358,2840689,1
67,1472,12526695,1
68,1067,10526603,0.92
69,350,3520841,1
70,663,5525841,1
71,1510,12309995,1
72,1167,10946016,0.96
73,797,6193718,1
74,445,3597644,0.99
75,1974,12927768,1
76,536,24244537,0.98
77,657,6298875,0.99
78,616,5192634,1
79,1466,13813971,0.97
80,213,2256850,1
81,1028,8803025,1
82,371,3444042,0.99
83,1033,8583732,1
84,239,2340226,1
85,744,6503671,0.99
86,515,5034687,0.97
87,681,5582287,0.99
88,289,2559140,0.98
89,589,4659809,0.98
90,502,4266186,0.99
91,819,5638495,1
92,248,2245795,0.99
93,2580,21639605,1
94,609,5421281,0.98
95,921,8884151,1
96,150,1124307,0.99
97,114,1038630,0.99
98,192,1924013,0.96
99,378,4305688,0.93
100,1385,10788308,0.97
101,615,5823699,0.99
102,892,7431082,0.94
103,837,7055920,0.96
104,742,7075798,1
105,1312,11283475,0.98
106,1813,14625575,0.95
107,224,1802129,0.99
108,1429,11808243,0.99
109,580,4055566,0.99
110,155,1093531,0.99
111,330,2829830,0.99
112,839,6261285,0.97
113,269,1983983,1
114,1364,11936949,0.97
115,466,4386242,0.97
116,510,3443736,0.99
117,822,6516248,0.99
118,319,2698455,1
119,653,5785363,0.99
120,1447,11328677,1
121,1292,11781574,0.96
122,535,4340347,1
123,945,8712043,0.95
124,1022,9716246,0.97
125,1828,15387316,0.98
126,1381,10931883,1
127,1491,12913202,0.98
128,414,3934209,0.99
129,1010,6682487,0.98
130,1001,8198608,0.94
131,946,9380696,0.97
132,493,4437075,0.99
133,1508,13217647,0.99
134,840,5985827,0.95
135,1136,10524637,1
136,764,7101675,1
137,587,5372836,0.97
138,1111,9039098,1
139,1084,9022702,0.99
140,986,9007960,1
141,474,4422148,1
142,596,5625803,0.99
143,995,9508783,1
144,765,7955284,0.96
145,986,9172256,0.98
146,886,7572411,0.97
147,240,1743687,0.99
148,1325,11193556,0.99
149,172,1573160,1
150,1597,13074789,0.98
151,184,1552638,1
152,482,4123592,0.97
153,457,3579027,0.99
154,1086,10253414,1
155,321,2756710,0.98
156,557,5408337,0.99
157,215,1970643,0.99
158,1345,7470002,1
159,2630,19193065,0.99
160,187,1648503,1
161,225,1513686,0.99
162,361,3168043,0.99
163,407,3656802,1
164,697,5473972,1
165,661,5859573,0.98
166,1492,13574851,0.99
167,1523,10936096,0.94
168,917,8362907,0.97
169,1523,12464148,1
170,1224,11456563,1
171,1080,9729465,0.98
172,1443,35215694,0.99
173,827,6239201,1
174,616,4681156,1
175,205,1688895,1
176,1020,8572803,1
177,344,3204154,0.98
178,372,2893359,0.98
179,285,2375710,0.99
180,1830,14528831,1
181,1580,14256753,0.99
182,442,3671261,0.99
183,764,8300792,0.95
184,1219,11566623,0.96
185,1587,13716741,0.95
186,1265,11605852,0.99
187,1154,10456764,0.99
188,806,6960071,1
189,234,2075607,1
190,469,3222033,1
191,1070,10127622,0.99
192,740,6626002,0.97
193,1035,10716786,0.91
194,489,3876553,0.99
195,1082,11556845,0.98
196,2203,18600405,1
197,1643,11849139,0.99
198,1541,14252099,0.94
199,2384,19798880,1
200,887,8414950,0.95
201,1916,16317053,0.98
202,1364,12620795,0.96
203,937,7995827,0.95
204,594,4826574,1
205,284,2441789,0.99
206,1615,14639608,0.96
207,1174,11365333,0.88
208,1256,11995226,0.99
209,1099,10033662,0.99
210,930,9361689,0.98
211,922,9366132,0.95
212,1375,11117403,1
213,1016,9790379,0.99
214,1360,10625896,0.97
215,1559,13973963,0.96
216,1406,13058640,0.97
217,986,7691973,0.99
218,1577,12874309,0.99
219,939,8409640,0.93
220,1602,13538472,1
221,667,6198546,0.93
222,1378,13095196,0.98
223,1099,10780253,0.98
224,973,8954647,0.99
225,746,7191072,0.93
226,553,3614522,0.96
227,1191,11482301,0.97
228,1353,12466456,0.97
229,1009,10039793,0.99
230,1487,13933988,1
231,1181,10973935,0.98
232,1269,11238516,1
233,1139,8472132,1
234,1768,15074237,1
235,627,4618151,0.97
236,791,7945129,0.95
237,1070,10738998,0.93
238,744,6958407,0.99
239,1311,11802995,0.96
240,528,5243530,0.97
241,1538,13556913,0.98
242,930,9349130,0.98
243,1341,10958798,0.98
244,798,7855524,0.98
245,1479,12860510,0.98
246,466,4772058,0.95
247,1577,12897509,0.99
248,1387,13017133,0.94
249,1396,11385631,0.94
250,971,8831208,0.99
251,1902,16593621,0.98
252,1168,27129509,1
253,955,8923237,0.97
254,1039,9762730,0.97
255,1120,9567320,0.98
256,815,8291263,0.95
257,520,5641910,0.95
258,1113,10110083,0.99
259,891,9136963,0.96
260,1723,14931402,0.94
261,907,8787460,0.94
262,1473,13260078,0.96
263,610,5430955,1
264,1235,11480389,1
265,1394,13171587,1
266,1286,10210483,1
267,682,6623522,0.94
268,1057,9533096,0.99
269,967,9887641,0.95
270,322,3154998,1
271,908,7841132,0.98
272,1077,10103057,0.99
273,401,3588828,0.97
274,208,2015074,0.98
275,1015,9600134,1
276,948,7870514,0.99
277,1093,9714619,0.96
278,851,7568848,0.98
279,800,5268536,1
280,844,6183906,1
281,306,2067279,1
282,1031,9211973,0.99
283,328,3192873,0.98
284,154,1657824,0.97
285,1691,13859335,0.96
286,499,3830513,1
287,740,5782545,0.99
288,791,7142481,1
289,1016,8724719,0.99
290,2952,24022354,0.96
291,1293,10082457,0.99
292,608,5622761,0.99
293,883,7544543,0.99
294,335,3323749,0.97
295,1273,12627140,0.96
296,1513,12916758,0.94
297,432,3871662,0.98
298,865,8351988,0.97
299,1393,12350685,0.99
300,815,7442553,0.99
301,418,3691195,1
302,1035,9685456,0.85
303,304,2762715,1
304,616,5562245,1
305,1312,11431278,0.98
306,945,8932238,0.97
307,1242,9875092,0.93
308,306,2748257,0.98
309,1909,12896870,0.97
310,1012,9041102,1
311,1059,9785158,0.99
312,1449,11600916,0.98
313,484,3947846,0.96
314,631,5829281,1
315,1438,11966963,1
316,167,1482935,1
317,484,4875377,1
318,999,8628383,0.99
