QueryID,EF,Latency(ns),Recall
0,4908,13301369,1
1,2693,7567995,1
2,4116,8597455,1
3,4990,13390000,0.97
4,4989,13301216,1
5,5000,13647775,0.93
6,1163,2623333,0.99
7,4989,14151563,0.9
8,1462,3848756,0.98
9,4985,13103482,0.96
10,1163,2423327,1
11,4687,12532244,0.95
12,1163,2850118,1
13,1163,2955535,0.98
14,1163,2084319,1
15,1163,2186915,1
16,1163,2426825,1
17,1163,2529706,0.99
18,2002,5213323,0.99
19,1163,2103829,1
20,4383,10930951,0.98
21,4960,10427389,0.98
22,4869,11949279,0.99
23,1163,2182933,1
24,4728,12752086,0.94
25,1705,4564091,0.99
26,1163,2409185,1
27,4404,11493475,0.95
28,1697,4396306,0.93
29,5000,13659647,0.91
30,1163,3074275,0.98
31,3394,8730777,0.98
32,1163,2922664,0.99
33,1163,2953331,1
34,1163,3168179,0.97
35,1480,3609796,0.99
36,3367,8627910,0.97
37,1163,2814253,1
38,1163,2811649,0.99
39,5000,13814128,0.93
40,4923,13028782,0.97
41,4726,12797162,0.92
42,1163,2961334,1
43,1163,2634053,1
44,1163,2896766,1
45,1163,2394030,1
46,5000,14039772,0.95
47,4121,8619051,1
48,5000,12226693,0.99
49,1163,2446589,1
50,1163,3060464,1
51,1163,2287241,1
52,1652,4059747,0.99
53,2827,7280834,0.98
54,1195,2621823,1
55,3638,10056541,0.96
56,4665,9377724,1
57,1163,2134962,1
58,3492,8841281,1
59,4972,12968665,0.98
60,1163,2531439,1
61,1163,2746369,1
62,4986,13583157,0.93
63,1163,2544848,1
64,2091,4795702,0.98
65,4961,12873064,0.99
66,1163,2188886,1
67,1163,2677724,1
68,1163,2547459,1
69,4976,13017116,0.97
70,4994,14125748,0.95
71,1163,1574333,1
72,4985,8862457,1
73,1163,2623670,1
74,1250,2548697,0.99
75,1163,2696195,1
76,1163,2923350,1
77,3317,6878011,1
78,5000,13678941,0.99
79,4954,12293899,1
80,3941,10357293,0.99
81,1163,2509567,1
82,5000,13276767,0.94
83,1163,2078008,1
84,1199,3117230,0.99
85,1163,2217307,1
86,1163,2745170,1
87,1163,2926410,1
88,1163,2459418,1
89,1163,3337579,0.98
90,4986,13217285,0.94
91,1163,2497116,1
92,4973,12738857,0.97
93,1163,2998586,1
94,5000,12954592,0.91
95,1163,3068458,0.96
96,1163,3277120,0.99
97,1163,2461285,0.99
98,4997,13326430,0.96
99,1163,2606536,1
100,3660,9949320,0.96
101,5000,13859576,0.94
102,4990,13805483,0.98
103,1163,2961048,0.99
104,4997,12695010,1
105,1710,5000636,0.96
106,3825,9751512,0.99
107,1163,2686580,1
108,1163,2982588,1
109,3179,6655121,1
110,3797,9713931,0.97
111,1163,2020765,1
112,3444,7206064,1
113,4942,13039226,0.98
114,4999,12957501,0.96
115,4949,13349649,0.98
116,4691,11875505,0.99
117,4010,9053618,0.95
118,1163,1907364,1
119,4945,11484853,0.99
