QueryID,EF,Latency(ns),Recall
0,579,4098048,0.98
1,2152,15048844,0.97
2,301,2169807,1
3,2581,16172307,0.97
4,1325,9291436,0.87
5,501,3365351,0.98
6,2413,15921071,0.95
7,1977,14062554,0.99
8,2156,14609721,0.98
9,313,2235399,0.98
10,131,990270,1
11,373,2455668,1
12,2481,16716160,0.99
13,2250,13026388,0.92
14,1181,7451194,0.98
15,3091,20528738,0.99
16,1587,10192733,1
17,1182,7484809,1
18,2237,15742094,0.88
19,4532,27954124,0.99
20,359,2217284,1
21,1262,8427266,1
22,3091,19484300,0.97
23,619,3425098,1
24,4142,27299485,0.96
25,1087,7091952,1
26,239,1204104,1
27,492,3203576,0.99
28,3342,18455782,0.96
29,2859,16510742,1
30,2615,16444297,0.91
31,3656,24146578,0.98
32,855,5684027,0.98
33,3602,23516276,0.96
34,239,1427478,1
35,2270,10557322,1
36,2569,17380634,0.97
37,329,2173189,0.99
38,3008,18801228,1
39,2944,18162298,0.99
40,914,5472788,1
41,1232,8489553,0.96
42,641,4225067,1
43,1649,11227681,0.92
44,366,2747660,0.94
45,3486,24536980,1
46,4506,29696165,0.98
47,365,3006967,0.98
48,2285,14874999,1
49,1540,10419883,0.99
50,1945,14638466,0.93
51,335,2626800,1
52,5000,33610965,0.99
53,371,2590961,0.99
54,5000,27771396,0.99
55,151,1378822,0.93
56,1193,8402157,0.97
57,293,2547816,0.92
58,100,852760,0.99
59,732,3954326,1
60,2980,21084533,0.96
61,3064,17960484,0.98
62,452,3180199,0.99
63,1133,7921907,0.99
64,2526,17079621,0.99
65,2952,18709889,0.98
66,470,3200655,0.99
67,1564,10203344,1
68,753,5801714,0.86
69,1408,8138192,1
70,127,1048820,0.97
71,3038,20088961,0.98
72,352,2237827,0.98
73,2046,14220796,1
74,3008,19882126,0.96
75,1185,5250374,0.98
76,3013,20681566,0.98
77,964,6837300,0.96
78,1036,6696685,0.98
79,309,2185676,0.99
80,5000,32392123,0.98
81,495,3700081,0.98
82,2129,14212527,0.99
83,2564,16815607,0.99
84,1247,9071726,0.98
85,2975,17580760,0.98
86,3091,20536014,0.97
87,2476,15867498,1
88,3479,22932931,0.99
89,276,1828013,0.98
90,1291,8734818,0.99
91,133,1026033,0.98
92,2215,13433484,0.97
93,922,6410349,1
94,2913,19341995,0.91
95,2415,16624754,0.94
96,1581,9012787,0.99
97,1325,9164310,0.9
98,2904,18915625,0.97
99,2702,17734071,0.97
100,5000,29661079,0.99
101,483,3330503,0.98
102,203,1418568,1
103,363,2254380,1
104,4988,28485602,0.95
105,120,926865,0.99
106,1615,10429687,0.99
107,363,2633870,0.98
108,568,4007433,1
109,3890,24244009,0.98
110,1364,8464889,1
111,2733,17236504,0.97
112,2014,13436845,0.98
113,1329,8247431,1
114,1594,10234104,0.99
115,2439,15584483,1
116,571,4063355,0.95
117,2499,16518064,0.95
118,2874,19228934,0.88
119,3651,21534110,0.99
120,1580,10311871,0.96
121,2794,21826273,0.96
122,202,1674359,0.98
123,400,2298447,1
124,225,1908284,1
125,453,3177322,1
126,1519,9408912,0.97
127,4498,33758127,0.97
128,1101,7856010,0.98
129,3862,27101020,0.99
130,1585,11118552,1
131,2767,19280171,1
132,3564,25500112,0.95
133,1266,8503579,1
134,2624,16758879,1
135,2995,21248367,0.93
136,4778,28692553,0.96
137,1958,14165296,0.99
138,167,1376380,1
139,2017,13305790,0.99
140,333,2141624,1
141,970,7271935,0.99
142,1077,7646228,0.99
143,642,4351432,0.98
144,100,686512,0.92
145,3840,24538201,0.96
146,239,1507249,0.98
147,1686,11189727,1
148,694,4609327,0.99
149,3486,22304497,0.95
150,418,3049498,1
151,1173,7913584,0.98
152,2058,13236660,1
153,2322,12333923,0.99
154,2973,20181375,0.96
155,1319,8799503,0.95
156,1657,8504196,1
157,1447,9651980,0.97
158,167,1242240,0.98
159,2422,15307549,1
160,1730,11848395,0.94
161,100,792194,0.99
162,2481,14564232,0.99
163,1166,7501585,0.98
164,801,5681216,0.98
165,2638,17107280,0.99
166,4952,31619373,0.97
167,3735,22307564,0.99
168,950,6314405,0.98
169,4182,27393094,0.97
170,972,6531134,0.99
171,709,4715851,1
172,2175,14465001,0.97
173,852,5276011,0.98
174,3828,22113829,0.98
175,3773,24409640,0.96
176,500,3601130,0.98
177,1476,8629673,1
178,1999,12894262,0.98
179,362,2134829,1
180,364,2282914,1
181,463,3363073,0.99
182,5000,29617779,0.97
183,2624,16942081,0.96
184,146,1116021,0.95
185,1185,6362462,1
186,358,2406618,0.98
187,453,2904211,0.99
188,2724,18784604,0.93
189,2807,18442737,0.94
190,2957,19299652,1
191,448,3137604,0.95
192,1854,8847165,1
193,1716,12230768,0.99
194,1277,7295077,1
195,1781,8379402,0.99
196,561,3711967,0.99
197,1571,8407094,1
198,2156,13608454,0.97
199,2483,16315016,0.97
200,2705,20614137,1
201,933,5957389,0.99
202,1123,8117822,1
203,374,1990409,1
204,262,1953988,0.98
205,1351,10164278,0.98
206,2820,20333394,0.99
207,449,3220908,0.99
208,347,2697073,1
209,1087,7783362,0.96
210,1606,11341440,0.99
211,365,2589223,0.95
212,2770,16598091,1
213,292,1968039,0.99
214,1913,14027033,0.94
215,1115,8050441,0.98
216,147,1159737,0.97
217,221,1492898,0.99
218,116,794022,0.99
219,2846,19840953,0.97
220,699,5431623,0.96
221,2452,18106055,0.92
222,4017,28606034,0.94
223,2002,9940320,1
224,2327,14893538,1
225,2670,17528919,0.99
226,211,1604746,0.97
227,1028,6570519,0.98
228,4719,31348700,1
229,446,2994060,1
230,100,803293,0.98
231,216,1482555,0.99
232,3660,21112122,0.97
233,1426,10479329,0.95
234,3319,22319302,0.91
235,3818,24584508,0.98
236,849,4188085,0.99
237,2325,16588293,0.96
238,1296,9600933,0.97
239,233,1296848,0.98
240,1941,12704399,1
241,2668,16911841,0.99
242,668,4276085,0.99
243,1965,13517523,0.98
244,2597,18039799,0.94
245,1826,11658226,1
246,580,3995031,0.99
247,1134,8281092,0.99
248,1262,9475151,0.98
249,2584,16791494,1
250,121,1104261,1
251,4371,28938388,0.97
252,4503,29594560,0.89
253,524,3560834,0.93
254,1094,6718340,0.99
255,171,1333932,0.99
256,1596,9173449,1
257,1982,13328429,0.94
258,686,4852480,1
259,2427,16552521,0.99
260,563,3596081,0.98
261,266,1646044,1
262,1847,12664261,0.98
263,2950,18790772,0.98
264,4879,31747116,0.99
265,474,3211494,0.99
266,183,1266827,1
267,1263,8242381,1
268,199,1508258,0.99
269,1477,9805448,0.97
270,3415,20195855,0.99
271,2441,14697983,1
272,2374,15719354,0.97
273,237,1521554,1
274,2025,12154170,0.99
275,216,1293049,0.99
276,3762,24504627,0.89
277,1252,8156360,1
278,1123,7177228,1
