QueryID,EF,Latency(ns),Recall
0,980,3082222,0.95
1,918,3907929,0.98
2,327,1563566,1
3,694,3301660,0.94
4,524,2329763,1
5,266,1658164,0.97
6,751,3736762,0.99
7,193,1049001,0.96
8,222,1182590,1
9,1000,4287843,0.97
10,470,2184840,0.96
11,993,4509585,0.94
12,544,2587880,0.98
13,182,1024662,1
14,113,775193,0.98
15,999,4446323,0.99
16,100,585495,0.99
17,362,1812524,0.99
18,194,1046095,1
19,944,4516172,0.88
20,170,965948,0.97
21,994,2633287,1
22,226,1177760,0.99
23,113,738742,1
24,623,2872215,0.99
25,992,4643458,0.98
26,274,1128123,0.99
27,251,1364305,1
28,984,4110389,0.99
29,408,1856934,1
30,229,1276138,0.98
31,1000,4430385,0.95
32,200,942001,0.99
33,203,1105850,1
34,1000,3260447,1
35,193,935069,1
36,996,4529117,0.97
37,170,925287,0.98
38,309,1592652,0.99
39,100,607305,1
40,152,842418,1
41,133,726964,1
42,150,782218,1
43,127,749211,0.97
44,996,4486835,0.99
45,866,2936830,1
46,143,797588,0.99
47,748,3116090,1
48,100,578557,1
49,183,840778,0.98
50,210,1015720,1
51,962,3890655,0.99
52,932,3960933,1
53,868,3616197,0.98
54,993,4399803,1
55,840,3416985,1
56,974,4050112,0.97
57,100,579572,1
58,285,1329831,1
59,137,792646,0.99
60,329,1631950,0.99
61,233,1103932,0.98
62,964,3817686,1
63,576,2590353,0.98
64,970,4237345,0.88
65,221,1158042,0.94
66,486,1914465,1
67,463,2107920,0.97
68,639,2947964,1
69,404,1845006,1
70,995,4581337,0.99
71,193,1014858,0.98
72,626,2915574,1
73,223,1112974,1
74,856,2486752,1
75,150,816691,0.99
76,973,4040890,0.99
77,195,827889,1
78,225,1103796,0.99
79,691,2613772,1
80,995,4008702,0.98
81,119,764583,0.99
82,476,1803807,1
83,750,3357930,0.98
84,998,3619838,0.99
85,149,872451,0.99
86,217,860119,0.98
87,967,3923882,1
88,611,2398091,0.98
89,870,1961046,0.93
90,233,1109107,1
91,991,3308913,0.99
92,242,1314029,1
93,100,579752,1
94,100,524296,1
95,583,2551173,0.97
96,607,2804484,0.99
97,164,939233,0.99
98,533,2215480,0.99
99,116,727393,0.99
100,128,739021,1
101,489,2361809,1
102,150,820749,1
103,756,3283930,0.99
104,604,2506186,1
105,330,1616754,1
106,351,1418186,1
107,116,681963,0.98
108,239,1116995,0.99
109,511,2366775,0.98
110,708,2910965,0.99
111,342,1275908,0.94
112,355,1541592,1
113,869,3291462,1
114,998,4235415,1
115,991,4076241,1
116,998,3086288,0.97
117,697,2857814,0.99
118,1000,4317743,0.87
119,161,721596,0.96
120,265,1467335,1
121,141,817433,0.98
122,257,1188994,0.93
123,234,1065122,0.99
124,170,938051,0.99
125,285,1499658,1
126,941,4307122,0.96
127,111,686933,0.98
128,100,571383,0.87
129,738,3298459,1
130,697,2665565,1
131,998,4017855,0.94
132,224,892582,1
133,131,673088,1
134,200,918629,1
135,326,1509355,1
136,182,841377,1
137,327,1054180,0.88
138,315,1317293,1
139,381,1597472,0.99
140,985,4491780,0.96
141,407,1335399,1
142,1000,3760706,0.99
143,135,685213,1
144,223,1003446,1
145,105,595583,1
146,466,2187593,1
147,352,1717617,0.99
148,999,4226467,0.86
149,114,747475,0.98
150,1000,3763156,1
151,234,1017254,0.82
152,271,1334523,1
153,261,1223793,1
154,150,760762,0.98
155,620,2859499,0.98
156,200,1044409,0.96
157,726,3226208,1
158,102,652095,1
159,809,3505028,1
160,473,1753869,1
161,626,2679409,1
162,689,2983917,1
163,241,1301591,0.99
164,223,1128737,0.99
165,165,956037,0.99
166,233,1130294,0.97
167,147,791338,1
168,200,1198281,0.94
169,146,711510,0.98
170,466,2360200,0.99
171,234,1058126,1
172,681,2987495,0.94
173,588,2418938,1
174,952,3652565,0.97
175,350,1735309,0.99
176,641,2641371,0.99
177,993,4045853,0.99
178,520,2079579,0.97
179,985,3822450,0.99
180,992,4332346,0.97
181,410,1867337,0.99
182,548,2242281,0.99
183,994,3773903,0.97
184,293,1330808,1
185,902,3469206,1
186,113,594331,0.99
187,105,508263,1
188,120,692278,0.99
189,484,2216301,0.99
190,567,2229655,1
191,995,3667382,1
192,431,1679702,1
193,386,1350422,1
194,589,1769403,0.99
195,999,4525622,0.95
196,280,821938,1
197,165,835348,0.92
198,116,567589,1
199,200,979525,0.98
200,167,824560,1
201,162,807301,1
202,615,1984700,1
203,310,1130107,1
204,126,742172,0.98
205,133,715123,1
206,744,2810462,0.92
207,247,1274369,1
208,803,3870273,0.92
209,103,590917,1
210,165,736056,1
211,379,1494588,1
212,109,693637,0.99
213,992,4424139,1
214,476,1941766,1
215,603,2333065,0.99
216,321,1102869,0.92
217,457,2328352,0.99
218,111,705789,0.99
219,143,725266,0.87
220,1000,4412325,1
221,294,1446636,1
222,120,785495,0.99
223,100,586388,0.96
224,999,4328192,0.86
225,634,2640990,1
226,226,1068049,1
227,895,3826639,1
228,1000,4273060,0.97
229,902,3808776,0.93
230,915,3907179,0.99
231,226,1159920,1
232,880,3264753,0.98
233,129,709112,1
234,931,4119369,0.96
235,980,4461791,1
236,234,1216245,0.99
237,142,801518,1
238,628,2447478,1
239,994,4099236,1
240,126,658364,0.99
241,207,1062160,1
242,226,1064123,1
243,370,1693679,1
244,869,3632643,0.98
245,1000,4715586,0.95
246,150,770076,1
247,474,1898433,1
248,116,742774,0.96
249,153,639579,1
250,143,631736,1
251,838,2158395,0.89
252,154,864743,0.97
253,108,646774,1
254,981,3862925,1
255,459,1811158,0.97
256,195,934702,1
257,234,1146705,1
258,889,3492028,1
259,114,650953,0.98
260,219,1161982,0.98
261,185,887751,1
262,100,469925,1
263,219,1214361,0.98
264,116,699853,1
265,1000,3816594,0.97
266,855,3992035,0.98
267,759,3133822,0.99
268,633,2076329,1
269,986,4587699,1
270,393,1599781,1
271,975,3902618,1
272,116,699523,0.89
273,366,1684922,1
274,125,709912,1
275,990,3797970,0.92
276,236,1209985,0.97
277,363,1236700,1
278,101,640892,0.98
279,1000,3923985,0.99
280,533,2420299,1
281,698,2551092,1
282,569,2179412,1
283,370,1730821,1
284,336,1707967,1
285,229,991678,0.9
286,554,2423457,0.95
287,892,3828312,0.98
288,457,2158454,1
289,233,1153360,1
290,100,511768,0.91
291,1000,4352993,0.97
292,424,1733091,1
293,228,1042069,1
294,280,1254444,0.98
295,296,1202728,1
296,196,794318,1
297,248,1074425,0.94
298,319,1217509,0.92
299,195,985490,1
300,274,1040945,1
301,859,3387376,0.99
302,361,1681491,1
303,106,598468,1
304,370,1874029,1
305,119,636584,1
306,998,4782043,0.96
307,156,837332,0.99
308,553,2064801,1
309,284,1448331,1
310,967,4339872,0.97
311,324,1442699,0.99
312,181,1022081,0.98
313,1000,4628436,0.95
314,170,980189,0.96
315,231,1047831,0.95
316,256,1363554,1
317,259,963062,0.99
318,138,663373,0.99
319,113,591003,1
320,334,1296789,0.99
321,202,960328,1
322,175,820664,1
323,186,1022329,1
324,953,3833537,0.98
325,101,601032,0.99
326,362,1484813,1
327,234,919228,1
328,335,1480503,1
329,912,4163014,0.91
330,432,1408216,1
331,258,1066561,1
332,992,3647944,0.99
333,213,1061944,1
334,326,1496307,0.99
335,481,2255388,1
336,478,1491633,0.93
337,1000,4460127,0.98
338,188,914729,1
339,415,1975712,0.99
340,232,1187024,0.97
341,287,1143448,0.99
342,942,4120379,0.99
343,601,2813535,1
344,319,1322547,1
345,1000,4385797,0.98
346,914,3670362,0.97
347,714,2830919,0.93
348,998,4471541,1
349,100,552407,0.98
