query_id,cv,recall
0,0.18437,0.94
1,0.251677,1
2,0.194048,0.93
3,0.231008,1
4,0.162419,0.86
5,0.202142,0.96
6,0.187023,0.82
7,0.166386,0.7
8,0.189723,0.9
9,0.187194,0.85
10,0.169496,0.89
11,0.331161,0.99
12,0.201612,0.96
13,0.232821,0.93
14,0.223655,0.95
15,0.166751,0.77
16,0.159236,0.65
17,0.193646,0.85
18,0.162259,0.73
19,0.199225,0.95
20,0.184581,0.9
21,1.01787,1
22,0.215628,0.99
23,0.180949,0.87
24,0.154163,0.63
25,0.21392,0.95
26,0.222529,0.91
27,0.157547,0.67
28,0.183182,0.79
29,1.00598,1
30,0.140203,0.59
31,0.301472,0.98
32,0.167201,0.83
33,0.190604,0.93
34,0.519138,1
35,0.160517,0.8
36,0.156709,0.82
37,0.335181,1
38,0.250304,0.99
39,0.177778,0.83
40,0.131072,0.58
41,0.198702,0.97
42,0.247985,1
43,0.201823,0.96
44,0.169639,0.82
45,0.144601,0.6
46,0.248325,0.95
47,1.00983,1
48,0.154418,0.69
49,0.161087,0.63
50,0.187829,0.82
51,0.194758,0.91
52,0.213338,0.95
53,0.229134,0.93
54,0.154051,0.65
55,0.165232,0.9
56,0.312153,1
57,0.134842,0.56
58,0.251236,0.99
59,0.29759,1
60,0.176223,0.9
61,0.175189,0.85
62,0.189887,0.9
63,0.143097,0.53
64,0.261169,1
65,0.330119,0.95
66,0.173337,0.78
67,0.160699,0.7
68,0.169059,0.82
69,0.149026,0.55
70,0.177809,0.87
71,0.224199,0.96
72,0.179683,0.8
73,0.237343,0.96
74,0.195094,0.82
75,0.171267,0.92
76,0.177529,0.78
77,0.239323,0.98
78,0.170703,0.9
79,0.191821,0.86
80,0.178499,0.93
81,0.260269,1
82,0.176875,0.92
83,0.17125,0.82
84,0.17114,0.8
85,0.223334,0.99
86,0.193012,0.91
87,0.387811,1
88,0.160988,0.86
89,0.160479,0.74
90,0.179108,0.87
91,0.117423,0.44
92,0.209015,0.74
93,0.124034,0.42
94,0.229002,1
95,0.178725,0.82
96,3.27238,1
97,0.469029,1
98,0.166463,0.73
99,0.199891,0.99
100,0.248788,0.99
101,0.206224,0.93
102,0.21203,0.94
103,0.147628,0.74
104,0.171688,0.85
105,0.135816,0.37
106,0.227498,0.99
107,0.189779,0.97
108,0.135655,0.39
109,0.220726,0.96
110,0.159598,0.84
111,0.19154,0.92
112,0.147347,0.63
113,0.19451,0.93
114,0.232275,0.95
115,0.204956,0.92
116,0.160159,0.66
117,0.282382,0.99
118,0.24358,1
119,0.149406,0.74
120,0.250114,0.96
121,0.300272,0.98
122,0.1584,0.83
123,0.195105,0.87
124,0.16864,0.75
125,0.162115,0.69
126,0.15674,0.81
127,0.172849,0.92
128,0.155238,0.66
129,0.192381,0.91
130,0.177029,0.83
131,0.17188,0.61
132,0.15448,0.72
133,0.191629,0.85
134,0.155178,0.67
135,0.143482,0.66
136,0.211518,0.98
137,0.235731,0.99
138,0.185943,0.87
139,0.202863,0.98
140,0.19484,0.86
141,0.185041,0.89
142,0.272516,0.91
143,0.188436,0.86
144,0.169717,0.89
145,0.18811,0.95
146,0.247798,0.88
147,0.184391,0.97
148,0.142791,0.77
149,0.159379,0.89
150,0.189675,0.73
151,0.393487,0.99
152,0.222719,0.96
153,0.166471,0.78
154,0.173283,0.86
155,0.575783,1
156,0.184101,0.75
157,0.213873,0.97
158,0.509281,1
159,0.166122,0.92
160,0.264055,1
161,0.204378,0.92
162,0.184888,0.91
163,0.210178,1
164,0.156654,0.76
165,0.157178,0.73
166,0.175625,0.84
167,0.155615,0.74
168,0.143366,0.7
169,0.15357,0.6
170,0.184319,0.95
171,0.186846,0.86
172,0.310521,0.96
173,0.181146,0.95
174,0.217644,0.98
175,0.248546,0.98
176,0.161775,0.79
177,0.254601,0.99
178,0.276781,0.98
179,0.185035,0.87
180,0.213056,0.96
181,0.136124,0.65
182,0.163028,0.74
183,0.214313,0.93
184,0.192767,0.96
185,0.183442,0.81
186,0.234903,0.99
187,0.201252,0.93
188,0.153485,0.71
189,0.164056,0.9
190,0.175013,0.8
191,0.30982,1
192,0.139308,0.71
193,0.208558,0.9
194,0.166261,0.83
195,0.159521,0.76
196,0.170542,0.83
197,0.269895,0.97
198,0.304837,0.99
199,0.15306,0.64
200,0.187528,0.91
201,0.201692,0.87
202,0.181112,0.9
203,0.156535,0.68
204,0.160046,0.78
205,0.190881,0.87
206,0.220687,0.86
207,0.15023,0.62
208,0.177867,0.72
209,0.180252,0.79
210,0.180439,0.79
211,0.167603,0.83
212,0.125127,0.46
213,0.167081,0.92
214,0.225939,0.98
215,0.170012,0.85
216,0.198563,0.94
217,0.175868,0.82
218,0.216206,0.93
219,0.226417,0.94
220,0.210707,0.93
221,0.342947,0.99
222,0.222598,0.98
223,0.138404,0.72
224,0.158585,0.81
225,0.228858,0.98
226,0.168233,0.84
227,0.388292,1
228,0.179561,0.91
229,0.165297,0.83
230,0.195557,0.94
231,0.161832,0.76
232,0.184324,0.92
233,0.148245,0.76
234,0.187837,0.85
235,0.147734,0.72
236,0.184495,0.83
237,0.156941,0.7
238,0.170373,0.72
239,0.250512,0.99
240,0.164051,0.79
241,0.325231,0.94
242,0.15567,0.58
243,0.399697,0.99
244,0.192613,0.89
245,0.138865,0.65
246,0.139521,0.74
247,0.504601,0.95
248,0.18135,0.84
249,0.152156,0.68
250,0.217964,0.99
251,0.201874,0.99
252,0.175945,0.74
253,0.2488,0.99
254,0.249029,0.98
255,0.188927,0.89
256,0.164692,0.8
257,0.172267,0.97
258,0.202173,0.92
259,0.214942,0.98
260,0.161571,0.92
261,0.130974,0.75
262,0.225792,0.99
263,0.201712,0.89
264,0.165817,0.75
265,0.133103,0.75
266,0.569037,1
267,0.295371,0.99
268,0.175892,0.86
269,0.145915,0.55
270,0.19139,0.77
271,0.174095,0.84
272,0.232107,0.99
273,0.21422,0.9
274,0.172012,0.85
275,0.173994,0.93
276,0.209943,0.93
277,0.161857,0.75
278,0.214689,1
279,0.219086,0.96
280,0.194881,0.82
281,0.167064,0.74
282,0.148216,0.65
283,0.208783,0.95
284,0.150085,0.69
285,0.166702,0.83
286,0.146845,0.64
287,0.245731,0.99
288,0.154122,0.8
289,0.207707,0.98
290,0.238566,0.98
291,0.161126,0.76
292,0.17438,0.77
293,0.166979,0.82
294,0.155658,0.67
295,0.182656,0.94
296,0.188588,0.85
297,0.21756,0.92
298,0.451778,1
299,0.1749,0.89
300,0.185412,0.86
301,0.129391,0.46
302,0.164386,0.73
303,0.168712,0.78
304,0.180958,0.86
305,0.174885,0.73
306,0.193005,0.89
307,0.230449,0.97
308,0.211472,0.93
309,0.147518,0.64
310,0.168798,0.76
311,0.201467,0.83
312,0.203905,0.93
313,0.178762,0.79
314,0.170391,0.88
315,0.177641,0.84
316,0.151236,0.52
317,0.197637,0.92
318,0.194606,0.93
319,0.11718,0.34
320,0.185286,0.91
321,0.151505,0.81
322,0.206606,0.91
323,0.233237,0.99
324,0.180455,0.78
325,0.24162,0.98
326,0.222482,0.96
327,0.119579,0.21
328,0.187209,0.91
329,0.361738,1
330,0.173075,0.71
331,0.156742,0.6
332,0.229022,0.94
333,0.183889,0.87
334,0.177046,0.92
335,0.325492,1
336,0.171211,0.83
337,0.163624,0.78
338,0.192288,0.97
339,0.161294,0.83
340,0.292837,0.99
341,0.21512,0.95
342,0.202199,0.95
343,0.155973,0.74
344,0.186518,0.89
345,0.219535,0.88
346,0.248304,0.98
347,0.309772,1
348,0.165076,0.82
349,0.21769,0.95
350,0.198727,0.85
351,0.198362,0.92
352,0.338507,1
353,0.178281,0.89
354,0.165909,0.74
355,0.200837,0.89
356,0.163862,0.83
357,0.149792,0.6
358,0.247207,1
359,0.160014,0.77
360,0.262773,0.97
361,0.176642,0.81
362,0.179368,0.79
363,0.186704,0.91
364,0.174205,0.78
365,0.174904,0.81
366,0.237588,0.93
367,0.215248,0.93
368,0.224239,0.98
369,0.185276,0.89
370,0.134423,0.55
371,0.161879,0.64
372,0.174924,0.83
373,0.162026,0.79
374,0.14653,0.69
375,0.206775,0.92
376,0.205702,0.91
377,0.298708,1
378,0.240723,1
379,0.216269,0.95
380,0.21118,0.98
381,0.259445,1
382,0.181661,0.78
383,0.180487,0.98
384,0.185068,0.95
385,0.162734,0.73
386,0.139029,0.7
387,0.190303,0.88
388,0.160687,0.78
389,0.20163,0.94
390,0.172451,0.87
391,0.155811,0.8
392,0.176101,0.87
393,0.159212,0.73
394,0.174436,0.89
395,0.141687,0.69
396,0.255897,1
397,0.172283,0.83
398,0.205637,0.95
399,0.166359,0.93
400,0.162624,0.61
401,0.21885,0.91
402,0.186645,0.92
403,0.15266,0.78
404,0.217346,1
405,0.175878,0.86
406,0.153367,0.73
407,0.180011,0.87
408,0.654745,0.98
409,0.175469,0.81
410,0.198624,0.94
411,0.199459,0.89
412,0.157078,0.84
413,0.211642,0.88
414,0.174443,0.89
415,0.222158,0.95
416,0.218599,0.88
417,0.167848,0.76
418,0.204043,0.95
419,0.198765,0.92
420,0.235765,0.89
421,0.173641,0.75
422,0.216769,0.98
423,0.168752,0.68
424,0.255321,0.99
425,0.245513,0.97
426,0.156145,0.73
427,0.206745,0.97
428,0.212485,0.97
429,0.231045,0.97
430,0.302407,0.97
431,0.24611,0.93
432,0.195459,0.89
433,0.175909,0.87
434,0.178821,0.82
435,0.21873,0.91
436,0.183818,0.82
437,0.16731,0.89
438,0.228927,0.89
439,0.169783,0.83
440,0.159573,0.73
441,0.244427,0.97
442,0.148611,0.71
443,0.23849,0.99
444,0.47384,0.99
445,0.156945,0.86
446,0.195699,0.87
447,0.158011,0.74
448,0.214425,0.96
449,0.188813,0.86
450,0.170436,0.8
451,0.286501,1
452,0.241095,0.98
453,0.161196,0.58
454,0.227805,0.98
455,0.194201,0.93
456,0.200411,0.9
457,0.207944,0.97
458,0.165617,0.88
459,0.195491,0.96
460,0.202205,0.94
461,0.209241,0.91
462,0.195048,0.89
463,0.223164,0.98
464,0.227413,0.97
465,0.187025,0.91
466,0.202631,0.91
467,0.173052,0.85
468,0.15333,0.77
469,0.187088,0.89
470,0.237268,0.98
471,0.204532,0.94
472,0.137348,0.78
473,0.1658,0.8
474,0.277826,0.99
475,0.241771,1
476,0.176317,0.8
477,0.254758,0.96
478,0.163203,0.69
479,0.196188,0.93
480,0.198061,1
481,0.142628,0.61
482,0.209795,0.98
483,0.161646,0.78
484,0.172047,0.93
485,0.158922,0.77
486,0.186915,0.92
487,0.296043,1
488,0.153614,0.7
489,0.214308,0.98
490,0.181925,0.97
491,0.216404,0.96
492,0.195226,0.99
493,0.285193,0.98
494,0.200135,0.97
495,0.147054,0.72
496,0.177753,0.94
497,0.201561,0.98
498,0.165412,0.8
499,0.177938,0.88
500,0.170639,0.78
501,0.16182,0.75
502,0.180967,0.98
503,0.252611,0.98
504,0.202999,0.88
505,0.187197,0.88
506,0.19172,0.88
507,0.164956,0.79
508,0.180738,0.81
509,0.172645,0.84
510,0.199325,0.86
511,0.999418,1
512,0.239184,1
513,0.213438,0.97
514,0.157692,0.58
515,0.162079,0.74
516,0.200563,0.97
517,0.224748,0.99
518,0.226474,0.93
519,0.214353,0.96
520,0.134474,0.72
521,0.160097,0.88
522,0.195109,0.95
523,0.275191,0.99
524,0.204844,0.94
525,0.211555,0.94
526,0.171466,0.78
527,0.180663,0.83
528,0.192094,0.93
529,0.173979,0.88
530,0.312636,0.96
531,0.208934,0.97
532,0.137459,0.67
533,0.266398,0.98
534,0.14553,0.45
535,0.180314,0.88
536,0.187124,0.84
537,0.17323,0.9
538,0.22292,0.95
539,0.283444,1
540,0.235421,0.98
541,0.178752,0.81
542,0.208874,0.97
543,0.195369,0.96
544,0.165652,0.79
545,0.203443,0.97
546,0.23584,0.98
547,0.619283,1
548,0.165897,0.92
549,0.165916,0.82
550,0.166817,0.82
551,0.191453,0.81
552,0.120519,0.44
553,0.161087,0.82
554,0.148229,0.82
555,0.321218,0.98
556,0.190654,0.94
557,0.167955,0.69
558,0.168983,0.9
559,0.557481,1
560,0.521736,1
561,0.170048,0.9
562,0.192762,0.89
563,0.192667,0.95
564,0.160059,0.72
565,0.189003,0.97
566,0.203373,0.9
567,0.236003,0.98
568,0.176194,0.89
569,0.183665,0.95
570,0.123645,0.52
571,0.158373,0.72
572,0.202984,0.88
573,0.170784,0.92
574,0.172063,0.83
575,0.190461,0.87
576,0.150634,0.53
577,0.180926,0.82
578,0.165279,0.6
579,0.164416,0.63
580,0.151725,0.76
581,0.21035,0.91
582,0.182237,0.88
583,0.204083,0.95
584,0.179226,0.88
585,0.186436,0.98
586,0.156086,0.73
587,0.168578,0.77
588,0.163668,0.86
589,0.197623,0.86
590,0.159818,0.81
591,0.139673,0.43
592,0.168218,0.63
593,0.346447,0.99
594,0.17076,0.84
595,0.180812,0.78
596,0.155727,0.73
597,0.202753,0.94
598,0.194912,0.89
599,0.244415,0.98
600,0.249024,1
601,0.211397,0.88
602,0.170152,0.73
603,0.255536,0.99
604,0.211255,0.98
605,0.303031,1
606,0.219709,0.94
607,0.204597,0.95
608,0.191891,0.84
609,0.198205,0.94
610,0.64275,1
611,1.45137,1
612,0.194239,0.96
613,0.190045,0.96
614,0.148947,0.61
615,0.169589,0.81
616,0.188259,0.9
617,0.253127,0.99
618,0.17813,0.88
619,0.134863,0.71
620,0.156805,0.69
621,0.22757,0.93
622,0.158831,0.83
623,0.185772,0.95
624,0.189743,0.85
625,0.172563,0.79
626,0.303248,0.99
627,0.160042,0.83
628,0.187728,0.84
629,0.225746,1
630,0.148972,0.62
631,0.21746,0.99
632,0.374724,0.95
633,0.218882,0.95
634,0.187441,0.86
635,0.149671,0.64
636,0.264153,0.96
637,0.166696,0.73
638,0.215911,0.94
639,0.186795,0.83
640,0.191804,0.83
641,0.171574,0.84
642,0.164779,0.79
643,0.23327,0.8
644,0.185574,0.88
645,0.2542,0.99
646,0.198326,0.9
647,0.259806,0.99
648,0.217661,0.98
649,0.183371,0.75
650,0.131493,0.56
651,0.22254,0.97
652,0.230446,0.98
653,0.203417,0.91
654,0.210777,0.97
655,0.267151,1
