Dataset,Global EF (ef),Total Latency (ms),Noise Tax (ms),Noise Tax %
deep-image-96-angular,100,3197.281821,0.0,0.0
deep-image-96-angular,200,5830.364972,161.988172,2.7783538899869744
deep-image-96-angular,300,8531.796928,846.38933,9.920411106156134
deep-image-96-angular,400,12292.4755,2436.831989,19.823769337591926
deep-image-96-angular,500,13993.621483,3183.36004,22.748650475270253
deep-image-96-angular,600,16189.669213,4467.392113,27.594091356806526
deep-image-96-angular,700,19044.52979,6395.169444,33.58008580163532
deep-image-96-angular,800,21306.596613,7876.174053,36.9658946290579
deep-image-96-angular,1000,26317.146777,11339.384032,43.08743697819898
deep-image-96-angular,1200,31710.598457,15513.75191,48.922923769593496
deep-image-96-angular,1400,36718.345401,19604.933159,53.392746718009995
deep-image-96-angular,1600,41241.732881,23316.350639,56.535817023687194
deep-image-96-angular,2000,50773.320193,31516.133795,62.07223336035656
deep-image-96-angular,2400,60873.541338,40575.748065,66.65580344620233
deep-image-96-angular,2800,70095.05799,48987.963621,69.88789941223644
deep-image-96-angular,3200,79787.066596,57996.246521,72.68878152227688
deep-image-96-angular,3600,89403.584352,67034.713669,74.9798949951165
deep-image-96-angular,4000,99456.988706,76561.119748,76.97912509126796
deep-image-96-angular,4400,108399.397993,85253.140838,78.64724566413672
deep-image-96-angular,4800,117750.815588,94320.192149,80.10151919373388
deep-image-96-angular,5200,129142.029676,105317.202732,81.55145384986338
gist-960-euclidean,100,1072.862504,0.0,0.0
gist-960-euclidean,200,1953.997695,7.435193,0.3805118613509931
gist-960-euclidean,300,2793.243202,58.381543,2.090098812670448
gist-960-euclidean,400,3608.177238,176.309803,4.8863953007399346
gist-960-euclidean,500,4523.11003,404.182314,8.935938133700454
gist-960-euclidean,600,5233.138623,605.871989,11.577602518250739
gist-960-euclidean,700,5983.684055,868.623773,14.516538056085585
gist-960-euclidean,800,6732.031779,1178.635423,17.507870754214988
gist-960-euclidean,1000,8176.885623,1666.67194,20.382722919738214
gist-960-euclidean,1200,9595.937041,2387.420782,24.879496101312533
gist-960-euclidean,1400,10987.402474,3184.044527,28.979046999821406
gist-960-euclidean,1600,12197.75632,3873.450065,31.7554307807323
gist-960-euclidean,2000,14906.246918,5395.070088,36.19334979273151
gist-960-euclidean,2400,17243.830332,6898.095353,40.00326621283761
gist-960-euclidean,2800,19568.900979,8668.302197,44.29631590605026
gist-960-euclidean,3200,21930.916978,10533.801467,48.03174202687002
gist-960-euclidean,3600,24336.637153,12531.067347,51.49054599540383
gist-960-euclidean,4000,26234.421662,14102.796929,53.75684324471921
gist-960-euclidean,4400,28529.130185,15992.282233,56.05597552149836
gist-960-euclidean,4800,30564.745758,17661.550087,57.78405692243416
gist-960-euclidean,5200,32623.285603,19336.38753,59.27173542637241
glove-100-angular,100,2894.580879,0.0,0.0
glove-100-angular,200,5283.204573,101.269508,1.9168197369744364
glove-100-angular,300,7616.670794,455.429258,5.979374326625256
glove-100-angular,400,9926.06957,988.557334,9.959202149738712
glove-100-angular,500,12347.689864,1667.769829,13.506735651519925
glove-100-angular,600,14608.591554,2355.998112,16.127482949271048
glove-100-angular,700,16885.108235,3112.777518,18.435046282663052
glove-100-angular,800,19176.563659,3953.729539,20.617507960788505
glove-100-angular,1000,23700.907053,5343.753048,22.546618304735308
glove-100-angular,1200,28345.145118,7151.990291,25.231799876932985
glove-100-angular,1400,32976.444868,9123.981423,27.66817787521364
glove-100-angular,1600,37513.756631,11134.407435,29.680864927824725
glove-100-angular,2000,46466.679982,14789.516621,31.828218901649695
glove-100-angular,2400,55394.071342,19203.738286,34.66749747899402
glove-100-angular,2800,64334.534767,23924.828033,37.18815737091814
glove-100-angular,3200,73621.092562,29098.639479,39.52486776054645
glove-100-angular,3600,82705.879258,34453.057036,41.65732514435171
glove-100-angular,4000,91711.594487,39761.745027,43.35519979715997
glove-100-angular,4400,100640.134211,45346.070936,45.057641557719286
glove-100-angular,4800,109496.003074,50916.308418,46.500609144234744
glove-100-angular,5200,118288.440872,56571.446932,47.8250000718295
msmarco,1000,123698.147807,0.0,0.0
msmarco,1200,146464.82342,762.702777,0.5207412668725833
msmarco,1400,170991.918007,2640.687317,1.5443345789547178
msmarco,1600,192208.889689,5045.052569,2.624775876476397
msmarco,2000,236955.452045,10136.479711,4.277799739790326
msmarco,2400,279820.53539,18792.614551,6.715952610414309
msmarco,2800,322927.278495,30755.325009,9.523916701102165
msmarco,3200,367771.34694,45371.18083,12.336790564981689
msmarco,3600,411268.514087,60434.733446,14.694714371743906
msmarco,4000,454346.756599,76636.358486,16.86737219379738
msmarco,4400,498631.762871,95190.066402,19.090253267043966
msmarco,4800,544264.353019,116235.942207,21.356523087034187
msmarco,5200,585862.97971,135603.781472,23.145989108088614
sift10m-128-euclidean,100,361.279223,0.0,0.0
sift10m-128-euclidean,200,674.207537,17.693922,2.624402877299783
sift10m-128-euclidean,300,1016.4451,101.643289,9.99987987546007
sift10m-128-euclidean,400,1346.442188,229.967257,17.079623547862273
sift10m-128-euclidean,500,1641.492816,372.883384,22.716114281184886
sift10m-128-euclidean,600,1946.18212,560.803055,28.815548618851768
sift10m-128-euclidean,700,2148.562263,675.68658,31.4483127454985
sift10m-128-euclidean,800,2438.074417,880.294264,36.106127764680124
sift10m-128-euclidean,1000,3057.390106,1317.620555,43.096252336730764
sift10m-128-euclidean,1200,3802.168347,1919.605983,50.48713806990198
tiny5m-384-euclidean,100,712.585551,0.0,0.0
tiny5m-384-euclidean,200,1314.397926,7.886373,0.5999988925728112
tiny5m-384-euclidean,300,1903.365369,47.117691,2.475493763173538
tiny5m-384-euclidean,400,2480.91931,116.688558,4.70344027432315
tiny5m-384-euclidean,500,3045.657015,232.995022,7.650074215595811
tiny5m-384-euclidean,600,3855.706142,455.412467,11.81138941163634
tiny5m-384-euclidean,700,4425.786759,596.609877,13.480312303496591
tiny5m-384-euclidean,800,5089.121452,803.602349,15.790590902172086
tiny5m-384-euclidean,1000,6170.584315,1061.118684,17.196405232168033
tiny5m-384-euclidean,1200,7336.652807,1487.901621,20.28038753013326
tiny5m-384-euclidean,1400,8554.811598,1975.980365,23.097882897408955
tiny5m-384-euclidean,1600,9525.623118,2388.108013,25.070360053268697
