QueryID,EF,Latency(ns),Recall
37,1000,12820775,0.994
59,1000,11880655,0.974
77,1000,8433414,0.996
88,1000,11576595,0.995
110,1000,8027469,0.998
134,1000,11896364,0.976
274,1000,15735755,0.96
312,1000,12533546,0.991
322,1000,14334815,0.991
359,1000,8706442,0.996
378,1000,13471482,0.992
424,1000,14558294,0.962
478,1000,10678567,0.996
484,1000,7720906,0.996
488,1000,11997864,0.994
490,1000,12825780,0.959
512,1000,8756092,0.994
709,1000,11952846,0.993
717,1000,8365360,1
733,1000,7556691,0.994
778,1000,10184512,0.999
795,1000,13911041,0.986
826,1000,13175469,0.993
879,1000,15314732,0.992
1045,1000,19124060,0.802
1166,1000,14851340,0.971
1210,1000,15960683,0.994
1220,1000,16152312,0.987
1500,1000,20988107,0.578
1568,1000,8583428,0.99
76,1003,12874297,0.988
459,1003,10419106,0.998
606,1004,13407745,0.98
765,1004,13831004,0.982
210,1005,13418325,0.996
1238,1005,16454950,0.989
332,1010,17323203,0.961
983,1010,12899854,0.993
326,1013,10310832,0.986
19,1014,9129617,0.999
439,1015,9364860,0.991
578,1015,16997532,0.89
741,1015,13954032,0.997
1608,1015,7515471,0.992
1093,1017,16830297,0.952
505,1019,10380544,0.997
747,1019,9980249,0.99
265,1021,12776480,0.997
583,1021,10914556,0.997
987,1022,9989677,0.998
566,1024,16726228,0.977
1063,1025,10942594,0.989
227,1027,11460194,0.993
715,1027,11957200,0.977
714,1030,12409126,0.994
208,1032,9043001,0.997
64,1037,14570881,0.993
235,1038,13524074,0.984
342,1038,14528391,0.983
394,1038,10758587,0.986
1002,1038,14146313,0.985
1349,1039,12637413,0.985
409,1040,14377832,0.989
1617,1040,12744949,0.936
1037,1041,17271273,0.949
1651,1049,13108815,0.993
457,1056,6544597,1
537,1056,11246615,0.997
981,1061,11250506,0.981
842,1064,13107571,0.994
1399,1064,13988660,0.991
426,1067,9224576,0.976
584,1067,12115971,0.988
1380,1070,15777913,0.981
532,1071,11867497,0.996
70,1072,16089414,0.985
220,1072,13623701,0.996
45,1074,13028608,0.993
1038,1074,14634548,0.943
403,1075,13343640,0.991
8,1076,10851789,0.997
38,1076,14611796,0.983
525,1081,10832306,0.989
818,1081,21098177,0.961
164,1082,15385469,0.983
1355,1093,14022538,0.99
331,1097,16219461,0.968
101,1098,13084196,0.991
229,1098,16083283,0.989
748,1098,12964682,0.994
140,1099,15071137,0.992
1265,1101,15688403,0.984
290,1104,18609905,0.948
127,1110,13256589,0.992
541,1115,14238158,0.98
989,1116,18154665,0.982
74,1123,15752286,0.986
585,1125,19090806,0.914
116,1128,11747716,0.989
1054,1128,13926903,0.993
722,1130,10088968,0.992
1087,1130,10537806,0.995
568,1133,15512056,0.972
408,1134,21480510,0.943
601,1134,12355270,0.998
1114,1136,15148963,0.995
148,1137,18711342,0.928
217,1137,11337228,0.989
36,1138,12851779,0.989
1013,1140,9330424,0.975
1067,1140,14576849,0.985
763,1141,12821531,0.995
16,1143,10436566,0.996
581,1144,13564683,0.991
497,1146,17263712,0.967
1010,1146,11070673,0.989
611,1151,13660978,0.994
1318,1154,11220215,0.997
480,1155,18948912,0.985
746,1157,11900276,0.995
264,1159,15684931,0.985
982,1159,13477655,0.991
160,1161,13337870,0.995
26,1166,14963713,0.997
466,1166,9510919,0.998
575,1166,17107561,0.95
753,1166,18130012,0.987
768,1166,15810712,0.997
1095,1166,10733573,0.999
1629,1166,11128148,0.988
905,1167,13865739,0.991
28,1170,14337902,0.986
492,1170,12327934,0.985
325,1171,8884892,0.996
143,1172,16024967,0.975
1053,1172,20164460,0.961
1486,1172,12174871,0.979
712,1177,14014995,0.993
411,1178,14454925,0.993
1515,1178,14050922,0.992
258,1180,12233584,0.996
470,1181,14438651,0.995
468,1186,9513107,0.995
1151,1186,16341283,0.987
156,1188,17986287,0.983
46,1192,18376904,0.999
710,1194,18807968,0.982
225,1199,11155151,0.998
289,1202,13278631,0.987
335,1210,11161891,0.998
1614,1210,8487732,0.999
907,1216,12118117,0.999
831,1217,21582422,0.947
554,1218,11053229,0.996
1015,1223,13031296,0.994
224,1226,16318359,0.998
302,1228,20814247,0.944
292,1230,11791176,0.993
562,1230,8683621,1
821,1230,15664804,0.998
707,1232,18673620,0.942
538,1236,18652045,0.973
563,1238,9721468,1
242,1239,23042760,0.943
1177,1239,20659186,0.983
162,1240,16679597,0.97
356,1240,19467931,0.99
20,1242,16867664,0.99
1027,1244,12963193,0.996
1557,1245,10709327,0.997
360,1248,20000540,0.962
272,1254,17035895,0.985
367,1257,20361829,0.891
1599,1257,10471822,0.995
446,1258,13966816,0.987
728,1260,11321009,0.996
1428,1263,12202140,0.997
193,1265,14325541,0.987
218,1265,16586761,0.986
226,1266,13068765,0.995
676,1266,18217238,0.987
1426,1267,12493141,0.997
334,1272,16978180,0.644
60,1273,13592000,0.996
401,1273,15247027,0.993
1456,1275,12495931,0.997
392,1276,22429997,0.938
294,1277,18437170,0.984
81,1278,17731544,0.987
644,1278,22742375,0.973
1497,1278,12755707,0.992
355,1279,9365226,0.997
589,1279,12412088,0.998
1156,1279,18470470,0.995
1347,1281,16715443,0.997
13,1282,19321363,0.99
107,1285,12744643,0.997
798,1287,10712803,0.999
627,1290,13881172,0.984
1236,1290,24009870,0.935
43,1291,11106229,0.998
389,1291,21612822,0.977
582,1292,17260272,0.987
929,1292,10805642,0.999
1502,1292,10536490,0.99
990,1297,23373778,0.954
219,1300,13027313,0.996
1567,1300,19479205,0.979
783,1304,12841925,0.996
654,1305,13165611,0.996
785,1305,23565255,0.903
112,1306,12208291,1
1201,1307,14255204,0.993
593,1310,14173120,0.978
199,1311,16559465,0.983
708,1311,14579153,0.986
730,1312,17364097,0.98
343,1314,13786586,0.998
1178,1314,19131253,0.991
62,1319,16990176,0.993
14,1321,12510498,0.991
1518,1321,16760181,0.991
320,1322,26534635,0.977
397,1322,24573850,0.983
415,1322,16545047,0.986
1607,1322,14973974,0.979
1076,1323,11055294,0.997
1100,1327,16363810,0.99
57,1328,23559358,0.986
533,1330,12734956,0.991
1376,1330,27944902,0.957
835,1331,16077391,0.998
176,1332,14535009,0.995
61,1333,17237091,0.978
304,1333,10882631,0.992
340,1333,29075732,0.918
347,1333,17686164,0.996
388,1333,23309601,0.851
499,1333,17983523,0.925
1307,1333,15641181,0.997
1418,1333,13900004,1
489,1335,14191571,0.981
1144,1339,12854398,0.994
465,1340,13957730,0.998
34,1341,12779163,0.995
1086,1341,16503783,0.993
429,1342,17295035,0.987
727,1343,12992164,0.997
501,1344,11961578,0.995
183,1345,14657649,0.997
1266,1348,19430146,0.995
78,1349,11583521,0.99
338,1349,27760992,0.95
407,1350,22164444,0.963
852,1352,21208594,0.96
1341,1355,21451755,0.986
742,1357,26998692,0.984
530,1359,22844157,0.994
451,1362,12714261,0.999
369,1365,27154107,0.956
246,1366,22980008,0.991
963,1366,22525148,0.988
200,1367,21986628,0.997
881,1372,21496987,0.99
1011,1372,10122983,0.987
293,1374,20004904,0.984
87,1375,21868198,0.974
1386,1375,18645874,0.988
216,1378,16395946,0.996
1384,1380,26699956,0.962
1283,1383,19885932,0.989
1452,1384,11024990,0.997
179,1387,23787445,0.939
1634,1389,22143641,0.967
944,1391,26047084,0.96
18,1395,19118936,0.992
1081,1395,18761829,0.987
181,1396,25906245,0.985
705,1400,21565922,0.994
679,1403,14592795,0.997
279,1405,16013929,0.984
806,1406,26137244,0.971
414,1409,7052234,1
448,1409,15797594,0.996
130,1412,20148500,0.985
536,1414,20833554,0.956
1239,1414,26281747,0.989
291,1416,17647317,0.993
1605,1416,12917631,0.995
1639,1416,9765516,0.998
819,1417,29573630,0.763
657,1420,14937506,0.996
306,1424,24680531,0.997
1016,1427,11318759,0.993
510,1432,11444434,0.997
1112,1436,18175526,0.996
362,1437,18709342,0.976
1198,1437,20098594,0.991
299,1443,21286611,0.994
527,1443,24435791,0.934
546,1443,12630380,0.998
463,1444,14943070,0.996
540,1445,19359861,0.997
195,1446,27102707,0.919
358,1447,16841237,0.998
900,1448,21638579,0.959
494,1451,22483262,0.985
209,1452,24479675,0.996
323,1455,16426191,0.994
174,1456,17337914,0.971
276,1457,17218651,0.994
1116,1457,23046449,0.99
685,1458,13324926,0.999
760,1460,15321889,0.997
1488,1464,15500907,0.999
1298,1468,28920768,0.994
103,1469,22677727,0.983
244,1469,23725053,0.991
1248,1469,15823321,0.991
387,1470,18055539,0.985
261,1472,20825430,0.978
648,1473,24821425,0.965
724,1475,22221969,0.982
307,1477,22012159,0.984
596,1477,13805460,0.965
558,1478,21618891,0.986
894,1478,21870293,0.994
449,1480,13048138,0.997
1498,1482,10088541,0.996
891,1483,16287006,0.995
979,1483,19289327,0.994
1407,1484,12278076,1
607,1485,17501281,0.975
952,1486,23426882,0.958
1146,1487,16313389,0.998
243,1488,24497980,0.989
1143,1489,19724848,0.991
361,1490,21324196,0.987
204,1492,19752657,0.986
823,1493,21737567,0.993
11,1494,17771245,0.987
602,1495,21063062,0.997
625,1495,25450766,0.973
1163,1495,20305644,0.985
406,1496,16242058,0.992
44,1497,17048934,0.996
628,1497,21379940,0.97
890,1497,23620493,0.973
102,1498,18681316,0.992
385,1499,14122675,0.997
72,1500,21710855,0.993
189,1500,15580906,0.997
201,1500,15566257,0.991
247,1500,15552780,0.99
268,1500,17325612,0.989
283,1500,17836092,0.979
298,1500,24891294,0.962
328,1500,22535353,0.996
346,1500,21871971,0.987
739,1500,18516334,0.995
908,1500,26406524,0.983
920,1500,25285279,0.899
999,1500,23810867,0.982
1039,1500,17719656,0.912
1085,1500,18059093,1
1187,1500,24126740,0.991
1317,1500,30227470,0.975
1365,1500,24555198,0.98
1366,1500,24112793,0.914
1416,1500,24715467,0.998
1517,1500,21369810,0.984
1548,1500,16262061,0.993
968,1501,22309032,0.977
1584,1501,10838233,0.997
805,1502,11405490,0.996
992,1502,16587533,0.994
1313,1502,19134763,0.988
1620,1502,18626856,0.988
1423,1503,22657447,0.994
231,1504,29379474,0.979
901,1504,21761885,0.991
1072,1504,12091258,0.996
1291,1504,28024135,0.989
1374,1504,24114124,0.983
993,1505,17519213,0.996
1141,1505,21413671,0.992
1516,1505,15573547,0.997
324,1506,26787999,0.969
1079,1506,19749722,0.959
1310,1506,15580067,0.996
380,1507,14982976,0.997
482,1507,19765495,0.995
849,1507,27214940,0.918
994,1507,17579084,0.997
1091,1507,20674036,0.963
698,1508,22759495,0.932
1213,1508,26013537,0.983
696,1509,16559335,0.992
824,1509,22131573,0.986
855,1509,23192737,0.975
318,1510,21963863,0.992
518,1510,24183316,0.995
687,1510,20114644,0.976
711,1510,23296210,0.989
1014,1510,22646508,0.967
1096,1510,19991471,0.995
1259,1510,21341404,0.988
531,1511,23261725,0.97
1022,1511,14018745,0.994
877,1512,20573126,0.992
1089,1512,21082553,0.984
528,1513,23969606,0.972
682,1513,23212883,0.965
1064,1513,22679073,0.99
1244,1514,17382383,0.999
285,1515,24462947,0.968
314,1515,31608290,0.689
341,1515,23998657,0.986
422,1515,27728752,0.853
690,1515,25493867,0.979
1463,1515,16494076,0.986
1559,1517,14012539,0.99
440,1518,23645181,0.943
820,1518,25586900,0.975
106,1519,27390271,0.963
194,1519,18314687,0.95
491,1519,29426794,0.968
1519,1519,18406978,0.948
702,1520,21988589,0.971
79,1521,23190591,0.982
444,1521,21431014,0.997
809,1521,31990480,0.97
974,1521,25868349,0.978
1142,1521,14550329,0.995
1224,1521,24349993,0.986
729,1523,23499470,0.997
780,1523,19065122,0.986
1217,1523,15215688,0.998
373,1524,18656471,0.989
775,1525,28231956,0.952
413,1526,21132339,0.992
811,1528,21355239,0.992
909,1529,23098895,0.985
1653,1529,21012759,0.964
740,1534,17606954,0.997
1083,1534,25886365,0.886
1150,1535,25483948,0.972
659,1536,26596326,0.841
278,1538,20188587,0.988
693,1538,20444182,0.986
1241,1538,21854669,0.996
1591,1538,20572174,0.996
1119,1539,22014599,0.977
543,1540,24986363,0.98
33,1542,22478627,0.957
561,1542,24450609,0.885
365,1543,22744739,0.973
916,1543,22721920,0.991
128,1544,16787690,0.995
458,1544,21059429,0.987
645,1544,29971444,0.97
701,1544,18280328,0.999
547,1545,15566339,0.997
764,1545,22537874,0.999
1362,1546,14038511,0.995
50,1549,23744044,0.969
620,1549,28554257,0.68
1227,1549,22570726,0.993
301,1550,21561207,0.983
54,1553,17040949,0.997
716,1553,22935744,0.977
595,1554,29724246,0.927
1126,1554,26102156,0.945
617,1555,15131791,0.958
781,1555,24228357,0.957
376,1556,19111431,0.987
504,1558,22578341,0.89
866,1558,24145872,0.995
964,1558,23882185,1
1338,1559,28103426,0.997
796,1561,25578018,0.982
1375,1561,25431089,0.928
735,1562,19080237,0.998
790,1562,12639933,0.997
1005,1562,22812647,0.996
471,1564,18508423,0.984
1301,1564,27858547,0.957
889,1565,28032378,0.933
959,1565,17764225,0.984
810,1569,19406797,0.998
1525,1569,24331957,0.973
669,1570,21883503,0.965
1253,1572,23861966,0.992
167,1573,19774492,0.999
1427,1573,14459632,0.996
503,1575,21565290,0.993
12,1576,23204382,0.98
95,1578,28975799,0.987
555,1578,31202789,0.959
932,1578,26470458,0.935
1400,1578,31990772,0.87
66,1579,14481465,0.998
469,1579,24474506,0.969
205,1582,20237297,0.982
1615,1582,23298200,0.983
390,1583,23745814,0.961
1279,1583,23029431,0.977
754,1584,29939070,0.978
1580,1584,16701039,0.993
472,1586,12774577,1
634,1587,28856969,0.953
1430,1587,19205823,0.986
443,1588,21674056,0.97
267,1590,14224717,0.994
506,1590,24639004,0.878
1030,1591,26266832,0.989
655,1592,23646255,0.976
73,1594,17935672,0.981
122,1594,21862812,0.985
817,1594,27357245,0.94
934,1594,26583880,0.984
1303,1594,22500126,0.998
895,1595,19560586,0.99
280,1596,31617286,0.985
1321,1596,20075268,0.997
664,1598,21939780,0.985
703,1598,23328753,0.99
1571,1598,17325901,0.995
49,1599,14658750,0.997
859,1600,20353296,0.983
48,1602,25461108,0.953
1323,1602,20831073,0.994
398,1603,20446156,0.983
477,1603,18676532,0.993
1200,1603,22797566,0.964
700,1604,22304989,0.989
245,1605,25095394,0.991
970,1605,22992992,0.987
1020,1606,20007370,0.989
1320,1606,22946860,0.99
233,1610,19332209,0.993
802,1610,17863829,0.996
1496,1611,17980336,0.995
1666,1612,18177360,0.957
255,1616,17499188,0.999
270,1617,30045169,0.989
520,1617,22251756,0.974
828,1617,17315904,0.998
1025,1617,19647541,0.99
1139,1617,23124364,0.994
663,1618,25457627,0.946
29,1619,24596072,0.989
250,1620,19815032,0.996
514,1620,18114088,0.987
658,1622,18954740,0.982
1004,1623,16970409,0.995
1055,1623,10108303,0.999
917,1624,29274036,0.971
1158,1627,16690615,1
1188,1627,14192994,0.995
1297,1627,19844138,0.993
1597,1627,15091447,0.988
1565,1628,17624348,0.984
435,1629,27341786,0.971
154,1630,23994335,0.917
888,1631,25615958,0.988
1208,1631,27068329,0.976
1267,1631,21784723,0.989
893,1633,17984542,0.995
1257,1633,15787039,0.996
464,1634,17805911,0.999
517,1634,21275737,0.996
725,1634,20924849,0.99
1050,1634,21194500,0.991
1405,1636,20635484,0.991
118,1637,18038231,0.993
370,1637,28777617,0.956
883,1637,24909470,0.991
800,1638,25484166,0.979
591,1639,18850710,0.919
132,1640,30778087,0.977
1281,1640,30621892,0.933
1378,1641,26897349,0.996
1003,1642,26949858,0.977
1120,1642,21474302,0.931
481,1643,21242171,0.999
1470,1643,17591848,0.992
815,1645,27166332,0.992
941,1645,19020403,0.996
677,1646,32938344,0.965
203,1649,21846904,0.993
214,1649,25914519,0.965
305,1649,32878818,0.885
1196,1649,31747002,0.993
35,1650,25786877,0.99
184,1650,26518423,0.975
1024,1650,16126146,0.983
1033,1652,22140675,0.965
32,1653,28143367,0.992
1137,1654,27030844,0.986
98,1655,20701958,0.988
1052,1655,14107695,1
980,1656,22541830,0.993
1573,1656,16586697,0.995
330,1657,29089994,0.984
1533,1657,16287884,0.996
650,1658,24408157,0.986
1161,1658,25200821,0.937
1667,1658,25590670,0.963
393,1660,24310945,0.979
864,1660,23618977,0.993
1506,1660,19288853,0.985
1570,1662,16157666,0.999
588,1663,19914149,0.993
1346,1663,25610511,0.949
666,1664,29503577,0.96
758,1665,20413184,0.996
168,1666,23064092,0.991
327,1666,28197097,0.888
382,1666,25992129,0.519
569,1666,23947240,0.977
570,1666,32003045,0.76
713,1666,21393892,0.971
971,1666,18052933,0.996
972,1666,45950907,0.636
995,1666,24160189,0.994
1034,1666,31181613,0.86
1061,1666,25090544,0.88
1078,1666,20402475,0.985
1109,1666,31754258,0.857
1319,1666,20778130,0.995
1368,1666,20977921,0.994
1387,1666,28085852,0.958
1441,1666,15047081,0.996
1511,1666,21330938,0.993
236,1668,28217361,0.969
1327,1668,24893941,0.989
793,1670,31249095,0.983
1501,1671,16572375,0.99
973,1673,26204188,0.981
804,1674,25147683,0.986
731,1675,15631650,0.99
594,1677,20982976,0.99
1385,1680,24398376,0.968
1524,1682,21080825,0.974
483,1684,17924435,0.997
1579,1685,14929958,0.991
978,1686,28000274,0.982
1275,1687,31863505,0.981
215,1689,26448130,0.98
257,1689,13826780,0.999
1246,1690,23242328,0.996
515,1691,12543586,0.982
1657,1691,13745392,0.997
1294,1693,26238912,0.995
445,1694,16592626,1
850,1694,32924812,0.967
1382,1696,22710124,0.999
450,1697,19314153,0.958
1041,1699,20518225,0.982
736,1701,17999987,0.992
40,1704,22031927,0.96
1023,1707,24052573,0.984
1538,1708,18082499,0.99
427,1709,18231598,0.996
986,1713,18255246,0.998
405,1715,15465464,0.989
572,1716,19615670,0.988
125,1718,36125871,0.882
704,1722,22282263,0.989
1482,1722,12381026,0.999
336,1730,17823166,0.997
207,1731,28125592,0.987
846,1731,28269269,0.959
