QueryID,EF,Latency(ns),Recall
1,100,485722,1
11,100,383879,0.99
21,100,355338,1
29,100,269808,1
31,100,460307,0.98
34,100,344361,1
37,100,511824,1
47,100,348872,1
56,100,471418,1
59,100,460056,1
64,100,510624,1
65,100,514092,0.95
81,100,470375,1
87,100,440943,1
96,100,301521,1
97,100,426171,1
117,100,469609,0.99
118,100,501138,1
120,100,519271,0.96
121,100,478597,0.98
142,100,487981,0.91
151,100,411967,0.99
155,100,281156,1
158,100,385816,1
160,100,509007,1
177,100,467306,0.99
178,100,484647,0.98
191,100,441146,1
197,100,477831,0.97
198,100,439877,0.99
221,100,451476,0.99
227,100,412543,1
241,100,397665,0.94
243,100,417304,0.99
266,100,349927,1
267,100,486329,0.99
287,100,470760,0.99
298,100,366145,1
329,100,410101,1
335,100,405094,1
340,100,507248,0.99
347,100,457145,1
352,100,436287,1
377,100,469019,1
381,100,460869,1
396,100,474915,1
408,100,490998,0.98
430,100,453748,0.97
451,100,457453,1
474,100,481550,0.99
487,100,465504,1
493,100,471255,0.98
503,100,482005,0.98
511,100,383978,1
523,100,463724,0.99
530,100,472489,0.96
533,100,507303,0.98
539,100,489161,1
547,100,286541,1
555,100,454133,0.98
559,100,322796,1
560,100,355847,1
593,100,488714,0.99
599,100,504798,0.98
603,100,461888,0.99
605,100,405357,1
610,100,334993,1
611,100,297783,1
617,100,504312,0.99
626,100,402578,0.99
636,100,468766,0.96
645,100,514421,0.99
647,100,435647,0.99
655,100,503916,1
662,100,412059,1
692,100,373952,1
696,100,484346,0.98
702,100,309987,1
726,100,481008,0.99
738,100,482865,1
757,100,471238,0.96
759,100,433058,1
761,100,411760,0.98
768,100,486608,0.99
771,100,450249,0.98
787,100,510772,0.98
796,100,495222,1
797,100,490514,0.98
807,100,329811,1
815,100,384920,1
836,100,475487,0.98
843,100,381556,1
844,100,413291,0.99
855,100,394470,1
858,100,432099,0.96
861,100,430442,0.99
863,100,406232,0.99
867,100,440528,1
872,100,421100,0.99
875,100,364600,0.99
876,100,298998,1
877,100,418380,1
893,100,394863,0.99
923,100,451766,1
972,100,439627,0.96
975,100,376897,1
982,100,470321,0.99
1007,100,385139,1
1009,100,446580,1
1011,100,429070,0.98
1012,100,432109,0.99
1019,100,456961,1
1026,100,469042,0.97
1044,100,458214,1
1064,100,421473,1
1070,100,378370,1
1085,100,508069,0.99
1087,100,218637,1
1107,100,366460,1
1118,100,216380,1
1124,100,463207,1
1127,100,406371,1
1132,100,502957,1
1142,100,473580,0.96
1143,100,402787,0.99
1145,100,503065,0.95
1151,100,538139,1
1164,100,465295,0.98
1176,100,433106,1
1186,100,499882,0.99
1187,100,406649,1
1198,100,437709,0.99
1225,100,382160,1
1240,100,453002,0.95
1268,100,393815,1
1299,100,430426,1
1304,100,493583,1
1358,100,503021,1
1366,100,520288,1
1383,100,402381,0.99
1386,100,482999,1
1389,100,448464,1
1393,100,551695,0.99
1398,100,468216,1
1409,100,528338,0.98
1414,100,436952,1
1464,100,422877,1
1466,100,405351,1
1483,100,468929,0.99
