QueryID,EF,Latency(ns),Recall
0,519,4004093,1
1,519,5013725,1
2,519,3514414,1
5,519,3783519,0.99
6,519,4848686,0.95
8,519,4181292,1
9,519,4724444,1
10,519,3146200,1
11,519,2915828,1
15,519,4428388,1
16,519,2810538,1
17,519,4474786,0.99
19,519,3605085,1
24,519,4102966,1
29,519,4160127,1
30,519,3792642,1
33,519,3809546,1
34,519,3243400,1
35,519,4288242,0.98
38,519,3251813,0.99
40,519,2795343,1
42,519,4014232,1
43,519,4246886,0.99
44,519,3762247,0.99
45,519,4140416,1
47,519,3456081,1
52,519,4576560,0.97
54,519,3391025,1
55,519,4062367,1
56,519,3763547,1
57,519,4017591,1
58,519,3918331,0.99
59,519,4508215,0.99
65,519,4762513,1
66,519,3760672,1
69,519,4892122,1
70,519,4468095,0.99
73,519,4317644,0.97
74,519,4064381,1
76,519,4220901,0.98
77,519,5235447,0.97
78,519,4535734,0.99
80,519,4701860,1
82,519,4536266,1
84,519,4220041,1
85,519,4744914,0.99
86,519,5055441,0.97
87,519,4431349,0.98
88,519,4151945,1
89,519,4174955,0.98
90,519,4373174,0.99
91,519,3857291,0.98
92,519,3969669,0.99
94,519,4735758,0.97
96,519,3035873,1
97,519,2836479,1
98,519,4204159,0.99
99,519,5640157,0.95
101,519,4986793,0.99
102,519,4530441,0.92
103,519,4572347,0.92
104,519,5202081,0.98
107,519,3164149,1
109,519,3703755,0.97
110,519,2347180,1
111,519,4048365,1
112,519,4030519,0.94
113,519,3317514,1
115,519,4789116,0.98
116,519,3502808,0.99
117,519,4342354,0.99
118,519,3971118,1
119,519,4752173,0.98
122,519,4214863,1
128,519,4715842,0.99
132,519,4630118,0.99
134,519,4050416,0.93
136,519,5110320,0.98
137,519,4846633,0.97
141,519,4745188,1
142,519,5053197,0.98
143,519,5350440,0.96
146,519,4761397,0.95
147,519,3056011,1
149,519,3480984,1
151,519,3011990,1
152,519,4368638,0.97
153,519,3927028,0.99
155,519,3947776,1
156,519,5084276,0.99
157,519,4040074,1
160,519,3180690,1
161,519,2887718,1
162,519,4196274,1
163,519,4432290,1
164,519,4261005,1
165,519,4763509,0.96
173,519,4293822,1
174,519,3989522,1
175,519,3092604,1
177,519,4429566,0.99
178,519,3732137,0.99
179,519,3775736,1
182,519,4179594,0.99
189,519,3730706,1
190,519,3388740,1
192,519,5000823,0.97
194,519,3723891,0.99
204,519,4111192,1
205,519,3728405,1
221,519,4965862,0.9
226,519,3379430,0.95
235,519,3943933,0.97
238,519,5120525,0.98
240,519,5158586,0.97
246,519,5248741,0.95
263,519,4778026,1
267,519,5192417,0.94
270,519,4792936,1
271,519,4782887,0.97
273,519,4426836,0.98
274,519,4082940,1
275,519,5438880,0.97
278,519,5057926,0.97
279,519,3591553,0.97
280,519,4248910,1
281,519,3009880,1
283,519,4760774,0.99
284,519,4063227,1
286,519,3947527,1
287,519,4349170,0.97
288,519,5007312,0.99
292,519,4926903,0.98
293,519,4894198,0.98
294,519,4771213,0.97
297,519,4525006,0.99
301,519,4393448,1
303,519,4291715,1
304,519,4829666,0.99
308,519,4407085,1
313,519,4152009,0.97
314,519,4994010,1
316,519,3618632,1
317,519,5167384,1
325,519,4586919,0.99
326,519,4528889,1
327,519,4470130,0.98
328,519,4650521,1
331,519,4126869,0.94
332,519,2905934,1
333,519,3679223,0.99
335,519,2377799,1
336,519,3430221,0.98
337,519,4265857,0.98
338,519,3095673,0.98
340,519,4681709,0.99
341,519,3960043,0.99
342,519,3551289,1
345,519,2955006,0.98
349,519,2845866,1
352,519,3100723,0.96
353,519,3488511,0.99
354,519,3855598,0.96
355,519,3170714,0.98
356,519,4167751,0.97
357,519,4603248,0.98
358,519,3612419,0.99
359,519,3234259,1
360,519,3652704,1
362,519,3026005,1
363,519,3194502,0.99
365,519,3112012,1
366,519,3399264,1
367,519,3516953,1
368,519,4192687,0.97
370,519,3820286,0.98
372,519,4802824,0.97
373,519,3058158,0.99
374,519,4237113,0.92
376,519,3196007,1
377,519,4208616,0.97
378,519,3552930,1
379,519,4575311,1
380,519,3818171,0.99
386,519,3142046,1
387,519,2877415,0.99
389,519,3527665,1
395,519,5301603,0.99
402,519,3825550,0.98
407,519,4797240,0.99
415,519,4925647,1
421,519,4255729,0.98
422,519,4786893,0.98
424,519,3805549,1
426,519,4920369,0.99
428,519,4792870,0.96
433,519,2811353,0.98
434,519,4891654,0.94
437,519,3550461,1
450,519,4141116,0.99
451,519,3916167,0.99
453,519,4480776,0.99
458,519,4619003,0.99
459,519,4479078,0.99
460,519,3946032,0.99
461,519,3162199,1
464,519,3404765,0.99
466,519,3311147,0.95
469,519,3977988,1
471,519,4564721,1
475,519,4267773,0.99
480,519,4180484,1
481,519,3916697,0.99
484,519,3378112,0.99
485,519,3000657,1
486,519,2583778,1
489,519,3813581,1
490,519,5080389,0.98
491,519,5471089,0.92
494,519,4883782,0.95
495,519,4490786,1
496,519,2737197,1
497,519,2833293,1
500,519,1833531,1
501,519,4127552,0.99
504,519,4247810,0.96
508,519,2605212,1
509,519,3285494,1
512,519,3504449,1
513,519,4301726,0.97
516,519,2367889,1
517,519,2672926,1
518,519,4459083,1
521,519,3318496,1
530,519,4365778,1
531,519,4329094,0.98
532,519,2752515,1
534,519,5129114,0.96
536,519,3766121,1
538,519,4950420,1
542,519,4911259,0.94
544,519,4830706,0.99
548,519,5137438,0.97
551,519,4822375,1
554,519,4816145,0.96
556,519,3121264,1
559,519,4839730,0.98
566,519,4915201,0.97
568,519,3854633,1
571,519,3317522,1
573,519,3597085,0.97
574,519,4598785,0.94
579,519,4086810,1
580,519,1393300,1
587,519,4806029,0.99
588,519,4681773,0.97
590,519,4441208,0.97
591,519,4173786,0.98
595,519,4988634,0.97
597,519,4412520,0.98
598,519,4609087,1
601,519,4578577,0.95
602,519,5002226,0.99
604,519,4823739,0.98
605,519,3685145,0.97
607,519,4210514,1
609,519,4774305,1
611,519,4239838,1
612,519,4986799,0.95
613,519,3981398,0.99
615,519,4298016,0.98
621,519,3144423,1
622,519,4318883,0.99
623,519,4357581,1
624,519,4421186,1
626,519,4230287,1
629,519,4414373,1
638,519,4579667,0.99
639,519,4303637,0.99
645,519,4782054,0.98
658,519,4621790,0.98
661,519,3944388,1
663,519,3359052,1
664,519,4353396,0.99
665,519,5044372,1
666,519,5085692,0.94
667,519,3817462,1
668,519,4043870,1
670,519,4056514,0.97
671,519,3278568,1
674,519,3609764,1
675,519,4269112,1
676,519,4943220,1
677,519,4606591,1
683,519,4345636,0.99
684,519,4617057,0.93
685,519,4805891,0.98
686,519,4842272,1
687,519,4996700,0.98
689,519,3834499,0.99
690,519,3675373,0.99
696,519,4441081,1
