QueryID,EF,Latency(ns),Recall
14,100,362094,1
16,100,298658,1
23,100,442365,0.98
49,100,404290,1
66,100,424542,0.99
71,100,340004,1
83,100,377523,1
118,100,396270,1
130,100,313629,1
133,100,358498,1
141,100,450966,0.96
164,100,376320,1
179,100,261052,1
182,100,353079,1
197,100,401031,1
205,100,343058,1
245,100,423362,0.95
248,100,388356,0.99
263,100,423583,0.99
289,100,389662,1
356,100,388305,0.96
367,100,369703,1
374,100,390675,0.98
380,100,404357,0.99
394,100,353157,1
398,100,405624,0.99
399,100,339818,1
407,100,441762,0.99
423,100,400916,1
465,100,362597,1
477,100,386754,1
484,100,371943,1
489,100,431748,0.99
490,100,395067,0.99
521,100,354521,1
528,100,386495,1
540,100,348356,1
548,100,414376,0.99
551,100,444981,1
571,100,293051,1
577,100,384755,0.99
588,100,453129,0.97
595,100,425520,1
623,100,355465,0.99
645,100,499262,0.91
649,100,370568,0.99
658,100,392952,1
688,100,346606,0.99
693,100,431853,1
713,100,411913,0.98
729,100,384007,0.99
742,100,397799,0.99
760,100,398018,0.99
763,100,425681,0.97
801,100,402484,1
838,100,411982,0.97
844,100,415870,0.99
888,100,433131,0.98
912,100,333348,0.99
954,100,332679,1
960,100,410034,1
998,100,409039,0.99
1015,100,359524,1
1024,100,444136,0.99
1037,100,417559,0.99
1046,100,417306,1
1065,100,462896,0.96
1070,100,407168,0.99
1111,100,344431,1
1112,100,368557,0.99
1126,100,354626,1
1136,100,390044,1
1158,100,417087,0.98
1180,100,471387,0.98
1301,100,359318,1
1384,100,339640,1
1423,100,381065,1
1495,100,299986,1
1540,100,386483,1
1571,100,393087,1
1583,100,315472,1
1606,100,416188,1
1655,100,435043,0.99
1662,100,431003,0.96
1666,100,388248,0.99
1699,100,421806,1
1722,100,363807,1
1747,100,378779,0.99
1814,100,326962,1
1831,100,434471,0.99
1835,100,411899,0.94
1854,100,342194,1
1879,100,435513,0.97
1947,100,366986,1
1960,100,431710,0.99
1987,100,372102,0.99
2008,100,414724,1
2051,100,354262,1
2090,100,408671,1
2103,100,360983,1
2118,100,364481,1
2122,100,415991,1
2127,100,405702,1
2152,100,364071,0.88
2154,100,366133,1
2168,100,442783,1
2189,100,428464,0.98
2213,100,339528,1
2244,100,400188,0.99
2264,100,354544,1
2272,100,383413,0.99
2273,100,396528,0.99
2287,100,382064,0.97
2289,100,348927,1
2315,100,421353,0.99
2351,100,331501,1
2418,100,360013,1
2438,100,375964,1
2439,100,386970,1
2444,100,426182,1
2485,100,401937,1
2505,100,401284,0.99
2514,100,439233,0.99
2545,100,449314,1
2554,100,414543,0.99
2565,100,397901,1
2577,100,386278,1
2626,100,401510,0.99
2638,100,341226,1
2651,100,420151,0.98
2681,100,410521,0.99
2686,100,430519,1
2766,100,353966,0.98
2779,100,425619,0.99
2790,100,363088,1
2809,100,288030,1
2830,100,428524,1
2835,100,358131,1
2859,100,380996,1
2873,100,392241,1
2876,100,468580,0.99
2877,100,348869,1
2935,100,393922,0.99
2965,100,406652,1
2968,100,379486,1
2981,100,376507,1
3029,100,399472,1
3072,100,406647,1
3097,100,407576,1
3123,100,414847,1
3147,100,357623,1
3159,100,373234,1
3174,100,403610,0.99
3176,100,407307,0.98
3214,100,375388,1
3223,100,415084,1
3249,100,374341,0.99
3252,100,406837,0.99
3277,100,410236,1
3302,100,414269,1
3316,100,382950,1
3325,100,409176,1
3335,100,355204,1
3345,100,408891,1
3347,100,429819,1
3412,100,293143,1
3415,100,375966,0.99
3425,100,367902,1
3429,100,434266,0.99
3438,100,422258,0.99
3457,100,386602,1
3503,100,324872,1
3574,100,431397,1
3593,100,349430,1
3604,100,387193,0.99
3616,100,390160,0.99
3653,100,458519,0.97
3655,100,365119,1
3681,100,344466,1
3687,100,406152,0.99
3703,100,355729,1
3705,100,402884,0.99
3746,100,379641,1
3755,100,431368,0.98
3769,100,461560,0.99
3803,100,383840,1
3808,100,446477,0.99
3934,100,355111,0.98
3953,100,411976,0.96
3966,100,396331,0.99
3980,100,417913,1
3995,100,396733,0.99
4024,100,376238,1
4025,100,377981,1
4052,100,358676,1
4085,100,400008,0.99
4099,100,378822,1
4111,100,327717,1
4117,100,297232,1
4122,100,384899,1
4132,100,394352,1
4141,100,420513,1
4174,100,449689,0.98
4207,100,415581,1
4270,100,383818,1
4315,100,355983,1
4322,100,395685,0.99
4355,100,371212,1
4363,100,437716,0.97
4379,100,374713,1
4397,100,395563,1
4406,100,383045,0.99
4411,100,387282,1
4417,100,410603,0.99
4419,100,400333,1
4420,100,326183,1
4426,100,415572,1
4430,100,433600,1
4437,100,437310,0.97
4451,100,412062,0.99
4491,100,373376,1
4534,100,404992,1
4577,100,393258,1
4665,100,373673,1
4706,100,346433,1
4797,100,398636,0.99
4804,100,397979,1
4817,100,428744,1
4827,100,376538,0.99
4848,100,411557,0.99
4860,100,382136,1
4875,100,395698,0.99
4897,100,315425,1
4911,100,392079,1
4955,100,432162,1
4966,100,372000,1
4969,100,376819,0.99
4986,100,394427,0.98
4990,100,428192,1
4995,100,356459,1
5013,100,415958,0.98
5034,100,364395,0.99
5045,100,454361,1
5088,100,369653,1
5110,100,341368,1
5143,100,355652,1
5159,100,456119,0.98
5182,100,418701,0.99
5194,100,396662,1
5198,100,368228,0.99
5212,100,394105,0.99
5213,100,368302,1
5230,100,390993,0.99
5249,100,410390,0.99
5281,100,456883,0.96
5283,100,440687,0.99
5308,100,411879,1
5309,100,403548,0.99
5310,100,396195,0.99
5334,100,422449,1
5350,100,402419,0.97
5358,100,384975,0.99
5413,100,380734,1
5472,100,388273,1
5479,100,462351,0.95
5490,100,264490,1
5514,100,492088,0.99
5576,100,399130,1
5606,100,366844,1
5625,100,405182,1
5680,100,324735,1
5705,100,360692,1
5768,100,404559,0.97
5777,100,382625,1
5809,100,351182,1
5859,100,404216,1
5871,100,431846,1
5891,100,341127,0.95
5900,100,391944,1
5922,100,458512,0.93
5932,100,361326,1
5944,100,348221,0.99
5969,100,417855,1
5989,100,408634,0.98
6002,100,402901,0.99
6158,100,402957,0.99
6169,100,413181,1
6171,100,423492,0.97
6193,100,346848,1
6208,100,372183,1
6275,100,406336,1
6279,100,395677,0.99
6334,100,395587,1
6349,100,385218,1
6405,100,445235,1
6410,100,345056,1
6418,100,360683,1
6435,100,405507,1
6455,100,415959,0.98
6464,100,321971,1
6466,100,357328,0.99
6469,100,388462,1
6552,100,453906,1
6556,100,416081,1
6567,100,427375,0.99
6595,100,446887,0.96
6618,100,423114,1
6619,100,326702,1
6631,100,483280,0.98
6639,100,318851,1
6642,100,427941,0.98
6673,100,305601,1
6699,100,346836,1
6735,100,346415,1
6744,100,434781,1
6769,100,395276,1
6771,100,488208,0.98
6805,100,394806,0.96
6838,100,444158,1
6866,100,397968,1
6867,100,394537,1
6948,100,348538,1
6961,100,372662,1
6986,100,385972,1
6996,100,386675,0.99
6999,100,452053,0.99
7017,100,459518,0.99
7023,100,418508,1
7027,100,351635,1
7192,100,327459,1
7194,100,399117,1
7197,100,372728,0.99
