QueryID,EF,Latency(ns),Recall
1,213,862155,1
2,213,928740,0.96
3,213,617527,1
5,213,761368,0.99
6,213,757102,1
8,213,841977,1
9,213,863194,0.98
11,213,865066,1
14,213,790637,0.99
17,213,794256,1
18,213,706387,1
19,213,957502,0.95
26,213,927928,0.99
32,213,943849,0.94
37,213,819059,0.99
38,213,914191,1
39,213,929403,0.94
40,213,793114,1
41,213,683349,1
42,213,887411,1
43,213,773968,1
44,213,877858,0.98
45,213,824038,0.99
46,213,841099,1
48,213,837479,1
49,213,912844,0.97
50,213,722303,1
51,213,811861,0.98
53,213,778448,1
54,213,740218,1
55,213,816306,1
57,213,787453,1
62,213,829567,0.99
63,213,844015,1
64,213,912923,0.97
66,213,865930,0.97
67,213,712820,1
69,213,935407,1
72,213,748058,0.99
73,213,938967,0.98
74,213,820301,1
75,213,908304,0.98
77,213,846893,0.98
78,213,691859,1
79,213,802248,0.99
80,213,895552,0.93
84,213,894063,0.99
86,213,599034,1
90,213,822305,1
91,213,711367,1
94,213,901155,0.98
96,213,866091,0.99
97,213,706563,1
99,213,931413,0.98
101,213,556064,1
105,213,944317,0.98
106,213,820593,1
108,213,870695,1
110,213,812806,1
111,213,640910,1
113,213,843489,1
114,213,867031,1
115,213,850149,1
116,213,895935,0.98
122,213,759627,1
124,213,743994,1
130,213,767786,1
131,213,877991,0.99
133,213,770595,1
136,213,740696,1
140,213,601263,1
141,213,912956,0.99
145,213,898394,0.99
149,213,633364,1
150,213,943888,0.99
154,213,709805,0.96
155,213,768913,0.99
157,213,871696,0.99
160,213,912178,0.96
163,213,634174,1
169,213,779882,1
170,213,921960,1
171,213,881236,1
172,213,873143,1
174,213,760382,0.99
175,213,878767,1
176,213,937974,0.97
179,213,901387,0.99
180,213,894591,1
183,213,773822,1
187,213,911895,0.97
188,213,876138,0.99
189,213,864715,0.98
193,213,858163,1
194,213,886643,0.95
197,213,877606,0.99
209,213,630313,0.98
213,213,888742,0.98
215,213,877819,0.98
216,213,852683,0.99
217,213,800071,0.98
218,213,869608,0.99
220,213,906884,0.97
224,213,874588,0.99
226,213,947681,0.98
231,213,793542,0.99
234,213,928910,0.99
236,213,989175,0.87
237,213,852708,1
238,213,953220,0.99
239,213,755509,1
240,213,884418,0.99
241,213,804778,0.99
242,213,610050,1
244,213,820551,1
245,213,795202,0.98
247,213,856823,0.98
248,213,852204,0.98
249,213,560305,1
251,213,926886,0.99
256,213,773577,1
257,213,904352,0.96
259,213,896965,0.97
263,213,659019,1
265,213,795600,0.99
267,213,763123,1
268,213,756448,1
269,213,755456,1
270,213,701810,1
272,213,842134,1
273,213,893876,0.98
274,213,929206,0.97
276,213,910918,0.98
277,213,923186,0.98
278,213,792504,1
282,213,828595,1
283,213,714386,1
284,213,833139,0.99
285,213,873154,1
289,213,873491,0.99
290,213,941378,0.97
291,213,778731,0.99
292,213,927210,1
293,213,589252,1
295,213,902719,0.97
296,213,792210,0.99
298,213,774726,1
299,213,885637,0.99
301,213,908086,0.91
307,213,866425,0.99
310,213,885184,0.99
311,213,933665,0.96
313,213,796120,0.98
315,213,998947,0.97
317,213,889984,0.98
319,213,931578,0.98
324,213,943410,0.99
326,213,890256,0.98
327,213,839673,0.96
328,213,881301,0.98
330,213,764821,1
331,213,779305,1
336,213,797007,1
337,213,929743,0.94
338,213,924731,0.98
339,213,910067,0.99
340,213,751753,1
341,213,872354,1
343,213,936162,0.97
344,213,930433,0.99
345,213,905687,0.98
347,213,769150,0.99
348,213,882407,0.99
349,213,911753,0.98
350,213,913634,1
351,213,650397,1
353,213,932834,0.99
357,213,727532,1
358,213,617454,0.98
359,213,761929,1
360,213,876463,1
361,213,799112,0.97
368,213,924574,1
369,213,865332,1
371,213,897836,0.97
372,213,837558,1
373,213,952898,0.99
375,213,893582,0.98
377,213,841448,0.99
378,213,921665,0.98
379,213,949543,1
380,213,912108,0.97
383,213,915402,1
386,213,807785,1
387,213,831748,1
389,213,804572,0.98
391,213,848917,1
392,213,828128,0.99
393,213,909157,1
394,213,881533,0.98
398,213,729450,1
404,213,919533,0.98
405,213,930023,0.98
408,213,772141,0.98
409,213,691828,1
413,213,952537,0.97
414,213,767644,1
416,213,822273,1
417,213,823309,1
418,213,854776,0.99
419,213,825913,1
420,213,874452,0.99
422,213,742703,1
423,213,514212,1
425,213,644903,1
429,213,902103,1
430,213,616233,1
431,213,831485,1
433,213,785259,1
434,213,595644,1
436,213,692042,1
437,213,921052,1
438,213,970288,0.93
439,213,841942,1
441,213,795803,1
442,213,802449,1
444,213,933094,0.95
447,213,820743,0.99
449,213,720511,1
453,213,854933,0.98
455,213,927941,0.98
457,213,1013549,0.91
458,213,757251,0.99
459,213,923880,1
462,213,893806,1
464,213,607312,0.98
467,213,816962,0.99
468,213,860858,1
470,213,909814,0.99
473,213,882186,0.96
478,213,976069,0.99
480,213,790245,1
481,213,905350,1
482,213,821274,1
483,213,906354,0.99
484,213,521952,1
486,213,938375,0.99
487,213,902605,0.98
488,213,801171,1
489,213,952262,0.96
492,213,787540,1
493,213,646080,1
495,213,872723,0.99
497,213,865553,1
499,213,852598,1
500,213,884163,0.96
502,213,853306,1
504,213,796174,0.97
505,213,824816,0.98
509,213,863902,1
510,213,838493,1
515,213,935675,0.97
516,213,807032,1
520,213,704491,0.99
526,213,798073,0.99
528,213,936509,0.92
529,213,919591,0.98
530,213,954410,0.98
531,213,891601,0.99
533,213,864807,0.98
534,213,733001,1
535,213,724453,1
536,213,720969,1
539,213,944513,0.98
543,213,782208,0.98
544,213,918563,0.99
545,213,822123,0.99
547,213,858759,1
548,213,799717,1
549,213,906926,1
551,213,875192,0.96
554,213,764872,0.99
559,213,869258,0.99
562,213,908758,0.98
564,213,725528,1
566,213,952678,0.99
569,213,831781,0.99
572,213,845382,1
577,213,889054,1
584,213,825055,1
587,213,920634,0.99
588,213,847924,0.99
593,213,844944,1
594,213,814559,1
595,213,654457,1
596,213,897583,0.99
599,213,795988,1
601,213,643974,1
602,213,867104,0.99
605,213,924226,0.95
607,213,675224,0.99
611,213,881770,1
617,213,815927,0.99
620,213,915673,0.99
621,213,682450,1
624,213,855312,1
627,213,752717,0.99
628,213,936119,0.97
629,213,807104,1
632,213,941272,0.98
634,213,816300,0.99
636,213,863261,1
640,213,736850,1
644,213,879877,0.98
645,213,805767,1
646,213,435215,1
648,213,701026,0.99
650,213,867053,1
652,213,878817,0.95
653,213,883014,1
659,213,908527,1
662,213,867651,1
663,213,856776,1
665,213,619553,1
666,213,767736,1
667,213,911200,0.96
668,213,392783,1
671,213,846144,0.98
674,213,945441,0.99
678,213,677031,1
680,213,833925,1
683,213,920183,0.99
685,213,909190,0.99
688,213,926096,1
689,213,742056,0.99
693,213,719221,1
695,213,845457,0.94
697,213,727112,1
700,213,930242,0.99
703,213,712744,1
707,213,838536,0.99
709,213,699976,1
712,213,855955,0.96
713,213,468591,1
715,213,898091,0.97
716,213,839417,1
724,213,840436,1
727,213,948983,0.98
728,213,850767,1
730,213,874841,0.96
734,213,683593,1
736,213,852785,0.98
738,213,738310,1
740,213,769276,1
741,213,890410,1
743,213,898783,0.98
744,213,811128,0.99
746,213,867757,0.99
747,213,877781,1
749,213,618357,1
750,213,678675,1
752,213,551117,1
757,213,942871,0.99
758,213,755515,1
760,213,905924,0.99
766,213,971271,0.97
770,213,808516,0.99
773,213,916860,0.98
775,213,850065,1
776,213,884613,1
777,213,740635,0.99
779,213,814115,0.99
783,213,868316,1
784,213,759234,0.99
785,213,789384,1
786,213,842787,0.99
788,213,805777,1
790,213,914523,0.97
791,213,775424,0.96
795,213,926739,1
802,213,779381,1
804,213,761905,0.99
805,213,922886,0.99
807,213,817822,0.94
809,213,843264,0.99
812,213,858697,1
815,213,743049,1
816,213,871636,0.99
820,213,896134,0.98
822,213,981551,0.94
823,213,793789,1
826,213,875858,1
828,213,922865,0.95
829,213,985965,0.94
830,213,863475,1
832,213,958301,0.98
835,213,820824,0.98
837,213,863085,1
839,213,742385,0.99
840,213,751879,0.99
845,213,780862,1
846,213,528121,1
848,213,958812,0.99
849,213,588703,1
850,213,456401,1
852,213,918675,0.96
853,213,936000,0.98
854,213,840531,1
858,213,894513,0.96
862,213,966467,1
863,213,904603,1
865,213,851074,0.97
870,213,792942,1
873,213,725004,1
875,213,883587,0.97
877,213,930365,0.98
878,213,782491,1
879,213,777919,1
881,213,828304,1
882,213,876254,0.99
883,213,841974,0.97
884,213,736096,1
886,213,871983,1
888,213,951601,0.97
890,213,785485,1
893,213,754502,1
894,213,830243,1
895,213,878001,1
896,213,788451,1
899,213,834845,1
902,213,833057,0.99
907,213,831407,0.97
908,213,864085,0.99
913,213,922830,0.95
914,213,826983,1
915,213,876453,0.98
916,213,839180,1
922,213,800239,1
923,213,881339,0.98
924,213,967618,0.94
925,213,618755,1
928,213,838292,0.99
929,213,899639,1
931,213,872725,0.97
936,213,832604,1
938,213,942046,0.98
941,213,922966,0.98
943,213,771694,1
944,213,979124,0.99
