QueryID,EF,Latency(ns),Recall
0,974,5667247,0.99
1,1932,13100566,0.96
2,974,4424359,1
3,1694,10589360,0.91
4,1116,7693697,0.85
5,974,5497717,1
6,2603,16171134,0.95
7,1117,7340926,0.96
8,1657,10871667,0.98
9,974,4726001,1
10,974,4206698,1
11,974,5243787,1
12,2773,16986610,0.97
13,1596,8883056,0.89
14,974,5813315,0.98
15,3916,24307373,1
16,1236,7241245,1
17,2195,10964385,1
18,2507,16393416,0.88
19,1040,6991727,0.91
20,974,4443589,1
21,974,6120074,1
22,3758,22525139,0.98
23,974,4406989,1
24,4472,27762564,0.97
25,982,6116819,0.99
26,974,2611550,1
27,974,5381783,0.99
28,3908,20382503,0.97
29,2731,15605437,1
30,2067,12884383,0.87
31,2004,13490687,0.97
32,974,5811413,0.99
33,2818,18027750,0.93
34,974,3746988,1
35,974,4916274,0.99
36,2717,16869402,0.98
37,974,4769844,1
38,2515,15292035,1
39,2552,15694232,0.99
40,974,5310194,1
41,2482,15281614,0.99
42,974,5351261,1
43,2550,16177496,0.94
44,974,5876347,0.99
45,2580,14797300,1
46,3120,18791040,0.95
47,974,5175492,1
48,2834,16289538,1
49,1074,6369946,0.98
50,2294,14620559,0.94
51,974,5408813,1
52,4766,28338514,0.99
53,974,4605719,1
54,2079,11699590,0.93
55,974,5004714,1
56,1024,5996549,0.98
57,974,6285451,1
58,974,3507887,1
59,974,3943209,1
60,3024,18841230,0.97
61,2251,12310848,0.97
62,974,5499759,1
63,974,5678701,0.98
64,1041,6510917,0.93
65,2530,15072440,0.98
66,974,4989166,1
67,977,6106093,0.98
68,974,6518630,0.9
69,990,5593171,0.98
70,974,3396876,1
71,2485,14174565,0.97
72,974,4212685,1
73,1885,11709577,1
74,2645,15872468,0.94
75,993,4344221,0.98
76,2386,14885047,0.97
77,1057,6859745,0.97
78,974,5794443,0.97
79,974,4340439,1
80,2782,17816867,0.97
81,974,5882033,0.99
82,1925,11906991,0.99
83,2898,17930549,1
84,1255,8183478,0.98
85,2747,15789767,0.98
86,3534,21431842,0.97
87,2108,12352436,1
88,4896,29717285,1
89,974,4450205,0.99
90,974,5808858,0.97
91,974,4278443,1
92,1687,10159968,0.97
93,974,6224281,0.99
94,2960,18403028,0.92
95,2679,17474839,0.95
96,974,5726549,0.99
97,1185,7670966,0.88
98,3207,19838865,0.98
99,1692,10653828,0.94
100,2538,15332125,0.96
101,974,4874804,0.99
102,974,3933465,1
103,974,3802621,1
104,2967,16523144,0.89
105,974,3069921,1
106,1041,6285754,0.99
107,974,4909922,1
108,974,5785523,1
109,3664,22317239,0.98
110,974,5768337,1
111,3926,22427802,0.98
112,1681,10831980,0.97
113,1032,6222715,1
114,974,6191559,0.96
115,2193,13779454,0.99
116,974,5849106,0.97
117,3207,19993271,0.99
118,2002,13228276,0.86
119,2795,16607554,0.98
120,1865,11682375,0.97
121,1956,11275573,0.96
122,974,4546382,1
123,974,4133679,1
124,974,4061941,1
125,974,4152538,1
126,995,5210187,0.96
127,4016,25969894,0.97
128,974,5927525,0.98
129,2542,16443981,0.99
130,1193,7676512,0.99
131,2561,14888723,1
132,3258,20690494,0.95
133,974,5591434,0.99
134,2718,15295123,1
135,2851,18077501,0.94
136,4884,27223005,0.95
137,1222,8316756,0.95
138,974,4116127,1
139,1595,10010350,0.99
140,974,4257409,1
141,974,6455493,0.99
142,1018,6616995,0.99
143,974,5425579,0.99
144,974,4931025,1
145,2000,12208148,0.91
146,974,3691503,1
147,1306,7967146,1
148,974,5202441,0.99
149,1911,11547276,0.93
150,974,5041515,1
151,1023,6211146,0.98
152,1464,9187220,1
153,974,5373642,0.98
154,4951,29625643,0.98
155,974,5915391,0.95
156,974,4612240,1
157,2023,12359039,0.98
158,974,3695178,1
159,1135,7346524,0.97
160,2544,15687640,0.97
161,974,3081190,1
162,2562,14496940,0.99
163,996,5385042,0.98
164,974,6121460,0.98
165,1720,10937153,0.96
166,4902,29620301,0.96
167,3976,22611466,0.99
168,974,5617755,0.98
169,2834,17846979,0.94
170,974,5774193,0.99
171,974,5713520,1
172,1685,10702174,0.97
173,1001,5742577,0.97
174,2574,15175879,0.98
175,4022,24185292,0.96
176,974,5964206,1
177,2424,12964208,1
178,1914,11423734,0.98
179,974,4134430,1
180,974,4446618,1
181,974,5429927,1
182,3739,21494449,0.96
183,2575,14940496,0.95
184,974,3972870,1
185,974,4896877,1
186,974,5013100,0.99
187,974,4601776,1
188,4119,25653036,0.97
189,3419,21307820,0.94
190,2616,16445433,1
191,974,5679528,0.98
192,974,4546698,1
193,1231,8330835,0.98
194,985,5292403,1
195,1085,5451166,0.99
196,974,5363759,1
197,974,4913095,1
198,2063,12677553,0.97
199,2389,15070370,0.97
200,1720,10240559,0.99
201,974,5155733,0.99
202,1006,5720107,1
203,974,3616016,1
204,974,4630316,1
205,1020,6679469,0.96
206,2160,13746217,0.99
207,974,4927268,1
208,974,5341439,1
209,1012,5968474,0.96
210,1438,8279180,0.99
211,974,5039694,1
212,2085,10820110,1
213,974,4340524,1
214,1784,11309499,0.94
215,1115,6578332,0.98
216,974,3887321,1
217,974,4079889,1
218,974,4037871,1
219,2584,15855846,0.98
220,984,6254233,0.97
221,4897,30321055,0.94
222,4634,28508989,0.94
223,1668,7623531,1
224,1794,10196563,1
225,3218,18545057,0.99
226,974,4302031,1
227,974,5370381,0.98
228,2341,15266637,0.97
229,974,4541682,1
230,974,3709668,1
231,974,4193540,1
232,3460,17464955,0.97
233,974,6375243,0.93
234,2322,15087146,0.89
235,2798,17561901,0.97
236,974,4146353,0.99
237,1862,11965672,0.95
238,974,6624824,0.96
239,974,2940723,0.99
240,974,6002988,0.99
241,2705,15583236,0.99
242,974,5043275,0.99
243,1746,11232769,0.98
244,1708,10909103,0.93
245,974,6157863,0.99
246,975,5252583,1
247,1040,6959628,0.99
248,1135,7538222,0.96
249,2476,14394660,1
250,974,4201476,1
251,3872,24178533,0.96
252,2513,16204222,0.78
253,974,5503379,0.99
254,1041,5893529,0.99
