QueryID,EF,Latency(ns),Recall
0,737,2529913,0.95
1,460,2222128,0.94
2,233,1222355,0.96
3,496,2479630,0.94
4,441,2034798,0.98
5,1000,4409394,1
6,757,3748883,0.99
7,239,1253332,0.99
8,357,1626792,1
9,771,3395820,0.97
10,330,1697221,0.96
11,1000,4581598,0.96
12,476,2303008,0.98
13,233,1222480,1
14,233,1210718,0.99
15,971,4352665,0.99
16,233,942969,1
17,250,1414720,0.99
18,233,1180685,1
19,1000,4827504,0.88
20,233,1204968,0.99
21,986,2648922,1
22,289,1382368,0.99
23,233,1034706,1
24,250,1371059,0.94
25,958,4544605,0.98
26,312,1230387,0.99
27,244,1337143,1
28,853,3704891,0.98
29,320,1539788,0.99
30,233,1298657,0.98
31,1000,4529600,0.95
32,233,1055570,1
33,233,1181837,1
34,710,2501385,1
35,233,1053986,1
36,903,4192499,0.97
37,233,1168862,0.99
38,331,1691046,0.99
39,233,876344,1
40,233,1090153,1
41,233,956185,1
42,233,1019276,1
43,233,1102890,1
44,689,3288399,0.99
45,315,1441254,1
46,233,1028980,0.99
47,559,2508876,0.99
48,233,906938,1
49,233,975296,0.99
50,233,1090998,1
51,932,3873304,0.99
52,270,1446078,1
53,775,3363982,0.98
54,511,2486909,1
55,719,3083689,1
56,1000,4188854,0.97
57,233,818362,1
58,233,1190661,0.99
59,233,1064715,1
60,233,1278789,0.98
61,233,1117495,0.98
62,684,2906440,0.99
63,676,3005151,0.98
64,1000,4405760,0.89
65,233,1263029,0.94
66,233,1127433,1
67,359,1757251,0.95
68,314,1674884,0.95
69,233,1238747,0.98
70,1000,4665809,0.99
71,233,1179282,0.98
72,660,3142631,0.99
73,233,1165222,1
74,527,1789837,1
75,233,1116715,1
76,648,2817603,0.99
77,233,878779,1
78,268,1264956,1
79,349,1595190,1
80,713,3015034,0.96
81,233,1123117,1
82,506,1905028,1
83,570,2679894,0.98
84,1000,3682400,0.99
85,249,1238609,1
86,233,860037,0.98
87,884,3679914,1
88,356,1639064,0.97
89,753,1782759,0.93
