dataset,method,ef,avg_recall,5th_perc_recall,1st_perc_recall,avg_lat(ns),lat_5th_rec,lat_1st_rec
cohere,adaptive,1000,0.96997,0.79836,0.68478,17228941,27253830,26371653
cohere,baseline,1000,0.92376,0.64245,0.51744,15573142,21147459,22100874
cohere,baseline,1200,0.93803,0.67665,0.54989,19146476,26111647,27237865
cohere,baseline,1400,0.94768,0.7014,0.57767,22463353,30271807,31636121
cohere,baseline,1600,0.95485,0.72446,0.6025,25481878,35024429,36871435
cohere,baseline,2000,0.96445,0.76033,0.65744,31386461,43218588,43999957
cohere,baseline,2400,0.97057,0.78773,0.68968,37019130,51582955,53385051
cohere,baseline,2800,0.97483,0.80733,0.70717,42831833,59253261,60702188
cohere,baseline,3200,0.97801,0.82448,0.72483,48474656,67680429,69154498
cohere,baseline,3600,0.98062,0.84079,0.74178,54121369,75649513,76608085
cohere,baseline,4000,0.98241,0.85113,0.75768,59617760,83505444,86142094
cohere,baseline,4400,0.98393,0.86079,0.77121,65189246,91125869,93520266
cohere,baseline,4800,0.98522,0.87005,0.77867,70639680,99217054,101424049
cohere,baseline,5200,0.98635,0.87614,0.79221,76132787,107076203,108154641
deep-image-96-angular,adaptive,100,0.98496,0.95408,0.93073,1469871,3807321,4345630
deep-image-96-angular,baseline,100,0.85846,0.51642,0.40009,313830,365277,373579
deep-image-96-angular,baseline,200,0.93548,0.68298,0.56482,581805,679812,683469
deep-image-96-angular,baseline,300,0.96198,0.77338,0.6588,842949,987773,990104
deep-image-96-angular,baseline,400,0.97462,0.81996,0.71366,1104848,1299935,1312613
deep-image-96-angular,baseline,500,0.98173,0.8581,0.76752,1384533,1636173,1651948
deep-image-96-angular,baseline,600,0.98614,0.8847,0.79739,1615737,1902250,1945512
deep-image-96-angular,baseline,700,0.98909,0.90028,0.82085,1866242,2204824,2234026
deep-image-96-angular,baseline,800,0.9912,0.91579,0.84465,2146054,2545255,2567670
deep-image-96-angular,baseline,1000,0.99399,0.94419,0.88053,2608450,3072962,3140740
deep-image-96-angular,baseline,1200,0.99562,0.94658,0.89188,3104621,3698463,3753561
deep-image-96-angular,baseline,1400,0.99662,0.96207,0.90623,3581325,4228743,4318621
deep-image-96-angular,baseline,1600,0.99736,0.96318,0.92193,4065569,4820204,4893802
deep-image-96-angular,baseline,2000,0.99822,0.981,0.95006,5028436,5833353,6055998
deep-image-96-angular,baseline,2400,0.99874,0.98232,0.95009,5959176,6948297,7207325
deep-image-96-angular,baseline,2800,0.99904,0.98306,0.96577,6932807,8103201,8294513
deep-image-96-angular,baseline,3200,0.99925,0.99925,0.96721,7911018,7911018,9477512
deep-image-96-angular,baseline,3600,0.9994,0.9994,0.98382,8874830,8874830,10467129
deep-image-96-angular,baseline,4000,0.99951,0.99951,0.98354,9852844,9852844,11619430
deep-image-96-angular,baseline,4400,0.99957,0.99957,0.98363,10678999,10678999,12596586
deep-image-96-angular,baseline,4800,0.99963,0.99963,0.98397,11659682,11659682,13742101
deep-image-96-angular,baseline,5200,0.99968,0.99968,0.9833,12590579,12590579,14762383
gist-960-euclidean,adaptive,101,0.98062,0.94661,0.92727,8051618,13223929,11827056
gist-960-euclidean,baseline,100,0.72898,0.43589,0.37545,1073784,1177694,1174749
gist-960-euclidean,baseline,200,0.85125,0.60569,0.545,2028401,2242744,2121020
gist-960-euclidean,baseline,300,0.90331,0.71155,0.63727,2865989,3212627,3089617
gist-960-euclidean,baseline,400,0.93082,0.76905,0.70833,3703151,4103645,3973365
gist-960-euclidean,baseline,500,0.94723,0.81033,0.755,4490227,5013339,4726976
gist-960-euclidean,baseline,600,0.95876,0.83935,0.78636,5282300,5879956,5722316
gist-960-euclidean,baseline,700,0.96664,0.86284,0.80727,6015991,6741466,6496265
gist-960-euclidean,baseline,800,0.97186,0.87167,0.82786,6753991,7479771,7319249
gist-960-euclidean,baseline,1000,0.97985,0.90975,0.8575,8285680,9374551,9051292
gist-960-euclidean,baseline,1200,0.98449,0.92159,0.88077,9577860,10776610,10584140
gist-960-euclidean,baseline,1400,0.98749,0.93431,0.89846,10969193,12332290,11926167
gist-960-euclidean,baseline,1600,0.98953,0.94727,0.91,12171289,13583740,13483975
gist-960-euclidean,baseline,2000,0.99245,0.94808,0.91818,14716016,16271599,16272041
gist-960-euclidean,baseline,2400,0.99414,0.95956,0.93562,17141907,19111065,19007011
gist-960-euclidean,baseline,2800,0.99516,0.96,0.93455,19552802,21856435,21788888
gist-960-euclidean,baseline,3200,0.99592,0.97185,0.94706,21769007,24079525,24640734
gist-960-euclidean,baseline,3600,0.99645,0.97321,0.94769,24042617,26526391,26872319
gist-960-euclidean,baseline,4000,0.99684,0.97366,0.95154,26237813,28923014,29604285
gist-960-euclidean,baseline,4400,0.99711,0.97412,0.95091,28513173,31373647,31998280
gist-960-euclidean,baseline,4800,0.99731,0.974,0.95882,30449786,33375262,34050618
gist-960-euclidean,baseline,5200,0.99765,0.98484,0.95692,32486382,34835335,36155841
glove-100-angular,adaptive,100,0.97707,0.92639,0.92258,5754087,12487838,12447168
glove-100-angular,baseline,100,0.69247,0.16,0.09774,276149,321244,314853
glove-100-angular,baseline,200,0.78059,0.27442,0.1933,507274,603498,605236
glove-100-angular,baseline,300,0.82357,0.35396,0.27582,731977,874092,881051
glove-100-angular,baseline,400,0.85039,0.41369,0.33248,954507,1142298,1147134
glove-100-angular,baseline,500,0.86985,0.45373,0.37206,1175720,1406495,1413749
glove-100-angular,baseline,600,0.88476,0.49672,0.41706,1395427,1670430,1686523
glove-100-angular,baseline,700,0.89634,0.53091,0.45619,1611878,1934651,1948513
glove-100-angular,baseline,800,0.90589,0.56108,0.48741,1829763,2198762,2219594
glove-100-angular,baseline,1000,0.92107,0.61817,0.54017,2264877,2724762,2743146
glove-100-angular,baseline,1200,0.93216,0.66252,0.58367,2695974,3239599,3263656
glove-100-angular,baseline,1400,0.94092,0.69634,0.61642,3125164,3754575,3785006
glove-100-angular,baseline,1600,0.94789,0.71903,0.65,3554322,4276681,4301277
glove-100-angular,baseline,2000,0.95814,0.76517,0.70115,4411259,5303771,5336577
glove-100-angular,baseline,2400,0.96557,0.79998,0.74207,5264920,6310317,6341402
glove-100-angular,baseline,2800,0.97117,0.82409,0.77591,6111708,7308123,7331620
glove-100-angular,baseline,3200,0.97552,0.84715,0.79717,6959352,8294047,8348205
glove-100-angular,baseline,3600,0.97889,0.8688,0.81816,7804219,9279761,9339966
glove-100-angular,baseline,4000,0.98161,0.88249,0.83837,8648796,10258838,10320973
glove-100-angular,baseline,4400,0.98388,0.89424,0.85179,9484878,11215491,11289559
glove-100-angular,baseline,4800,0.98582,0.90685,0.86315,10336879,12160716,12290987
glove-100-angular,baseline,5200,0.9874,0.90938,0.87358,11626661,13744409,13870281
msmarco,adaptive,1000,0.97667,0.89575,0.85642,21508229,50724527,58470632
msmarco,baseline,1000,0.94728,0.74132,0.64732,20579190,29106024,30300663
msmarco,baseline,1200,0.95815,0.77394,0.68458,24317558,34641239,35915344
msmarco,baseline,1400,0.96536,0.79787,0.71612,28020159,39876260,41414023
msmarco,baseline,1600,0.97057,0.8174,0.73848,31628097,45323484,47118509
