query_id,score,cv,recall
0,75.1893,0.182327,0.93
1,87.7588,0.271626,1
2,69.7898,0.192447,0.93
3,76.7736,0.215507,1
4,70.0924,0.166341,0.86
5,84.3835,0.203288,0.96
6,63.3004,0.185953,0.85
7,66.8944,0.174379,0.7
8,65.2337,0.198411,0.9
9,49.8251,0.181213,0.86
10,67.8451,0.17359,0.89
11,84.8538,0.33116,0.99
12,72.0818,0.203291,0.96
13,83.529,0.232821,0.93
14,80.415,0.220009,0.95
15,65.0035,0.163192,0.77
16,46.1944,0.150941,0.64
17,72.191,0.192594,0.85
18,46.0986,0.165868,0.71
19,64.8426,0.192993,0.95
20,78.3785,0.18175,0.9
21,90.0348,1.01787,1
22,75.2601,0.217043,0.99
23,65.0244,0.18172,0.87
24,63.4475,0.155718,0.63
25,83.5212,0.207565,0.95
26,71.4019,0.225204,0.91
27,42.2982,0.158236,0.67
28,46.2372,0.191084,0.79
29,87.9175,1.00598,1
30,65.1124,0.1516,0.59
31,80.3557,0.285703,0.98
32,68.9924,0.168537,0.83
33,69.5475,0.189528,0.93
34,84.0682,0.512739,1
35,62.6471,0.151123,0.8
36,62.2632,0.156332,0.82
37,90.2766,0.335347,1
38,79.375,0.265134,0.99
39,72.6263,0.18512,0.83
40,59.4972,0.12869,0.57
41,71.2178,0.200838,0.97
42,78.4714,0.247983,1
43,74.8232,0.194092,0.96
44,58.6281,0.165522,0.82
45,54.2566,0.142704,0.61
46,82.6584,0.244153,0.95
47,88.6825,0.993071,1
48,65.826,0.147868,0.68
49,59.365,0.161951,0.66
50,66.2994,0.184865,0.82
51,72.6346,0.204743,0.91
52,79.7793,0.215448,0.95
53,81.2592,0.228525,0.93
54,50.9127,0.152352,0.65
55,77.8602,0.167466,0.9
56,89.587,0.312152,1
57,64.5581,0.153656,0.57
58,78.183,0.251235,0.99
59,79.5441,0.297117,1
60,68.0893,0.175604,0.9
61,52.0897,0.175149,0.85
62,61.0657,0.194496,0.9
63,68.9449,0.141171,0.57
64,84.5544,0.261169,1
65,75.7809,0.367434,0.95
66,73.3558,0.186528,0.78
67,63.735,0.174922,0.7
68,53.9126,0.168233,0.81
69,60.1716,0.155229,0.58
70,65.9169,0.178446,0.87
71,76.5624,0.223128,0.98
72,54.7597,0.172106,0.8
73,77.5757,0.237777,0.96
74,62.1783,0.0410725,0
75,64.1743,0.172252,0.92
76,61.8033,0.181423,0.77
77,86.6229,0.239323,0.98
78,64.7745,0.170885,0.9
79,65.9293,0.194546,0.86
80,57.7453,0.182133,0.94
81,78.6463,0.260269,1
82,69.6743,0.184293,0.92
83,66.9969,0.165526,0.82
84,57.9142,0.17047,0.78
85,80.7185,0.225181,0.99
86,72.4134,0.190157,0.91
87,89.0654,0.387811,1
88,68.3285,0.160988,0.86
89,57.329,0.148339,0.75
90,69.9628,0.183234,0.87
91,69.5859,0.119753,0.43
92,63.3595,0.163949,0.74
93,47.9255,0.124097,0.42
94,79.5267,0.230125,1
95,68.7143,0.174611,0.79
96,88.7741,3.27238,1
97,77.8712,0.297962,1
98,71.6154,0.166463,0.73
99,72.4128,0.205352,0.99
100,80.915,0.259012,0.99
101,74.0181,0.20214,0.93
102,73.1505,0.212031,0.94
103,68.7207,0.149124,0.73
104,63.8521,0.17268,0.85
105,52.2309,0.127993,0.39
106,71.3691,0.231696,0.99
107,66.4516,0.190814,0.97
108,60.5528,0.139859,0.38
109,71.2381,0.219868,0.96
110,68.1944,0.166693,0.84
111,62.7586,0.191377,0.92
112,64.1099,0.150945,0.64
113,70.0226,0.194511,0.93
114,70.5598,0.232796,0.95
115,63.8486,0.208604,0.92
116,62.1164,0.146156,0.66
117,87.2846,0.28223,0.99
118,79.644,0.243579,1
119,53.1532,0.146105,0.74
120,81.5522,0.239032,0.98
121,83.9374,0.393853,0.98
122,55.1313,0.162274,0.83
123,66.292,0.19335,0.87
124,67.6953,0.173339,0.75
125,62.5756,0.16131,0.69
126,54.0808,0.156248,0.81
127,51.5484,0.176318,0.92
128,60.8076,0.153887,0.67
129,70.1573,0.19238,0.91
130,70.7147,0.188205,0.83
131,67.3737,0.172096,0.61
132,61.6973,0.160086,0.72
133,61.6819,0.200601,0.85
134,52.8299,0.15627,0.66
135,60.2728,0.14265,0.66
136,81.1995,0.21152,0.98
137,73.8785,0.228254,0.99
138,76.924,0.186268,0.87
139,74.2843,0.20734,0.98
140,67.835,0.230168,0.86
141,65.6601,0.193647,0.89
142,83.6138,0.273035,0.91
143,55.7599,0.191036,0.86
144,65.743,0.167193,0.89
145,59.8832,0.1879,0.95
146,80.4448,0.246876,0.88
147,69.5014,0.182659,0.97
148,68.1188,0.145858,0.73
149,65.5002,0.167491,0.9
150,63.7066,0.157521,0.73
151,91.2679,0.393487,0.99
152,61.4527,0.207191,0.96
153,66.3864,0.190801,0.78
154,65.8288,0.169742,0.87
155,89.5636,0.575782,1
156,66.1286,0.172061,0.75
157,79.4277,0.21332,0.97
158,91.7813,0.50989,1
159,65.7568,0.167817,0.92
160,79.5062,0.264055,1
161,75.4923,0.205121,0.92
162,71.1017,0.18936,0.91
163,66.9605,0.207948,1
164,59.9662,0.161147,0.75
165,45.5839,0.151298,0.71
166,51.8215,0.174477,0.84
167,58.4761,0.157016,0.74
168,60.8154,0.13957,0.7
169,51.4436,0.155886,0.6
170,66.4673,0.185643,0.95
171,76.3002,0.188974,0.86
172,85.0434,0.220072,0.96
173,72.5782,0.239163,0.95
174,76.1519,0.21732,0.98
175,81.7811,0.238896,0.98
176,61.0259,0.16303,0.78
177,76.2972,0.264776,0.99
178,83.6812,0.277184,0.98
179,66.5736,0.188385,0.87
180,70.7934,0.185317,0.96
181,60.4791,0.131628,0.65
182,60.1559,0.162947,0.73
183,73.1412,0.214312,0.93
184,64.9521,0.192606,0.96
185,75.9875,0.186769,0.8
186,78.437,0.229718,0.99
187,66.3419,0.201251,0.93
188,51.7405,0.155522,0.68
189,60.8917,0.163306,0.9
190,60.1403,0.178547,0.8
191,81.9473,0.303787,1
192,56.9078,0.157276,0.71
193,62.2048,0.194763,0.9
194,70.8635,0.16899,0.83
195,57.3942,0.158596,0.76
196,52.4226,0.169391,0.82
197,82.9618,0.269895,0.97
198,79.2689,0.304837,0.99
199,58.0025,0.15328,0.65
200,63.6156,0.176301,0.91
201,62.8147,0.186415,0.86
202,55.5158,0.192556,0.91
203,73.4296,0.155848,0.68
204,75.0128,0.187239,0.78
205,75.7788,0.190882,0.87
206,72.9758,0.22196,0.86
207,58.6182,0.151787,0.62
208,72.1431,0.176604,0.72
209,52.8071,0.180397,0.79
210,74.0908,0.177469,0.79
211,61.42,0.15951,0.82
212,54.2958,0.12544,0.46
213,74.0924,0.163543,0.92
214,74.3231,0.22594,0.98
215,69.6645,0.173834,0.85
216,80.6641,0.198564,0.94
217,59.5328,0.258814,0.82
218,80.5626,0.218034,0.93
219,75.0284,0.210893,0.94
220,76.1043,0.212392,0.93
221,78.3776,0.341356,0.99
222,81.4597,0.22579,0.98
223,51.6338,0.15752,0.72
224,67.2066,0.192678,0.81
225,77.1644,0.228858,0.98
226,53.1998,0.178226,0.83
227,87.7871,0.388292,1
228,66.7193,0.177611,0.91
229,65.2775,0.165106,0.83
230,74.0387,0.186639,0.94
231,64.787,0.161754,0.76
232,55.8286,0.184281,0.92
233,59.8818,0.146008,0.76
234,77.1361,0.196894,0.84
235,61.7632,0.158033,0.71
236,69.1899,0.182744,0.83
237,63.8409,0.158332,0.7
238,51.0702,0.170984,0.72
239,79.9215,0.24278,0.99
