query_id,score,cv,recall
0,55.6581,0.119565,0.24
1,52.0529,0.136169,0.68
2,60.3849,0.126318,0.72
3,50.4878,0.112149,0.16
4,63.3257,0.130714,0.74
5,57.9198,0.111801,0.32
6,81.9893,0.152087,0.96
7,49.8615,0.105854,0.14
8,82.403,0.136297,0.86
9,33.279,0.109204,0.44
10,86.4626,0.196951,0.94
11,54.0041,0.101715,0.26
12,65.37,0.14676,0.68
13,70.1528,0.153857,0.76
14,87.6965,0.275873,1
15,56.6569,0.201172,0.94
16,92.8534,0.288586,1
17,58.4908,0.161927,0.86
18,78.7277,0.145709,0.7
19,60.7855,0.161444,0.72
20,52.5344,0.115367,0.56
21,60.8333,0.142017,0.46
22,53.3995,0.104497,0.42
23,84.3864,0.303518,0.96
24,58.1868,0.112035,0.24
25,61.3037,0.143675,0.76
26,52.4793,0.172432,0.74
27,46.9858,0.120148,0.34
28,69.1646,0.133176,0.62
29,43.3213,0.10634,0.3
30,73.1115,0.143311,0.8
31,30.6451,0.128756,0.56
32,71.3485,0.171424,0.8
33,76.3403,0.178082,0.9
34,50.8483,0.150805,0.64
35,70.3559,0.143602,0.66
36,69.3122,0.132744,0.62
37,66.8826,0.155427,0.9
38,55.1015,0.154028,0.82
39,51.474,0.105564,0.22
40,60.1082,0.115821,0.24
41,48.9149,0.106214,0.18
42,64.1669,0.176053,0.9
43,80.8686,0.22075,1
44,55.6121,0.161371,0.7
45,58.6896,0.219784,0.84
46,43.2945,0.105758,0.16
47,74.099,0.135886,0.72
48,49.1903,0.113598,0.3
49,83.3081,0.316212,1
50,88.008,0.188131,0.96
51,82.2317,0.198401,0.9
52,53.6538,0.12955,0.64
53,55.072,0.128618,0.5
54,69.1521,0.143789,0.7
55,74.2687,0.127696,0.62
56,55.58,0.120847,0.6
57,38.1328,0.242344,0.88
58,55.6055,0.118424,0.5
59,53.7498,0.104997,0.1
60,81.4901,0.180146,0.96
61,72.5213,0.17743,0.8
62,56.7002,0.109718,0.22
63,79.3821,0.186652,0.98
64,59.9559,0.126618,0.62
65,58.4962,0.117241,0.34
66,76.9217,0.309487,0.94
67,57.9325,0.147332,0.72
68,59.1962,0.1646,0.82
69,49.9255,0.107516,0.2
70,53.5728,0.112467,0.3
71,83.7951,0.392265,1
72,57.7094,0.110125,0.62
73,82.8963,0.170498,0.8
74,56.1998,0.137584,0.62
75,72.1335,0.20374,1
76,66.4639,0.154702,0.84
77,67.5467,0.128467,0.42
78,49.298,0.111815,0.4
79,47.5799,0.11952,0.48
80,59.0688,0.132469,0.48
81,76.245,0.186234,0.92
82,48.2659,0.103319,0.26
83,72.0976,0.335542,0.98
84,68.8701,0.139489,0.72
85,76.8565,0.163925,0.88
86,64.039,0.166011,0.92
87,82.8608,0.191037,0.96
88,83.7402,0.157196,0.98
89,79.2551,0.152474,0.78
90,39.4196,0.108614,0.32
91,86.011,0.158921,0.96
92,49.9459,0.132824,0.5
93,77.836,0.170755,0.98
94,47.3469,0.0979886,0.12
95,70.1839,0.151612,0.72
96,66.8641,0.148061,0.78
97,67.0781,0.187237,0.92
98,56.1585,0.12151,0.56
99,55.2699,0.157414,0.8
100,73.4599,0.129408,0.56
101,44.4872,0.0962285,0.06
102,47.501,0.115709,0.5
103,56.0795,0.147644,0.74
104,52.2266,0.110469,0.3
105,72.8404,0.132305,0.78
106,60.0447,0.135495,0.6
107,68.6688,0.161337,0.82
108,85.2369,0.181759,1
109,40.0436,0.140806,0.48
110,65.9793,0.123089,0.38
111,83.2566,0.21063,0.98
112,54.8497,0.131299,0.52
113,58.9959,0.118223,0.48
114,60.3396,0.107875,0.2
115,51.2215,0.109517,0.14
116,52.8499,0.117294,0.36
117,26.4798,0.122363,0.62
118,85.7647,0.213078,1
119,50.8145,0.115465,0.58
120,69.3519,0.211072,0.98
121,58.054,0.151368,0.92
122,58.9317,0.115268,0.4
123,48.2174,0.107669,0.1
124,61.142,0.123515,0.58
125,55.834,0.130011,0.58
126,66.3288,0.131121,0.76
127,38.0274,0.104377,0.24
128,76.2353,0.231179,0.92
129,83.4921,0.159609,0.86
130,91.1837,0.478971,1
131,83.4956,0.181414,0.96
132,50.8957,0.166664,0.88
133,86.4564,0.280281,1
134,48.4513,0.136003,0.28
135,50.2848,0.127707,0.5
136,80.3095,0.147013,0.88
137,63.1726,0.14029,0.76
138,77.4525,0.203357,1
139,51.5613,0.118303,0.42
140,63.6082,0.167166,0.9
141,81.4001,0.184944,0.98
142,69.1092,0.155295,0.94
143,76.9197,0.173745,0.98
144,47.8811,0.136614,0.62
145,40.0837,0.105947,0.28
146,41.4143,0.122806,0.76
147,74.805,0.183551,0.96
148,88.3781,0.152716,0.92
149,54.9462,0.155708,0.64
150,52.1593,0.292429,0.9
151,61.0668,0.152092,0.74
152,72.3952,0.150315,0.78
153,81.1504,0.13911,0.78
154,55.9691,0.125852,0.52
155,79.5278,0.203031,0.96
156,72.0168,0.140479,0.58
157,62.993,0.140181,0.84
158,56.9508,0.106978,0.46
159,57.986,0.140989,0.74
160,63.7594,0.154289,0.92
161,73.3637,0.217994,1
162,59.9063,0.132228,0.72
163,45.2206,0.110763,0.28
164,87.8923,0.216268,0.98
165,56.1138,0.177591,0.92
166,42.1293,0.148858,0.7
167,58.8699,0.0962568,0.2
168,52.9982,0.0996408,0.12
169,71.1307,0.128057,0.64
170,56.4517,0.13615,0.7
171,73.378,0.20725,0.92
172,51.1106,0.0934762,0.02
173,52.5081,0.123111,0.34
174,42.8296,0.103707,0.26
175,45.6137,0.151345,0.78
176,43.3383,0.108771,0.36
177,53.136,0.135041,0.76
178,65.7276,0.157182,0.72
179,86.4688,0.599418,1
180,61.2804,0.127982,0.6
181,74.2703,0.150911,0.9
182,83.7238,0.285808,1
183,50.2085,0.101353,0.26
184,73.4813,0.16002,0.86
185,59.0953,0.158551,0.76
186,58.8697,0.116801,0.48
187,72.0231,0.193765,0.92
188,79.8813,0.123691,0.78
189,60.8427,0.104876,0.2
190,51.8516,0.106614,0.32
191,58.9965,0.122073,0.68
192,81.3395,0.152684,0.92
193,39.0843,0.122389,0.3
194,54.8294,0.12397,0.44
195,62.8707,0.242188,0.94
196,80.4625,0.165447,0.96
197,88.2282,0.250199,0.96
198,46.6661,0.113054,0.2
199,81.6685,0.151304,0.92
200,55.4797,0.114039,0.32
201,55.4502,0.123682,0.42
202,82.8464,0.156769,0.72
203,59.2743,0.113974,0.32
204,74.7442,0.147005,0.86
205,84.4872,0.343916,1
206,63.3822,0.14352,0.9
207,82.7243,0.176693,1
208,57.7058,0.118422,0.34
209,50.1554,0.153458,0.56
210,38.1034,0.112243,0.36
211,64.9043,0.134279,0.82
212,54.3662,0.142106,0.68
213,60.832,0.203266,0.88
214,51.7709,0.123182,0.52
215,74.0102,0.131843,0.62
216,56.2078,0.127304,0.56
217,54.647,0.115533,0.36
218,67.6526,0.192824,0.94
219,43.8332,0.120391,0.38
220,64.4898,0.166033,0.9
221,63.4374,0.130957,0.42
222,53.0765,0.108067,0.18
223,68.4105,0.167447,0.94
224,43.0794,0.109608,0.28
225,40.9858,0.100961,0.06
226,74.0893,0.219446,0.84
227,62.3104,0.148005,0.86
228,56.7535,0.101904,0.4
229,83.7757,0.198011,0.98
230,52.9993,0.174619,0.76
231,76.3296,0.119062,0.34
232,48.2902,0.110257,0.06
233,56.8204,0.140946,0.7
234,60.5841,0.126196,0.46
235,42.7896,0.118559,0.58
236,35.7267,0.116818,0.46
