M_bin,m_bin,ef,actual_recall
1,1,50,0.97119
1,2,300,0.956977
1,3,850,0.951452
1,4,1500,0.95
1,5,2000,0.951
1,6,2000,0.94127
1,7,2000,0.93
1,8,2000,0.93
1,9,2000,0.915385
1,10,2000,0.911111
2,1,50,0.95872
2,2,350,0.950711
2,3,1000,0.95159
2,4,1750,0.950505
2,5,1700,0.951515
2,6,2000,0.928571
2,7,2000,0.9225
2,8,2000,0.932143
2,9,2000,0.9375
2,10,1650,0.95
3,1,50,0.960027
3,2,350,0.952
3,3,1050,0.950974
3,4,1650,0.950526
3,5,2000,0.94875
3,6,2000,0.923457
3,7,2000,0.919149
3,8,2000,0.95
3,9,1700,0.955556
3,10,2000,0.946154
4,1,50,0.95617
4,2,300,0.955072
4,3,750,0.95
4,4,1350,0.951546
4,5,2000,0.937681
4,6,1750,0.951282
4,7,1900,0.95
4,8,2000,0.947059
4,9,2000,0.9125
4,10,2000,0.942857
5,1,100,0.959756
5,2,350,0.952405
5,3,1000,0.950602
5,4,1500,0.950394
5,5,2000,0.938235
5,6,2000,0.944681
5,7,2000,0.915094
5,8,2000,0.942857
5,9,2000,0.908333
5,10,2000,0.9
