M_bin,m_bin,ef,actual_recall
1,1,50,0.998932
1,2,50,0.989423
1,3,50,0.971154
1,4,50,0.960714
1,5,250,0.952941
1,6,50,0.95
1,7,50,1
1,8,50,1
1,9,50,1
1,10,50,0.95
1,11,50,1
1,14,50,1
2,1,50,0.998261
2,2,50,0.996269
2,3,50,0.993258
2,4,50,0.982353
2,5,50,0.965306
2,6,50,0.973333
2,7,50,0.954167
2,8,50,0.988889
2,9,500,0.954545
2,10,50,0.98
2,11,50,0.95
2,12,50,1
2,13,50,0.95
2,14,100,0.975
2,15,50,1
3,1,50,0.995313
3,2,50,0.992857
3,3,50,0.990722
3,4,50,0.984416
3,5,50,0.96087
3,6,100,0.958621
3,7,50,0.966667
3,8,150,0.95
3,9,50,0.966667
3,10,100,0.97
3,11,50,0.975
3,12,50,0.95
3,13,50,0.966667
3,14,100,1
3,15,100,1
3,17,150,1
3,18,100,1
4,1,50,1
4,2,50,0.995238
4,3,50,0.975532
4,4,50,0.98
4,5,50,0.952632
4,6,50,0.952
4,7,100,0.977419
4,8,100,0.964
4,9,50,0.973333
4,10,150,0.958333
4,11,250,0.95
4,12,100,0.971429
4,13,100,1
4,14,100,0.983333
4,15,100,1
4,16,100,1
4,17,100,1
4,18,50,0.95
4,19,150,1
5,1,50,1
5,2,50,1
5,3,50,0.988235
5,4,50,0.980263
5,5,50,0.955556
5,6,50,0.95
5,7,100,0.977273
5,8,150,0.963415
5,9,100,0.974194
5,10,150,0.972222
5,11,50,0.958333
5,12,100,0.981818
5,13,150,0.966667
5,14,100,0.957143
5,15,100,0.966667
5,16,100,0.98
5,17,50,1
5,19,150,1
6,1,50,1
6,2,50,1
6,3,50,0.984483
6,4,50,0.964063
6,5,50,0.958209
6,6,50,0.953704
6,7,100,0.96
6,8,200,0.959574
6,9,100,0.975
6,10,100,0.956522
6,11,100,0.985
6,12,100,0.964706
6,13,100,1
6,14,100,0.98
6,15,50,0.95
6,16,100,0.966667
6,17,150,0.95
6,18,100,0.975
6,19,100,1
6,20,250,1
7,1,50,1
7,2,50,0.994737
7,3,50,0.972727
7,4,50,0.977083
7,5,50,0.958333
7,6,100,0.964286
7,7,100,0.967273
7,8,200,0.958929
7,9,100,0.973333
7,10,100,0.953333
7,11,100,0.95
7,12,200,0.961538
7,13,150,0.95
7,14,100,0.96
7,15,100,0.966667
7,16,100,0.975
7,17,100,0.975
7,18,100,0.95
7,20,100,0.966667
8,2,50,1
8,3,50,0.97
8,4,50,0.975
8,5,50,0.958333
8,6,50,0.956863
8,7,100,0.974627
8,8,100,0.957143
8,9,150,0.958621
8,10,100,0.955556
8,11,250,0.951724
8,12,150,0.955556
8,13,200,0.961111
8,14,200,0.958824
8,15,150,0.975
8,16,100,0.96
8,17,150,0.985714
8,18,500,0.96
8,19,200,0.95
9,2,50,1
9,3,50,0.971429
9,4,50,0.959259
9,5,100,0.955319
9,6,100,0.95102
9,7,100,0.952
9,8,200,0.958
9,9,150,0.953704
9,10,100,0.962222
9,11,200,0.964516
9,12,150,0.951163
9,13,200,0.968
9,14,150,0.955
9,15,100,0.966667
9,16,200,0.95
9,17,150,0.95
9,18,400,0.966667
9,19,100,0.96
10,2,50,1
10,3,50,0.95
10,4,50,0.971429
10,5,450,0.957143
10,6,100,0.966667
10,7,100,0.952083
10,8,200,0.957895
10,9,150,0.955357
10,10,100,0.96087
10,11,200,0.951282
10,12,200,0.955882
10,13,150,0.9625
10,14,250,0.95
10,15,250,0.953571
10,16,150,0.957692
10,17,550,0.954545
10,18,100,0.966667
10,19,150,0.95
10,20,250,0.95
11,3,50,1
11,4,50,0.966667
11,5,50,0.971429
11,6,100,0.966667
11,7,150,0.956098
11,8,250,0.955814
11,9,200,0.969231
11,10,200,0.960784
11,11,250,0.95
11,12,250,0.952174
11,13,250,0.961111
11,14,250,0.95
11,15,300,0.95
11,16,200,0.95625
11,17,200,0.954545
11,18,200,0.953846
11,19,200,0.985714
11,20,450,0.966667
12,5,50,0.954545
12,6,150,0.956
12,7,50,0.952381
12,8,200,0.958974
12,9,150,0.95
12,10,300,0.955556
12,11,300,0.951786
12,12,250,0.953333
12,13,350,0.951163
12,14,300,0.961364
12,15,250,0.96
12,16,400,0.955
12,17,250,0.964
12,18,250,0.955556
12,19,200,0.95
12,20,200,1
13,4,50,1
13,5,50,1
13,6,500,0.95
13,7,250,0.95
13,8,150,0.953571
13,9,250,0.952273
13,10,250,0.958696
13,11,200,0.95102
13,12,300,0.951923
13,13,350,0.952542
13,14,450,0.956
13,15,500,0.962745
13,16,600,0.958621
13,17,250,0.964
13,18,250,0.954545
13,19,450,0.963636
13,20,250,0.95
14,4,650,1
14,5,50,1
14,6,950,0.95
14,7,650,0.95
14,8,250,0.95
14,9,400,0.954167
14,10,550,0.956818
14,11,550,0.953061
14,12,550,0.95
14,13,500,0.955
14,14,600,0.95
14,15,400,0.955814
14,16,400,0.952083
14,17,650,0.95
14,18,950,0.95
14,19,450,0.953846
14,20,450,0.95
15,5,2000,0.9
15,6,700,0.95
15,7,450,0.975
15,8,1250,0.957143
15,9,450,0.95
15,10,1200,0.95
15,11,500,0.95
15,12,850,0.95
15,13,650,0.95102
15,14,800,0.952542
15,15,750,0.95102
15,16,700,0.952459
15,17,700,0.952083
15,18,400,0.955556
15,19,700,0.952174
15,20,850,0.95625
16,6,1800,1
16,7,1000,0.96
16,8,1000,0.96
16,9,450,0.95
16,10,1100,0.952632
16,11,1500,0.951515
16,12,1350,0.951351
16,13,1350,0.95
16,14,1150,0.953061
16,15,850,0.95
16,16,1200,0.952273
16,17,1000,0.95283
16,18,900,0.954717
16,19,850,0.952941
16,20,700,0.95
17,8,2000,0.9
17,9,1350,0.95
17,10,1400,0.95
17,11,2000,0.947059
17,12,1350,0.951515
17,13,1400,0.951111
17,14,1400,0.953192
17,15,1900,0.951219
17,16,1350,0.95
17,17,1900,0.95
17,18,1500,0.953623
17,19,1400,0.950746
17,20,1000,0.952083
18,8,850,1
18,9,850,1
18,10,900,0.95
18,11,2000,0.96
18,12,2000,0.946667
18,13,1450,0.957895
18,14,2000,0.951351
18,15,2000,0.928302
18,16,2000,0.95
18,17,2000,0.94125
18,18,2000,0.943374
18,19,1700,0.95
18,20,1950,0.95
19,9,2000,0.9
19,12,2000,0.933333
19,13,2000,0.94
19,14,2000,0.903333
19,15,2000,0.9325
19,16,2000,0.896078
19,17,2000,0.912658
19,18,2000,0.923288
19,19,2000,0.917778
19,20,2000,0.921429
20,11,2000,0.833333
20,12,2000,0.9
20,13,2000,0.842857
20,14,2000,0.9
20,15,2000,0.852941
20,16,2000,0.8875
20,17,2000,0.870588
20,18,2000,0.850704
20,19,2000,0.865116
20,20,2000,0.893548
