M_bin,m_bin,ef,actual_recall
1,1,50,0.987862
1,2,50,0.98895
1,3,50,0.990667
1,4,50,0.989091
1,5,50,0.977273
1,6,50,0.973684
1,7,50,0.969697
1,8,50,0.95
1,9,50,0.95
1,10,50,0.96
2,1,50,0.994762
2,2,50,0.989908
2,3,50,0.981646
2,4,50,0.983929
2,5,50,0.962963
2,6,100,0.985714
2,7,100,0.973077
2,8,100,0.977778
2,9,100,0.979412
2,10,100,0.96
3,1,50,0.997248
3,2,50,0.986667
3,3,50,0.974534
3,4,50,0.969286
3,5,50,0.952525
3,6,100,0.985882
3,7,100,0.972464
3,8,100,0.976471
3,9,100,0.967925
3,10,150,0.966667
4,1,50,0.995588
4,2,50,0.983217
4,3,50,0.966187
4,4,50,0.954676
4,5,50,0.956311
4,6,100,0.977686
4,7,100,0.968868
4,8,100,0.971951
4,9,150,0.973077
4,10,150,0.97234
5,1,50,0.996875
5,2,50,0.97619
5,3,50,0.973239
5,4,100,0.9784
5,5,100,0.98125
5,6,100,0.974074
5,7,100,0.964912
5,8,100,0.961856
5,9,100,0.952564
5,10,200,0.972727
6,1,50,0.995455
6,2,50,0.973171
6,3,50,0.969828
6,4,100,0.983051
6,5,100,0.975556
6,6,100,0.968254
6,7,100,0.958015
6,8,100,0.959434
6,9,150,0.965385
6,10,200,0.963333
7,1,50,1
7,2,50,0.980851
7,3,100,0.981319
7,4,100,0.981356
7,5,100,0.959836
7,6,100,0.952344
7,7,150,0.966387
7,8,150,0.970922
7,9,200,0.964567
7,10,200,0.957426
8,1,50,1
8,2,50,0.964706
8,3,50,0.955263
8,4,100,0.9625
8,5,100,0.965517
8,6,150,0.9675
8,7,150,0.962937
8,8,150,0.962411
8,9,200,0.966887
8,10,250,0.957364
9,2,50,0.975
9,3,100,0.963636
9,4,100,0.953333
9,5,150,0.976289
9,6,150,0.960305
9,7,150,0.950345
9,8,250,0.958784
9,9,200,0.951124
9,10,300,0.96
10,2,50,1
10,3,150,0.966667
10,4,200,0.963333
10,5,200,0.954237
10,6,250,0.965753
10,7,300,0.955682
10,8,350,0.951829
10,9,350,0.951174
10,10,550,0.952909
