query_id,recall,convergence,cv,lid
0,0.71,75.1893,0.182327,11.3754
1,0.96,87.7588,0.271626,5.67781
2,0.67,69.7898,0.192447,9.04317
3,0.93,76.7736,0.215507,4.93853
4,0.66,70.0924,0.166341,11.1841
5,0.83,84.3835,0.203288,7.26474
6,0.47,63.3004,0.185953,12.1452
7,0.35,66.8944,0.174379,14.8106
8,0.69,65.2337,0.198411,11.4618
9,0.59,49.8251,0.181213,12.7648
10,0.69,67.8451,0.17359,9.62804
11,0.93,84.8538,0.33116,2.15149
12,0.79,72.0818,0.203291,11.1935
13,0.77,83.529,0.232821,8.69227
14,0.72,80.415,0.220009,7.71109
15,0.46,65.0035,0.163192,13.4724
16,0.22,46.1944,0.150941,11.7036
17,0.7,72.191,0.192594,10.9037
18,0.43,46.0986,0.165868,12.5186
19,0.78,64.8426,0.192993,9.87477
20,0.7,78.3785,0.181749,10.0759
21,0.95,90.0348,1.01787,8.21698
22,0.86,75.2601,0.217043,8.80268
23,0.61,65.0244,0.18172,11.8567
24,0.4,63.4475,0.155718,13.2163
25,0.83,83.5212,0.207565,7.64464
26,0.76,71.4019,0.225204,9.89452
27,0.35,42.2982,0.158236,13.9742
28,0.59,46.2372,0.191084,10.2125
29,0.98,87.9175,1.00598,4.88145
30,0.48,65.1124,0.1516,10.2263
31,0.85,80.3557,0.285703,2.90734
32,0.64,68.9924,0.168537,10.6349
33,0.72,69.5475,0.189528,10.0593
34,0.88,84.0682,0.512739,0.849719
35,0.53,62.6471,0.151123,14.4669
36,0.47,62.2632,0.156332,13.1153
37,0.94,90.2766,0.335347,2.88567
38,0.86,79.375,0.265134,9.23506
39,0.64,72.6263,0.18512,11.168
40,0.24,59.4972,0.128689,15.4834
41,0.86,71.2178,0.200838,10.0633
42,0.9,78.4714,0.247983,6.78739
43,0.78,74.8232,0.194092,11.0487
44,0.48,58.6281,0.165522,14.1699
45,0.43,54.2566,0.142704,11.7375
46,0.9,82.6584,0.244153,5.70228
47,1,88.6825,0.993071,2.70235
48,0.42,65.826,0.147868,12.1163
49,0.35,59.365,0.161951,11.7554
50,0.55,66.2994,0.184866,9.14717
51,0.7,72.6346,0.204743,11.7543
52,0.84,79.7793,0.215448,8.41978
53,0.85,81.2592,0.228525,7.28577
54,0.47,50.9127,0.152352,10.0245
55,0.75,77.8602,0.167466,11.9557
56,0.99,89.587,0.312152,4.6593
57,0.28,64.5581,0.153656,12.374
58,0.92,78.183,0.251235,7.67447
59,0.94,79.5441,0.297117,5.8514
60,0.63,68.0893,0.175604,11.6834
61,0.69,52.0897,0.175149,9.98726
62,0.74,61.0657,0.194496,10.3097
63,0.26,68.9449,0.141171,13.1663
64,0.95,84.5544,0.261169,5.95061
65,0.78,75.7809,0.367434,8.65403
66,0.5,73.3558,0.186528,9.6349
67,0.34,63.735,0.174922,13.3436
68,0.59,53.9126,0.168233,11.9065
69,0.34,60.1716,0.155229,10.2518
70,0.62,65.9169,0.178446,10.1078
71,0.84,76.5624,0.223128,8.4355
72,0.56,54.7597,0.172106,11.826
73,0.85,77.5757,0.237777,8.00712
74,0,62.1783,0.041075,51.5425
75,0.72,64.1743,0.172252,12.049
76,0.58,61.8033,0.181423,10.8564
77,0.88,86.6229,0.239323,9.43885
78,0.64,64.7745,0.170886,10.8288
79,0.67,65.9293,0.194546,13.7938
80,0.59,57.7453,0.182133,13.0437
81,0.94,78.6463,0.260269,8.85546
82,0.72,69.6743,0.184293,11.952
83,0.56,66.9969,0.165525,9.81419
84,0.54,57.9142,0.17047,9.74363
85,0.93,80.7185,0.225181,8.63062
86,0.79,72.4134,0.190157,8.1163
87,0.98,89.0654,0.387811,6.26765
88,0.59,68.3285,0.160988,12.7511
89,0.47,57.329,0.148339,13.9321
90,0.65,69.9628,0.183234,10.3242
91,0.33,69.5859,0.119753,15.5899
92,0.48,63.3595,0.163949,11.2822
93,0.19,47.9255,0.124097,15.5187
94,0.87,79.5267,0.230125,9.13977
95,0.69,68.7143,0.174611,9.92079
96,1,88.7741,3.27238,4.34335
97,0.94,77.8712,0.297962,3.53906
98,0.5,71.6154,0.166463,11.6639
99,0.9,72.4128,0.205352,11.5796
100,0.93,80.915,0.259011,6.91933
101,0.8,74.0181,0.20214,8.69776
102,0.85,73.1505,0.212031,9.63227
103,0.38,68.7207,0.149124,14.1453
104,0.47,63.8521,0.17268,10.3162
105,0.15,52.2309,0.127994,16.816
106,0.76,71.3691,0.231696,9.06457
107,0.84,66.4516,0.190814,9.71693
108,0.18,60.5528,0.139859,13.184
109,0.79,71.2381,0.219868,11.5631
110,0.69,68.1944,0.166693,10.5205
111,0.71,62.7586,0.191377,9.5914
112,0.38,64.1099,0.150945,12.7767
113,0.72,70.0226,0.194511,10.662
114,0.85,70.5598,0.232796,7.74617
115,0.81,63.8486,0.208604,8.99964
116,0.42,62.1164,0.146156,13.8894
117,0.88,87.2846,0.28223,5.52593
118,0.91,79.644,0.243579,7.87786
119,0.52,53.1532,0.146104,12.5894
120,0.92,81.5522,0.239032,6.84734
121,0.94,83.9374,0.393853,6.85579
122,0.56,55.1313,0.162275,13.0276
123,0.7,66.292,0.19335,12.8555
124,0.55,67.6953,0.173338,10.4052
125,0.32,62.5756,0.16131,15.6515
126,0.5,54.0808,0.156248,16.4222
127,0.67,51.5484,0.176318,10.6857
128,0.46,60.8076,0.153887,13.5087
129,0.8,70.1573,0.19238,9.87298
130,0.58,70.7147,0.188205,8.59754
131,0.42,67.3737,0.172096,11.325
132,0.55,61.6973,0.160086,12.4152
133,0.66,61.6819,0.200602,9.5464
134,0.36,52.8299,0.15627,13.9287
135,0.36,60.2728,0.14265,12.8501
136,0.81,81.1995,0.21152,9.63901
137,0.86,73.8785,0.228254,9.19251
138,0.68,76.924,0.186268,8.31226
139,0.89,74.2843,0.20734,10.1403
140,0.69,67.835,0.230168,7.15817
141,0.71,65.6601,0.193647,10.2248
142,0.81,83.6138,0.273035,8.14368
143,0.61,55.7599,0.191035,11.4314
144,0.63,65.743,0.167193,9.40778
145,0.74,59.8832,0.1879,10.3718
146,0.83,80.4448,0.246876,7.56966
147,0.69,69.5014,0.182659,9.6458
148,0.45,68.1188,0.145858,12.0941
149,0.76,65.5002,0.167491,12.9237
150,0.48,63.7066,0.157521,10.9505
151,0.93,91.2679,0.393487,2.24019
152,0.74,61.4527,0.207191,11.2817
153,0.57,66.3864,0.190801,10.7996
154,0.65,65.8288,0.169742,11.228
155,1,89.5636,0.575782,1.92229
156,0.52,66.1286,0.172061,11.1181
157,0.85,79.4277,0.21332,9.36831
158,0.98,91.7813,0.50989,3.41155
159,0.69,65.7568,0.167817,10.6954
160,0.93,79.5062,0.264055,5.99078
161,0.68,75.4923,0.205121,7.82178
162,0.74,71.1017,0.18936,9.4297
163,0.93,66.9605,0.207949,10.0898
164,0.4,59.9662,0.161147,12.7051
165,0.41,45.5839,0.151298,13.8533
166,0.59,51.8215,0.174478,10.5461
167,0.59,58.4761,0.157016,11.221
168,0.42,60.8154,0.13957,11.6829
169,0.37,51.4436,0.155886,11.8478
170,0.79,66.4673,0.185643,10.4608
171,0.69,76.3002,0.188974,8.309
172,0.75,85.0434,0.220072,10.1109
173,0.8,72.5782,0.239163,9.62652
174,0.81,76.1519,0.217319,10.1978
175,0.9,81.7811,0.238896,7.40929
176,0.57,61.0259,0.16303,10.6287
177,0.9,76.2972,0.264776,8.32827
178,0.91,83.6812,0.277184,6.55304
179,0.66,66.5736,0.188385,12.0831
180,0.83,70.7934,0.185317,11.7603
181,0.52,60.4791,0.131628,14.8399
182,0.5,60.1559,0.162947,13.9959
183,0.78,73.1412,0.214312,8.37029
184,0.8,64.9521,0.192606,8.49045
185,0.61,75.9875,0.186769,13.5523
186,0.91,78.437,0.229718,7.65753
187,0.79,66.3419,0.201251,8.53095
188,0.47,51.7405,0.155522,12.5256
189,0.6,60.8917,0.163306,11.7351
190,0.63,60.1403,0.178547,11.3751
191,0.95,81.9473,0.303787,5.82038
192,0.51,56.9078,0.157276,14.237
193,0.73,62.2048,0.194764,10.4488
194,0.59,70.8635,0.16899,10.2253
195,0.56,57.3942,0.158596,10.4667
196,0.51,52.4226,0.169391,12.5568
197,0.95,82.9618,0.269895,8.46415
198,0.94,79.2689,0.304837,6.51953
199,0.39,58.0025,0.15328,13.904
200,0.65,63.6156,0.176301,9.75631
201,0.65,62.8147,0.186415,9.12946
202,0.72,55.5158,0.192556,9.28092
203,0.47,73.4296,0.155848,11.6301
204,0.6,75.0128,0.187239,8.98139
205,0.69,75.7788,0.190882,11.4101
206,0.75,72.9758,0.22196,9.43683
207,0.32,58.6182,0.151787,11.7758
208,0.52,72.1431,0.176604,11.8729
209,0.56,52.8071,0.180397,11.8369
210,0.55,74.0908,0.177469,12.9525
211,0.59,61.42,0.15951,12.4211
212,0.25,54.2958,0.12544,15.1464
213,0.67,74.0924,0.163543,13.376
214,0.84,74.3231,0.22594,9.19384
215,0.66,69.6645,0.173834,10.6135
216,0.79,80.6641,0.198565,10.5113
217,0.68,59.5328,0.258814,11.5453
218,0.79,80.5626,0.218034,6.5653
219,0.81,75.0284,0.210893,7.99486
220,0.74,76.1043,0.212393,9.17499
221,0.95,78.3776,0.341356,7.43954
222,0.93,81.4597,0.22579,8.43686
223,0.44,51.6338,0.15752,14.15
224,0.56,67.2066,0.192678,10.0944
225,0.85,77.1644,0.228858,8.52999
226,0.62,53.1998,0.178226,11.576
227,0.98,87.7871,0.388292,2.36047
228,0.74,66.7193,0.177611,10.6803
229,0.58,65.2775,0.165106,12.4918
230,0.84,74.0387,0.186639,11.0023
231,0.5,64.787,0.161754,12.0902
232,0.75,55.8286,0.184281,12.1747
233,0.49,59.8818,0.146008,12.7643
234,0.68,77.1361,0.196894,5.60044
235,0.49,61.7632,0.158033,12.0703
236,0.69,69.1899,0.182744,7.70951
237,0.52,63.8409,0.158332,12.6731
238,0.48,51.0702,0.170984,12.7698
239,0.9,79.9215,0.24278,8.08242
240,0.53,73.5775,0.16335,12.3728
241,0.79,83.8794,0.317913,1.1932
242,0.44,72.0636,0.162769,12.6206
243,0.98,84.3437,0.399108,9.13204
244,0.66,50.4254,0.194906,10.3781
245,0.38,51.2895,0.129913,13.8348
246,0.37,57.7978,0.158739,10.0283
247,0.81,70.8958,0.504779,10.7472
