query_id,m,recall,E5,E4,E3,E2,E1
2500,11.8472,0.9,0,2.60382,3.02615,2.83321,3.07491
3125,22.7982,1,0,2.53684,3.03529,2.77926,3.12907
5625,4.1806,1,0,2.80676,2.60525,2.77382,3.2881
0,27.7932,0.2,0,2.60935,2.48491,3.2941,3.52954
4375,26.7259,0.4,0,2.70805,3.05423,3.58425,3.48053
6875,12.0071,0.9,0,2.69317,3.5047,3.4161,3.49524
9375,12.7555,1,0,3.35675,2.87875,2.83321,2.83321
2501,18.0627,0.7,0,3.00238,2.19722,3.37473,3.17552
6876,13.1307,1,0,3.0807,2.83321,3.01231,2.60392
3126,16.8156,0.8,0,2.70805,3.10083,3.36445,2.83321
5626,28.0698,0,0,2.75985,2.85982,2.83321,3.33568
2502,8.54382,1,0,2.94822,3.02828,2.96027,3.3516
9376,12.5672,0.8,0,2.72792,2.95999,2.63906,3.09836
1,22.9821,0.8,0,3.08633,3.19753,3.30067,2.83321
6877,7.72764,0.9,0,2.70805,2.70805,2.83321,3.71698
4376,22.9011,0.5,0,2.70805,2.70805,3.40096,2.83321
3127,16.5161,1,0,2.43405,2.39598,2.97087,3.45407
5627,10.6893,1,0,2.33974,2.30259,2.83321,3.06616
2503,22.0587,0.4,0,2.70805,2.91376,3.44423,3.13437
3750,15.0817,0.5,0,2.61696,3.31318,2.83321,2.83321
9377,18.0666,0.8,0,2.55512,3.51839,2.83321,3.11953
5000,23.0642,0.2,0,2.70805,3.31119,2.83321,2.83321
2,16.6236,0.9,0,2.87096,2.83321,2.83321,3.15468
5628,5.03912,1,0,2.51109,2.83321,3.09999,2.83321
6878,17.6931,0.7,0,3.09179,3.69809,2.70805,2.83321
8125,13.4592,1,0,2.70805,2.70805,3.78894,2.83321
2504,17.3573,0.8,0,2.91399,3.34007,3.5674,2.83321
1250,23.3796,0.2,0,2.90059,3.63571,3.21958,3.15761
4377,27.3657,0.2,0,2.88747,3.06955,2.83321,2.83321
3128,27.5376,0.3,0,2.83142,2.98356,3.91793,3.22902
5001,8.01537,1,0,2.89475,2.48491,3.57364,2.83321
3,26.4939,0.2,0,2.70805,2.81621,3.66898,3.42103
9378,9.82612,0.8,0,3.04713,3.45442,3.79008,3.35211
5629,10.5392,1,0,3.07529,3.30867,3.30367,3.32188
2505,7.66877,1,0,2.67453,2.48933,3.12163,2.83321
3751,21.9223,0.3,0,2.83802,2.19722,3.44588,3.50549
6879,21.0192,0.6,0,2.70805,2.70805,3.37216,3.16566
8126,6.63506,1,0,3.02743,2.75265,2.77259,3.42967
3129,12.6498,1,0,2.82121,2.77775,3.3463,3.14735
4378,12.8662,1,0,3.05113,3.12183,3.67898,3.05239
1251,11.5602,0.9,0,2.98871,3.20373,2.83321,3.25508
5002,19.6816,0.2,0,2.95249,3.43275,2.83321,3.40845
9379,4.88181,1,0,3.16503,2.58763,3.08422,3.36765
4,15.9642,0.9,0,2.95221,3.10006,2.83321,3.47588
2506,11.9567,1,0,2.70805,2.83092,2.83321,3.29244
5630,19.6793,0.7,0,2.69659,3.2784,3.52884,3.30283
4379,5.5423,1,0,2.91617,2.19722,2.73717,2.90639
1875,10.446,0.9,0,2.84518,2.90254,2.83321,3.03341
3130,17.7642,0.9,0,2.99096,2.63906,2.73534,2.83321
9380,13.946,1,0,2.87732,2.6246,3.73923,2.94626
3752,19.9109,0.6,0,2.9252,3.19459,2.48491,3.30648
8750,8.36596,1,0,2.82401,3.45732,3.49989,2.89769
6880,32.4396,0,0,2.92828,3.35559,3.29465,2.83321
6250,9.08703,1,0,2.59927,2.83321,2.83321,2.83321
5,19.1046,0.9,0,2.99426,3.19624,2.83321,3.52827
1252,27.1097,0.2,0,3.01242,3.22736,2.83321,2.83321
2507,7.37356,1,0,2.86002,2.89854,2.83321,2.70805
5003,16.4373,0.8,0,2.99479,2.83321,3.45737,3.31812
8127,24.7104,0.3,0,2.45619,2.83321,3.31029,2.83321
9381,7.63038,1,0,2.831,3.05666,2.21891,3.15767
5631,22.658,0.2,0,2.83415,3.15084,2.83321,3.38191
6251,9.67985,1,0,2.40253,2.30259,2.33345,2.56495
6881,17.9649,0.3,0,2.86437,2.86586,2.83321,3.43201
1876,10.4927,0.8,0,2.83501,2.83321,3.06214,2.83321
6,12.006,1,0,2.70805,2.74843,3.32649,3.32604
1253,16.318,0.9,0,2.95253,3.04051,2.78857,3.32552
8751,14.3137,0.8,0,2.73955,2.63906,3.6084,3.2286
3753,19.2232,0.9,0,2.65492,2.83321,3.46746,2.63906
9382,16.3221,0.7,0,2.73587,2.83321,2.83321,3.17
5632,12.1487,0.9,0,2.97555,2.64268,2.63906,3.38427
5004,3.24823,1,0,2.70805,2.70805,2.83321,3.23078
2508,22.7827,0.4,0,2.85417,3.27797,3.21777,2.83321
6882,9.74147,1,0,2.70805,2.70805,2.83321,3.23009
8128,22.6247,0.2,0,2.73599,2.56495,2.83321,3.60289
1254,17.5855,0.1,0,2.83998,2.83321,2.83321,2.83321
6252,19.8077,0.2,0,2.72828,3.27888,2.83321,3.30803
4380,22.6187,0.3,0,3.01117,2.3979,3.53521,3.78172
1877,10.0807,0.6,0,2.54681,2.48491,2.83321,3.93808
7,21.4444,0.3,0,2.70805,3.71256,2.83321,3.24517
5005,10.0844,1,0,2.81775,2.78212,3.06227,3.23309
8752,18.3984,0.5,0,2.96086,2.48491,2.83321,3.29964
3131,15.3248,0.4,0,2.69711,2.70805,2.83321,3.83653
6883,20.5777,0.7,0,2.3879,3.06804,2.83321,3.32283
8129,5.23575,1,0,2.87098,3.09006,3.36746,3.09563
9383,21.476,0.7,0,3.03397,2.83321,3.39176,3.40377
2509,11.4529,1,0,3.02775,3.43641,2.83321,3.66987
1255,12.6941,1,0,2.84087,3.42892,3.32206,2.83321
8,8.16743,1,0,3.00962,3.07377,3.24107,3.44578
5633,11.2574,0.7,0,3.35429,3.22496,2.70805,3.41174
6884,4.56322,1,0,2.95619,3.18683,3.52444,2.89112
9384,12.2992,1,0,2.58225,2.63906,3.37028,3.0309
4381,18.0607,0.5,0,3.0626,3.33844,3.27782,3.43968
2510,9.35656,1,0,2.77539,3.2248,3.08989,2.83321
5006,19.5812,0.8,0,3.35303,3.39637,3.24822,2.83321
1256,20.2955,0.7,0,2.5601,2.88735,2.83321,2.70805
7500,21.8846,0.4,0,2.99054,2.19722,2.70437,2.83321
3754,14.5546,1,0,2.75318,2.98636,3.33994,3.21087
5007,6.57106,1,0,2.92707,2.48491,2.83321,2.99804
5634,9.18255,1,0,2.85726,2.899,2.83321,2.83321
2511,13.1566,1,0,2.84974,3.10681,3.05807,2.83321
9385,6.02212,1,0,2.8058,3.19509,3.40863,3.85169
6885,15.8082,0.8,0,3.11153,3.2341,3.43496,2.83321
9,17.927,0.7,0,2.63812,3.33114,3.16703,2.83321
3755,6.36757,1,0,3.11917,3.06398,3.26011,3.34644
3132,13.6537,1,0,2.84717,3.45162,3.31427,3.58391
4382,23.9752,0.1,0,2.70805,2.90809,3.28815,2.83321
1257,20.8469,0.3,0,2.87764,3.65935,2.83321,2.83321
6253,17.4964,0.8,0,2.70817,2.7576,2.83321,2.83321
5635,5.37816,1,0,2.85071,3.15182,3.36066,2.83321
