query_id,score,cv,recall
0,63.0097,0.152531,0.8
1,62.7615,0.160135,0.8
2,74.5555,0.192305,1
3,78.6028,0.20615,1
4,64.7519,0.188319,1
5,67.331,0.158799,0.9
6,58.946,0.168135,1
7,86.6085,0.252348,1
8,60.7782,0.174908,0.9
9,65.52,0.174689,0.9
10,56.2257,0.169493,1
11,73.8326,0.193475,1
12,68.3467,0.176158,0.9
13,66.4983,0.188006,1
14,53.7959,0.166177,0.9
15,73.2395,0.169587,0.9
16,68.6739,0.184233,0.9
17,60.6024,0.184454,0.7
18,63.388,0.182826,0.6
19,63.9336,0.18402,1
20,75.6083,0.233167,1
21,71.7494,0.222268,1
22,63.1539,0.244809,1
23,71.3024,0.190457,0.9
24,70.5486,0.206137,1
25,68.8031,0.199518,1
26,64.2233,0.211984,0.9
27,68.7294,0.21075,1
28,63.6356,0.212864,0.9
29,79.6239,0.276398,1
30,71.93,0.180999,0.9
31,62.4078,0.180731,0.9
32,67.0861,0.206552,1
33,83.9029,0.212227,1
34,77.5085,0.169385,1
35,83.2001,0.198304,1
36,74.3342,0.171739,1
37,87.7848,0.19508,1
38,78.2758,0.181564,1
39,76.7112,0.216834,1
40,76.7097,0.196648,1
41,71.5148,0.184623,0.8
42,73.8153,0.212542,1
43,71.4124,0.155935,0.9
44,78.359,0.197299,1
45,83.2757,0.234574,1
46,91.3891,0.221874,1
47,60.6552,0.158746,1
48,79.9793,0.201923,1
49,83.8288,0.23676,1
50,79.3926,0.198565,1
51,75.4621,0.199565,1
52,71.4928,0.213899,1
53,75.7077,0.213347,1
54,81.4307,0.246031,1
55,83.7782,0.29196,1
56,65.9844,0.17391,1
57,77.3409,0.221701,1
58,87.3429,0.196936,1
59,81.9873,0.368976,1
60,64.9482,0.168983,0.9
61,78.5035,0.247011,1
62,76.4889,0.315377,1
63,73.0701,0.208232,1
64,87.4062,0.248434,1
65,78.42,0.215887,1
66,75.9797,0.221246,1
67,77.7433,0.223415,1
68,80.7655,0.237981,1
69,53.3012,0.1752,0.7
70,87.4724,0.385702,1
71,75.4033,0.20955,1
72,74.9877,0.156679,0.9
73,64.8654,0.188393,1
74,67.3341,0.18625,0.9
75,73.6937,0.178937,0.9
76,78.3652,0.20689,1
77,75.5938,0.185665,1
78,75.1313,0.189379,1
79,80.2049,0.278015,1
80,70.6632,0.184335,1
81,69.9139,0.158957,1
82,66.9769,0.169478,0.9
83,78.5196,0.234759,1
84,57.4832,0.173993,1
85,87.886,0.223759,1
86,88.1351,0.227537,1
87,86.5665,0.310276,1
88,82.797,0.325853,1
89,83.1112,0.237684,1
90,79.7285,0.341988,1
91,76.9613,0.202256,1
92,71.8923,0.18845,0.9
93,77.0713,0.237144,1
94,89.3261,0.269741,1
95,69.2868,0.193599,1
96,69.1643,0.192329,1
97,71.0722,0.152034,0.8
98,79.5008,0.322161,1
99,78.3839,0.191904,1
100,69.6728,0.21876,1
101,80.17,0.190575,1
102,72.5602,0.181474,1
103,82.6878,0.218398,1
104,78.0256,0.264938,1
105,64.1129,0.175445,1
106,79.9037,0.247479,1
107,83.1134,0.277194,1
108,91.2129,0.492477,1
109,78.3122,0.203067,0.8
110,57.966,0.224109,0.8
111,71.0361,0.170101,0.9
112,90.9417,0.302001,1
113,67.417,0.185971,1
114,83.7102,0.22603,1
115,51.7037,0.203842,0.7
116,87.212,0.628476,1
117,64.5988,0.169654,0.9
118,74.5482,0.196988,1
119,92.6648,0.372354,1
120,59.044,0.177629,0.9
121,61.7005,0.173296,0.8
122,68.8617,0.191468,1
123,75.2857,0.231323,1
124,77.3416,0.216722,1
125,67.1584,0.244575,1
126,63.7498,0.168427,0.9
127,69.716,0.202762,1
128,78.3718,0.245304,1
129,84.6785,0.188485,1
130,60.5355,0.158422,0.9
131,77.0099,0.199907,1
132,69.0526,0.171383,0.9
133,62.7848,0.127209,0.7
134,73.3061,0.231797,0.9
135,51.6418,0.18999,0.8
136,65.4162,0.198408,0.9
137,69.9735,0.163592,1
138,77.0483,0.18452,0.9
139,64.1715,0.199637,0.8
140,63.0189,0.156652,0.8
141,80.5319,0.261367,1
142,62.0926,0.174969,1
143,77.1308,0.231552,1
144,81.7557,0.192389,1
145,72.3931,0.216441,1
146,71.1123,0.175152,0.9
147,76.3337,0.18619,0.9
148,60.8162,0.19914,1
149,76.3211,0.181168,1
150,63.0835,0.183819,0.7
151,88.8004,0.26642,1
152,76.0259,0.196834,1
153,80.0303,0.211136,1
154,71.5904,0.169997,0.8
155,69.4414,0.189864,0.9
156,74.3426,0.19812,1
157,59.8452,0.159953,0.6
158,67.1776,0.174779,0.9
159,70.8192,0.164425,0.6
160,63.1124,0.158204,0.7
161,70.2891,0.191266,0.7
162,60.2826,0.172731,0.8
163,74.4778,0.184722,0.9
164,75.2599,0.199362,1
